TaxonSort,UltrataxonID,taxonRank,SpNo,taxonID,vernacularName,scientificName,FamilyCommonName,family,order,Population,Australian IUCN RedListStatus_2020,Supplementary,ABD_Avibase ID
384,1,species,971,u971,Providence Petrel,Pterodroma solandri,Petrels and Shearwaters,Procellariidae,Procellariiformes,Endemic (breeding only),Least Concern,,avibase-F654D59E
385,,species,922,922,Kermadec Petrel,Pterodroma neglecta,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,,,avibase-889232C7
386,1,subspecies,922,u922,Western Kermadec Petrel,Pterodroma neglecta neglecta,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Vulnerable,,avibase-7E2C9D4D
387,1,species,5130,u5130,Trindade Petrel,Pterodroma arminjoniana,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
388,1,species,921,u921,Herald Petrel,Pterodroma heraldica,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Endangered,,avibase-6C348817
389,1,species,5131,u5131,Phoenix Petrel,Pterodroma alba,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
390,1,species,775,u775,Barau's Petrel,Pterodroma baraui,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-D956176F
391,1,species,919,u919,Mottled Petrel,Pterodroma inexpectata,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-B829AC03
392,,species,774,774,White-necked Petrel,Pterodroma cervicalis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,,,avibase-96DC9DCD
393,1,subspecies,774,u774a,White-necked Petrel (subspecies),Pterodroma cervicalis cervicalis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Endangered,,avibase-754775F5
394,1,subspecies,774,u774b,Vanuatu Petrel,Pterodroma cervicalis occulta,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-371701A1
395,1,species,810,u810,Juan Fernandez Petrel,Pterodroma externa,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-DC2BA23B
396,1,species,76,u76,Soft-plumaged Petrel,Pterodroma mollis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Vulnerable,,avibase-12286A1E
397,1,species,5132,u5132,Magenta Petrel,Pterodroma magentae,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
398,1,species,773,u773,Atlantic Petrel,Pterodroma incerta,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-23865D25
399,1,species,77,u77,White-headed Petrel,Pterodroma lessonii,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,avibase-7C787E7D
400,1,species,75,u75,Great-winged Petrel,Pterodroma macroptera,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,avibase-508E7E59
401,1,species,8681,u8681,Grey-faced Petrel,Pterodroma gouldi,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-DF92B7F9
402,1,species,73,u73,Grey Petrel,Procellaria cinerea,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Near Threatened,,avibase-843C1B86
403,1,species,915,u915,White-chinned Petrel,Procellaria aequinoctialis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-35EB45A0
404,1,species,916,u916,Westland Petrel,Procellaria westlandica,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-9057992B
405,1,species,917,u917,Black Petrel,Procellaria parkinsoni,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Vulnerable,,avibase-DB67DB1F
406,,species,69,69,Wedge-tailed Shearwater,Ardenna pacifica,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,,,avibase-E94A7272
407,1,subspecies,69,u69a,Indo-Pacific Wedge-tailed Shearwater,Ardenna pacifica chlororhyncha,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,
408,1,subspecies,69,u69b,Tasman Wedge-tailed Shearwater,Ardenna pacifica pacifica,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,
409,1,species,975,u975,Buller's Shearwater,Ardenna bulleri,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-83F9C058
410,1,species,71,u71,Short-tailed Shearwater,Ardenna tenuirostris,Petrels and Shearwaters,Procellariidae,Procellariiformes,Endemic (breeding only),Least Concern,,avibase-60825BF6
411,1,species,70,u70,Sooty Shearwater,Ardenna grisea,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Vulnerable,,avibase-1725B07D
412,1,species,771,u771,Great Shearwater,Ardenna gravis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-8B879DFA
413,1,species,72,u72,Flesh-footed Shearwater,Ardenna carneipes,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Near Threatened,,avibase-08F22F84
414,1,species,772,u772,Pink-footed Shearwater,Ardenna creatopus,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-9A77D2B0
415,1,species,853,u853,Streaked Shearwater,Calonectris leucomelas,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Near Threatened,,avibase-13B165A3
416,1,species,5133,u5133,Cory's Shearwater,Calonectris borealis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
417,1,species,68,u68,Fluttering Shearwater,Puffinus gavia,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-426C93D3
418,1,species,913,u913,Hutton's Shearwater,Puffinus huttoni,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Vulnerable,,avibase-27FAC807
419,1,species,739,u739,Newell's Shearwater,Puffinus newelli,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-445A0B00
420,,species,912,912,Tropical Shearwater,Puffinus bailloni,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-6DA05B66
421,1,subspecies,912,u912,Tropical Shearwater (ssp),Puffinus bailloni ssp,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
422,1,species,914,u914,Manx Shearwater,Puffinus puffinus,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-5AEDC002
423,1,species,5066,u5066,Heinroth's Shearwater,Puffinus heinrothi,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,
424,1,species,5069,u5069,Subantarctic Shearwater,Puffinus elegans,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-6F4BBFE2
425,,species,67,67,Little Shearwater,Puffinus assimilis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,,,avibase-0205EDC6
426,1,subspecies,67,u67a,Tasman Little Shearwater,Puffinus assimilis assimilis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Endemic (breeding only),Least Concern,,avibase-B3AB66CC
427,1,subspecies,67,u67b,Western Australian Little Shearwater,Puffinus assimilis tunneyi,Petrels and Shearwaters,Procellariidae,Procellariiformes,Endemic (breeding only),Least Concern,,avibase-E0C5C539
428,,species,920,920,Tahiti Petrel,Pseudobulweria rostrata,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,,,avibase-FCFBB7D9
429,1,subspecies,920,u920a,Pacific Tahiti Petrel,Pseudobulweria rostrata rostrata,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Near Threatened,,avibase-0A771AF1
430,1,subspecies,920,u920b,New Caledonian Tahiti Petrel,Pseudobulweria rostrata trouessarti,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Near Threatened,,avibase-FEEEB199
431,1,species,776,u776,Bulwer's Petrel,Bulweria bulwerii,Petrels and Shearwaters,Procellariidae,Procellariiformes,Non-breeding,Least Concern,,avibase-058773E4
432,1,species,762,u762,Jouanin's Petrel,Bulweria fallax,Petrels and Shearwaters,Procellariidae,Procellariiformes,Vagrant,,,avibase-F501ED18
433,1,species,5126,u5126,Whenua Hou Diving-Petrel,Pelecanoides whenuahouensis,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Critically Endangered,,
434,1,species,910,u910,South Georgian Diving-Petrel,Pelecanoides georgicus,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,avibase-D5FE30FF
435,,species,85,85,Common Diving-Petrel,Pelecanoides urinatrix,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,,,avibase-8A40716A
436,1,subspecies,85,u85a,Subantarctic Diving-Petrel,Pelecanoides urinatrix exsul,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,avibase-3A236E1B
437,1,subspecies,85,u85b,Australasian Common Diving-Petrel,Pelecanoides urinatrix urinatrix,Petrels and Shearwaters,Procellariidae,Procellariiformes,Australian,Least Concern,,avibase-A7FCC39B
438,,species,183,183,Black-necked Stork,Ephippiorhynchus asiaticus,Storks,Ciconiidae,Pelecaniformes,Australian,,,avibase-27A758E6
439,1,subspecies,183,u183,Torresian Black-necked Stork,Ephippiorhynchus asiaticus australis,Storks,Ciconiidae,Pelecaniformes,Australian,Least Concern,,avibase-560B3B17
440,1,species,182,u182,Yellow-billed Spoonbill,Platalea flavipes,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Endemic,Least Concern,,avibase-62A22779
441,1,species,181,u181,Royal Spoonbill,Platalea regia,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Australian,Least Concern,,avibase-DEAF523A
442,,species,179,179,Australian White Ibis,Threskiornis moluccus,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Australian,,,avibase-8C461E3F
443,1,subspecies,179,u179,Australian White Ibis (nominate subspecies),Threskiornis moluccus moluccus,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Australian,Least Concern,,
444,1,species,180,u180,Straw-necked Ibis,Threskiornis spinicollis,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Endemic (breeding only),Least Concern,,avibase-073C56D1
445,1,species,178,u178,Glossy Ibis,Plegadis falcinellus,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes,Australian,Least Concern,,avibase-D4540F88
446,1,species,197,u197,Australasian Bittern,Botaurus poiciloptilus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Endangered,,avibase-F18D7DF7
447,1,species,195,u195,Australian Little Bittern,Ixobrychus dubius,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-32C3CEF7
448,1,species,907,u907,Yellow Bittern,Ixobrychus sinensis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-1BFBF5D5
449,1,species,754,u754,Schrenck's Bittern,Ixobrychus eurhythmus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-E04AFC71
450,1,species,842,u842,Cinnamon Bittern,Ixobrychus cinnamomeus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-CBDC8AA3
451,,species,196,196,Black Bittern,Ixobrychus flavicollis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-003BE0C5
452,1,subspecies,196,u196a,Torresian Black Bittern,Ixobrychus flavicollis australis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-DB25F2A1
453,1,subspecies,196,u196b,Asian Black Bittern,Ixobrychus flavicollis flavicollis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-06637E95
454,1,species,5012,u5012,Japanese Night-Heron,Gorsachius goisagi,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-6667DD1A
455,,species,797,797,Malayan Night-Heron,Gorsachius melanolophus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-DC10105A
456,1,subspecies,797,u797,Malayan Night-Heron (ssp),Gorsachius melanolophus melanolophus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-0110FBF2
457,,species,796,796,Black-crowned Night-Heron,Nycticorax nycticorax,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-6BB94D7E
458,1,subspecies,796,u796,Eastern Black-crowned Night-Heron,Nycticorax nycticorax nycticorax,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-67930127
459,,species,192,192,Nankeen Night-Heron,Nycticorax caledonicus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-FDD00863
460,1,subspecies,192,u192,Torresian Nankeen Night-Heron,Nycticorax caledonicus australasiae,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-1993602B
461,,species,193,193,Striated Heron,Butorides striata,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-78B4A393
462,1,subspecies,193,u193a,East Asian Striated Heron,Butorides striata amurensis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-E94434FF
463,1,subspecies,193,u193b,Kimberley Striated Heron,Butorides striata cinerea,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,
464,1,subspecies,193,u193c,Cape York Striated Heron,Butorides striata littleri,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,
465,1,subspecies,193,u193d,Eastern Australian Striated Heron,Butorides striata macrorhyncha,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,avibase-C36AED36
466,1,subspecies,193,u193e,Western Striated Heron,Butorides striata rogersi,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,avibase-9CC49FBC
467,1,subspecies,193,u193f,Carpentarian Striated Heron,Butorides striata stagnatilis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,avibase-9CC49FBC
468,1,species,9945,u9945,Chinese Pond Heron,Ardeola bacchus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-56292AA8
469,,species,9946,9946,Javan Pond Heron,Ardeola speciosa,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-CC13DEBE
470,1,subspecies,9946,u9946,Eastern Javan Pond Heron,Ardeola speciosa speciosa,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-EED28AEC
471,,species,977,977,Cattle Egret,Bubulcus ibis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-6CCDAC53
472,1,subspecies,977,u977,Eastern Cattle Egret,Bubulcus ibis coromandus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-0653A8AD
473,,species,908,908,Grey Heron,Ardea cinerea,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-6AC87967
474,1,subspecies,908,u908,Eastern Grey Heron,Ardea cinerea jouyi,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-6FC4977A
475,1,species,189,u189,White-necked Heron,Ardea pacifica,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Endemic,Least Concern,,avibase-69F7C030
476,,species,184,184,Great-billed Heron,Ardea sumatrana,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-9B073071
477,1,subspecies,184,u184,Australasian Great-billed Heron,Ardea sumatrana mathewsae,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-B351E762
478,,species,8039,8039,Purple Heron,Ardea purpurea,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-8D6CB009
479,1,subspecies,8039,u8039,Purple Heron (ssp),Ardea purpurea ssp,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,
480,,species,187,187,Great Egret,Ardea alba,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-49D9148A
481,1,subspecies,187,u187,Eastern Great Egret,Ardea alba modesta,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-8D5A727A
482,1,species,9711,u9711,Intermediate Egret,Ardea intermedia,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-40B5D4A6
483,,species,186,u186,Plumed Egret,Ardea plumifera,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,
484,1,species,190,u190,Pied Heron,Egretta picata,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-2D0ED462
485,,species,188,188,White-faced Heron,Egretta novaehollandiae,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-21044CEC
486,1,subspecies,188,u188a,Australian White-faced Heron,Egretta novaehollandiae novaehollandiae,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,
487,1,subspecies,188,u188b,Kimberley White-faced Heron,Egretta novaehollandiae parryi,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,
488,,species,185,185,Little Egret,Egretta garzetta,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-A6E9EDE5
489,1,subspecies,185,u185a,Chinese Little Egret,Egretta garzetta garzetta,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-4713982B
490,1,subspecies,185,u185b,Australasian Little Egret,Egretta garzetta immaculata,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-3CBA55B1
491,,species,8075,8075,Western Reef Egret,Egretta gularis,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-DF32B1F9
492,1,subspecies,8075,u8075,Arabian Western Reef Egret,Egretta gularis schistacea,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Vagrant,,,avibase-6D833566
493,,species,191,191,Eastern Reef Egret,Egretta sacra,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,,,avibase-C79F1BF8
494,1,subspecies,191,u191,Common Eastern Reef Egret,Egretta sacra sacra,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,Australian,Least Concern,,avibase-FC1DE1C4
495,1,species,106,u106,Australian Pelican,Pelecanus conspicillatus,Pelican,Pelecanidae,Pelecaniformes,Endemic (breeding only),Least Concern,,avibase-507E4975
496,,species,95,95,Lesser Frigatebird,Fregata ariel,Frigatebirds,Fregatidae,Pelecaniformes,Australian,,,avibase-09ED7E92
497,1,subspecies,95,u95,Indo-Pacific Lesser Frigatebird,Fregata ariel ariel,Frigatebirds,Fregatidae,Pelecaniformes,Australian,Least Concern,,avibase-906493A7
498,,species,94,94,Great Frigatebird,Fregata minor,Frigatebirds,Fregatidae,Pelecaniformes,Australian,,,avibase-788EBCAB
499,1,subspecies,94,u94,Indo-Pacific Great Frigatebird,Fregata minor minor,Frigatebirds,Fregatidae,Pelecaniformes,Australian,Least Concern,,
500,1,species,909,u909,Christmas Island Frigatebird,Fregata andrewsi,Frigatebirds,Fregatidae,Pelecaniformes,Endemic (breeding only),Vulnerable,,avibase-67200E8E
501,1,species,854,u854,Abbott's Booby,Papasula abbotti,Gannets and Boobies,Sulidae,Pelecaniformes,Endemic (breeding only),Vulnerable,,avibase-92A2CCFC
502,1,species,825,u825,Cape Gannet,Morus capensis,Gannets and Boobies,Sulidae,Pelecaniformes,Vagrant,,,avibase-775E93D7
503,1,species,104,u104,Australasian Gannet,Morus serrator,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,Least Concern,,avibase-13610344
504,,species,103,103,Red-footed Booby,Sula sula,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,,,avibase-0A4609D1
505,1,subspecies,103,u103,Indo-Pacific Red-footed Booby,Sula sula rubripes,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,Least Concern,,avibase-A1867F56
506,,species,102,102,Brown Booby,Sula leucogaster,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,,,avibase-5EC21767
507,1,subspecies,102,u102,Indo-Pacific Brown Booby,Sula leucogaster plotus,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,Least Concern,,avibase-23D27EA0
508,,species,105,105,Masked Booby,Sula dactylatra,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,,,avibase-22D1B4A2
509,1,subspecies,105,u105a,Indo-Pacific Masked Booby,Sula dactylatra personata,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,Least Concern,,avibase-12F93D8D
510,1,subspecies,105,u105b,Tasman Booby,Sula dactylatra tasmani,Gannets and Boobies,Sulidae,Pelecaniformes,Australian,Least Concern,,avibase-9E2AE806
511,,species,100,100,Little Pied Cormorant,Microcarbo melanoleucos,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,,,avibase-DF8F84C3
512,1,subspecies,100,u100,Australasian Little Pied Cormorant,Microcarbo melanoleucos melanoleucos,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,Least Concern,,avibase-031D434F
513,,species,970,970,Imperial Shag,Leucocarbo atriceps,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,,,avibase-53B98C99
514,1,subspecies,970,u970a,Heard Island Imperial Shag,Leucocarbo atriceps nivalis,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Endemic,Least Concern,,avibase-4D7EF67A
515,1,subspecies,970,u970b,Macquarie Island Imperial Shag,Leucocarbo atriceps purpurascens,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Endemic,Least Concern,,avibase-730616C3
516,,species,96,96,Great Cormorant,Phalacrocorax carbo,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,,,avibase-ACD40E8C
517,1,subspecies,96,u96,Australasian Great Cormorant,Phalacrocorax carbo novaehollandiae,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Endemic,Least Concern,,
518,1,species,97,u97,Little Black Cormorant,Phalacrocorax sulcirostris,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,Least Concern,,avibase-DA51102A
519,1,species,98,u98,Black-faced Cormorant,Phalacrocorax fuscescens,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Endemic,Least Concern,,avibase-100C8781
520,,species,99,99,Great Pied Cormorant,Phalacrocorax varius,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Australian,,,avibase-E5FAABD0
521,1,subspecies,99,u99,Australian Great Pied Cormorant,Phalacrocorax varius hypoleucos,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes,Endemic,Least Concern,,avibase-D6E31B2C
522,,species,101,101,Australasian Darter,Anhinga novaehollandiae,Darter,Anhingidae,Pelecaniformes,Australian,,,avibase-C57D9973
523,1,subspecies,101,u101,Australian Darter,Anhinga novaehollandiae novaehollandiae,Darter,Anhingidae,Pelecaniformes,Endemic,Least Concern,,avibase-2BB9E1EC
524,1,species,174,u174,Bush Stone-curlew,Burhinus grallarius,Stone-curlews,Burhinidae,Charadriiformes,Australian,Least Concern,,avibase-C61A821B
525,1,species,175,u175,Beach Stone-curlew,Esacus magnirostris,Stone-curlews,Burhinidae,Charadriiformes,Australian,Least Concern,,avibase-0CD2083B
526,,species,767,767,Black-faced Sheathbill,Chionis minor,Sheathbills,Chionididae,Charadriiformes,Australian,,,avibase-7C15B681
527,1,subspecies,767,u767,Heard Island Black-faced Sheathbill,Chionis minor nasicornis,Sheathbills,Chionididae,Charadriiformes,Endemic,Vulnerable,,avibase-E143BD4A
528,1,species,744,u744,South Island Pied Oystercatcher,Haematopus finschi,Oystercatchers,Haematopodidae,Charadriiformes,Vagrant,,,avibase-3FCE29E8
529,1,species,130,u130,Australian Pied Oystercatcher,Haematopus longirostris,Oystercatchers,Haematopodidae,Charadriiformes,Endemic,Least Concern,,avibase-D828B84D
530,,species,131,131,Sooty Oystercatcher,Haematopus fuliginosus,Oystercatchers,Haematopodidae,Charadriiformes,Endemic,,,avibase-D89E4A2C
531,1,subspecies,131,u131a,Southern Sooty Oystercatcher,Haematopus fuliginosus fuliginosus,Oystercatchers,Haematopodidae,Charadriiformes,Endemic,Least Concern,,avibase-997D58E5
532,1,subspecies,131,u131b,Northern Sooty Oystercatcher,Haematopus fuliginosus opthalmicus,Oystercatchers,Haematopodidae,Charadriiformes,Endemic,Least Concern,,avibase-998BBC1E
533,1,species,147,u147,Banded Stilt,Cladorhynchus leucocephalus,Stilts and Avocets,Recurvirostridae,Charadriiformes,Endemic,Least Concern,,avibase-9A90A865
534,1,species,148,u148,Red-necked Avocet,Recurvirostra novaehollandiae,Stilts and Avocets,Recurvirostridae,Charadriiformes,Endemic,Least Concern,,avibase-DDFB54DB
535,1,species,146,u146,Pied Stilt,Himantopus leucocephalus,Stilts and Avocets,Recurvirostridae,Charadriiformes,Australian,,,avibase-C2830C86
536,,species,136,136,Grey Plover,Pluvialis squatarola,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,,,avibase-27903EF7
537,1,subspecies,136,u136a,Eastern Grey Plover,Pluvialis squatarola squatarola,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,Vulnerable,,avibase-76D215A2
538,1,subspecies,136,u136b,Wrangel Island Grey Plover,Pluvialis squatarola tomkovichi,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,Vulnerable,,
539,1,species,137,u137,Pacific Golden Plover,Pluvialis fulva,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,Least Concern,,avibase-07C11CF3
540,1,species,844,u844,American Golden Plover,Pluvialis dominica,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,avibase-2143A852
541,,species,895,895,Common Ringed Plover,Charadrius hiaticula,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,avibase-EDA37B7C
542,1,subspecies,895,u895,Eastern Ringed Plover,Charadrius hiaticula tundrae,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,Least Concern,,avibase-E8366CB4
543,1,species,8066,u8066,Semipalmated Plover,Charadrius semipalmatus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,avibase-95E28A57
544,,species,851,851,Little Ringed Plover,Charadrius dubius,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,avibase-35EC3BBF
545,1,subspecies,851,u851,Eurasian Little Ringed Plover,Charadrius dubius dubius,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,Least Concern,,avibase-86789E70
546,,species,770,770,Kentish Plover,Charadrius alexandrinus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,avibase-0A787822
547,1,subspecies,770,u770,Kentish Plover (ssp),Charadrius alexandrinus ssp,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Vagrant,,,
548,1,species,143,u143,Red-capped Plover,Charadrius ruficapillus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Australian,Least Concern,,avibase-1EDCA978
549,,species,140,140,Double-banded Plover,Charadrius bicinctus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,,,avibase-79420720
550,1,subspecies,140,u140,New Zealand Double-banded Plover,Charadrius bicinctus bicinctus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,Non-breeding,Least Concern,,avibase-27262020
