TaxonSort,UltrataxonID,taxonRank,SpNo,taxonID,vernacularName,scientificName,FamilyCommonName,family,order,Population,Australian IUCN RedListStatus_2020,Supplementary,ABD_Avibase ID
41,1,subspecies,204,u204,Torresian Wandering Whistling-Duck,Dendrocygna arcuata australis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-DEB82A41
42,1,species,216,u216,Blue-billed Duck,Oxyura australis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-672BA2DA
43,,species,217,217,Musk Duck,Biziura lobata,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,,,avibase-623B61C4
44,1,subspecies,217,u217a,Western Musk Duck,Biziura lobata lobata,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,
45,1,subspecies,217,u217b,Eastern Musk Duck,Biziura lobata menziesi,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,
46,1,species,213,u213,Pink-eared Duck,Malacorhynchus membranaceus,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-FE03DD1E
47,1,species,214,u214,Freckled Duck,Stictonetta naevosa,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-E93960AB
48,,species,198,198,Cape Barren Goose,Cereopsis novaehollandiae,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,,,avibase-CA875F31
49,1,subspecies,198,u198a,Recherche Cape Barren Goose,Cereopsis novaehollandiae grisea,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Vulnerable,,avibase-B366833F
50,1,subspecies,198,u198b,Eastern Cape Barren Goose,Cereopsis novaehollandiae novaehollandiae,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-4F1E1266
51,1,species,203,u203,Black Swan,Cygnus atratus,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-46B54DB1
52,1,species,906,u906,Mute Swan,Cygnus olor,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant (from NZ introduction),,,avibase-694C127A
53,,species,799,799,Canada Goose,Branta canadensis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant (from NZ introduction),,,avibase-B59E1863
54,1,subspecies,799,u799,Eastern Canada Goose,Branta canadensis moffitti,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant (from NZ introduction),,,avibase-E0148AC5
55,,species,206,206,Radjah Shelduck,Radjah radjah,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,,,avibase-13B373F3
56,1,subspecies,206,u206,Torresian Radjah Shelduck,Radjah radjah rufitergum,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-DA702D6F
57,1,species,207,u207,Australian Shelduck,Tadorna tadornoides,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-FF1439E4
58,1,species,798,u798,Paradise Shelduck,Tadorna variegata,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,avibase-AB08E5C4
59,,species,200,200,Cotton Pygmy-goose,Nettapus coromandelianus,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,,,avibase-90AAE188
60,1,subspecies,200,u200,Australian Cotton Pygmy-goose,Nettapus coromandelianus albipennis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-BC7D1DE1
61,1,species,201,u201,Green Pygmy-goose,Nettapus pulchellus,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-D040868F
62,1,species,202,u202,Australian Wood Duck,Chenonetta jubata,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-149A8E7E
63,1,species,215,u215,Hardhead,Aythya australis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-ABEF107C
64,1,species,5127,u5127,Tufted Duck,Aythya fuligula,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,
65,1,species,209,u209,Garganey,Spatula querquedula,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,Least Concern,,avibase-F577BA0F
66,1,species,212,u212,Australasian Shoveler,Spatula rhynchotis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,,,avibase-A21E7645
67,1,species,905,u905,Northern Shoveler,Spatula clypeata,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,avibase-ED4CE8E7
68,1,species,8069,u8069,Eurasian Wigeon,Mareca penelope,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,avibase-15EE0D36
69,1,species,208,u208,Pacific Black Duck,Anas superciliosa,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-07479AD9
70,,species,948,948,Mallard,Anas platyrhynchos,"Ducks, Geese and Swans",Anatidae,Anseriformes,Introduced,,,avibase-85625D75
71,1,subspecies,948,u948,Common Mallard,Anas platyrhynchos platyrhynchos,"Ducks, Geese and Swans",Anatidae,Anseriformes,Introduced,,,
72,1,species,211,u211,Grey Teal,Anas gracilis,"Ducks, Geese and Swans",Anatidae,Anseriformes,Australian,Least Concern,,avibase-86CDB301
73,1,species,210,u210,Chestnut Teal,Anas castanea,"Ducks, Geese and Swans",Anatidae,Anseriformes,Endemic,Least Concern,,avibase-DBF66606
74,1,species,800,u800,Northern Pintail,Anas acuta,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,avibase-56CCA717
75,1,species,9975,u9975,Common Teal,Anas crecca,"Ducks, Geese and Swans",Anatidae,Anseriformes,Vagrant,,,avibase-115F04DD
76,,species,843,843,Little Grebe,Tachybaptus ruficollis,Grebes,Podicipedidae,Podicepiformes,Vagrant,,,avibase-D8232DB8
77,1,subspecies,843,u843,Tricolored Little Grebe,Tachybaptus ruficollis tricolor,Grebes,Podicipedidae,Podicepiformes,Vagrant,,,
78,,species,61,61,Australasian Grebe,Tachybaptus novaehollandiae,Grebes,Podicipedidae,Podicepiformes,Australian,,,avibase-1ABF840F
79,1,subspecies,61,u61,Australian Grebe,Tachybaptus novaehollandiae novaehollandiae,Grebes,Podicipedidae,Podicepiformes,Australian,Least Concern,,avibase-487FDCB8
80,1,species,62,u62,Hoary-headed Grebe,Poliocephalus poliocephalus,Grebes,Podicipedidae,Podicepiformes,Endemic,Least Concern,,avibase-64866E2A
81,,species,60,60,Great Crested Grebe,Podiceps cristatus,Grebes,Podicipedidae,Podicepiformes,Australian,,,avibase-8F269702
82,1,subspecies,60,u60,Australian Great Crested Grebe,Podiceps cristatus australis,Grebes,Podicipedidae,Podicepiformes,Endemic,Least Concern,,avibase-448C52FB
83,1,species,777,u777,Greater Flamingo,Phoenicopterus roseus,Flamingoes,Phoenicopteridae,Podicepiformes,Vagrant,,,avibase-0F9B5174
84,,species,9966,9966,Red-billed Tropicbird,Phaethon aethereus,Tropicbirds,Phaethontidae,Phaetontiformes,Vagrant,,,avibase-7EE005BD
85,1,subspecies,9966,u9966a,Indian Ocean Red-billed Tropicbird,Phaethon aethereus indicus,Tropicbirds,Phaethontidae,Phaetontiformes,Vagrant,,,
86,1,subspecies,9966,u9966b,Northern Red-billed Tropicbird,Phaethon aethereus mesonauta,Tropicbirds,Phaethontidae,Phaetontiformes,Vagrant,,,
87,,species,107,107,Red-tailed Tropicbird,Phaethon rubricauda,Tropicbirds,Phaethontidae,Phaetontiformes,Australian,,,avibase-C412CD62
88,1,subspecies,107,u107a,Pacific Red-tailed Tropicbird,Phaethon rubricauda roseotinctus,Tropicbirds,Phaethontidae,Phaetontiformes,Australian,Least Concern,,avibase-AE9F9FC2
89,1,subspecies,107,u107b,Indian Ocean Red-tailed Tropicbird,Phaethon rubricauda westralis,Tropicbirds,Phaethontidae,Phaetontiformes,Australian,Vulnerable,,avibase-6EAFE836
90,,species,108,108,White-tailed Tropicbird,Phaethon lepturus,Tropicbirds,Phaethontidae,Phaetontiformes,Australian,,,avibase-1D07B501
91,1,subspecies,108,u108a,Pacific White-tailed Tropicbird,Phaethon lepturus dorotheae,Tropicbirds,Phaethontidae,Phaetontiformes,Non-breeding,Least Concern,,avibase-0CC0BF03
92,1,subspecies,108,u108b,Christmas Island White-tailed Tropicbird,Phaethon lepturus fulvus,Tropicbirds,Phaethontidae,Phaetontiformes,Endemic (breeding only),Vulnerable,,avibase-BEF11E93
93,1,subspecies,108,u108c,Indian Ocean White-tailed Tropicbird,Phaethon lepturus lepturus,Tropicbirds,Phaethontidae,Phaetontiformes,Australian,Critically Endangered,,avibase-FDC76E74
