TEMPORARY TAXONOMIC SORT ORDER,MAJOR GROUP,FAMILYNAME,COMMON NAME,NSXCODE,GENUS,SP,SUBSPECIES,SCIENTIFIC NAME,INTRODUCED,NPW ACT STATUS,NPW ACT STATUS COMMENT,EPBC ACT STATUS,EPBC ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA,SPECIES with AUTHOR
1,Pteridophyta,PSILOTACEAE,Skeleton Fork-fern,U05218,Psilotum,nudum,     ,Psilotum nudum,,E,Currently Extinct in the wild in SA,,,,,1992-11-13 00:00:00,,Psilotum nudum (L.)P.Beauv.
2,Pteridophyta,LYCOPODIACEAE,Clubmoss Family,Y15092,Lycopodiaceae,sp.,     ,Lycopodiaceae sp.,,,,,,,,1990-10-02 00:00:00,,Lycopodiaceae sp.
3,Pteridophyta,LYCOPODIACEAE,Slender Clubmoss,Y00020,Lycopodiella,lateralis,     ,Lycopodiella lateralis,,R,,,,,,1990-10-02 00:00:00,1992-11-13 00:00:00,Lycopodiella lateralis (R.Br.)B.Ollg.
4,Pteridophyta,LYCOPODIACEAE,Bog Clubmoss,K00021,Lycopodiella,serpentina,     ,Lycopodiella serpentina,,E,,,,,,1990-10-02 00:00:00,1992-11-13 00:00:00,Lycopodiella serpentina (Kunze)B.Ollg.
5,Pteridophyta,LYCOPODIACEAE,Clubmoss,W10607,Lycopodiella,sp.,     ,Lycopodiella sp.,,,,,,,,1990-10-02 00:00:00,1993-11-30 00:00:00,Lycopodiella sp.
6,Pteridophyta,LYCOPODIACEAE,Bushy Clubmoss,W00019,Lycopodium,deuterodensum,     ,Lycopodium deuterodensum,,E,,,,,,1990-10-02 00:00:00,,Lycopodium deuterodensum Herter
7,Pteridophyta,LYCOPODIACEAE,Pigmy Clubmoss,M00022,Phylloglossum,drummondii,     ,Phylloglossum drummondii,,R,,,,,,1990-10-02 00:00:00,,Phylloglossum drummondii Kunze
8,Pteridophyta,ISOETACEAE,,U07638,Isoetes,attenuata,     ,Isoetes attenuata,,,,,,,,2006-06-29 00:00:00,,Isoetes attenuata C.R.Marsden & Chinnock
9,Pteridophyta,ISOETACEAE,Plain Quillwort,U20274,Isoetes,drummondii,ssp.     ,Isoetes drummondii ssp.,,,,,,,,1993-11-11 00:00:00,1993-11-15 00:00:00,Isoetes drummondii
10,Pteridophyta,ISOETACEAE,Quillwort,U05294,Isoetes,drummondii,ssp. anomala    ,Isoetes drummondii ssp. anomala,,,,,,,,1993-03-22 00:00:00,,Isoetes drummondii A.Braun ssp. anomala C.R.Marsden & Chinnock
11,Pteridophyta,ISOETACEAE,Plain Quillwort,S05293,Isoetes,drummondii,ssp. drummondii    ,Isoetes drummondii ssp. drummondii,,R,,,,,,1993-03-22 00:00:00,,Isoetes drummondii A.Braun ssp. drummondii
12,Pteridophyta,ISOETACEAE,Mueller's Quillwort,Q00024,Isoetes,muelleri,     ,Isoetes muelleri,,,,,,,,1990-10-02 00:00:00,,Isoetes muelleri A.Braun
13,Pteridophyta,ISOETACEAE,Quillwort,Z10523,Isoetes,sp.,     ,Isoetes sp.,,,,,,,,1990-10-02 00:00:00,,Isoetes sp.
14,Pteridophyta,SELAGINELLACEAE,Tiny Selaginella,S00025,Selaginella,gracillima,     ,Selaginella gracillima,,,,,,,,1990-10-02 00:00:00,,Selaginella gracillima (Kunze)Alston
15,Pteridophyta,SELAGINELLACEAE,Garden Selaginella,U00026,Selaginella,kraussiana,     ,Selaginella kraussiana,*,,,,,,,1990-10-02 00:00:00,,Selaginella kraussiana (Kunze)A.Braun
16,Pteridophyta,SELAGINELLACEAE,Selaginella,U10906,Selaginella,sp.,     ,Selaginella sp.,,,,,,,,1990-10-02 00:00:00,,Selaginella sp.
17,Pteridophyta,GLEICHENIACEAE,Coral Fern,Z00031,Gleichenia,microphylla,     ,Gleichenia microphylla,,R,,,,,,1990-10-02 00:00:00,,Gleichenia microphylla R.Br.
18,Pteridophyta,GLEICHENIACEAE,Coral Fern,Y10440,Gleichenia,sp.,     ,Gleichenia sp.,,,,,,,,1990-10-02 00:00:00,,Gleichenia sp.
19,Pteridophyta,OPHIOGLOSSACEAE,Austral Moonwort,W00027,Botrychium,australe,     ,Botrychium australe,,E,[PJL: extinct],,,,,1990-10-02 00:00:00,,Botrychium australe R.Br.
20,Pteridophyta,OPHIOGLOSSACEAE,Adder's-tongue Family,S15109,Ophioglossaceae,sp.,     ,Ophioglossaceae sp.,,,,,,,,1990-10-02 00:00:00,,Ophioglossaceae sp.
21,Pteridophyta,OPHIOGLOSSACEAE,Austral Adder's-tongue,A00028,Ophioglossum,lusitanicum,     ,Ophioglossum lusitanicum,,,,,,,,1990-10-02 00:00:00,,Ophioglossum lusitanicum L.
22,Pteridophyta,OPHIOGLOSSACEAE,Large Adder's-tongue,C00029,Ophioglossum,polyphyllum,     ,Ophioglossum polyphyllum,,R,,,,,,1990-10-02 00:00:00,,Ophioglossum polyphyllum A.Braun
23,Pteridophyta,OPHIOGLOSSACEAE,Adder's-tongue,C10713,Ophioglossum,sp.,     ,Ophioglossum sp.,,,,,,,,1990-10-02 00:00:00,,Ophioglossum sp.
24,Pteridophyta,OSMUNDACEAE,King Fern,M00030,Todea,barbara,     ,Todea barbara,,E,,,,,,1990-10-02 00:00:00,,Todea barbara (L.)T.Moore
25,Pteridophyta,SCHIZAEACEAE,Forked Comb-fern,Q00032,Schizaea,bifida,     ,Schizaea bifida,,V,,,,,,1990-10-02 00:00:00,,Schizaea bifida Willd.
26,Pteridophyta,SCHIZAEACEAE,Narrow Comb-fern,S00033,Schizaea,fistulosa,     ,Schizaea fistulosa,,V,,,,,,1990-10-02 00:00:00,,Schizaea fistulosa Labill.
27,Pteridophyta,SCHIZAEACEAE,Comb-fern,M10890,Schizaea,sp.,     ,Schizaea sp.,,,,,,,,1990-10-02 00:00:00,,Schizaea sp.
28,Pteridophyta,CYATHEACEAE,,S05825,Cyathea,cooperi,     ,Cyathea cooperi,*,,,,,,,2005-02-15 00:00:00,,Cyathea cooperi (Hook. ex F.Muell)Domin
29,Pteridophyta,DICKSONIACEAE,Soft Tree-fern,U00034,Dicksonia,antarctica,     ,Dicksonia antarctica,,E,,,,,,1990-10-02 00:00:00,,Dicksonia antarctica Labill.
30,Pteridophyta,DENNSTAEDTIACEAE,Lacy Ground-fern,E04242,Dennstaedtia,davallioides,     ,Dennstaedtia davallioides,,E,,,,,,1990-10-02 00:00:00,,Dennstaedtia davallioides (R.Br.)T.Moore
31,Pteridophyta,DENNSTAEDTIACEAE,,U15046,Dennstaedtiaceae,sp.,     ,Dennstaedtiaceae sp.,,,,,,,,1990-10-02 00:00:00,,Dennstaedtiaceae sp.
32,Pteridophyta,DENNSTAEDTIACEAE,Bat's-wing Fern,M00058,Histiopteris,incisa,     ,Histiopteris incisa,,E,,,,,,1990-10-02 00:00:00,,Histiopteris incisa (Thunb.)J.Sm.
33,Pteridophyta,DENNSTAEDTIACEAE,Downy Ground-fern,U03626,Hypolepis,dicksonioides,     ,Hypolepis dicksonioides,*,,,VU*,25 Nov 03 listed as established alien for SA in Census but regarded by some as indigenous,,,1990-10-02 00:00:00,,Hypolepis dicksonioides (Endl.)Hook.
34,Pteridophyta,DENNSTAEDTIACEAE,Ruddy Ground-fern,A00060,Hypolepis,rugosula,     ,Hypolepis rugosula,,R,,,,,,1990-10-02 00:00:00,,Hypolepis rugosula (Labill.)J.Sm.
35,Pteridophyta,DENNSTAEDTIACEAE,Ground-fern,G10511,Hypolepis,sp.,     ,Hypolepis sp.,,,,,,,,1990-10-02 00:00:00,,Hypolepis sp.
36,Pteridophyta,DENNSTAEDTIACEAE,,U05850,Pteridium,aquilinum,     ,Pteridium aquilinum,*,,,,,,,2005-02-21 00:00:00,,Pteridium aquilinum (L.)Kuhn
37,Pteridophyta,DENNSTAEDTIACEAE,Bracken Fern,C00061,Pteridium,esculentum,ssp. esculentum    ,Pteridium esculentum ssp. esculentum,,,,,,,,1990-10-02 00:00:00,2013-02-15 14:50:08,Pteridium esculentum (G.Forst.)Cockayne ssp. esculentum
38,Pteridophyta,LINDSAEACEAE,Screw Fern,E00062,Lindsaea,linearis,     ,Lindsaea linearis,,,,,,,,1990-10-02 00:00:00,,Lindsaea linearis Sw.
39,Pteridophyta,LINDSAEACEAE,,W10587,Lindsaea,sp.,     ,Lindsaea sp.,,,,,,,,1990-10-02 00:00:00,,Lindsaea sp.
40,Pteridophyta,ADIANTACEAE,Maiden-hair Fern Family,W15003,Adiantaceae,sp.,     ,Adiantaceae sp.,,,,,,,,1990-10-02 00:00:00,,Adiantaceae sp.
41,Pteridophyta,ADIANTACEAE,Common Maiden-hair,W00035,Adiantum,aethiopicum,     ,Adiantum aethiopicum,,,,,,,,1990-10-02 00:00:00,,Adiantum aethiopicum L.
42,Pteridophyta,ADIANTACEAE,Dainty Maiden-hair,A00036,Adiantum,capillus-veneris,     ,Adiantum capillus-veneris,,V,,,,,,1990-10-02 00:00:00,,Adiantum capillus-veneris L.
43,Pteridophyta,ADIANTACEAE,Maiden-hair,U10014,Adiantum,sp.,     ,Adiantum sp.,,,,,,,,1990-10-02 00:00:00,,Adiantum sp.
44,Pteridophyta,ADIANTACEAE,Annual Fern,C00037,Anogramma,leptophylla,     ,Anogramma leptophylla,,R,,,,,,1990-10-02 00:00:00,,Anogramma leptophylla (L.)Link
45,Pteridophyta,ADIANTACEAE,Annual Rock-fern,K04033,Cheilanthes,austrotenuifolia,     ,Cheilanthes austrotenuifolia,,,,,,,,1990-10-02 00:00:00,,Cheilanthes austrotenuifolia H.M.Quirk & T.C.Chambers
46,Pteridophyta,ADIANTACEAE,Bristly Cloak-fern,E00038,Cheilanthes,distans,     ,Cheilanthes distans,,,,,,,,1990-10-02 00:00:00,,Cheilanthes distans (R.Br.)Mett.
47,Pteridophyta,ADIANTACEAE,Woolly Cloak-fern,Q00040,Cheilanthes,lasiophylla,     ,Cheilanthes lasiophylla,,,,,,,,1990-10-02 00:00:00,,Cheilanthes lasiophylla Pic.Serm.
48,Pteridophyta,ADIANTACEAE,Narrow Rock-fern,Y20040,Cheilanthes,sieberi,ssp.     ,Cheilanthes sieberi ssp.,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi
49,Pteridophyta,ADIANTACEAE,,Y04032,Cheilanthes,sieberi,ssp. pseudovellea    ,Cheilanthes sieberi ssp. pseudovellea,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi Kunze ssp. pseudovellea H.M.Quirk & T.C.Chambers
50,Pteridophyta,ADIANTACEAE,Narrow Rock-fern,S00041,Cheilanthes,sieberi,ssp. sieberi    ,Cheilanthes sieberi ssp. sieberi,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sieberi Kunze ssp. sieberi
51,Pteridophyta,ADIANTACEAE,Rock-fern,M10214,Cheilanthes,sp.,     ,Cheilanthes sp.,,,,,,,,1990-10-02 00:00:00,,Cheilanthes sp.
52,Pteridophyta,ADIANTACEAE,Scaly Rock-fern,A00044,Paraceterach,reynoldsii,     ,Paraceterach reynoldsii,,,,,,,,1990-10-02 00:00:00,,Paraceterach reynoldsii (F.Muell.)Tindale
53,Pteridophyta,ADIANTACEAE,,K32125,Pellaea,falcata,     ,Pellaea falcata,,,,,,,,2009-08-12 00:00:00,,Pellaea falcata (R.Br.)Fee
54,Pteridophyta,PTERIDACEAE,Tender Brake,G00063,Pteris,tremula,     ,Pteris tremula,,R,not evaluated,,,,,1990-10-02 00:00:00,,Pteris tremula R.Br.
55,Pteridophyta,BLECHNACEAE,Water-fern Family,E15022,Blechnaceae,sp.,     ,Blechnaceae sp.,,,,,,,,1990-10-02 00:00:00,,Blechnaceae sp.
56,Pteridophyta,BLECHNACEAE,Lance Water-fern,C00053,Blechnum,chambersii,     ,Blechnum chambersii,,E,,,,,,1990-10-02 00:00:00,,Blechnum chambersii Tindale
57,Pteridophyta,BLECHNACEAE,Soft Water-fern,E00054,Blechnum,minus,     ,Blechnum minus,,,,,,,,1990-10-02 00:00:00,,Blechnum minus (R.Br.)Ettingsh.
58,Pteridophyta,BLECHNACEAE,Water-fern,M15318,Blechnum,minus/wattsii,     ,Blechnum minus/wattsii,,,,,,,,1993-09-22 00:00:00,,Blechnum minus/wattsii
59,Pteridophyta,BLECHNACEAE,Fishbone Water-fern,G00055,Blechnum,nudum,     ,Blechnum nudum,,R,,,,,,1990-10-02 00:00:00,,Blechnum nudum (Labill.)Mett. ex Luerss.
60,Pteridophyta,BLECHNACEAE,,G32027,Blechnum,parrisiae,     ,Blechnum parrisiae,,,,,,,,2008-06-10 00:00:00,2018-01-16 15:41:38,Blechnum parrisiae Christenh.
61,Pteridophyta,BLECHNACEAE,Small Rasp-fern,K00057,Blechnum,rupestre,     ,Blechnum rupestre,,E,,,,,,1990-10-02 00:00:00,2018-01-16 15:47:12,Blechnum rupestre (Kaulf. ex Link)Christenh.
62,Pteridophyta,BLECHNACEAE,Water-fern,E10130,Blechnum,sp.,     ,Blechnum sp.,,,,,,,,1990-10-02 00:00:00,,Blechnum sp.
63,Pteridophyta,BLECHNACEAE,Hard Water-fern,Y00056,Blechnum,wattsii,     ,Blechnum wattsii,,R,not evaluated,,,,,1990-10-02 00:00:00,,Blechnum wattsii Tindale
64,Pteridophyta,DRYOPTERIDACEAE,Holly Fern,C00045,Cyrtomium,falcatum,     ,Cyrtomium falcatum,*,,,,,,,1990-10-02 00:00:00,,Cyrtomium falcatum (L.f.)C.Presl
65,Pteridophyta,DRYOPTERIDACEAE,,Z15051,Dryopteridaceae,sp.,     ,Dryopteridaceae sp.,,,,,,,,1990-10-02 00:00:00,,Dryopteridaceae sp.
66,Pteridophyta,DRYOPTERIDACEAE,Shiny Shield-fern,E00046,Lastreopsis,acuminata,     ,Lastreopsis acuminata,,E,,,,,,1990-10-02 00:00:00,,Lastreopsis acuminata (Houlston)C.V.Morton
67,Pteridophyta,DRYOPTERIDACEAE,Mother Shield-fern,G00047,Polystichum,proliferum,     ,Polystichum proliferum,,E,,,,,,1990-10-02 00:00:00,,Polystichum proliferum (R.Br.)C.Presl
68,Pteridophyta,ASPLENIACEAE,,Y15016,Aspleniaceae,sp.,     ,Aspleniaceae sp.,,,,,,,,1990-10-02 00:00:00,,Aspleniaceae sp.
69,Pteridophyta,ASPLENIACEAE,Necklace Fern,K00049,Asplenium,flabellifolium,     ,Asplenium flabellifolium,,,,,,,,1990-10-02 00:00:00,,Asplenium flabellifolium Cav.
70,Pteridophyta,ASPLENIACEAE,Mother Spleenwort,Y00048,Asplenium,gracillimum,     ,Asplenium gracillimum,,E*,"PJL 17 Jun 2022: Added * qualifier flag, as listing is as Asplenium bulbiferum subsp. gracillimum",,,,,1996-07-18 00:00:00,2022-06-17 16:59:57,Asplenium gracillimum Colenso
71,Pteridophyta,ASPLENIACEAE,,G10095,Asplenium,sp.,     ,Asplenium sp.,,,,,,,,1990-10-02 00:00:00,,Asplenium sp.
72,Pteridophyta,ASPLENIACEAE,Blanket Fern,U32842,Asplenium,subglandulosum,     ,Asplenium subglandulosum,,,,,,,,2022-06-17 00:00:00,,"Asplenium subglandulosum (Hook. & Grev.)Salvo, Prada & T.E.Diaz"
73,Pteridophyta,ASPLENIACEAE,Common Spleenwort,U00050,Asplenium,trichomanes,     ,Asplenium trichomanes,,R,,,,,,1990-10-02 00:00:00,,Asplenium trichomanes L.
74,Pteridophyta,THELYPTERIDACEAE,Soft Shield-fern,Y00064,Christella,dentata,     ,Christella dentata,,R,,,,,,1990-10-02 00:00:00,,Christella dentata (Forssk.)Brownsey & Jermy
75,Pteridophyta,MARSILEACEAE,Narrow-leaf Nardoo,Y00072,Marsilea,costulifera,     ,Marsilea costulifera,,,,,,,,1990-10-02 00:00:00,1993-06-10 00:00:00,Marsilea costulifera D.L.Jones
76,Pteridophyta,MARSILEACEAE,Common Nardoo,G32051,Marsilea,cryptocarpa,     ,Marsilea cryptocarpa,,,,,,,,2008-10-17 00:00:00,,Marsilea cryptocarpa Albr. & Chinnock
77,Pteridophyta,MARSILEACEAE,Common Nardoo,E32050,Marsilea,drummondii,     ,Marsilea drummondii,,,,,,,,2008-10-17 00:00:00,,Marsilea drummondii A.Braun
78,Pteridophyta,MARSILEACEAE,Swayback Nardoo,S00069,Marsilea,exarata,     ,Marsilea exarata,,,,,,,,1990-10-02 00:00:00,,Marsilea exarata A.Braun
79,Pteridophyta,MARSILEACEAE,Short-fruit Nardoo,E00070,Marsilea,hirsuta,     ,Marsilea hirsuta,,,,,,,,1990-10-02 00:00:00,,Marsilea hirsuta R.Br.
80,Pteridophyta,MARSILEACEAE,Variable Nardoo,G00071,Marsilea,mutica,     ,Marsilea mutica,,,"previous status X, now considered naturalised in SA",,,,,1990-10-02 00:00:00,,Marsilea mutica Mett.
81,Pteridophyta,MARSILEACEAE,Nardoo,S10621,Marsilea,sp.,     ,Marsilea sp.,,,,,,,,1990-10-02 00:00:00,,Marsilea sp.
82,Pteridophyta,MARSILEACEAE,Nardoo Family,Z15095,Marsileaceae,sp.,     ,Marsileaceae sp.,,,,,,,,1990-10-02 00:00:00,,Marsileaceae sp.
83,Pteridophyta,MARSILEACEAE,Austral Pillwort,M00074,Pilularia,novae-hollandiae,     ,Pilularia novae-hollandiae,,R,not evaluated,,,,,1990-10-02 00:00:00,,Pilularia novae-hollandiae A.Braun
84,Pteridophyta,AZOLLACEAE,Ferny Azolla,M00066,Azolla,pinnata,     ,Azolla pinnata,,,,,,,,1990-10-02 00:00:00,,Azolla pinnata R.Br.
85,Pteridophyta,AZOLLACEAE,Pacific Azolla,K00065,Azolla,rubra,     ,Azolla rubra,,,,,,,,1990-10-02 00:00:00,2015-01-23 14:58:22,Azolla rubra R.Br.
86,Pteridophyta,AZOLLACEAE,Azolla,K10109,Azolla,sp.,     ,Azolla sp.,,,,,,,,1990-10-02 00:00:00,,Azolla sp.
87,Pteridophyta,SALVINIACEAE,,E06002,Salvinia,molesta,     ,Salvinia molesta,*,,,,,,Declared Landscape Act - Not For Sale,2005-03-22 00:00:00,,Salvinia molesta D.S.Mitch.
88,Gymnospermae,ARAUCARIACEAE,Bunya Pine,S32585,Araucaria,bidwillii,     ,Araucaria bidwillii,*,,,,,,,2016-04-14 00:00:00,,Araucaria bidwillii Hook.
89,Gymnospermae,PINACEAE,Spanish Fir,S32593,Abies,pinsapo,     ,Abies pinsapo,*,,,,,,,2016-05-30 00:00:00,,Abies pinsapo Boiss.
90,Gymnospermae,PINACEAE,Deodar,K32441,Cedrus,deodara,     ,Cedrus deodara,*,,,,,,,2014-01-20 00:00:00,,Cedrus deodara (Roxb. ex D.Don)G.Don
91,Gymnospermae,PINACEAE,,K05849,Pinus,canariensis,     ,Pinus canariensis,*,,,,,,,2005-02-21 00:00:00,,Pinus canariensis C.Smith
92,Gymnospermae,PINACEAE,Aleppo Pine,Z03375,Pinus,halepensis,     ,Pinus halepensis,*,,,,,,Declared Landscape Act - Not For Sale,1990-10-02 00:00:00,,Pinus halepensis Mill.
93,Gymnospermae,PINACEAE,Corsican Pine,Q03376,Pinus,nigra,     ,Pinus nigra,*,,,,,,,1990-10-02 00:00:00,,Pinus nigra J.F.Arnold
94,Gymnospermae,PINACEAE,Maritime Pine,S03377,Pinus,pinaster,     ,Pinus pinaster,*,,,,,,,1990-10-02 00:00:00,,Pinus pinaster Aiton
95,Gymnospermae,PINACEAE,Stone Pine,W32171,Pinus,pinea,     ,Pinus pinea,*,,,,,,,2010-07-14 00:00:00,,Pinus pinea L.
96,Gymnospermae,PINACEAE,Ponderosa Pine,U03378,Pinus,ponderosa,     ,Pinus ponderosa,*,,,,,,,1990-10-02 00:00:00,,Pinus ponderosa Lawson & C.Lawson
97,Gymnospermae,PINACEAE,Radiata Pine,W03379,Pinus,radiata,     ,Pinus radiata,*,,,,,,,1990-10-02 00:00:00,,Pinus radiata D.Don
98,Gymnospermae,PINACEAE,Pine,A10780,Pinus,sp.,     ,Pinus sp.,*,,,,,,,1990-10-02 00:00:00,,Pinus sp.
99,Gymnospermae,PINACEAE,Douglas Fir,U32382,Pseudotsuga,menziesii,     ,Pseudotsuga menziesii,*,,,,,,,2013-04-15 00:00:00,,Pseudotsuga menziesii (Mirb.)Franco
100,Gymnospermae,TAXODIACEAE,Californian Redwood,M32442,Sequoia,sempervirens,     ,Sequoia sempervirens,*,,,,,,,2014-01-20 00:00:00,,Sequoia sempervirens (D.Don)Endl.
101,Gymnospermae,CUPRESSACEAE,Drummond's Cypress Pine,U32534,Callitris,drummondii,     ,Callitris drummondii,*,,,,,,,2015-07-02 00:00:00,,Callitris drummondii (Parl.)F.Muell.
102,Gymnospermae,CUPRESSACEAE,White Cypress-pine,K03381,Callitris,glaucophylla,     ,Callitris glaucophylla,,,,,,,,1990-10-02 00:00:00,,Callitris glaucophylla Joy Thomps. & L.A.S.Johnson
103,Gymnospermae,CUPRESSACEAE,Southern Cypress Pine,M03382,Callitris,gracilis,     ,Callitris gracilis,,,,,,,,1990-10-02 00:00:00,2005-02-21 00:00:00,Callitris gracilis R.T.Baker
104,Gymnospermae,CUPRESSACEAE,Tasmanian Cypress Pine,M32718,Callitris,oblonga,ssp. oblonga    ,Callitris oblonga ssp. oblonga,*,,,,,,,2018-11-29 00:00:00,,Callitris oblonga Rich. & A.Rich. ssp. oblonga
105,Gymnospermae,CUPRESSACEAE,Oyster Bay Pine,Z03383,Callitris,rhomboidea,     ,Callitris rhomboidea,,,,,,,,1990-10-02 00:00:00,,Callitris rhomboidea R.Br. ex Rich.
106,Gymnospermae,CUPRESSACEAE,Native Pine,K10169,Callitris,sp.,     ,Callitris sp.,,,,,,,,1990-10-02 00:00:00,,Callitris sp.
107,Gymnospermae,CUPRESSACEAE,Limestone Cypress Pine,Y03380,Callitris,sp. Limestone (M.D.Crisp 11785),     ,Callitris sp. Limestone (M.D.Crisp 11785),,,,,,,,1990-10-02 00:00:00,2018-06-28 12:59:08,Callitris sp. Limestone (M.D.Crisp 11785) M.D.Crisp & L.G.Cook
108,Gymnospermae,CUPRESSACEAE,Scrub Cypress Pine,Q03384,Callitris,verrucosa,     ,Callitris verrucosa,,,,,,,,1990-10-02 00:00:00,,Callitris verrucosa (A.Cunn. ex Endl.)F.Muell.
109,Gymnospermae,CUPRESSACEAE,,A06088,Cupressus,goveniana,     ,Cupressus goveniana,*,,,,,,,2005-07-25 00:00:00,,Cupressus goveniana Gordon
110,Gymnospermae,CUPRESSACEAE,Monterey Cypress,K05221,Cupressus,macrocarpa,     ,Cupressus macrocarpa,*,,,,,,,1992-11-13 00:00:00,,Cupressus macrocarpa Hartw. ex Gordon
111,Gymnospermae,CUPRESSACEAE,,Z32267,Cupressus,sempervirens,     ,Cupressus sempervirens,*,,,,,,,2011-12-08 00:00:00,,Cupressus sempervirens L.
112,Gymnospermae,CUPRESSACEAE,Cypress,E32474,Cupressus,sp.,     ,Cupressus sp.,*,,,,,,,2014-08-12 00:00:00,,Cupressus sp.
113,Gymnospermae,CUPRESSACEAE,Western Red Cedar,Q32760,Thuja,plicata,     ,Thuja plicata,*,,,,,,,2019-08-16 00:00:00,,Thuja plicata Donn ex D.Don
114,Angiospermae,CASUARINACEAE,Desert Oak,M02902,Allocasuarina,decaisneana,     ,Allocasuarina decaisneana,,,,,,,,1990-10-02 00:00:00,,Allocasuarina decaisneana (F.Muell.)L.A.S.Johnson
115,Angiospermae,CASUARINACEAE,Helm's Oak-bush,M02910,Allocasuarina,helmsii,     ,Allocasuarina helmsii,,,,,,,,1990-10-02 00:00:00,,Allocasuarina helmsii (Ewart & M.Gordon)L.A.S.Johnson
116,Angiospermae,CASUARINACEAE,Bull Oak,Y03568,Allocasuarina,luehmannii,     ,Allocasuarina luehmannii,,,,,,,,1990-10-02 00:00:00,,Allocasuarina luehmannii (R.T.Baker)L.A.S.Johnson
117,Angiospermae,CASUARINACEAE,Macklin's Oak-bush,E20014,Allocasuarina,mackliniana,ssp.     ,Allocasuarina mackliniana ssp.,,,,,,,,1990-10-02 00:00:00,,Allocasuarina mackliniana
118,Angiospermae,CASUARINACEAE,Macklin's Oak-bush,G03487,Allocasuarina,mackliniana,ssp. mackliniana    ,Allocasuarina mackliniana ssp. mackliniana,,,,,,,,1990-10-02 00:00:00,,Allocasuarina mackliniana L.A.S.Johnson ssp. mackliniana
119,Angiospermae,CASUARINACEAE,Macklin's Oak-bush,A05076,Allocasuarina,mackliniana,ssp. xerophila    ,Allocasuarina mackliniana ssp. xerophila,,,,,,,,1990-10-02 00:00:00,,Allocasuarina mackliniana L.A.S.Johnson ssp. xerophila L.A.S.Johnson
120,Angiospermae,CASUARINACEAE,Common Oak-bush,G20015,Allocasuarina,muelleriana,ssp.     ,Allocasuarina muelleriana ssp.,,,,,,,,1990-10-02 00:00:00,,Allocasuarina muelleriana
121,Angiospermae,CASUARINACEAE,Flinders Ranges Oak-bush,C05077,Allocasuarina,muelleriana,ssp. alticola    ,Allocasuarina muelleriana ssp. alticola,,,,,,,,1990-10-02 00:00:00,,Allocasuarina muelleriana (Miq.)L.A.S.Johnson ssp. alticola L.A.S.Johnson
122,Angiospermae,CASUARINACEAE,Common Oak-bush,W03627,Allocasuarina,muelleriana,ssp. muelleriana    ,Allocasuarina muelleriana ssp. muelleriana,,,,,,,,1990-10-02 00:00:00,,Allocasuarina muelleriana (Miq.)L.A.S.Johnson ssp. muelleriana
123,Angiospermae,CASUARINACEAE,Kangaroo Island Oak-bush,E05078,Allocasuarina,muelleriana,ssp. notocolpica    ,Allocasuarina muelleriana ssp. notocolpica,,,,,,,,1990-10-02 00:00:00,,Allocasuarina muelleriana (Miq.)L.A.S.Johnson ssp. notocolpica L.A.S.Johnson
124,Angiospermae,CASUARINACEAE,Swamp Oak-bush,A03628,Allocasuarina,paludosa,     ,Allocasuarina paludosa,,,,,,,,1990-10-02 00:00:00,,Allocasuarina paludosa (Sieber ex Spreng.)L.A.S.Johnson
125,Angiospermae,CASUARINACEAE,Dwarf Oak-bush,Q03632,Allocasuarina,pusilla,     ,Allocasuarina pusilla,,,,,,,,1990-10-02 00:00:00,,Allocasuarina pusilla (Macklin)L.A.S.Johnson
126,Angiospermae,CASUARINACEAE,Mount Compass Oak-bush,U03634,Allocasuarina,robusta,     ,Allocasuarina robusta,,E,EN B1+2ab(iii),EN,2006-11-27 00:00:00,,,1990-10-02 00:00:00,,Allocasuarina robusta (Macklin)L.A.S.Johnson
127,Angiospermae,CASUARINACEAE,Sheoak/Oak-bush,E10034,Allocasuarina,sp.,     ,Allocasuarina sp.,,,,,,,,1990-10-02 00:00:00,,Allocasuarina sp.
128,Angiospermae,CASUARINACEAE,Stalked Oak-bush,W03635,Allocasuarina,striata,     ,Allocasuarina striata,,,,,,,,1990-10-02 00:00:00,,Allocasuarina striata (Macklin)L.A.S.Johnson
129,Angiospermae,CASUARINACEAE,Drooping Sheoak,A03636,Allocasuarina,verticillata,     ,Allocasuarina verticillata,,,,,,,,1990-10-02 00:00:00,,Allocasuarina verticillata (Lam.)L.A.S.Johnson
130,Angiospermae,CASUARINACEAE,Grey Buloak,Q03472,Casuarina,glauca,     ,Casuarina glauca,*,,,,,,Declared Landscape Act - Not For Sale,1990-10-02 00:00:00,,Casuarina glauca Sieber ex Spreng.
131,Angiospermae,CASUARINACEAE,Black Oak,E00874,Casuarina,pauper,     ,Casuarina pauper,,,,,,,,1990-10-02 00:00:00,,Casuarina pauper F.Muell. ex L.A.S.Johnson
132,Angiospermae,CASUARINACEAE,Sheoak Family,G15031,Casuarinaceae,sp.,     ,Casuarinaceae sp.,,,,,,,,1990-10-02 00:00:00,,Casuarinaceae sp.
