name,scientificName,commonName,status,listUpdate,status_old
Acacia parvifoliolata,Acacia parvifoliolata,,Endangered,added,
Acacia pedleyi,Acacia pedleyi,,Endangered,status change,Vulnerable
Actephila bella,Actephila bella,,Endangered,status change,Vulnerable
Aggreflorum luehmannii,Myrtaceae,Myrtle Family (part),Vulnerable,added,
Aggreflorum pallidum,Myrtaceae,Myrtle Family (part),Near Threatened,added,
Amomum queenslandicum,Amomum queenslandicum,,Critically Endangered,status change,Vulnerable
Argophyllum curtum,Argophyllum curtum,,Near Threatened,added,
Argophyllum ferrugineum,Argophyllum ferrugineum,,Endangered,added,
Argophyllum heterodontum,Argophyllum heterodontum,,Near Threatened,added,
Argophyllum iridescens,Argophyllum iridescens,,Vulnerable,added,
Argophyllum palumense,Argophyllum palumense,,Endangered,added,
Bubbia queenslandiana subsp. queenslandiana,Bubbia queenslandiana subsp. queenslandiana,Winterwood,Endangered,status change,Near Threatened
Cacatua leadbeateri leadbeateri,Lophochroa leadbeateri leadbeateri,,Endangered,added,
Calyptochloa johnsoniana,Calyptochloa johnsoniana,,Critically Endangered,added,
Coleus fragrantissimus,Coleus fragrantissimus,,Critically Endangered,added,
Cophixalus saxatilis,Cophixalus saxatilis,Black Mountain Boulderfrog,Vulnerable,removed,
Cophixalus zweifeli,Cophixalus zweifeli,Zweifel's Frog,Vulnerable,removed,
Dioclea hexandra,Dioclea hexandra,Dioclea,Endangered,status change,Vulnerable
Eclectus polychloros macgillivrayi,Eclectus,,Vulnerable,added,
Eclectus roratus macgillivrayi,Eclectus roratus macgillivrayi,,Vulnerable,removed,
Elseya lavarackorum,Elseya (Pelocomastes) lavarackorum,Gulf Snapping Turtle,Vulnerable,added,
Elseya oneiros,Elseya oneiros,Gulf Snapping Turtle,Vulnerable,removed,
Euodia hylandii,Euodia hylandii,Dwarf Euodia,Near Threatened,status change,Vulnerable
Freycinetia marginata,Freycinetia marginata,Giant Climbing-pandan,Endangered,status change,Vulnerable
Gaudium venustum,Myrtaceae,Myrtle Family (part),Vulnerable,added,
Goodenia nocoleche,Goodenia nocoleche,Nocoleche Goodenia,Vulnerable,added,
Goodenia stirlingii,Goodenia stirlingii,,Vulnerable,status change,Near Threatened
Gossia hillii,Gossia hillii,Scaly Myrtle,Critically Endangered,added,
Gymnema stramineum,Gymnema stramineum,,Critically Endangered,status change,Vulnerable
Heliodendron xanthoxylon,Fabaceae,,Near Threatened,added,
Hibbertia advena,Dilleniaceae,,Endangered,added,
Hibbertia cymosa,Hibbertia cymosa,,Near Threatened,status change,Vulnerable
Kardomia granitica,Kardomia granitica,A Shrub,Vulnerable,status change,Endangered
Kardomia squarrulosa,Kardomia squarrulosa,,Near Threatened,status change,Vulnerable
Lenwebbia sp. (Blackall Range P.R.Sharpe 5387),Myrtaceae,Myrtle Family (part),Endangered,added,
Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),Myrtaceae,Myrtle Family (part),Critically Endangered,added,
Lepisanthes senegalensis,Lepisanthes senegalensis,,Vulnerable,status change,Endangered
Leptospermum barneyense,Leptospermum barneyense,,Endangered,status change,Vulnerable
Lissanthe brevistyla,Lissanthe brevistyla,,Endangered,status change,Vulnerable
Lophochroa leadbeateri leadbeateri,Lophochroa leadbeateri leadbeateri,,Endangered,removed,
Mallotus megadontus,Mallotus megadontus,,Endangered,status change,Vulnerable
Mordacia praecox,Mordacia praecox,Non-parasitic Lamprey,Endangered,added,
Nacaduba pactolus cela,Nacaduba pactolus cela,,Vulnerable,removed,
Pakau pennigera,Thelypteridaceae,,Endangered,added,
Parsonsia sankowskyana,Parsonsia sankowskyana,,Critically Endangered,status change,Endangered
Parsonsia wongabelensis,Parsonsia wongabelensis,Arrowhead Vine,Critically Endangered,status change,Endangered
Petauroides armillatus,Petauroides armillatus,Central Greater Glider,Endangered,removed,
Petauroides minor,Petauroides minor,Northern Greater Glider,Vulnerable,removed,
Petauroides volans,Petauroides volans,Greater Glider,Vulnerable,added,
Petauroides volans minor,Petauroides volans minor,,Vulnerable,added,
Petauroides volans sensu lato,Petauroides volans sensu lato,Greater Glider,Vulnerable,removed,
Petauroides volans volans,Petauroides volans volans,,Endangered,added,
Petaurus australis brevirostrum,Petaurus australis,Yellow-bellied Glider,Endangered,added,
Petaurus australis unnamed subsp.,Petaurus australis unnamed subsp.,Yellow-bellied Glider (northern Subspecies),Endangered,removed,
Philoria knowlesi,Philoria,,Endangered,added,
Phyllanthus sp. (Bulburin P.I.Forster+ PIF16034),Phyllanthaceae,,Vulnerable,added,
Phyllurus caudiannulatus,Phyllurus caudiannulatus,Ringed Thin-tail Gecko,Endangered,status change,Vulnerable
Psephotellus chrysopterygius,Psephotus (Psephotellus),,Endangered,added,
Psephotellus pulcherrimus,Psephotus (Psephotellus),,Extinct in the wild,added,
Psephotus chrysopterygius,Psephotus (Psephotellus) chrysopterygius,Golden-shouldered Parrot,Endangered,removed,
Psephotus pulcherrimus,Psephotus (Psephotellus) pulcherrimus,Paradise Parrot,Extinct in the wild,removed,
Reholttumia costata,Thelypteridaceae,,Near Threatened,added,
Rheobatrachus vitellinus,Rheobatrachus vitellinus,Northern Gastric-brooding Frog,Extinct,status change,Endangered
Rheodytes leukops,Rheodytes leukops,Fitzroy River Turtle,Endangered,status change,Vulnerable
Rhinolophus philippinensis,Rhinolophus philippinensis,Greater Large-eared Horseshoe Bat,Endangered,removed,
Rhinolophus robertsi,Rhinolophus robertsi,Large-eared Horseshoe Bat,Endangered,added,
Romnalda ophiopogonoides,Romnalda ophiopogonoides,,Endangered,status change,Vulnerable
Sannantha brachypoda,Sannantha brachypoda,,Near Threatened,status change,Vulnerable
Symplocos crassiramifera,Symplocos crassiramifera,,Endangered,status change,Vulnerable
Tetramolopium ornans,Tetramolopium,,Vulnerable,added,
