name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Acacia eremophila var. variabilis Maiden & Blakely,,Acacia eremophila var. variabilis,,,,Priority 3: Poorly-known species,added
Acacia incongesta,,Acacia incongesta,,Peak Charles Wattle,,Priority 2: Poorly-known species,added
Acacia sp. Badgingarra (F. Hort & J. Hort FH 4636),,Acacia,,Mulga,,Priority 2: Poorly-known species,added
Acacia sp. Cockburn Range (R. Pullen 10.763),,Acacia sp. Cockburn Range (R.Pullen 10.763),,,,Priority 3: Poorly-known species,added
Acacia sp. Moorine Rock (B.R. Maslin 4474),,Acacia sp. Moorine Rock (B.R.Maslin 4474),,,,Priority 1: Poorly-known species,added
Acacia armigera,,Acacia,,Mulga,,Priority 1: Poorly-known species,added
Acrotriche platycarpa,,Acrotriche,,,,Priority 1: Poorly-known species,added
Alyogyne sp. Hyden (G.S. Durell GD 127),,Alyogyne sp. Hyden (G.S.Durell GD127),,,,Priority 1: Poorly-known species,added
Amanita brunneola,,,,,,Priority 2: Poorly-known species,added
Amanita cretaceaverruca,,,,,,Priority 2: Poorly-known species,added
Amanita mallee,,,,,,Priority 1: Poorly-known species,added
Amanita marinae,,,,,,Priority 2: Poorly-known species,added
Amanita validiuscula,,,,,,Priority 2: Poorly-known species,added
Andersonia sp. Mysosma (E.A. Griffin 2213),,Andersonia sp. Mysosma (E.A.Griffin 2213),,,,Priority 2: Poorly-known species,added
Anzybas abditus,,Corybas abditus,,Small Helmet Orchid,,Priority 3: Poorly-known species,added
Apatelantha chrysotricha,,,,,,Priority 2: Poorly-known species,added
Apatelantha insignis,,,,,,Priority 2: Poorly-known species,added
Arthrostylis sp. Kalumburu (K.L. Wilson 10101),,Arthrostylis,,,,Priority 2: Poorly-known species,added
Austrobaeckea columnaris,,,,,,Priority 2: Poorly-known species,added
Austrobaeckea narembeen,,,,,,Priority 2: Poorly-known species,added
Austrobaeckea uncinella,,,,,,Priority 3: Poorly-known species,added
Balaustion sp. Billyacatting Hill (A.S. George 14349),,Balaustion,,,,Priority 2: Poorly-known species,added
Balaustion sp. North Ironcap (R.J. Cranfield 10580),,Balaustion,,,,Priority 1: Poorly-known species,added
Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933),,Balaustion,,,,Priority 1: Poorly-known species,added
Bossiaea sp. Mt Frankland (L. Graham 2174),,Bossiaea sp. Mt Frankland (L.Graham 2174),,,,Priority 2: Poorly-known species,added
Calandrinia sp. Bayswater (C. Andrews s.n. 11/1902),,Calandrinia,,Parakeelya,,Priority 1: Poorly-known species,added
Calandrinia sp. Berry Springs (M.O. Parker 855),,Calandrinia sp. Berry Springs (M.O.Parker 855),,,,Priority 1: Poorly-known species,added
Calandrinia sp. Hamelin Station (F. Obbens FO 02/20),,Calandrinia,,Parakeelya,,Priority 1: Poorly-known species,added
Calandrinia sp. Lennard River (W.V. Fitzgerald 739),,Calandrinia,,Parakeelya,,Priority 1: Poorly-known species,added
Calandrinia sp. Mt Vernon Station (T.L. Setter 427),,Calandrinia,,Parakeelya,,Priority 1: Poorly-known species,added
Calandrinia sp. Torndirrup (S.D. Hopper et al. SDH 8712),,Calandrinia sp. Torndirrup (S.D.Hopper et al. SDH 8712),,,,Priority 2: Poorly-known species,added
Calochilus barbarossa,,Calochilus sp. Theda (R.L.Barrett et al. RLB 6158),,,,Priority 3: Poorly-known species,added
Calytrix platycheiridius,,Calytrix platycheiridia,,,,Priority 2: Poorly-known species,added
Calytrix sp. Wandana (G. Byrne 1750),,Calytrix,,Fringe Myrtle,,Priority 3: Poorly-known species,added
Carpobrotus sp. Lateral Flowers (N. Gibson & M. Lyons 973),,Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),,,,Priority 2: Poorly-known species,added
Commersonia sp. Lesmurdie (A.A. Mitchell 11429),,Commersonia,,,,Priority 2: Poorly-known species,added
Conostylis sp. Watheroo (S.D. Hopper 7668),,Conostylis,,,,Priority 2: Poorly-known species,added
Corymbia x pedimontana,,Corymbia x pedimontana,,,,Priority 1: Poorly-known species,added
Corysanthes autumnalis,,Corysanthes autumnalis,,,,Priority 2: Poorly-known species,added
Corysanthes limpida,,Corybas limpidus,,Crystal Helmet Orchid,,"Priority 4: Rare, Near Threatened",added
Darwinia chantiae,,,,,,Priority 3: Poorly-known species,added
Darwinia foetida Keighery,,Darwinia foetida,,Muchea Bell,,Endangered,added
Darwinia sp. Bindoon (S. Patrick 281),,Darwinia sp. Bindoon (S.Patrick 281),,,,Priority 1: Poorly-known species,added
Darwinia sp. Corrigin (T. Erickson TEE 308),,Darwinia sp. Corrigin (T.Erickson TEE 308),,,,Priority 2: Poorly-known species,added
Dolichocarpa sp. Hamersley Station (A.A. Mitchell PRP 1479),,Dolichocarpa,,,,Priority 3: Poorly-known species,added
Drosera atrata,,Drosera,,Sundews,,Priority 3: Poorly-known species,added
Drosera hortiorum,,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera koikyennuruff,,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera macropetala,,Drosera,,Sundews,,Priority 1: Poorly-known species,added
Drosera micra,,Drosera micra,,,,Priority 1: Poorly-known species,added
Drosera reflexa,,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera rubricalyx,,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera sp. Kentdale (G.J. Bourke 458),,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera sp. Lesueur National Park (C.A. Gardner 9350),,Drosera,,Sundews,,Priority 2: Poorly-known species,added
Drosera sp. Yampi Peninsula (A.J.M. Hopkins BA 0248),,Drosera,,Sundews,,Priority 1: Poorly-known species,added
Drosera x badgerupii,,Drosera x badgerupii,,,,Priority 2: Poorly-known species,added
Eragrostis sp. Lake Carey (J. Paterson & J. Warden WB 40825),,Eragrostis,,Lovegrasses,,Priority 1: Poorly-known species,added
Eremophila annosicaulis,,,,,,Priority 3: Poorly-known species,added
Eremophila compacta subsp. Kennedy Range (B. Buirchell BB 107),,Eremophila compacta subsp. Kennedy Range (B.Buirchell BB 107),,,,Priority 2: Poorly-known species,added
Eremophila naaykensii,,,,,,Priority 3: Poorly-known species,added
Eremophila sp. Lake Carey (E. Mattiske LM 197),,Eremophila sp. Lake Carey (E.Mattiske LM 197),,,,Priority 1: Poorly-known species,added
Eremophila sp. Landor (J. Start D7 33),,Eremophila sp. Landor (J.Start D7 33),,,,Priority 1: Poorly-known species,added
Eremophila tietkensii,,Eremophila tietkensii,,,,Priority 2: Poorly-known species,added
Eucalyptus educta L.A.S.Johnson & K.D.Hill,,Eucalyptus educta,,,,Priority 2: Poorly-known species,added
Eucalyptus sp. Dunbar Road (D. Nicolle & M. French DN 5466),,Eucalyptus sp. Dunbar Road (D.Nicolle & M.French DN 5466),,,,Priority 1: Poorly-known species,added
Eucalyptus x impensa,,Eucalyptus x impensa,,Eneabba Mallee,,Critically Endangered,added
Eucalyptus x lateritica,,Eucalyptus x lateritica,,Laterite Mallee,,Endangered,added
Fitzwillia sp. Newdegate (A. Coates 8766),,Fitzwillia,,,,Priority 1: Poorly-known species,added
Gastrolobium sp. Asperum (F. Hort 2864),,Gastrolobium,,,,Priority 3: Poorly-known species,added
Gastrolobium wonganensis,,Gastrolobium wonganensis,,,,Priority 2: Poorly-known species,added
Gompholobium sp. Roy Hill (G. Buller ATF08 AQ14),,Gompholobium,,Wedge Peas,,Priority 1: Poorly-known species,added
Grevillea cooljarloo,,Grevillea 'RF05',,,,Priority 1: Poorly-known species,added
Grevillea sp. Duranillin (E.F. Shedley 180),,Grevillea 'RF05',,,,Priority 2: Poorly-known species,added
Grevillea sp. Nyabing (A. Coates & J. Ward AC 6030),,Grevillea 'RF05',,,,Priority 1: Poorly-known species,added
Grevillea tesselata,,Grevillea 'RF05',,,,Priority 1: Poorly-known species,added
