taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
4695,Galaxias fuscus,Barred Galaxias,"Mack, 1936",Aquatic fauna,,species,Fish,Critically Endangered,Endangered,Critically endangered,,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528524,Galaxias gunaikurnai,Shaw Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Critically endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528525,Galaxias lanceolatus,Tapered Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Critically endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528526,Galaxias longifundus,West Gippsland Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Critically endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528522,Galaxias mcdowalli,McDowall's Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Critically endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528523,Galaxias mungadhan,Dargo Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Critically endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
4692,Galaxias rostratus,Flat-headed Galaxias,"Klunzinger, 1872",Aquatic fauna,,species,Fish,Vulnerable,Critically Endangered,Vulnerable,,2016-05-16,2023-01-16,Vulnerable,Vulnerable
903498,Galaxias sp. 14,'Yalmy' Galaxias,,Aquatic fauna,,species,Fish,Critically Endangered,,,,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
528520,Galaxias terenasus,Roundsnout Galaxias,"Raadik, 2014",Aquatic fauna,,species,Fish,Critically Endangered,,Endangered,rest,2016-09-12,2023-01-16,Critically Endangered,Critically Endangered
4701,Galaxiella pusilla,Dwarf Galaxias,"(Mack, 1936)",Aquatic fauna,,species,Fish,Endangered,Vulnerable,Endangered,,2019-11-29,2023-01-16,Endangered,Endangered
