taxonID,scientificName,vernacularName,Bonn,Listed_Name_Bonn,kingdom,phylum,class,order,family,genus,taxonRemarks,EPBC_Threat_Status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,status
68442,Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish","B1, B2",Pristis zijsron,Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Pristis,sharks,Vulnerable,Pristis zijsron,07-MAR-2008,Listed,,,,,,,,,,Completed,Pristis zijsron,07-Mar-08,07-Nov-15,Recovery Plan required,Bonn Convention Listed
1046,Procellaria aequinoctialis,White-chinned Petrel,B2,Procellaria aequinoctialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,Listed,,,,,,,Listed,Procellaria aequinoctialis,,,,,,,Bonn Convention Listed
1047,Procellaria cinerea,Grey Petrel,B2,Procellaria cinerea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,Listed,,,,,,,Listed,Procellaria cinerea,,,,,,,Bonn Convention Listed
86121,Procellaria conspicillata,Spectacled Petrel,B2*,Procellaria conspicillata,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
1048,Procellaria parkinsoni,Black Petrel,B2,Procellaria parkinsoni,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,Listed,,,,,,,Listed,Procellaria parkinsoni,,,,,,,Bonn Convention Listed
1049,Procellaria westlandica,Westland Petrel,B2,Procellaria westlandica,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,Listed,,,,,,,Listed,Procellaria westlandica,,,,,,,Bonn Convention Listed
66680,Rhincodon typus,Whale Shark,B2,Rhincodon typus,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,sharks,Vulnerable,Rhincodon typus,16-OCT-2001,Listed,,,,,,,,,,,,01-Oct-15,,Recovery Plan not required,Bonn Convention Listed
592,Rhipidura rufifrons,Rufous Fantail,B2C,Rhipidura rufifrons,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Rhipidura,birds,,,,Listed as Muscicapidae,,,,,,,Listed - overfly marine area,Rhipidura rufifrons,,,,,,,Bonn Convention Listed
87942,Sousa sahulensis,Australian Humpback Dolphin,B2,Sousa chinensis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Sousa,mammals,,,,Listed,,,,,,,,,Cetacean,30/10/2023,Sousa sahulensis,,,,Bonn Convention Listed
91690,Spatula querquedula,"Garganey, Garganey Teal",B2C,Anas querquedula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,birds,,,,Listed,Listed,Anas querquedula,Listed,Anas querquedula,Listed,Anas querquedula,Listed - overfly marine area,Anas querquedula,,,,,,,Bonn Convention Listed
78922,"Stenella attenuata E Tropical Pacific, SE Asian populations","Spotted Dolphin, Pantropical Spotted Dolphin",B2,"Stenella attenuata E Tropical Pacific, SE Asian populations",Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
78921,"Stenella longirostris E Tropical Pacific, SE Asian populations",Long-snouted Spinner Dolphin,B2,"Stenella longirostris E Tropical Pacific, SE Asian populations",Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,mammals,,,,Listed,,,,,,,,,Cetacean,,,,,,Bonn Convention Listed
86123,Sterna hirundo hirundo (Western Palearctic populations),"Atlantic Common Tern, Common Tern (Western Palearctic populations)",B2,Sterna hirundo hirundo (Western Palearctic populations),Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
86124,Sterna paradisaea (Atlantic populations),Arctic Tern  (Atlantic populations),B2,Sterna paradisaea (Atlantic populations),Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,,,,Listed,,,,,,,,,,,,,,,Bonn Convention Listed
82849,Sternula albifrons,Little Tern,B2,Sternula albifrons,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,birds,,,,Listed,Listed,Sternula albifrons,Listed,Sternula albifrons,Listed,Sternula albifrons,Listed,Sterna albifrons,,30/10/2022,Sternula albifrons,,,,Bonn Convention Listed
83946,Symposiachrus trivirgatus,Spectacled Monarch,B2C,Symposiachrus trivirgatus,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Symposiachrus,birds,,,,Listed as Muscicapidae,,,,,,,Listed - overfly marine area,Monarcha trivirgatus,,,,,,,Bonn Convention Listed
64460,Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",B2*,Thalassarche bulleri,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche bulleri,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche bulleri,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
64464,Thalassarche carteri,Indian Yellow-nosed  Albatross,B2,Thalassarche carteri,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Vulnerable,Thalassarche carteri,16-JUL-2000,Listed,,,,,,,Listed,Thalassarche carteri,,,,,25-May-11,Recovery Plan required,Bonn Convention Listed
89224,Thalassarche cauta,Shy Albatross,B2*,Thalassarche cauta,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,Endangered,Thalassarche cauta,03-JUL-2020,Listed,,,,,,,Listed,Thalassarche cauta,,Completed,Thalassarche cauta cauta,03-Jul-20,25-May-11,Recovery Plan required,Bonn Convention Listed
66481,Thalassarche chlororhynchos, Atlantic Yellow-nosed Albatross,B2*,Thalassarche chlororhynchos,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,Listed,,,,,,,Listed,Thalassarche chlororhynchos,,,,,,,Bonn Convention Listed
