taxonRank,kingdom,class,order,family,genus,scientificName,specificEpithet,vernacularName,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,tsprofileid,countryConservation,dcterms_modified,speciesID,taxonID,status
Species,Animalia,Reptilia,Squamata,Pygopodidae,Delma,Delma impar,impar,Striped Legless Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10211.0,Vulnerable,2013-12-20T15:06:07.13+11:00,1,1,Vulnerable
Species,Animalia,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,fimbriatum,Gang-gang Cockatoo,"Alive in NSW, Native",Vulnerable,true,Category 3,10975.0,Endangered,2022-05-12T15:50:01.01+10:00,6,6,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Cacophis,Cacophis harriettae,harriettae,White-crowned Snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10117.0,Not Listed,2015-05-28T10:14:29.083+10:00,31,31,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria booroolongensis,booroolongensis,Booroolong Frog,"Alive in NSW, Native",Endangered,true,Not Sensitive,10484.0,Endangered,2011-11-11T11:23:05+11:00,33,33,Endangered
Species,Animalia,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera phrygia,phrygia,Regent Honeyeater,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10841.0,Critically Endangered,2011-11-11T11:23:09+11:00,53,53,Critically Endangered
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris tenuirostris,tenuirostris,Great Knot,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10128.0,Critically Endangered,2012-09-04T17:26:31.88+10:00,63,63,Vulnerable
Species,Animalia,Aves,Passeriformes,Estrildidae,Neochmia,Neochmia ruficauda,ruficauda,Star Finch,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20181.0,Endangered,2012-08-05T13:29:13.003+10:00,77,77,Extinct
Species,Animalia,Reptilia,Squamata,Carphodactylidae,Uvidicolus,Uvidicolus sphyrurus,sphyrurus,Border Thick-tailed Gecko,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10823.0,Vulnerable,2021-02-01T18:08:13.473+11:00,81,81,Vulnerable
Species,Animalia,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis moluccana,moluccana,Pale-vented Bush-hen,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10042.0,Not Listed,2020-01-21T11:27:26.927+11:00,86,86,Vulnerable
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale tapoatafa,tapoatafa,Brush-tailed Phascogale,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10613.0,Not Listed,2011-11-11T11:23:07+11:00,98,98,Vulnerable
Species,Animalia,Aves,Turniciformes,Turnicidae,Turnix,Turnix maculosus,maculosus,Red-backed Button-quail,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20039.0,Not Listed,2011-12-22T12:01:05.753+11:00,113,113,Vulnerable
Species,Animalia,Amphibia,Anura,Myobatrachidae,Assa,Assa darlingtoni,darlingtoni,Pouched Frog,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10070.0,Not Listed,2011-11-11T11:23:00+11:00,131,131,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys australis,australis,Plains Rat,"Extinct in NSW, Native",Vulnerable,true,Not Sensitive,20205.0,Vulnerable,2020-01-22T14:13:05.977+11:00,137,137,Vulnerable
Species,Animalia,Mammalia,Peramelemorphia,Chaeropodidae,Chaeropus,Chaeropus ecaudatus,ecaudatus,Pig-footed Bandicoot,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20186.0,Extinct,2021-02-01T18:08:00.66+11:00,140,140,Extinct
Species,Animalia,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua occipitalis,occipitalis,Western Blue-tongued Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10807.0,Not Listed,2011-11-11T11:23:08+11:00,148,148,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria spenceri,spenceri,Spotted Tree Frog,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10492.0,Endangered,2012-09-04T14:59:38.083+10:00,161,161,Critically Endangered
Species,Animalia,Aves,Strigiformes,Strigidae,Ninox,Ninox strenua,strenua,Powerful Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10562.0,Not Listed,2011-11-11T11:23:06+11:00,162,162,Vulnerable
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa,limosa,Black-tailed Godwit,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10479.0,Not Listed,2012-09-04T16:06:51.7+10:00,163,163,Vulnerable
Species,Animalia,Aves,Passeriformes,Monarchidae,Carterornis,Carterornis leucotis,leucotis,White-eared Monarch,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10540.0,Not Listed,2011-12-22T12:18:56.523+11:00,194,194,Vulnerable
Species,Animalia,Aves,Passeriformes,Estrildidae,Stagonopleura,Stagonopleura guttata,guttata,Diamond Firetail,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10768.0,Not Listed,2022-05-12T15:43:35.677+10:00,207,207,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria subglandulosa,subglandulosa,Glandular Frog,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10493.0,Not Listed,2011-11-11T11:23:05+11:00,221,221,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys gouldii,gouldii,Gould's Mouse,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20206.0,Extinct,2012-08-05T13:29:13.003+10:00,229,229,Extinct
Species,Animalia,Aves,Procellariiformes,Diomedeidae,Diomedea,Diomedea exulans,exulans,Wandering Albatross,"Alive in NSW, Native",Endangered,true,Not Sensitive,10907.0,Endangered,2020-07-03T17:29:59.347+10:00,235,235,Endangered
Species,Animalia,Reptilia,Squamata,Diplodactylidae,Strophurus,Strophurus elderi,elderi,Jewelled Gecko,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10230.0,Not Listed,2016-06-10T13:41:06.947+10:00,239,239,Vulnerable
Species,Animalia,Reptilia,Testudines,Dermochelyidae,Dermochelys,Dermochelys coriacea,coriacea,Leatherback Turtle,"Alive in NSW, Native",Endangered,true,Not Sensitive,10216.0,Endangered,2012-09-04T15:07:15.47+10:00,259,259,Endangered
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Lagorchestes,Lagorchestes leporides,leporides,Eastern Hare-wallaby,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20195.0,Extinct,2012-08-05T13:29:13.003+10:00,265,265,Extinct
Species,Animalia,Aves,Passeriformes,Meliphagidae,Lichenostomus,Lichenostomus fasciogularis,fasciogularis,Mangrove Honeyeater,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10477.0,Not Listed,2018-06-29T14:19:01.033+10:00,288,288,Vulnerable
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Onychogalea,Onychogalea lunata,lunata,Crescent Nailtail Wallaby,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20197.0,Extinct,2012-08-05T13:29:13.003+10:00,304,304,Extinct
Species,Animalia,Mammalia,Diprotodonta,Potoroidae,Aepyprymnus,Aepyprymnus rufescens,rufescens,Rufous Bettong,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10033.0,Not Listed,2011-11-11T11:22:59+11:00,308,308,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Echiopsis,Echiopsis curta,curta,Bardick,"Alive in NSW, Native",Endangered,true,Not Sensitive,10258.0,Not Listed,2011-11-11T11:23:02+11:00,327,327,Endangered
Species,Animalia,Aves,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus leucogaster,leucogaster,White-bellied Sea-Eagle,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20322.0,Not Listed,2020-07-03T17:30:02.107+10:00,330,330,Vulnerable
Species,Animalia,Aves,Strigiformes,Tytonidae,Tyto,Tyto tenebricosa,tenebricosa,Sooty Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10821.0,Not Listed,2012-07-23T18:04:52.683+10:00,333,333,Vulnerable
Species,Animalia,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma solandri,solandri,Providence Petrel,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10894.0,Not Listed,2020-07-03T17:30:09.99+10:00,337,337,Vulnerable
Species,Animalia,Reptilia,Squamata,Pygopodidae,Aprasia,Aprasia parapulchella,parapulchella,Pink-tailed Legless Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10061.0,Vulnerable,2011-11-11T11:23:00+11:00,345,345,Vulnerable
Species,Animalia,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus dwyeri,dwyeri,Large-eared Pied Bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10157.0,Vulnerable,2011-11-11T11:23:01+11:00,353,353,Vulnerable
Species,Animalia,Aves,Strigiformes,Strigidae,Ninox,Ninox connivens,connivens,Barking Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10561.0,Not Listed,2011-11-11T11:23:06+11:00,363,363,Vulnerable
Species,Animalia,Aves,Ciconiiformes,Ardeidae,Ixobrychus,Ixobrychus flavicollis,flavicollis,Black Bittern,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10441.0,Not Listed,2011-11-11T11:23:04+11:00,365,365,Vulnerable
Species,Animalia,Mammalia,Diprotodonta,Burramyidae,Burramys,Burramys parvus,parvus,Mountain Pygmy-possum,"Alive in NSW, Native",Endangered,true,Not Sensitive,10114.0,Endangered,2011-11-11T11:23:00+11:00,366,366,Endangered
Species,Animalia,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala inornata,inornata,Gilbert's Whistler,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10582.0,Not Listed,2011-11-11T11:23:06+11:00,386,386,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys delicatulus,delicatulus,Delicate Mouse,Not Known from NSW,Endangered,true,Not Sensitive,10685.0,Not Listed,2011-11-11T11:23:11+11:00,388,388,Endangered
Species,Animalia,Reptilia,Squamata,Elapidae,Hoplocephalus,Hoplocephalus bungaroides,bungaroides,Broad-headed Snake,"Alive in NSW, Native",Endangered,true,Category 2,10413.0,Vulnerable,2011-11-11T11:23:04+11:00,390,390,Endangered
Species,Animalia,Mammalia,Rodentia,Muridae,Notomys,Notomys longicaudatus,longicaudatus,Long-tailed Hopping-mouse,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20203.0,Extinct,2012-08-05T13:29:13.003+10:00,393,393,Extinct
Species,Animalia,Aves,Psittaciformes,Psittacidae,Pezoporus,Pezoporus occidentalis,occidentalis,Night Parrot,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20174.0,Endangered,2012-08-05T13:29:13.003+10:00,406,406,Extinct
Species,Animalia,Mammalia,Diprotodonta,Petauridae,Petaurus,Petaurus australis,australis,Yellow-bellied Glider,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10601.0,Vulnerable,2011-11-11T11:23:06+11:00,410,410,Vulnerable
Species,Animalia,Aves,Pelecaniformes,Phaethontidae,Phaethon,Phaethon rubricauda,rubricauda,Red-tailed Tropicbird,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10609.0,Not Listed,2020-07-03T18:01:04.053+10:00,416,416,Vulnerable
Species,Animalia,Aves,Psittaciformes,Psittacidae,Neophema,Neophema chrysogaster,chrysogaster,Orange-bellied Parrot,Not Known from NSW,Critically Endangered,true,Category 3,10554.0,Critically Endangered,2011-11-11T11:23:06+11:00,418,418,Critically Endangered
Species,Animalia,Aves,Passeriformes,Petroicidae,Petroica,Petroica boodang,boodang,Scarlet Robin,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20133.0,Not Listed,2022-05-12T15:53:47.187+10:00,440,440,Vulnerable
Species,Animalia,Aves,Gruiformes,Otididae,Ardeotis,Ardeotis australis,australis,Australian Bustard,"Alive in NSW, Native",Endangered,true,Not Sensitive,10063.0,Not Listed,2011-12-22T14:44:36.52+11:00,444,444,Endangered
Species,Animalia,Aves,Ciconiiformes,Ciconiidae,Ephippiorhynchus,Ephippiorhynchus asiaticus,asiaticus,Black-necked Stork,"Alive in NSW, Native",Endangered,true,Not Sensitive,10275.0,Not Listed,2011-11-11T11:23:03+11:00,453,453,Endangered
Species,Animalia,Aves,Procellariiformes,Oceanitidae,Fregetta,Fregetta grallaria,grallaria,White-bellied Storm-Petrel,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10882.0,Vulnerable,2011-12-22T11:36:37.117+11:00,454,454,Vulnerable
Species,Animalia,Mammalia,Diprotodonta,Potoroidae,Bettongia,Bettongia tropica,tropica,Northern Bettong,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20194.0,Endangered,2012-08-05T13:29:13.003+10:00,456,456,Extinct
Species,Animalia,Aves,Passeriformes,Acanthizidae,Calamanthus,Calamanthus campestris,campestris,Rufous Fieldwren,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20138.0,Not Listed,2012-07-30T13:36:05.537+10:00,473,473,Vulnerable
Species,Animalia,Aves,Psittaciformes,Psittacidae,Glossopsitta,Glossopsitta porphyrocephala,porphyrocephala,Purple-crowned Lorikeet,"Alive in NSW, Native",Vulnerable,true,Category 3,10352.0,Not Listed,2011-11-11T11:23:03+11:00,479,479,Vulnerable
Species,Animalia,Aves,Psittaciformes,Psittacidae,Glossopsitta,Glossopsitta pusilla,pusilla,Little Lorikeet,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20111.0,Not Listed,2011-11-11T11:22:59+11:00,480,480,Vulnerable
Species,Animalia,Aves,Anseriformes,Anatidae,Nettapus,Nettapus coromandelianus,coromandelianus,Cotton Pygmy-Goose,"Alive in NSW, Native",Endangered,true,Not Sensitive,10557.0,Not Listed,2011-12-22T14:48:24.223+11:00,486,486,Endangered
Species,Animalia,Reptilia,Testudines,Cheloniidae,Caretta,Caretta caretta,caretta,Loggerhead Turtle,"Alive in NSW, Native",Endangered,true,Not Sensitive,10146.0,Endangered,2011-11-11T11:23:01+11:00,489,489,Endangered
Species,Animalia,Mammalia,Rodentia,Muridae,Mastacomys,Mastacomys fuscus,fuscus,Broad-toothed Rat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10510.0,Vulnerable,2011-11-11T11:23:06+11:00,511,511,Vulnerable
Species,Animalia,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius leschenaultii,leschenaultii,Greater Sand-plover,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10161.0,Vulnerable,2012-09-04T16:08:02.35+10:00,515,515,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys bolami,bolami,Bolam's Mouse,"Alive in NSW, Native",Endangered,true,Not Sensitive,10684.0,Not Listed,2011-11-11T11:23:11+11:00,517,517,Endangered
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Dasycercus,Dasycercus cristicauda,cristicauda,Crest-tailed Mulgara,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20182.0,Vulnerable,2021-01-22T14:43:49.187+11:00,518,518,Extinct
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys fumeus,fumeus,Smoky Mouse,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10686.0,Endangered,2011-11-11T11:23:11+11:00,521,521,Critically Endangered
Species,Animalia,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes halli,halli,Northern Giant-Petrel,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10913.0,Vulnerable,2011-11-11T11:23:08+11:00,536,536,Vulnerable
Species,Animalia,Amphibia,Anura,Myobatrachidae,Crinia,Crinia tinnula,tinnula,Wallum Froglet,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10183.0,Not Listed,2011-11-11T11:23:02+11:00,545,545,Vulnerable
Species,Animalia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche cauta,cauta,Shy Albatross,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10918.0,Vulnerable,2011-11-11T11:23:08+11:00,559,559,Vulnerable
Species,Animalia,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus australis,australis,Little Bent-winged Bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10533.0,Not Listed,2019-07-11T13:10:20.693+10:00,583,583,Vulnerable
Species,Animalia,Mammalia,Rodentia,Muridae,Leporillus,Leporillus conditor,conditor,Greater Stick-nest Rat,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20201.0,Vulnerable,2020-01-22T14:14:02.937+11:00,610,610,Extinct
Species,Animalia,Aves,Psittaciformes,Psittacidae,Lathamus,Lathamus discolor,discolor,Swift Parrot,"Alive in NSW, Native",Endangered,true,Not Sensitive,10455.0,Critically Endangered,2022-11-11T12:46:21.73+11:00,613,613,Endangered
Species,Animalia,Aves,Charadriiformes,Burhinidae,Burhinus,Burhinus grallarius,grallarius,Bush Stone-curlew,"Alive in NSW, Native",Endangered,true,Not Sensitive,10113.0,Not Listed,2011-11-11T11:23:00+11:00,614,614,Endangered
Species,Animalia,Aves,Psittaciformes,Psittacidae,Psephotus,Psephotus pulcherrimus,pulcherrimus,Paradise Parrot,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20172.0,Extinct,2012-08-05T13:29:13.003+10:00,615,615,Extinct
Species,Animalia,Mammalia,Rodentia,Muridae,Leporillus,Leporillus apicalis,apicalis,Lesser Stick-nest Rat,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20200.0,Extinct,2012-08-05T13:29:13.003+10:00,616,616,Extinct
Species,Animalia,Aves,Psittaciformes,Psittacidae,Neophema,Neophema splendida,splendida,Scarlet-chested Parrot,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10556.0,Not Listed,2011-11-11T11:23:06+11:00,617,617,Vulnerable
Species,Animalia,Aves,Pelecaniformes,Sulidae,Sula,Sula dactylatra,dactylatra,Masked Booby,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10898.0,Not Listed,2012-09-04T16:08:58.23+10:00,619,619,Vulnerable
Species,Animalia,Mammalia,Chiroptera,Pteropodidae,Syconycteris,Syconycteris australis,australis,Common Blossom-bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10785.0,Not Listed,2011-11-11T11:23:07+11:00,625,625,Vulnerable
Species,Animalia,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma nigripennis,nigripennis,Black-winged Petrel,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10893.0,Not Listed,2011-11-11T11:23:07+11:00,627,627,Vulnerable
Species,Animalia,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,rosenbergi,Rosenberg's Goanna,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10826.0,Not Listed,2011-11-11T11:23:09+11:00,632,632,Vulnerable
Species,Animalia,Amphibia,Anura,Limnodynastidae,Philoria,Philoria loveridgei,loveridgei,Loveridge's Frog,"Alive in NSW, Native",Endangered,true,Category 2,10619.0,Not Listed,2021-02-01T18:08:25.693+11:00,633,633,Endangered
Species,Animalia,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua multifasciata,multifasciata,Centralian Blue-tongued Lizard,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10806.0,Not Listed,2011-11-11T11:23:08+11:00,653,653,Vulnerable
Species,Animalia,Reptilia,Squamata,Diplodactylidae,Amalosia,Amalosia rhombifer,rhombifer,Zigzag Velvet Gecko,"Alive in NSW, Native",Endangered,true,Not Sensitive,10871.0,Not Listed,2018-10-26T23:43:15.47+11:00,668,668,Endangered
Species,Animalia,Reptilia,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,microlepidotus,Fierce Snake,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20169.0,Not Listed,2020-01-22T14:14:58.753+11:00,679,679,Extinct
Species,Animalia,Reptilia,Squamata,Elapidae,Simoselaps,Simoselaps fasciolatus,fasciolatus,Narrow-banded Snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10757.0,Not Listed,2011-11-11T11:23:10+11:00,687,687,Vulnerable
Species,Animalia,Amphibia,Anura,Hylidae,Litoria,Litoria raniformis,raniformis,Southern Bell Frog,"Alive in NSW, Native",Endangered,true,Not Sensitive,10491.0,Vulnerable,2022-05-12T15:54:32.07+10:00,702,702,Endangered
Species,Animalia,Aves,Passeriformes,Dasyornithidae,Dasyornis,Dasyornis brachypterus,brachypterus,Eastern Bristlebird,"Alive in NSW, Native",Endangered,true,Category 2,10206.0,Endangered,2017-04-19T11:38:54.04+10:00,707,707,Endangered
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,ferruginea,Curlew Sandpiper,"Alive in NSW, Native",Endangered,true,Not Sensitive,20166.0,Critically Endangered,2012-09-04T16:10:02.6+10:00,709,709,Endangered
Species,Animalia,Amphibia,Anura,Myobatrachidae,Crinia,Crinia sloanei,sloanei,Sloane's Froglet,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,20088.0,Endangered,2011-11-11T11:23:11+11:00,720,720,Vulnerable
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus maculatus,maculatus,Spotted-tailed Quoll,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10207.0,Endangered,2011-11-11T11:23:02+11:00,759,759,Vulnerable
Species,Animalia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche melanophris,melanophris,Black-browed Albatross,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10919.0,Vulnerable,2011-11-11T11:23:09+11:00,783,783,Vulnerable
Species,Animalia,Aves,Passeriformes,Acanthizidae,Calamanthus,Calamanthus fuliginosus,fuliginosus,Striated Fieldwren,"Alive in NSW, Native",Endangered,true,Not Sensitive,10126.0,Not Listed,2011-11-11T11:23:01+11:00,800,800,Endangered
Species,Animalia,Aves,Falconiformes,Accipitridae,Hamirostra,Hamirostra melanosternon,melanosternon,Black-breasted Buzzard,"Alive in NSW, Native",Vulnerable,true,Category 3,10395.0,Not Listed,2011-11-11T11:23:04+11:00,805,805,Vulnerable
Species,Animalia,Aves,Charadriiformes,Scolopacidae,Limicola,Limicola falcinellus,falcinellus,Broad-billed Sandpiper,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10478.0,Not Listed,2012-09-04T16:11:15.503+10:00,807,807,Vulnerable
Species,Animalia,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus pictus,pictus,Painted Burrowing Frog,"Alive in NSW, Native",Endangered,true,Not Sensitive,10553.0,Not Listed,2021-02-01T18:08:24.033+11:00,834,834,Endangered
Species,Animalia,Mammalia,Rodentia,Muridae,Pseudomys,Pseudomys hermannsburgensis,hermannsburgensis,Sandy Inland Mouse,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10688.0,Not Listed,2011-11-11T11:23:11+11:00,839,839,Vulnerable
Species,Animalia,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia mydas,mydas,Green Turtle,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10901.0,Vulnerable,2011-11-11T11:23:08+11:00,856,856,Vulnerable
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Planigale,Planigale maculata,maculata,Common Planigale,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10635.0,Not Listed,2011-11-11T11:23:08+11:00,874,874,Vulnerable
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Onychogalea,Onychogalea fraenata,fraenata,Bridled Nailtail Wallaby,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20196.0,Endangered,2012-08-05T13:29:13.003+10:00,876,876,Extinct
Species,Animalia,Reptilia,Squamata,Elapidae,Suta,Suta flagellum,flagellum,Little Whip Snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10774.0,Not Listed,2011-11-11T11:23:11+11:00,882,882,Vulnerable
Species,Animalia,Aves,Charadriiformes,Burhinidae,Esacus,Esacus magnirostris,magnirostris,Beach Stone-curlew,"Alive in NSW, Native",Critically Endangered,true,Not Sensitive,10280.0,Not Listed,2011-12-21T19:36:38.39+11:00,887,887,Critically Endangered
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale calura,calura,Red-tailed Phascogale,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20184.0,Vulnerable,2012-08-05T13:29:13.003+10:00,893,893,Extinct
Species,Animalia,Mammalia,Diprotodonta,Macropodidae,Thylogale,Thylogale stigmatica,stigmatica,Red-legged Pademelon,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10805.0,Not Listed,2011-11-11T11:23:08+11:00,897,897,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja modesta,modesta,Ringed Brown Snake,"Alive in NSW, Native",Endangered,true,Not Sensitive,10691.0,Not Listed,2011-11-11T11:23:07+11:00,919,919,Endangered
Species,Animalia,Reptilia,Squamata,Pythonidae,Antaresia,Antaresia stimsoni,stimsoni,Stimson's Python,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10475.0,Not Listed,2011-12-21T19:39:38.607+11:00,921,921,Vulnerable
Species,Animalia,Aves,Psittaciformes,Psittacidae,Neophema,Neophema pulchella,pulchella,Turquoise Parrot,"Alive in NSW, Native",Vulnerable,true,Category 3,10555.0,Not Listed,2011-11-11T11:23:06+11:00,924,924,Vulnerable
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,Antechinomys laniger,laniger,Kultarr,"Alive in NSW, Native",Endangered,true,Not Sensitive,10057.0,Not Listed,2011-11-11T11:23:00+11:00,930,930,Endangered
Species,Animalia,Aves,Strigiformes,Tytonidae,Tyto,Tyto novaehollandiae,novaehollandiae,Masked Owl,"Alive in NSW, Native",Vulnerable,true,Category 3,10820.0,Not Listed,2011-11-11T11:23:09+11:00,941,941,Vulnerable
Species,Animalia,Aves,Columbiformes,Columbidae,Phaps,Phaps histrionica,histrionica,Flock Bronzewing,"Alive in NSW, Native",Endangered,true,Not Sensitive,10612.0,Not Listed,2011-11-11T11:23:07+11:00,943,943,Endangered
Species,Animalia,Reptilia,Squamata,Elapidae,Hoplocephalus,Hoplocephalus stephensii,stephensii,Stephens' Banded Snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10414.0,Not Listed,2011-11-11T11:23:04+11:00,974,974,Vulnerable
Species,Animalia,Aves,Charadriiformes,Laridae,Gygis,Gygis alba,alba,White Tern,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10383.0,Not Listed,2011-11-11T11:23:04+11:00,1000,1000,Vulnerable
Species,Animalia,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,giganteus,Southern Giant Petrel,"Alive in NSW, Native",Endangered,true,Not Sensitive,10912.0,Endangered,2011-12-22T14:50:03.893+11:00,1001,1001,Endangered
Species,Animalia,Reptilia,Squamata,Diplodactylidae,Lucasium,Lucasium stenodactylum,stenodactylum,Crowned Gecko,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10870.0,Not Listed,2018-10-26T23:43:15.707+11:00,1004,1004,Vulnerable
Species,Animalia,Aves,Ciconiiformes,Ardeidae,Botaurus,Botaurus poiciloptilus,poiciloptilus,Australasian Bittern,"Alive in NSW, Native",Endangered,true,Not Sensitive,10105.0,Endangered,2011-11-11T11:23:01+11:00,1045,1045,Endangered
