taxonRank,kingdom,class,order,family,genus,scientificName,specificEpithet,vernacularName,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,tsprofileid,countryConservation,dcterms_modified,speciesID,taxonID,status
Species,Plantae,Flora,Flora,Orchidaceae,Calochilus,Calochilus pulchellus,pulchellus,Pretty Beard Orchid,"Alive in NSW, Native",Endangered,true,Category 2,20092.0,Not Listed,2017-10-04T17:25:53.643+11:00,19043,19043,Endangered
Species,Animalia,Mammalia,Chiroptera,Molossidae,Setirostris,Setirostris eleryi,eleryi,Bristle-faced Free-tailed Bat,"Alive in NSW, Native",Endangered,true,Not Sensitive,10923.0,Not Listed,2020-01-21T00:16:27.203+11:00,19096,19096,Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Prasophyllum,Prasophyllum sp. Moama,sp. Moama,,"Alive in NSW, Native",Critically Endangered,true,Category 2,20103.0,Not Listed,2017-10-04T17:25:55.787+11:00,19133,19133,Critically Endangered
Species,Plantae,Flora,Flora,Calomniaceae,Calomnion,Calomnion complanatum,complanatum,,"Alive in NSW, Native",Endangered,false,Not Sensitive,20106.0,Not Listed,2017-12-04T09:47:37.967+11:00,19149,19149,Endangered
Species,Plantae,Flora,Flora,Geraniaceae,Pelargonium,Pelargonium sp. Striatellum,sp. Striatellum,Omeo Storksbill,"Alive in NSW, Native",Endangered,false,Not Sensitive,20147.0,Endangered,2019-06-24T13:29:57.62+10:00,19255,19255,Endangered
Variety,Plantae,Flora,Flora,Rutaceae,Correa,Correa lawrenceana var. genoensis,lawrenceana,Genoa River Correa,"Alive in NSW, Native",Endangered,false,Not Sensitive,10180.0,Endangered,2017-11-30T17:24:14.323+11:00,19287,19287,Endangered
Species,Plantae,Flora,Flora,Lamiaceae,Prostanthera,Prostanthera sejuncta,sejuncta,,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,20032.0,Not Listed,2018-10-26T23:43:24.613+11:00,19388,19388,Vulnerable
Species,Plantae,Flora,Flora,Euphorbiaceae,Bertya,"Bertya sp. (Clouds Creek, M. Fatemi 4)","sp. (Clouds Creek, M. Fatemi 4)",,"Alive in NSW, Native",Endangered,false,Not Sensitive,20121.0,Not Listed,2017-10-04T17:26:03.003+11:00,19435,19435,Endangered
Species,Plantae,Flora,Flora,Fabaceae (Faboideae),Bossiaea,Bossiaea fragrans,fragrans,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20122.0,Critically Endangered,2017-10-04T17:26:03.223+11:00,19436,19436,Critically Endangered
Species,Animalia,Insecta,Lepidoptera,Lycaenidae,Jalmenus,Jalmenus eubulus,eubulus,Pale Imperial Hairstreak,"Alive in NSW, Native",Critically Endangered,false,Category 2,20123.0,Not Listed,2011-11-11T11:22:59+11:00,19440,19440,Critically Endangered
Species,Plantae,Flora,Flora,Fabaceae (Faboideae),Bossiaea,Bossiaea bombayensis,bombayensis,Bombay Bossiaea,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,20125.0,Not Listed,2017-10-04T17:26:03.66+11:00,19454,19454,Vulnerable
Species,Animalia,Reptilia,Squamata,Elapidae,Demansia,Demansia rimicola,rimicola,a whip snake,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10212.0,Not Listed,2016-06-09T16:48:09.44+10:00,19519,19519,Vulnerable
Species,Plantae,Flora,Flora,Orchidaceae,Prasophyllum,Prasophyllum pallens,pallens,Musty Leek Orchid,"Alive in NSW, Native",Vulnerable,true,Category 2,20132.0,Not Listed,2012-09-04T17:17:29.873+10:00,19622,19622,Vulnerable
Species,Plantae,Flora,Flora,Dilleniaceae,Hibbertia,Hibbertia sp. Bankstown,sp. Bankstown,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20140.0,Critically Endangered,2017-10-04T17:26:11.583+11:00,19754,19754,Critically Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Pterostylis,Pterostylis bicornis,bicornis,Horned Greenhood,"Alive in NSW, Native",Endangered,true,Category 2,20167.0,Vulnerable,2017-10-04T17:26:13.35+11:00,19775,19775,Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Genoplesium,Genoplesium insigne,insigne,Variable Midge Orchid,"Alive in NSW, Native",Critically Endangered,true,Category 2,10340.0,Critically Endangered,2018-10-26T23:43:24.847+11:00,19875,19875,Critically Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Prasophyllum,Prasophyllum bagoense,bagoense,,"Alive in NSW, Native",Critically Endangered,true,Category 2,10938.0,Critically Endangered,2018-10-26T23:43:25.113+11:00,19905,19905,Critically Endangered
Species,Plantae,Flora,Flora,Solanaceae,Solanum,Solanum armourense,armourense,,"Alive in NSW, Native",Endangered,false,Not Sensitive,10760.0,Not Listed,2019-07-04T02:42:18.7+10:00,19932,19932,Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Diuris,Diuris eborensis,eborensis,,"Alive in NSW, Native",Endangered,true,Category 2,20293.0,Endangered,2018-10-26T23:43:25.33+11:00,20184,20184,Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Pterostylis,Pterostylis riparia,riparia,,"Alive in NSW, Native",Vulnerable,true,Category 2,10699.0,Vulnerable,2022-11-04T17:29:04.16+11:00,20187,20187,Vulnerable
Species,Plantae,Flora,Flora,Orchidaceae,Pterostylis,Pterostylis ventricosa,ventricosa,,"Alive in NSW, Native",Critically Endangered,true,Category 2,20162.0,Not Listed,2022-11-04T17:29:04.49+11:00,20264,20264,Critically Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Pterostylis,Pterostylis vernalis,vernalis,,"Alive in NSW, Native",Critically Endangered,true,Category 2,20163.0,Critically Endangered,2017-10-04T17:26:47.833+11:00,20265,20265,Critically Endangered
Species,Plantae,Flora,Flora,Myrtaceae,Callistemon,Callistemon megalongensis,megalongensis,Megalong Valley Bottlebrush,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,10517.0,Critically Endangered,2018-10-26T23:43:25.817+11:00,20345,20345,Critically Endangered
Species,Plantae,Flora,Flora,Myrtaceae,Callistemon,Callistemon purpurascens,purpurascens,,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,20319.0,Critically Endangered,2018-10-26T23:43:26.08+11:00,20347,20347,Critically Endangered
Species,Plantae,Flora,Flora,Solanaceae,Solanum,Solanum sulphureum,sulphureum,Manning Yellow Solanum,"Alive in NSW, Native",Endangered,false,Not Sensitive,20295.0,Endangered,2019-06-12T15:12:26.28+10:00,20359,20359,Endangered
Species,Animalia,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus,Nyctophilus corbeni,corbeni,Corben's Long-eared Bat,"Alive in NSW, Native",Vulnerable,true,Not Sensitive,10568.0,Vulnerable,2012-08-31T17:27:16.29+10:00,20620,20620,Vulnerable
Species,Plantae,Flora,Flora,Orchidaceae,Corunastylis,Corunastylis sp. Charmhaven (NSW896673),sp. Charmhaven (NSW896673),,"Alive in NSW, Native",Critically Endangered,true,Category 2,20266.0,Critically Endangered,2018-10-22T18:03:18.47+11:00,20623,20623,Critically Endangered
Species,Plantae,Flora,Flora,Elaeocarpaceae,Elaeocarpus,Elaeocarpus sedentarius,sedentarius,Minyon Quandong,"Alive in NSW, Native",Endangered,false,Category 3,10261.0,Endangered,2017-10-04T17:27:12.223+11:00,20749,20749,Endangered
Subspecies,Plantae,Flora,Flora,Dilleniaceae,Hibbertia,Hibbertia stricta subsp. furcatula,stricta,,"Alive in NSW, Native",Endangered,false,Not Sensitive,20078.0,Not Listed,2017-10-04T17:27:15.943+11:00,20831,20831,Endangered
Species,Plantae,Flora,Flora,Asteraceae,Rhaponticum,Rhaponticum australe,australe,Austral Cornflower,"Extinct in NSW, Native",Extinct,false,Not Sensitive,20217.0,Vulnerable,2020-01-22T14:57:31.787+11:00,20835,20835,Extinct
Species,Animalia,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus arktos,arktos,Black-tailed Antechinus,"Alive in NSW, Native",Endangered,true,Not Sensitive,20298.0,Endangered,2018-08-29T12:39:57.953+10:00,20904,20904,Endangered
Species,Animalia,Reptilia,Squamata,Agamidae,Ctenophorus,Ctenophorus mirrityana,mirrityana,Barrier Range Dragon,"Alive in NSW, Native",Endangered,true,Not Sensitive,10188.0,Not Listed,2018-10-26T23:43:26.613+11:00,21053,21053,Endangered
