scientificName,vernacularName,family,sourceStatus,status
Dodonaea heteromorpha,Maple-fruited Hop-bush,Sapindaceae,x,Presumed extinct
Caladenia thysanochila,Fringed Spider-orchid,Orchidaceae,x,Presumed extinct
Acacia argyrophylla,Silver Mulga,Mimosaceae,x,Presumed extinct
Prasophyllum colemaniarum,Lilac Leek-orchid,Orchidaceae,x,Presumed extinct
Prasophyllum morganii,Mignonette Leek-orchid,Orchidaceae,x,Presumed extinct
Perameles gunnii,Eastern Barred Bandicoot,Peramelidae,wx,Extinct in the Wild
Emydura macquarii,Murray River Turtle,Chelidae,vu,Vulnerable
Hypseleotris compressa,Empire Gudgeon,Eleotridae,vu,Vulnerable
Galaxias rostratus,Flat-headed Galaxias,Galaxiinae,vu,Vulnerable
Galaxiella toourtkoourt,Little Galaxias,Galaxiinae,vu,Vulnerable
Mugilogobius platynotus,Flatback Mangrovegoby,Gobiidae,vu,Vulnerable
Melanotaenia fluviatilis,Murray-Darling Rainbowfish,Melanotaeniidae,vu,Vulnerable
Euastacus yanga,Variable Spiny Crayfish,Parastacidae,vu,Vulnerable
Maccullochella peelii,Murray Cod,Percichthyidae,vu,Vulnerable
Nannoperca australis (Murray-Darling lineage),Southern Pygmy Perch (Murray-Darling lineage),Percichthyidae,vu,Vulnerable
Nannoperca obscura,Yarra Pygmy Perch,Percichthyidae,vu,Vulnerable
Nannoperca sp. 1,Flinders Pygmy Perch,Percichthyidae,vu,Vulnerable
Nannoperca variegata,Variegated Pygmy Perch,Percichthyidae,vu,Vulnerable
Prototroctes maraena,Australian Grayling,Prototroctinae,vu,Vulnerable
Bidyanus bidyanus,Silver Perch,Terapontidae,vu,Vulnerable
Australatya striolata,Riffle Shrimp,Atyidae,vu,Vulnerable
Athanopsis australis,Southern Hooded Shrimp,Alpheidae,vu,Vulnerable
Attheyella (Delachauxiella) dedeckkeri,Copepod,Canthocamptidae,vu,Vulnerable
Calamoecia australica,copepod,Centropagidae,vu,Vulnerable
Calamoecia australis,Centropagid copepod,Centropagidae,vu,Vulnerable
Spathula tryssa,Planarian,Dugesiidae,vu,Vulnerable
Ecnomus neboissi,Caddisfly,Ecnomidae,vu,Vulnerable
Ecnomus nibbor,Caddisfly,Ecnomidae,vu,Vulnerable
Triaenodes cuspiosa,Caddisfly,Leptoceridae,vu,Vulnerable
Leptocerus souta,Caddisfly,Leptocerinae,vu,Vulnerable
Austroaeschna (Austroaeschna) flavomaculata,Alpine Darner Dragonfly,Telephlebiidae,vu,Vulnerable
Plectrotarsus gravenhorstii,Caddisfly,Plectrotarsidae,vu,Vulnerable
Antiporus willyamsi,diving beetle,Hydroporinae,vu,Vulnerable
Hygrobia australasiae,squeak beetle,Hygrobiidae,vu,Vulnerable
Notomicrus tenellus,water beetle,Noteridae,vu,Vulnerable
Tanjistomella verna,Caddisfly,Kokiriidae,vu,Vulnerable
Rowedota shepherdi,Sea-cucumber species,Chiridotidae,vu,Vulnerable
Rhodope rousei,Marine opisthobranch,Rhodopidae,vu,Vulnerable
Apsolidium densum,Sea Cucumber 5251,Cucumariidae,vu,Vulnerable
Apsolidium falconerae,Sea-cucumber,Cucumariidae,vu,Vulnerable
Apsolidium handrecki,Sea Cucumber 5052,Cucumariidae,vu,Vulnerable
Pentocnus bursatus,Sea Cucumber (species 5258),Cucumariidae,vu,Vulnerable
Platydoris galbana,Sea slug,Discodorididae,vu,Vulnerable
Thyone nigra,Sea-cucumber species,Thyonidae,vu,Vulnerable
Ralpharia coccinea,Stalked Hydroid species,Tubulariidae,vu,Vulnerable
Carcharodon carcharias,Great White Shark,Lamnidae,vu,Vulnerable
Bassethullia glypta,Chiton 5254,Acanthochitonidae,vu,Vulnerable
Amphiura (Amphiura) trisacantha,Brittle Star species,Amphiuridae,vu,Vulnerable
Clarkcoma australis,Brittle Star species,Ophiocomidae,vu,Vulnerable
Arctophoca forsteri,Long-nosed Fur Seal,Otariidae,vu,Vulnerable
Australomedusa baylii,Brackish Jellyfish,Australomedusidae,vu,Vulnerable
Megaptera novaeangliae australis,Southern Humpback Whale,Balaenopteridae,vu,Vulnerable
Miniopterus orianae oceanensis,Eastern Bent-winged Bat,Vespertilionidae,vu,Vulnerable
Antigone rubicunda,Brolga,Gruidae,vu,Vulnerable
Ornithorhynchus anatinus,Platypus,Ornithorhynchidae,vu,Vulnerable
Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,Pardalotidae,vu,Vulnerable
Pyrrholaemus sagittatus,Speckled Warbler,Pardalotidae,vu,Vulnerable
Hesperilla flavescens,Yellow Sedge-skipper Butterfly,Hesperiidae,vu,Vulnerable
Pasma tasmanica,Two-spotted Grass-skipper Butterfly,Hesperiidae,vu,Vulnerable
Telicota eurychlora,Southern Sedge-darter Butterfly,Hesperiidae,vu,Vulnerable
Pelagodroma marina,White-faced Storm-Petrel,Hydrobatidae,vu,Vulnerable
Accipiter novaehollandiae,Grey Goshawk,Accipitridae,vu,Vulnerable
Hieraaetus morphnoides,Little Eagle,Accipitridae,vu,Vulnerable
Lophoictinia isura,Square-tailed Kite,Accipitridae,vu,Vulnerable
Phascogale tapoatafa,Brush-tailed Phascogale,Dasyuridae,vu,Vulnerable
Litoria aurea,Green and Golden Bell Frog,Hylidae,vu,Vulnerable
Litoria dentata,Keferstein's Tree Frog,Hylidae,vu,Vulnerable
Aythya australis,Hardhead,Anatidae,vu,Vulnerable
Biziura lobata,Musk Duck,Anatidae,vu,Vulnerable
Spatula rhynchotis,Australasian Shoveler,Anatidae,vu,Vulnerable
Sminthopsis murina murina,Common Dunnart,Dasyuridae,vu,Vulnerable
Diomedea epomophora,Southern Royal Albatross,Diomedeidae,vu,Vulnerable
Thalassarche carteri,Indian Yellow-nosed Albatross,Diomedeidae,vu,Vulnerable
Thalassarche cauta,Shy Albatross,Diomedeidae,vu,Vulnerable
Thalassarche chrysostoma,Grey-headed Albatross,Diomedeidae,vu,Vulnerable
Thalassarche melanophris,Black-browed Albatross,Diomedeidae,vu,Vulnerable
Arachnocampa (Lucifera) buffaloensis,Mt Buffalo Glow-worm,Keroplatidae,vu,Vulnerable
Sternula albifrons,Little Tern,Laridae,vu,Vulnerable
Potorous longipes,Long-footed Potoroo,Potoroidae,vu,Vulnerable
Macronectes giganteus,Southern Giant-Petrel,Procellariidae,vu,Vulnerable
Pachyptila turtur,Fairy Prion,Procellariidae,vu,Vulnerable
Petauroides volans,Southern Greater Glider,Pseudocheiridae,vu,Vulnerable
Neophema elegans,Elegant Parrot,Psittacidae,vu,Vulnerable
Neophema splendida,Scarlet-chested Parrot,Psittacidae,vu,Vulnerable
Echiopsis curta,Bardick,Elapidae,vu,Vulnerable
Falco subniger,Black Falcon,Falconidae,vu,Vulnerable
Hypochrysops ignitus ignitus,Fiery Jewel Butterfly,Lycaenidae,vu,Vulnerable
Jalmenus icilius,Amethyst Hairstreak Butterfly,Lycaenidae,vu,Vulnerable
Hirundapus caudacutus,White-throated Needletail,Apodidae,vu,Vulnerable
Pteropus poliocephalus,Grey-headed Flying-fox,Pteropodidae,vu,Vulnerable
Ogyris genoveva,Genoveva Blue,Lycaenidae,vu,Vulnerable
Ogyris subterrestris subterrestris,Mildura Ogyris Butterfly,Lycaenidae,vu,Vulnerable
Ardea alba,Great Egret,Ardeidae,vu,Vulnerable
Ardea alba modesta,Eastern Great Egret,Ardeidae,vu,Vulnerable
Dupetor flavicollis,Black Bittern,Ardeidae,vu,Vulnerable
Lewinia pectoralis,Lewin's Rail,Rallidae,vu,Vulnerable
Porzana pusilla,Baillon's Crake,Rallidae,vu,Vulnerable
Rhinolophus megaphyllus megaphyllus,Eastern Horseshoe Bat,Rhinolophidae,vu,Vulnerable
Myrmecia sp. 17,Bullant,Formicidae,vu,Vulnerable
Grantiella picta,Painted Honeyeater,Meliphagidae,vu,Vulnerable
Lichenostomus cratitius,Purple-gaped Honeyeater,Meliphagidae,vu,Vulnerable
Ptilotula plumula,Grey-fronted Honeyeater,Meliphagidae,vu,Vulnerable
Temognatha flavocincta,Jewel Beetle,Buprestinae,vu,Vulnerable
Temognatha maculiventris,Jewel Beetle,Buprestinae,vu,Vulnerable
Temognatha sanguinipennis,Jewel Beetle,Buprestinae,vu,Vulnerable
Temognatha tricolorata,Jewel Beetle,Buprestinae,vu,Vulnerable
Coracina maxima,Ground Cuckoo-shrike,Campephagidae,vu,Vulnerable
Actitis hypoleucos,Common Sandpiper,Scolopacidae,vu,Vulnerable
Arenaria interpres,Ruddy Turnstone,Scolopacidae,vu,Vulnerable
Limosa limosa,Black-tailed Godwit,Scolopacidae,vu,Vulnerable
Numenius madagascariensis,Eastern Curlew,Scolopacidae,vu,Vulnerable
Numenius phaeopus,Whimbrel,Scolopacidae,vu,Vulnerable
Tringa glareola,Wood Sandpiper,Scolopacidae,vu,Vulnerable
Tringa nebularia,Common Greenshank,Scolopacidae,vu,Vulnerable
