scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Scaevola hookeri,Angiospermae,Goodeniaceae,Endangered,Endangered,Creeping Fanflower,,,SA
Scaevola myrtifolia,Angiospermae,Goodeniaceae,Rare,Rare,Myrtle Fanflower,,,SA
Scaevola obovata,Angiospermae,Goodeniaceae,Vulnerable,Vulnerable,,,,SA
Schizaea bifida,Pteridophyta,Schizaeaceae,Vulnerable,Vulnerable,Forked Comb-fern,,,SA
Schizaea fistulosa,Pteridophyta,Schizaeaceae,Vulnerable,Vulnerable,Narrow Comb-fern,,,SA
Schoenus discifer,Angiospermae,Cyperaceae,Rare,Rare,Tiny Bog-rush,,,SA
Schoenus laevigatus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Schoenus latelaminatus,Angiospermae,Cyperaceae,Vulnerable,Vulnerable,Medusa Bog-rush,Broad-leaf Bog-rush,,SA
Schoenus lepidosperma,Angiospermae,Cyperaceae,Rare,Rare,Slender Bog-rush,,,SA
Schoenus sculptus,Angiospermae,Cyperaceae,Rare,Rare,Gimlet Bog-rush,Gimlet Bog-sedge,,SA
Schoenus tesquorum,Angiospermae,Cyperaceae,Rare,Rare,Grassy Bog-rush,Soft Bog-sedge,,SA
Scleranthus diander,Angiospermae,Caryophyllaceae,Endangered,Endangered,Tufted Knawel,,,SA
Sclerolaena birchii,Angiospermae,Chenopodiaceae,Declared,Declared,Galvanised Burr,Galvanised Bindyi,,SA
Sclerolaena blackiana,Angiospermae,Chenopodiaceae,Rare,Rare,Black's Bindyi,Black's Copperburr,,SA
Sclerolaena fontinalis,Angiospermae,Chenopodiaceae,Rare,Rare,Mound Spring Bindyi,,,SA
Sclerolaena fusiformis,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,,,,SA
Sclerolaena muricata,Angiospermae,Chenopodiaceae,Rare,Rare,Five-spine Bindyi,Black Roly-poly,,SA
Sclerolaena symoniana,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,Symon's Bindyi,,,SA
