Taxon_Id,Kingdom,Class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,EPBC_status,Significant,Confidential,Endemicity,status
1785,animals,birds,Columbidae,Geophaps scripta scripta,squatter pigeon (southern subspecies),"Temminck, 1821",V,V,Y,N,QA,Vulnerable
1952,animals,birds,Podargidae,Podargus ocellatus plumiferus,plumed frogmouth,"Gould, 1846",V,,Y,N,QA,Vulnerable
1971,animals,birds,Apodidae,Hirundapus caudacutus,white-throated needletail,"(Latham, 1801)",V,V,Y,N,QAI,Vulnerable
27767,animals,birds,Diomedeidae,Diomedea antipodensis antipodensis,Antipodean albatross,"Robertson & Warham, 1992",V,V,Y,N,QAI,Vulnerable
27768,animals,birds,Diomedeidae,Diomedea antipodensis gibsoni,Gibson's albatross,"Robertson & Warham, 1992",V,V,Y,N,QAI,Vulnerable
1255,animals,birds,Diomedeidae,Diomedea exulans,wandering albatross,"Linnaeus, 1758",V,V,Y,N,QAI,Vulnerable
1258,animals,birds,Diomedeidae,Phoebetria fusca,sooty albatross,"(Hilsenberg, 1822)",V,V,Y,N,VU,Vulnerable
18836,animals,birds,Diomedeidae,Thalassarche bulleri,Buller's albatross,"Rothschild, 1893",V,V,Y,N,VU,Vulnerable
1252,animals,birds,Diomedeidae,Thalassarche carteri,Indian yellow-nosed albatross,"Gmelin, 1789",V,V,Y,N,QAI,Vulnerable
1251,animals,birds,Diomedeidae,Thalassarche cauta,shy albatross,"Gould, 1841",E,V,Y,N,QAI,Endangered
1253,animals,birds,Diomedeidae,Thalassarche chrysostoma,grey-headed albatross,"Forster, 1785",E,E,Y,N,VU,Endangered
27766,animals,birds,Diomedeidae,Thalassarche steadi,white-capped albatross,"Falla, 1933",V,V,Y,N,QAI,Vulnerable
1200,animals,birds,Procellariidae,Ardenna grisea,sooty shearwater,"(Gmelin, 1789)",V,,Y,N,QAI,Vulnerable
1188,animals,birds,Procellariidae,Ardenna pacifica,wedge-tailed shearwater,"(Gmelin, 1789)",V,,Y,N,QAI,Vulnerable
1233,animals,birds,Procellariidae,Halobaena caerulea,blue petrel,"(Gmelin, 1789)",V,V,Y,N,VU,Vulnerable
1222,animals,birds,Procellariidae,Macronectes giganteus,southern giant-petrel,"(Gmelin, 1789)",E,E,Y,N,QAI,Endangered
1223,animals,birds,Procellariidae,Macronectes halli,northern giant-petrel,"Mathews, 1912",V,V,Y,N,VU,Vulnerable
22453,animals,birds,Procellariidae,Pterodroma heraldica,Herald petrel,"Salvin, 1888",CR,CE,Y,N,QAI,Critically endangered
1836,animals,birds,Ardeidae,Botaurus poiciloptilus,Australasian bittern,"(Wagler, 1827)",E,E,Y,N,QAI,Endangered
1728,animals,birds,Accipitridae,Erythrotriorchis radiatus,red goshawk,"(Latham, 1801)",E,E,Y,N,QA,Endangered
1705,animals,birds,Falconidae,Falco hypoleucos,grey falcon,"Gould, 1841",V,V,Y,Y,QA,Vulnerable
1958,animals,birds,Burhinidae,Esacus magnirostris,beach stone-curlew," (Vieillot, 1818)",V,,Y,N,QAI,Vulnerable
1948,animals,birds,Charadriidae,Charadrius leschenaultii,greater sand plover,"Lesson, 1826",V,V,Y,N,QAI,Vulnerable
1936,animals,birds,Charadriidae,Charadrius mongolus,lesser sand plover,"Pallas, 1776",E,E,Y,N,QAI,Endangered
1892,animals,birds,Pedionomidae,Pedionomus torquatus,plains-wanderer,"Gould, 1841",CR,CE,Y,N,QA,Critically endangered
1883,animals,birds,Rostratulidae,Rostratula australis,Australian painted-snipe,"(Gould, 1838)",E,E,Y,N,QA,Endangered
1877,animals,birds,Scolopacidae,Calidris canutus,red knot,"(Linnaeus, 1758)",E,E,Y,N,QAI,Endangered
1878,animals,birds,Scolopacidae,Calidris ferruginea,curlew sandpiper,"(Pontoppidan, 1763)",CR,CE,Y,N,QAI,Critically endangered
1856,animals,birds,Scolopacidae,Calidris tenuirostris,great knot,"(Horsfield, 1821)",CR,CE,Y,N,QAI,Critically endangered
1867,animals,birds,Scolopacidae,Limosa lapponica baueri,Western Alaskan bar-tailed godwit,"Naumann, 1836",V,V,Y,N,QAI,Vulnerable
