family,status,sourceStatus,vernacularName,scientificName,taxonRemarks,sensitivityZoneId
Hymenophyllaceae,Endangered,Endangered,,Abrodictyum obscurum,,NT
Fabaceae,Critically endangered,Critically endangered,,Acacia equisetifolia,,NT
Fabaceae,Vulnerable,Vulnerable,Latz's wattle,Acacia latzii ,,NT
Fabaceae,Endangered,Endangered,Waddy-wood,Acacia peuce,,NT
Fabaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Birds nest wattle,Acacia pickardii,,NT
Fabaceae,Vulnerable,Vulnerable,,Acacia praetermissa,,NT
Fabaceae,Vulnerable,Vulnerable,Undoolya wattle,Acacia undoolyana,,NT
Apiaceae,Vulnerable,Vulnerable,Flannel flower,Actinotus schwarzii,,NT
Pteridaceae,Vulnerable,Vulnerable,Venus-hair fern,Adiantum capillus-veneris,,NT
Euphorbiaceae,Vulnerable,Vulnerable,,Amperia spicata,,NT
Marattiaceae,Vulnerable,Vulnerable,,Angiopteris evecta,,NT
Sapindaceae,Critically endangered,Critically endangered,,Atalaya brevialata,,NT
Myrtaceae,Vulnerable,Vulnerable,,Babingtonia behrii,,NT
Cyperaceae,Endangered,Endangered,,Baumea arthrophylla,,NT
Dryopteridaceae,Vulnerable,Vulnerable,,Bolbitis quoyana,,NT
Rutaceae,Vulnerable,Vulnerable,,Boronia quadrilata,,NT
Rutaceae,Vulnerable,Vulnerable,,Boronia viridiflora,,NT
Burmanniaceae,Endangered,Endangered,,Burmannia sp. Bathurst Island,,NT
Orchidaceae,Vulnerable,Vulnerable,,Calochilus caeruleus,,NT
Cyperaceae,Vulnerable,Vulnerable,,Carex fascicularis,,NT
Rutaceae,Critically endangered,Critically endangered,,Clausena excavata,,NT
Ranunculaceae,Vulnerable,Vulnerable,,Clematis decipiens,,NT
Cleomaceae,Vulnerable,Vulnerable,,Cleome insolata,,NT
Orchidaceae,Vulnerable,Vulnerable,,Crepidium marsupichilum,,NT
Lauraceae,Endangered,Endangered,,Cryptocarya hypospodia,,NT
Cycadaceae,Vulnerable,Vulnerable,,Cycas armstrongii,,NT
Santalaceae,Vulnerable,Vulnerable,,Dendromyza reinwardtiana,,NT
Orchidaceae,Vulnerable,Vulnerable,,Dienia montana,,NT
Elaeocarpaceae,Critically endangered,Critically endangered,,Elaeocarpus miegei,,NT
Cyperaceae,Vulnerable,Vulnerable,Dwarf desert spike-rush,Eleocharis papillosa,,NT
Cyperaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,,Eleocharis retroflexa,,NT
Lauraceae,Vulnerable,Vulnerable,,Endiandra limnophila,,NT
Myoporaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Rainbow Valley fuschia bush,Eremophila prostrata,,NT
Erythroxylaceae,Endangered,Endangered,,Erythroxylum sp. Cholmondely Creek,,NT
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia excelsa,,NT
Pandanaceae,Vulnerable,Vulnerable,,Freycinetia percostata,,NT
Clusiaceae,Endangered,Endangered,,Garcinia warrenii,,NT
Gleicheniaceae,Vulnerable,Vulnerable,,Gleichenia sp. Victoria River,,NT
Goodeniaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,,Goodenia quadrifida,,NT
Orchidaceae,Endangered,Endangered,,Habenaria rumphii,,NT
Malvaceae,Endangered,Endangered,,Helicteres macrothrix,,NT
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia brennanii,,NT
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia pancerea,,NT
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia sp. South Magela,,NT
Dilleniaceae,Vulnerable,Vulnerable,,Hibbertia tricornis,,NT
Malvaceae,Vulnerable,Vulnerable,,Hibiscus brennanii,,NT
Malvaceae,Vulnerable,Vulnerable,,Hibiscus cravenii,,NT
Apocynaceae,Vulnerable,Vulnerable,,Hoya australis subsp. oramicola,,NT
Fabaceae,Critically endangered,Critically endangered,,Intsia bijuga,,NT
Fabaceae,Vulnerable,Vulnerable,,Jacksonia divisa,,NT
Myrtaceae,Vulnerable,Vulnerable,,Lithomyrtus linariifolia,,NT
Arecaceae,Endangered,Endangered,Red cabbage palm,Livistona mariae subsp. Mariae,,NT
Orchidaceae,Vulnerable,Vulnerable,,Luisia corrugata,,NT
Thelypteridaceae,Endangered,Endangered,,Macrothelypteris torresiana,,NT
Zamiaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Macdonnell Ranges cycad,Macrozamia macdonnellii,,NT
Cyperaceae,Vulnerable,Vulnerable,,Mapania macrocephala,,NT
Asteraceae,Vulnerable,Vulnerable,,Minuria tridens,,NT
Sapindaceae,Endangered,Endangered,,Mischocarpus stipitatus,,NT
Annonaceae,Vulnerable,Vulnerable,,Mitrella tiwiensis,,NT
Pontederiaceae,Vulnerable,Vulnerable,,Monochoria hastata,,NT
Asteraceae,Endangered,Endangered,,Olearia macdonnellensis,,NT
Apiaceae,Vulnerable,Vulnerable,,Platysace saxatilis,,NT
Lamiaceae,Vulnerable,Vulnerable,,Prostanthera schultzii,,NT
Melastomataceae,Vulnerable,Vulnerable,,Pternandra coerulescens,,NT
Arecaceae,Endangered,Endangered,Darwin palm,Ptychosperma macarthurii,,NT
Euphorbiaceae,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Glory of the Centre,Ricinocarpos gloria-medii,,NT
Santalaceae,Vulnerable,Vulnerable,,Santalum acuminatum,,NT
Cyperaceae,Vulnerable,Vulnerable,,Schoenus centralis,,NT
Malvaceae,Endangered,Endangered,,Schoutenia ovata,,NT
Poaceae,Vulnerable,Vulnerable,,Sporobolus latzii,,NT
Gleicheniaceae,Vulnerable,Vulnerable,,Sticherus flabellatus,,NT
Stylidiaceae,Endangered,Endangered,,Stylidium ensatum,,NT
Rubiaceae,Endangered,Endangered,,Tarennoidea wallichii,,NT
Orchidaceae,Vulnerable,Vulnerable,,Thrixspermum congestum,,NT
Poaceae,Vulnerable,Vulnerable,,Triodia sp. Matt Wilson,,NT
Araceae,Endangered,Endangered,,Typhonium jonesii,,NT
Araceae,Endangered,Endangered,,Typhonium mirabile,,NT
Araceae,Vulnerable,Vulnerable,,Typhonium praetermissum,,NT
Araceae,Vulnerable,Vulnerable,,Typhonium sp. Sandover,,NT
Araceae,Endangered,Endangered,,Typhonium taylori,,NT
Lentibulariaceae,Vulnerable,Vulnerable,,Utricularia dunstaniae,,NT
Lentibulariaceae,Vulnerable,Vulnerable,,Utricularia singeriana,,NT
Annonaceae,Endangered,Endangered,,Xylopia monosperma,,NT
Orchidaceae,Vulnerable,Vulnerable,,Zeuxine oblonga,,NT
,Endangered,Endangered,Abbot's booby,Papasula abbotti,Bird,NT
,Endangered,Endangered,Alice Springs squat snail,Semotrachia euzyga,Invertebrate,NT
,Vulnerable,Vulnerable,Angalarri grunter,Scortum neili,Fish,NT
,Endangered,Endangered,Arafura snake-eyed skink,Cryptoblepharus gurrmul,Reptile,NT
,Endangered,Endangered,Arnhem land gorges skink,Bellatorias obiri,Reptile,NT
,Vulnerable,Vulnerable,Arnhem leaf-nosed bat,Hipposideros inornatus,Mammal,NT
,Vulnerable,Vulnerable,Arnhem rock-rat,Zyzomys maini,Mammal,NT
,Vulnerable,Vulnerable,Atlas moth,Attacus wardi,Invertebrate,NT
,Endangered,Endangered,Australian painted-snipe,Rostratula australis,Bird,NT
,Critically endangered,Critically endangered,Bar-tailed godwit (northern Siberian),Limosa lapponica menzbieri,Bird,NT
,Vulnerable,Vulnerable,Bar-tailed godwit (western Alaskan),Limosa lapponica baueri,Bird,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Bare-rumped sheath-tailed bat,Saccolaimus saccolaimus nudicluniatus,Mammal,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Bednall’s dwarfmelon,Sinumelon bednalli,Invertebrate,NT
,Endangered,Endangered,Behn River keeled snail,Ordtrachia australis,Invertebrate,NT
,Listed nationally but not under NT legislation,Listed nationally but not under NT legislation,Black-footed rock-wallaby (central Australian),Petrogale lateralis centralis,Mammal,NT
,Endangered,Endangered,Black-footed tree-rat (Kimberley and mainland NT),Mesembriomys gouldii gouldii,Mammal,NT
,Vulnerable,Vulnerable,Black-footed tree-rat (Melville Island),Mesembriomys gouldii melvillensis,Mammal,NT
,Endangered,Endangered,Bronzeback,Ophidiocephalus taeniatus,Reptile,NT
,Endangered ,Endangered (extinct in NT),Brush-tailed bettong,Bettongia penicillata,Mammal,NT
,Endangered,Endangered,Brush-tailed rabbit-rat,Conilurus penicillatus,Mammal,NT
,Extinct,Extinct,Burrowing bettong (inland),Bettongia lesueur graii,Mammal,NT
,Vulnerable,Vulnerable,Butler’s dunnart,Sminthopsis butleri,Mammal,NT
,Endangered,Endangered,Carpentarian grasswren,Amytornis dorotheae,Bird,NT
