taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
713,Animalia,Amphibia,Microhylidae,Cophixalus peninsularis,Cape York nurseryfrog,"Zweifel, 1985",V,Y,N,Vulnerable,Queensland Endemic,
699,Animalia,Amphibia,Microhylidae,Cophixalus saxatilis,Black Mountain boulderfrog,"Zweifel & Parker, 1977",V,Y,N,Vulnerable,Queensland Endemic,
19463,Animalia,Amphibia,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",V,Y,Y,Vulnerable,Queensland Endemic,
1100,Animalia,Aves,Casuariidae,Casuarius casuarius johnsonii (northern population),southern cassowary (northern population),"Mueller, 1866",V,Y,N,Vulnerable,Queensland Endemic,Endangered
1087,Animalia,Aves,Casuariidae,Casuarius casuarius johnsonii (southern population),southern cassowary (southern population),"Mueller, 1866",E,Y,N,Endangered,Queensland Endemic,Endangered
1995,Animalia,Aves,Anatidae,Spatula querquedula,garganey,"Linnaeus, 1758",SL,Y,N,Special least concern,Vagrant (International),
1286,Animalia,Aves,Phaethontidae,Phaethon lepturus,white-tailed tropicbird,"Daudin, 1802",SL,Y,N,Special least concern,Not Endemic to Australia,
1273,Animalia,Aves,Phaethontidae,Phaethon rubricauda,red-tailed tropicbird,"Boddaert, 1783",V,Y,N,Vulnerable,Not Endemic to Australia,
1785,Animalia,Aves,Columbidae,Geophaps scripta scripta,squatter pigeon (southern subspecies),"Temminck, 1821",V,Y,N,Vulnerable,Intranational,Vulnerable
1952,Animalia,Aves,Podargidae,Podargus ocellatus plumiferus,plumed frogmouth,"Gould, 1846",V,Y,N,Vulnerable,Intranational,
1965,Animalia,Aves,Apodidae,Apus pacificus,fork-tailed swift,"(Latham, 1802)",SL,Y,N,Special least concern,Not Endemic to Australia,
1971,Animalia,Aves,Apodidae,Hirundapus caudacutus,white-throated needletail,"(Latham, 1801)",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1236,Animalia,Aves,Oceanitidae,Oceanites oceanicus,Wilson's storm-petrel,"(Kuhl, 1820)",SL,Y,N,Special least concern,Not Endemic to Australia,
27767,Animalia,Aves,Diomedeidae,Diomedea antipodensis antipodensis,Antipodean albatross,"Robertson & Warham, 1992",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
27768,Animalia,Aves,Diomedeidae,Diomedea antipodensis gibsoni,Gibson's albatross,"Robertson & Warham, 1992",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1254,Animalia,Aves,Diomedeidae,Diomedea epomophora,southern royal albatross,"Lesson, 1825",SL,Y,N,Special least concern,Vagrant (International),Vulnerable
1255,Animalia,Aves,Diomedeidae,Diomedea exulans,wandering albatross,"Linnaeus, 1758",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1258,Animalia,Aves,Diomedeidae,Phoebetria fusca,sooty albatross,"(Hilsenberg, 1822)",V,Y,N,Vulnerable,Vagrant (Unknown),Vulnerable
1259,Animalia,Aves,Diomedeidae,Phoebetria palpebrata,light-mantled sooty albatross,"(Forster, 1785)",SL,Y,N,Special least concern,Vagrant (Unknown),
18836,Animalia,Aves,Diomedeidae,Thalassarche bulleri,Buller's albatross,"Rothschild, 1893",V,Y,N,Vulnerable,Vagrant (Unknown),Vulnerable
1252,Animalia,Aves,Diomedeidae,Thalassarche carteri,Indian yellow-nosed albatross,"Gmelin, 1789",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1251,Animalia,Aves,Diomedeidae,Thalassarche cauta,shy albatross,"Gould, 1841",E,Y,N,Endangered,Not Endemic to Australia,Vulnerable
1253,Animalia,Aves,Diomedeidae,Thalassarche chrysostoma,grey-headed albatross,"Forster, 1785",E,Y,N,Endangered,Vagrant (Unknown),Endangered
33169,Animalia,Aves,Diomedeidae,Thalassarche impavida,Campbell albatross,"Mathews, 1912",SL,Y,N,Special least concern,Not Endemic to Australia,Vulnerable
