scientificName,vernacularName,Current Scientific Name,status,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,listed sprat taxonID,current sprat taxonID,kingdom,class,Profile,Date extracted,nsl name,family,genus,species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author,sourceStatus
Acacia awestoniana,Stirling Range Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55562,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55562,2022-10-05,https://id.biodiversity.org.au/name/apni/117973,Fabaceae,Acacia,awestoniana,-,-,R.S.Cowan  Maslin,-,Vulnerable
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",-,Vulnerable,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,13563,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13563,2022-10-05,https://id.biodiversity.org.au/name/apni/59024,Fabaceae,Acacia,axillaris,-,-,Benth.,-,Vulnerable
Acacia brachypoda,Western Wheatbelt Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55594,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55594,2022-10-05,https://id.biodiversity.org.au/name/apni/118007,Fabaceae,Acacia,brachypoda,-,-,Maslin,-,Endangered
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8575,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8575,2022-10-05,https://id.biodiversity.org.au/name/apni/59969,Fabaceae,Acacia,bynoeana,-,-,Benth.,-,Vulnerable
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",-,Vulnerable,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,21883,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21883,2022-10-05,https://id.biodiversity.org.au/name/apni/59987,Fabaceae,Acacia,caerulescens,-,-,Maslin  Court,-,Vulnerable
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",-,Vulnerable,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,66685,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66685,2022-10-05,https://id.biodiversity.org.au/name/apni/164737,Fabaceae,Acacia,carneorum,-,-,Maiden,-,Vulnerable
Acacia chapmanii subsp. australis,-,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65249,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65249,2022-10-05,https://id.biodiversity.org.au/name/apni/153433,Fabaceae,Acacia,chapmanii,subsp.,australis,-,R.S.Cowan  Maslin,Endangered
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,23877,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=23877,2022-10-05,https://id.biodiversity.org.au/name/apni/153457,Fabaceae,Acacia,cochlocarpa,subsp.,cochlocarpa,Meisn.,-,Endangered
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65112,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65112,2022-10-05,https://id.biodiversity.org.au/name/apni/152953,Fabaceae,Acacia,cochlocarpa,subsp.,velutinosa,-,Maslin  A.R.Chapm.,Critically Endangered
Acacia constablei,Narrabarba Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10798,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10798,2022-10-05,https://id.biodiversity.org.au/name/apni/60740,Fabaceae,Acacia,constablei,-,-,Tind.,-,Vulnerable
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56299,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56299,2022-10-05,https://id.biodiversity.org.au/name/apni/118803,Fabaceae,Acacia,courtii,-,-,Tindale  Herscovitch,-,Vulnerable
Acacia cretacea,Chalky Wattle,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,10689,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10689,2022-10-05,https://id.biodiversity.org.au/name/apni/60982,Fabaceae,Acacia,cretacea,-,-,Maslin  Whibley,-,Endangered
Acacia crombiei,Pink Gidgee,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,10927,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10927,2022-10-05,https://id.biodiversity.org.au/name/apni/61004,Fabaceae,Acacia,crombiei,-,-,C.White,-,Vulnerable
Acacia curranii,Curly-bark Wattle,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3908,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3908,2022-10-05,https://id.biodiversity.org.au/name/apni/61102,Fabaceae,Acacia,curranii,-,-,Maiden,-,Vulnerable
Acacia dangarensis,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55214,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55214,2022-10-05,https://id.biodiversity.org.au/name/apni/117590,Fabaceae,Acacia,dangarensis,-,-,Tindale  Kodela,-,Critically Endangered
Acacia denticulosa,Sandpaper Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,20600,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20600,2022-10-05,https://id.biodiversity.org.au/name/apni/61680,Fabaceae,Acacia,denticulosa,-,-,F.Muell.,-,Vulnerable
Acacia depressa,Echidna Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,5685,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5685,2022-10-05,https://id.biodiversity.org.au/name/apni/61761,Fabaceae,Acacia,depressa,-,-,Maslin,-,Vulnerable
