scientificName,vernacularName,Current Scientific Name,status,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,listed sprat taxonID,current sprat taxonID,kingdom,class,Profile,Date extracted,nsl name,family,genus,species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author,sourceStatus
Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",-,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,-,-,-,-,-,Yes,877,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=877,2022-10-05,-,Charadriidae,Charadrius,leschenaultii,-,-,"Lesson, 1826",-,Vulnerable
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",-,Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,Yes,-,-,-,-,Yes,879,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=879,2022-10-05,-,Charadriidae,Charadrius,mongolus,-,-,"Pallas,1776",-,Endangered
Cheiranthera volubilis,Twining Finger-flower,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,3125,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3125,2022-10-05,https://id.biodiversity.org.au/name/apni/62823,Pittosporaceae,Cheiranthera,volubilis,-,-,Benth.,-,Vulnerable
Chelonia mydas,Green Turtle,-,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,-,Yes,1765,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1765,2022-10-05,-,Cheloniidae,Chelonia,mydas,-,-,"(Linnaeus,1758)",-,Vulnerable
Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,78931,-,Animalia,Malacostraca,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78931,2022-10-05,-,Parastacidae,Cherax,tenuimanus,-,-,"(Smith, 1912)",-,Critically Endangered
Chiloglottis anaticeps,Duck's-head Wasp-orchid,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55027,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55027,2022-10-05,https://id.biodiversity.org.au/name/apni/117388,Orchidaceae,Chiloglottis,anaticeps,-,-,D.L.Jones,-,Endangered
Chingia australis,-,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,24603,-,Plantae,Polypodiatae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24603,2022-10-05,https://id.biodiversity.org.au/name/apni/64875,Thelypteridaceae,Chingia,australis,-,-,Holttum,-,Endangered
Chlamydogobius micropterus,Elizabeth Springs Goby,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,64698,-,Animalia,Actinopterygii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64698,2022-10-05,-,Gobiidae,Chlamydogobius,micropterus,-,-,"Larson, 1995",-,Endangered
Chlamydogobius squamigenus,Edgbaston Goby,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,66675,-,Animalia,Actinopterygii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66675,2022-10-05,-,Gobiidae,Chlamydogobius,squamigenus,-,-,"Larson, 1995",-,Vulnerable
Chordifex abortivus,Manypeaks Rush,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64868,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64868,2022-10-05,https://id.biodiversity.org.au/name/apni/154057,Restionaceae,Chordifex,abortivus,-,-,(Nees) B.G.Briggs  L.A.S.Johnson,-,Endangered
Chorizema humile,Prostrate Flame Pea,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,32573,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=32573,2022-10-05,https://id.biodiversity.org.au/name/apni/67089,Fabaceae,Chorizema,humile,-,-,Turcz.,-,Endangered
Chorizema varium,Limestone Pea,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,16981,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16981,2022-10-05,https://id.biodiversity.org.au/name/apni/67398,Fabaceae,Chorizema,varium,-,-,Lindley,-,Endangered
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko ",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,59250,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59250,2022-10-05,-,Gekkonidae,Christinus,guentheri,-,-,"(Boulenger,1885)",-,Vulnerable
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",-,Critically Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,67099,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67099,2022-10-05,-,Cinclosomatidae,Cinclosoma,punctatum,-,anachoreta,-,"Schodde  Mason, 1999",Critically Endangered
Clausena excavata,-,-,Critically Endangered,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68631,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68631,2022-10-05,https://id.biodiversity.org.au/name/apni/125911,Rutaceae,Clausena,excavata,-,-,Burm.f.,-,Critically Endangered
Clematis dubia,"a creeper, Clematis",-,Critically Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,22035,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22035,2022-10-05,https://id.biodiversity.org.au/name/apni/117286,Ranunculaceae,Clematis,dubia,-,-,(Endl.) P.S.Green,-,Critically Endangered
Clematis fawcettii,Stream Clematis,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,4311,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4311,2022-10-05,https://id.biodiversity.org.au/name/apni/71771,Ranunculaceae,Clematis,fawcettii,-,-,F.Muell.,-,Vulnerable
Codonocarpus pyramidalis,"Slender Bell-fruit, Camel Poison",-,Vulnerable,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,19507,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19507,2022-10-05,https://id.biodiversity.org.au/name/apni/72967,Gyrostemonaceae,Codonocarpus,pyramidalis,-,-,(F.Muell.) F.Muell.,-,Vulnerable
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,59628,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59628,2022-10-05,-,Scincidae,Coeranoscincus,reticulatus,-,-,"(Gunther,1873)",-,Vulnerable
Coleanthera virgata,Hidden Coleanthera,-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,10107,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10107,2022-10-05,https://id.biodiversity.org.au/name/apni/73128,Epacridaceae,Coleanthera,virgata,-,-,Stschegl.,-,Extinct
Colobanthus curtisiae,Curtis' Colobanth,-,Vulnerable,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,23961,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=23961,2022-10-05,https://id.biodiversity.org.au/name/apni/119312,Caryophyllaceae,Colobanthus,curtisiae,-,-,J.G.West,-,Vulnerable
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",-,Extinct,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25988,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25988,2022-10-05,-,Columbidae,Columba,vitiensis,-,godmanae,-,"(Mathews, 1915)",Extinct
Comesperma oblongatum,Byfield Matchstick,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,9002,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9002,2022-10-05,https://id.biodiversity.org.au/name/apni/74171,Polygalaceae,Comesperma,oblongatum,-,-,(Benth.) Pedley,-,Vulnerable
Commersonia apella,Many-flowered Commersonia,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,86877,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86877,2022-10-05,https://id.biodiversity.org.au/name/apni/230731,Malvaceae,Commersonia,apella,-,-,C.F.Wilkins,-,Critically Endangered
Commersonia erythrogyna,Trigwell's Rulingia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,86397,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86397,2022-10-05,https://id.biodiversity.org.au/name/apni/235967,Malvaceae,Commersonia,erythrogyna,-,-,C.F.Wilkins,-,Endangered
Commersonia prostrata,Dwarf Kerrawang,-,Endangered,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,87152,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87152,2022-10-05,https://id.biodiversity.org.au/name/apni/230729,Malvaceae,Commersonia,prostrata,-,-,(Maiden  Betche) C.F.Wilkins  Whitlock,-,Endangered
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",-,Extinct,-,Yes,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,131,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=131,2022-10-05,-,Muridae,Conilurus,albipes,-,-,"(Lichtenstein, 1829)",-,Extinct
Conilurus capricornensis,Capricorn Rabbit-rat,-,Extinct,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,87615,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87615,2022-10-05,-,Muridae,Conilurus,capricornensis,-,-,"Cramb  Hocknull, 2010",-,Extinct
Conilurus penicillatus,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",-,Vulnerable,-,-,Yes,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,132,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=132,2022-10-05,-,Muridae,Conilurus,penicillatus,-,-,"Gould, 1842",-,Vulnerable
Conospermum densiflorum subsp. unicephalatum,One-headed Smokebush,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64871,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64871,2022-10-05,https://id.biodiversity.org.au/name/apni/161435,Proteaceae,Conospermum,densiflorum,subsp.,unicephalatum,E.M.Benn.,-,Endangered
Conospermum galeatum,-,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,68179,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68179,2022-10-05,https://id.biodiversity.org.au/name/apni/165074,Proteaceae,Conospermum,galeatum,-,-,E.M.Benn.,-,Critically Endangered
Conospermum hookeri,Variable Smoke-bush,-,Vulnerable,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,68161,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68161,2022-10-05,https://id.biodiversity.org.au/name/apni/165075,Proteaceae,Conospermum,hookeri,-,-,(Meissner) E.M.Benn.,-,Vulnerable
Conospermum undulatum,Wavy-leaved Smokebush,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,24435,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24435,2022-10-05,https://id.biodiversity.org.au/name/apni/76908,Proteaceae,Conospermum,undulatum,-,-,Lindley,-,Vulnerable
Conostylis dielsii subsp. teres,Irwin's Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,3614,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3614,2022-10-05,https://id.biodiversity.org.au/name/apni/77419,Haemodoraceae,Conostylis,dielsii,subsp.,teres,-,Hopper,Endangered
Conostylis drummondii,Drummond's Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,5885,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5885,2022-10-05,https://id.biodiversity.org.au/name/apni/77427,Haemodoraceae,Conostylis,drummondii,-,-,Benth.,-,Endangered
Conostylis lepidospermoides,Sedge Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,9254,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9254,2022-10-05,https://id.biodiversity.org.au/name/apni/77539,Haemodoraceae,Conostylis,lepidospermoides,-,-,Hopper,-,Endangered
Conostylis micrantha,Small-flowered Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,17635,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17635,2022-10-05,https://id.biodiversity.org.au/name/apni/77576,Haemodoraceae,Conostylis,micrantha,-,-,Hopper,-,Endangered
Conostylis misera,Grass Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,21320,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21320,2022-10-05,https://id.biodiversity.org.au/name/apni/77588,Haemodoraceae,Conostylis,misera,-,-,Endl.,-,Endangered
Conostylis rogeri,"Kulin Conostylis, Single-flowered Conostylis",-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,14362,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14362,2022-10-05,https://id.biodiversity.org.au/name/apni/77734,Haemodoraceae,Conostylis,rogeri,-,-,Hopper,-,Vulnerable
Conostylis seorsiflora subsp. trichophylla,Hairy Mat Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,13920,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13920,2022-10-05,https://id.biodiversity.org.au/name/apni/77751,Haemodoraceae,Conostylis,seorsiflora,subsp.,trichophylla,-,Hopper,Endangered
Conostylis setigera subsp. dasys,Boscabel Conostylis,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,5775,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5775,2022-10-05,https://id.biodiversity.org.au/name/apni/77768,Haemodoraceae,Conostylis,setigera,subsp.,dasys,-,Hopper,Critically Endangered
Conostylis wonganensis,Wongan Conostylis,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,10906,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10906,2022-10-05,https://id.biodiversity.org.au/name/apni/77864,Haemodoraceae,Conostylis,wonganensis,-,-,Hopper,-,Endangered
Coopernookia georgei,Mauve Coopernookia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,21218,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21218,2022-10-05,https://id.biodiversity.org.au/name/apni/78705,Goodeniaceae,Coopernookia,georgei,-,-,Carolin,-,Endangered
Coopernookia scabridiuscula,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,9174,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9174,2022-10-05,https://id.biodiversity.org.au/name/apni/78722,Goodeniaceae,Coopernookia,scabridiuscula,-,-,Carolin,-,Vulnerable
Cophixalus aenigma,Tapping Nursery-frog,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,79086,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=79086,2022-10-05,-,Microhylidae,Cophixalus,aenigma,-,-,"Hoskin, 2004",-,Endangered
Cophixalus concinnus,Elegant Frog,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,1815,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1815,2022-10-05,-,Microhylidae,Cophixalus,concinnus,-,-,"Tyler,1979",-,Critically Endangered
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,1789,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1789,2022-10-05,-,Microhylidae,Cophixalus,hosmeri,-,-,"Zweifel,1985",-,Critically Endangered
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,1791,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1791,2022-10-05,-,Microhylidae,Cophixalus,mcdonaldi,-,-,"Zweifel,1985",-,Critically Endangered
Cophixalus monticola,Mountain-top Nursery-frog,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,64384,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64384,2022-10-05,-,Microhylidae,Cophixalus,monticola,-,-,"Richards, Dennis, Trennery and Werren,1994",-,Critically Endangered
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,1792,-,Animalia,Amphibia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1792,2022-10-05,-,Microhylidae,Cophixalus,neglectus,-,-,"Zweifel,1962",-,Critically Endangered
Coprosma baueri,Coastal Coprosma,-,Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,37851,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37851,2022-10-05,https://id.biodiversity.org.au/name/apni/78799,Rubiaceae,Coprosma,baueri,-,-,Endl.,-,Endangered
Coprosma pilosa,Mountain Coprosma,-,Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,37884,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37884,2022-10-05,https://id.biodiversity.org.au/name/apni/78877,Rubiaceae,Coprosma,pilosa,-,-,Endl.,-,Endangered
Corchorus cunninghamii,Native Jute,-,Endangered,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,14659,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14659,2022-10-05,https://id.biodiversity.org.au/name/apni/79063,Tiliaceae,Corchorus,cunninghamii,-,-,F.Muell.,-,Endangered
Cordyline obtecta,Ti,-,Vulnerable,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,65878,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65878,2022-10-05,https://id.biodiversity.org.au/name/apni/143071,Agavaceae,Cordyline,obtecta,-,-,(Graham) Baker,-,Vulnerable
Corokia whiteana,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17820,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17820,2022-10-05,https://id.biodiversity.org.au/name/apni/79991,Argophyllaceae,Corokia,whiteana,-,-,L.S.Sm.,-,Endangered
Correa baeuerlenii,Chef's Cap,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17007,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17007,2022-10-05,https://id.biodiversity.org.au/name/apni/80362,Rutaceae,Correa,baeuerlenii,-,-,F.Muell.,-,Vulnerable
Correa calycina,Hindmarsh Correa,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,7226,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7226,2022-10-05,https://id.biodiversity.org.au/name/apni/80382,Rutaceae,Correa,calycina,-,-,J.M.Black,-,Vulnerable
Correa eburnea,Deep Creek Correa,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,83820,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83820,2022-10-05,https://id.biodiversity.org.au/name/apni/162951,Rutaceae,Correa,eburnea,-,-,Paul G.Wilson,-,Endangered
Correa lawrenceana var. genoensis,Genoa River Correa,-,Endangered,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,66626,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66626,2022-10-05,https://id.biodiversity.org.au/name/apni/80621,Rutaceae,Correa,lawrenceana,var.,genoensis,-,Paul G.Wilson,Endangered
Corunastylis brachystachya,"Short-spiked Midge-orchid, Rocky Cape Midge Orchid",-,Endangered,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,76410,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76410,2022-10-05,https://id.biodiversity.org.au/name/apni/178823,Orchidaceae,Corunastylis,brachystachya,-,-,(Lindl.) D.L.Jones  M.A.Clem.,-,Endangered
Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",-,Critically Endangered,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78973,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78973,2022-10-05,https://id.biodiversity.org.au/name/apni/169933,Orchidaceae,Corunastylis,ectopa,-,-,(D.L.Jones) D.L.Jones  M.A.Clem.,-,Critically Endangered
Corunastylis firthii,Firth's Midge-orchid,-,Critically Endangered,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,76411,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76411,2022-10-05,https://id.biodiversity.org.au/name/apni/178827,Orchidaceae,Corunastylis,firthii,-,-,(Cady) D.L.Jones  M.A.Clem.,-,Critically Endangered
Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84692,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84692,2022-10-05,https://id.biodiversity.org.au/name/apni/178829,Orchidaceae,Corunastylis,insignis,-,-,(D.L.Jones) D.L.Jones  M.A.Clem.,-,Critically Endangered
Corunastylis littoralis,Tuncurry Midge Orchid,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82945,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82945,2022-10-05,https://id.biodiversity.org.au/name/apni/178830,Orchidaceae,Corunastylis,littoralis,-,-,(D.L.Jones) D.L.Jones  M.A.Clem.,-,Critically Endangered
Corunastylis sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86263,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86263,2022-10-05,https://id.biodiversity.org.au/name/apni/3699429,Orchidaceae,Corunastylis,sp. Charmhaven (NSW 896673),-,-,NSW Herbarium,-,Critically Endangered
Corybas dentatus,"Toothed Helmet-orchid, Finniss Helmet-orchid",-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55042,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55042,2022-10-05,https://id.biodiversity.org.au/name/apni/117403,Orchidaceae,Corybas,dentatus,-,-,D.L.Jones,-,Vulnerable
Corybas montanus,Small Helmet-orchid,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,6494,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6494,2022-10-05,https://id.biodiversity.org.au/name/apni/81726,Orchidaceae,Corybas,montanus,-,-,D.Jones,-,Vulnerable
Corybas sulcatus,Grooved Helmet-orchid,-,Critically Endangered,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,84309,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84309,2022-10-05,https://id.biodiversity.org.au/name/apni/226087,Orchidaceae,Corybas,sulcatus,-,-,(M.A.Clem.  D.L.Jones) G.N.Backh.,-,Critically Endangered
Corymbia clandestina,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,64072,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64072,2022-10-05,https://id.biodiversity.org.au/name/apni/119388,Myrtaceae,Corymbia,clandestina,-,-,(A.R.Bean) K.D.Hill  L.A.S.Johnson,-,Vulnerable
