scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Chelonia mydas ,Linnaeus,Green Turtle,Reptiles,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Dermochelys coriacea,Linnaeus,Leathery Turtle,Reptiles,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Eretmochelys imbricata ,Linnaeus,Hawksbill Turtle,Reptiles,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Galaxiella pusilla ,Mack,Dwarf Galaxias,Fish,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Haliaeetus leucogaster,(Gmelin),White-bellied Sea-Eagle,Birds,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Halobaena caerulea,Gmelin,Blue Petrel,Birds,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Leucocarbo atriceps purpurascens,Brant,Macquarie Island Shag,Birds,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Litoria raniformis ,Keferstein,Green and Gold Frog,Amphibians,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Macronectes giganteus,Gmelin,Southern Giant Petrel,Birds,Vertebrates,v,Vulnerable,EN,Fauna,Animalia,vertebrate,,,
Phoebetria palpebrata ,Forster,Light-mantled Albatross,Birds,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Podiceps cristatus,Linne,Great Crested Grebe,Birds,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Prototroctes maraena,Gunther,Australian Grayling,Fish,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Pseudemoia pagenstecheri ,Lindholm,Tussock Skink,Reptiles,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Pterodroma lessonii ,Garnot,White-headed Petrel,Birds,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Sterna striata ,Gmelin,White-fronted Tern,Birds,Vertebrates,v,Vulnerable,,Fauna,Animalia,vertebrate,,,
Sternula nereis nereis,Gould,Fairy Tern,Birds,Vertebrates,v,Vulnerable,VU,Fauna,Animalia,vertebrate,,,
Thalassarche cauta,Gould,Shy Albatross,Birds,Vertebrates,v,Vulnerable,EN (sensu stricto),Fauna,Animalia,vertebrate,,,
Allanaspides hickmani ,"Swain, Wilson & Ong",Hickman's Pigmy Mountain Shrimp,Syncarida,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Attenborougharion rubicundus,(Dartnall and Kershaw),Burgundy Snail,Sigmurethra,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia angulata ,Ponder & Clark,Rapid River Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia bellii ,Petterd,Bells Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
