scientificName,vernacularName,class,family,sourceStatus,status
Plantago glacialis,small star plantain,Dicotyledonae,Plantaginaceae,r,Rare
Poa halmaturina,dune tussockgrass,Monocotyledonae,Poaceae,r,Rare
Poa mollis,soft tussockgrass,Monocotyledonae,Poaceae,r,Rare
Pomaderris intermedia,lemon dogwood,Dicotyledonae,Rhamnaceae,r,Rare
Pomaderris oraria subsp. oraria,bassian dogwood,Dicotyledonae,Rhamnaceae,r,Rare
Pomaderris paniculosa subsp. paralia,shining dogwood,Dicotyledonae,Rhamnaceae,r,Rare
Pomaderris phylicifolia subsp. ericoides,revolute narrowleaf dogwood,Dicotyledonae,Rhamnaceae,r,Rare
Pomaderris phylicifolia subsp. phylicifolia,narrowleaf dogwood,Dicotyledonae,Rhamnaceae,r,Rare
Prasophyllum tadgellianum,tadgells leek-orchid,Monocotyledonae,Orchidaceae,r,Rare
Pterostylis atriola,snug greenhood,Monocotyledonae,Orchidaceae,r,Rare
Pterostylis grandiflora,superb greenhood,Monocotyledonae,Orchidaceae,r,Rare
Pterostylis sanguinea,banded greenhood,Monocotyledonae,Orchidaceae,r,Rare
Puccinellia perlaxa,spreading saltmarshgrass,Monocotyledonae,Poaceae,r,Rare
Ranunculus acaulis,dune buttercup,Dicotyledonae,Ranunculaceae,r,Rare
Ranunculus collicola,lake augusta buttercup,Dicotyledonae,Ranunculaceae,r,Rare
Ranunculus jugosus,twinned buttercup,Dicotyledonae,Ranunculaceae,r,Rare
Ranunculus pumilio var. pumilio,ferny buttercup,Dicotyledonae,Ranunculaceae,r,Rare
Rhodanthe anthemoides,chamomile sunray,Dicotyledonae,Asteraceae,r,Rare
Ruppia megacarpa,largefruit seatassel,Monocotyledonae,Ruppiaceae,r,Rare
Ruppia tuberosa,tuberous seatassel,Monocotyledonae,Ruppiaceae,r,Rare
Rytidosperma remotum,remote wallabygrass,Monocotyledonae,Poaceae,r,Rare
Schenkia australis,spike centaury,Dicotyledonae,Gentianaceae,r,Rare
Schoenoplectus tabernaemontani,river clubsedge,Monocotyledonae,Cyperaceae,r,Rare
Schoenus brevifolius,zigzag bogsedge,Monocotyledonae,Cyperaceae,r,Rare
Scutellaria humilis,dwarf scullcap,Dicotyledonae,Lamiaceae,r,Rare
Senecio squarrosus,leafy fireweed,Dicotyledonae,Asteraceae,r,Rare
Sicyos australis,star cucumber,Dicotyledonae,Cucurbitaceae,r,Rare
Siloxerus multiflorus,small wrinklewort,Dicotyledonae,Asteraceae,r,Rare
Spyridium parvifolium var. molle,soft dustymiller,Dicotyledonae,Rhamnaceae,r,Rare
Spyridium parvifolium var. parvifolium,coast dustymiller,Dicotyledonae,Rhamnaceae,r,Rare
Spyridium vexilliferum var. vexilliferum,helicopter bush,Dicotyledonae,Rhamnaceae,r,Rare
Stellaria multiflora subsp. nebulosa,nebulous rayless starwort,Dicotyledonae,Caryophyllaceae,r,Rare
Stuckenia pectinata,fennel pondweed,Monocotyledonae,Potamogetonaceae,r,Rare
Stylidium beaugleholei,blushing triggerplant,Dicotyledonae,Stylidiaceae,r,Rare
Stylidium despectum,small triggerplant,Dicotyledonae,Stylidiaceae,r,Rare
Stylidium perpusillum,tiny triggerplant,Dicotyledonae,Stylidiaceae,r,Rare
Taraxacum aristum,mountain dandelion,Dicotyledonae,Asteraceae,r,Rare
Tetratheca ciliata,northern pinkbells,Dicotyledonae,Elaeocarpaceae,r,Rare
Teucrium corymbosum,forest germander,Dicotyledonae,Lamiaceae,r,Rare
Thelymitra holmesii,bluestar sun-orchid,Monocotyledonae,Orchidaceae,r,Rare
Tricostularia pauciflora,needle bogsedge,Monocotyledonae,Cyperaceae,r,Rare
Triglochin minutissima,tiny arrowgrass,Monocotyledonae,Juncaginaceae,r,Rare
Trithuria submersa,submerged watertuft,Monocotyledonae,Hydatellaceae,r,Rare
Uncinia elegans,handsome hooksedge,Monocotyledonae,Cyperaceae,r,Rare
Utricularia australis,yellow bladderwort,Dicotyledonae,Lentibulariaceae,r,Rare
Utricularia tenella,pink bladderwort,Dicotyledonae,Lentibulariaceae,r,Rare
Utricularia violacea,violet bladderwort,Dicotyledonae,Lentibulariaceae,r,Rare
Vallisneria australis,river ribbons,Monocotyledonae,Hydrocharitaceae,r,Rare
Veronica plebeia,trailing speedwell,Dicotyledonae,Plantaginaceae,r,Rare
Viola caleyana,swamp violet,Dicotyledonae,Violaceae,r,Rare
Viola cunninghamii,alpine violet,Dicotyledonae,Violaceae,r,Rare
Viola curtisiae,montane ivyleaf violet,Dicotyledonae,Violaceae,r,Rare
Vittadinia burbidgeae,smooth new-holland-daisy,Dicotyledonae,Asteraceae,r,Rare
Vittadinia cuneata var. cuneata,fuzzy new-holland-daisy,Dicotyledonae,Asteraceae,r,Rare
Vittadinia gracilis,woolly new-holland-daisy,Dicotyledonae,Asteraceae,r,Rare
Vittadinia muelleri,narrowleaf new-holland-daisy,Dicotyledonae,Asteraceae,r,Rare
Westringia angustifolia,narrowleaf westringia,Dicotyledonae,Lamiaceae,r,Rare
Wilsonia humilis,silky wilsonia,Dicotyledonae,Convolvulaceae,r,Rare
Wilsonia rotundifolia,roundleaf wilsonia,Dicotyledonae,Convolvulaceae,r,Rare
Xerochrysum bicolor,eastcoast paperdaisy,Dicotyledonae,Asteraceae,r,Rare
Zieria littoralis,downy zieria,Dicotyledonae,Rutaceae,r,Rare
Zygophyllum billardierei,coast twinleaf,Dicotyledonae,Zygophyllaceae,r,Rare
Ambuchanania leucobryoides,daisy pan moss,Bryophyte,Ambuchananiaceae,r,Rare
Austroparmelina whinrayi,,Lichen,Parmeliaceae,r,Rare
Calycidium cuneatum,,Lichen,Calycidiaceae,r,Rare
Calycidium polycarpum,,Lichen,Calycidiaceae,r,Rare
Cetraria islandica subsp. antarctica,,Lichen,Parmeliaceae,r,Rare
Hypotrachyna immaculata,,Lichen,Parmeliaceae,r,Rare
Parmeliopsis ambigua,,Lichen,Parmeliaceae,r,Rare
Parmeliopsis hyperopta,,Lichen,Parmeliaceae,r,Rare
Parmotrema crinitum,,Lichen,Parmeliaceae,r,Rare
Sirophysalis trinodis,three-node seaweed,Algae,Sargassaceae,r,Rare
Teloschistes flavicans,golden-hair lichen,Lichen,Teloschistaceae,r,Rare
Xanthoparmelia graniticola,,Lichen,Parmeliaceae,r,Rare
Xanthoparmelia microphyllizans,,Lichen,Parmeliaceae,r,Rare
Xanthoparmelia oleosa,,Lichen,Parmeliaceae,r,Rare
Xanthoparmelia vicaria,,Lichen,Parmeliaceae,r,Rare
Xanthoparmelia vicariella,,Lichen,Parmeliaceae,r,Rare
Allanaspides hickmani ,Hickman's Pigmy Mountain Shrimp,Invertebrates,Syncarida,r,Rare
Attenborougharion rubicundus,Burgundy Snail,Invertebrates,Sigmurethra,r,Rare
Austrorhytida lamproides ,Keeled Carnivorous Snail,Invertebrates,Sigmurethra,r,Rare
Beddomeia angulata ,Rapid River Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia bellii ,Bells Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia bowryensis ,Hydrobiid Snail (Bowry Creek),Invertebrates,Mesogastropoda,r,Rare
Beddomeia fallax ,Hydrobiid Snail (Heathcote Creek),Invertebrates,Mesogastropoda,r,Rare
Beddomeia forthensis ,Forth River Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia franklandensis ,Hydrobiid Snail (Frankland River ),Invertebrates,Mesogastropoda,r,Rare
Beddomeia gibba ,Hydrobiid Snail (Salmon River Road),Invertebrates,Mesogastropoda,r,Rare
Beddomeia hullii ,Hulls Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia inflata ,Upper Castra Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia mesibovi ,Hydrobiid Snail (Arthur River),Invertebrates,Mesogastropoda,r,Rare
Beddomeia minima ,Hydrobiid Snail (Scottsdale),Invertebrates,Mesogastropoda,r,Rare
Beddomeia protuberata ,Hydrobiid Snail (Emu River),Invertebrates,Mesogastropoda,r,Rare
Beddomeia salmonis ,Hydrobiid Snail (Salmon River),Invertebrates,Mesogastropoda,r,Rare
Beddomeia tasmanica ,Hydrobiid Snail (Terrys Creek),Invertebrates,Mesogastropoda,r,Rare
Beddomeia topsiae ,Hydrobiid Snail (Williamson Creek),Invertebrates,Mesogastropoda,r,Rare
Beddomeia trochiformis ,Savage River Mine Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia turnerae ,Hydrobiid Snail (Minnow River),Invertebrates,Mesogastropoda,r,Rare
Beddomeia wilmotensis ,Wilmot River Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Beddomeia zeehanensis ,Zeehan Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Benthodorbis pawpela ,Great Lake Glacidorbid Snail,Invertebrates,Mesogastropoda,r,Rare
Cavernotettix craggiensis,Craggy Island Cave Cricket,Invertebrates,Orthoptera,r,Rare
"Charopidae ""Skemps""",Skemps Snail,Invertebrates,Sigmurethra,r,Rare
Dasyurotaenia robusta,Tapeworm (Tasmanian Devil),Invertebrates,Cyclophyllideae,r,Rare
Echinodillo cavaticus ,Flinders Island Cave Slater,Invertebrates,Isopoda,r,Rare
Ecnomina vega ,Caddis Fly (Macquarie River),Invertebrates,Trichoptera,r,Rare
Enchymus sp. nov. ,Weldborough Forest Weevil,Invertebrates,Coleoptera,r,Rare
Exquisitiropa agnewi,Silky Pinhead Snail,Invertebrates,Sigmurethra,r,Rare
Hickmanoxyomma cavaticum ,Ida Bay Cave Harvestman,Invertebrates,Opilionida,r,Rare
Hickmanoxyomma gibbergunyar ,Cave Harvestman,Invertebrates,Opilionida,r,Rare
Hydrobiosella sagitta ,Caddis Fly (St. Columba Falls),Invertebrates,Trichoptera,r,Rare
Hydroptila scamandra ,Caddis Fly (Upper Scamander River),Invertebrates,Trichoptera,r,Rare
Idacarabus cordicollis ,Cave Beetle (Hastings Cave),Invertebrates,Coleoptera,r,Rare
Idacarabus troglodytes ,Ida Bay Cave Beetle,Invertebrates,Coleoptera,r,Rare
Lissotes menalcas ,Mount Mangana Stag Beetle,Invertebrates,Coleoptera,r,Rare
Mesacanthotelson setosus ,Isopod (Great Lake),Invertebrates,Isopoda,r,Rare
Mesacanthotelson tasmaniae ,Isopod (Great Lake),Invertebrates,Isopoda,r,Rare
Oecetis gilva ,Caddis Fly (South Esk River),Invertebrates,Trichoptera,r,Rare
Olgania excavata ,Cave Spider (Bubs Hill Cave),Invertebrates,Araneae,r,Rare
Onchotelson brevicaudatus ,Isopod (Great Lake & Shannon Lagoon),Invertebrates,Isopoda,r,Rare
Orphninotrichia maculata ,Caddis Fly (Wedge River),Invertebrates,Trichoptera,r,Rare
Orthotrichia adornata ,Caddis Fly (Derwent River),Invertebrates,Trichoptera,r,Rare
Oxyethira mienica ,Caddis Fly (Ouse River),Invertebrates,Trichoptera,r,Rare
Parvotettix rangaensis ,Cave Cricket,Invertebrates,Orthoptera,r,Rare
Parvotettix whinrayi ,Whinray's Cave Cricket,Invertebrates,Orthoptera,r,Rare
Phrantela annamurrayae ,Warratah Road Hydrobiid Snail,Invertebrates,Mesogastropoda,r,Rare
Phrantela conica ,Little Henty River Hydrobiid Snail,Invertebrates,Mesogastropoda,r,Rare
Phrantela marginata ,Heazlewood River Hydrobiid Snail,Invertebrates,Mesogastropoda,r,Rare
Phrantela pupiformis ,Tyenna River Freshwater Snail,Invertebrates,Mesogastropoda,r,Rare
Pseudalmenus chlorinda myrsilus,Tasmanian Hairstreak (butterfly),Invertebrates,Lepidoptera,r,Rare
Pseudotyrannochthonius typhlus ,Cave Pseudoscorpion (Mole Creek),Invertebrates,Pseudoscorpionida,r,Rare
Ramiheithrus kocinus ,Caddis Fly (Corinna),Invertebrates,Trichoptera,r,Rare
Stenopsychodes lineata ,Caddis Fly (Bluff Hill Creek),Invertebrates,Trichoptera,r,Rare
Tasimia drepana ,Caddis Fly (Huon & Picton Rivers),Invertebrates,Trichoptera,r,Rare
Tasmanipatus barretti ,Giant Velvet Worm,Invertebrates,Onychophora,r,Rare
Tasmanotrechus cockerilli ,Cave Beetle (Mole Creek),Invertebrates,Coleoptera,r,Rare
Tasniphargus tyleri ,Amphipod (Great Lake),Invertebrates,Amphipoda,r,Rare
Theclinesthes serpentata lavara,Chequered blue,Invertebrates,Lepidoptera,r,Rare
Uramphisopus pearsoni ,Isopod (Great Lake),Invertebrates,Isopoda,r,Rare
Arctocephalus forsteri ,New Zealand Fur Seal,Vertebrates,Mammals,r,Rare
Dasyurus maculatus maculatus,Spotted-tail Quoll,Vertebrates,Mammals,r,Rare
Galaxias auratus ,Golden Galaxias,Vertebrates,Fish,r,Rare
Macronectes halli,Northern Giant Petrel,Vertebrates,Birds,r,Rare
Oceanites oceanicus ,Wilson's Storm Petrel,Vertebrates,Birds,r,Rare
Paragalaxias julianus ,Western Paragalaxias,Vertebrates,Fish,r,Rare
Phoebetria fusca ,Sooty Albatross,Vertebrates,Birds,r,Rare
Pseudemoia rawlinsoni ,Glossy Grass Skink,Vertebrates,Reptiles,r,Rare
Alternanthera denticulata,lesser joyweed,Dicotyledonae,Amaranthaceae,e,Endangered
Amphibromus macrorhinus,longnose swampgrass,Monocotyledonae,Poaceae,e,Endangered
Asplenium hookerianum,maidenhair spleenwort,Pteridophyta,Aspleniaceae,e,Endangered
Azorella macquariensis,macquarie cushions,Dicotyledonae,Apiaceae,e,Endangered
Barbarea australis,riverbed wintercress,Dicotyledonae,Brassicaceae,e,Endangered
Bertya tasmanica subsp. tasmanica,tasmanian bertya,Dicotyledonae,Euphorbiaceae,e,Endangered
Blechnum neohollandicum,prickly raspfern,Pteridophyta,Blechnaceae,e,Endangered
Blechnum spinulosum,small raspfern,Pteridophyta,Blechnaceae,e,Endangered
Boronia hemichiton,mt arthur boronia,Dicotyledonae,Rutaceae,e,Endangered
Bossiaea heterophylla,variable bossia,Dicotyledonae,Fabaceae,e,Endangered
Caladenia anthracina,blacktip spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia aurantiaca,orangetip fingers,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia australis,southern spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia brachyscapa,short spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia campbellii,thickstem fairy fingers,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia congesta,blacktongue finger-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia dienema,windswept spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia lindleyana,lindleys spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia pallida,rosy spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia prolata,white fingers,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia saggicola,sagg spider-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia sylvicola,forest fingers,Monocotyledonae,Orchidaceae,e,Endangered
Caladenia tonellii,robust fingers,Monocotyledonae,Orchidaceae,e,Endangered
Calochilus campestris,copper beard-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Calystegia marginata,forest bindweed,Dicotyledonae,Convolvulaceae,e,Endangered
Cassinia rugata,wrinkled dollybush,Dicotyledonae,Asteraceae,e,Endangered
Centrolepis pedderensis,pedder bristlewort,Monocotyledonae,Centrolepidaceae,e,Endangered
Cheilanthes distans,bristly rockfern,Pteridophyta,Adiantaceae,e,Endangered
Chiloglottis trapeziformis,broadlip bird-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Chiloglottis valida,large bird-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Chorizandra enodis,black bristlesedge,Monocotyledonae,Cyperaceae,e,Endangered
Corunastylis brachystachya,shortspike midge-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Corunastylis firthii,firths midge-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Corunastylis morrisii,bearded midge-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Corunastylis nudiscapa,bare midge-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Corybas fordhamii,swamp pelican-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Corybas sulcatus,grooved helmet-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Craspedia preminghana,preminghana billybuttons,Dicotyledonae,Asteraceae,e,Endangered
Cryptandra amara,pretty pearlflower,Dicotyledonae,Rhamnaceae,e,Endangered
Cryptostylis leptochila,small tongue-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Cyathea cunninghamii,slender treefern,Pteridophyta,Cyatheaceae,e,Endangered
Cyathea x marcescens,skirted treefern,Pteridophyta,Cyatheaceae,e,Endangered
Desmodium varians,slender ticktrefoil,Dicotyledonae,Fabaceae,e,Endangered
Discaria pubescens,spiky anchorplant,Dicotyledonae,Rhamnaceae,e,Endangered
Diuris lanceolata,large golden moths,Monocotyledonae,Orchidaceae,e,Endangered
Diuris palustris,swamp doubletail,Monocotyledonae,Orchidaceae,e,Endangered
Epacris apsleyensis,apsley heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris barbata,bearded heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris exserta,south esk heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris glabella,smooth heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris grandis,tall heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris limbata,bordered heath,Dicotyledonae,Ericaceae,e,Endangered
Epacris stuartii,southport heath,Dicotyledonae,Ericaceae,e,Endangered
Eucalyptus gunnii subsp. divaricata,miena cider gum,Dicotyledonae,Myrtaceae,e,Endangered
Eucalyptus morrisbyi,morrisbys gum,Dicotyledonae,Myrtaceae,e,Endangered
Euphrasia amplidens,pieman eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia collina subsp. tetragona,northcoast eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia fragosa,shy eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia gibbsiae subsp. psilantherea,swamp eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia scabra,yellow eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia semipicta,peninsula eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Euphrasia sp. Bivouac Bay,masked cliff-eyebright,Dicotyledonae,Orobanchaceae,e,Endangered
Galium antarcticum,subantarctic bedstraw,Dicotyledonae,Rubiaceae,e,Endangered
Gompholobium ecostatum,dwarf wedgepea,Dicotyledonae,Fabaceae,e,Endangered
Goodenia geniculata,bent native-primrose,Dicotyledonae,Goodeniaceae,e,Endangered
Hardenbergia violacea,purple coralpea,Dicotyledonae,Fabaceae,e,Endangered
Hibbertia basaltica,basalt guineaflower,Dicotyledonae,Dilleniaceae,e,Endangered
Hyalosperma demissum,moss sunray,Dicotyledonae,Asteraceae,e,Endangered
Hydrocotyle laxiflora,stinking pennywort,Dicotyledonae,Araliaceae,e,Endangered
Hypolepis distans,scrambling groundfern,Pteridophyta,Dennstaedtiaceae,e,Endangered
Lepidium hyssopifolium,soft peppercress,Dicotyledonae,Brassicaceae,e,Endangered
Leptorhynchos elongatus,lanky buttons,Dicotyledonae,Asteraceae,e,Endangered
Leucochrysum albicans subsp. tricolor ,grassland paperdaisy,Dicotyledonae,Asteraceae,e,Endangered
Lomatia tasmanica,kings lomatia,Dicotyledonae,Proteaceae,e,Endangered
Lycopus australis,australian gypsywort,Dicotyledonae,Lamiaceae,e,Endangered
Mentha australis,river mint,Dicotyledonae,Lamiaceae,e,Endangered
Millotia muelleri,clustered bowflower,Dicotyledonae,Asteraceae,e,Endangered
Myosurus australis,southern mousetail,Dicotyledonae,Ranunculaceae,e,Endangered
Ozothamnus floribundus,flowery everlastingbush,Dicotyledonae,Asteraceae,e,Endangered
Persicaria subsessilis,bristly waterpepper,Dicotyledonae,Polygonaceae,e,Endangered
Phebalium daviesii,davies waxflower,Dicotyledonae,Rutaceae,e,Endangered
Philotheca freyciana,freycinet waxflower,Dicotyledonae,Rutaceae,e,Endangered
Pimelea axiflora subsp. axiflora,bootlace bush,Dicotyledonae,Thymelaeaceae,e,Endangered
Pimelea sp. Tunbridge,grassland riceflower,Dicotyledonae,Thymelaeaceae,e,Endangered
Pneumatopteris pennigera,lime fern,Pteridophyta,Thelypteridaceae,e,Endangered
Poa cookii,cooks tussockgrass,Monocotyledonae,Poaceae,e,Endangered
Polyscias sp. Douglas-Denison,ferny panax,Dicotyledonae,Araliaceae,e,Endangered
Polystichum vestitum,prickly shieldfern,Pteridophyta,Dryopteridaceae,e,Endangered
Prasophyllum abblittiorum,pallid leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum atratum,three hummock leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum castaneum,chestnut leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum crebriflorum,crowded leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum favonium,western leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum incorrectum,golfers leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum limnetes,marsh leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum milfordense,milford leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum olidum,pungent leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum perangustum,knocklofty leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum pulchellum,pretty leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum robustum,robust leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum secutum,northern leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum sp. Arthurs Lake,mountain leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum stellatum,ben lomond leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum taphanyx,graveside leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Prasophyllum tunbridgense,tunbridge leek-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis commutata,midlands greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis cucullata subsp. cucullata,leafy greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis falcata,sickle greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis lustra,small sickle greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis rubenachii,arthur river greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis tunstallii,tunstalls greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Pterostylis wapstrarum,fleshy greenhood,Monocotyledonae,Orchidaceae,e,Endangered
Ranunculus diminutus,brackish buttercup,Dicotyledonae,Ranunculaceae,e,Endangered
Ranunculus prasinus,midlands buttercup,Dicotyledonae,Ranunculaceae,e,Endangered
Rhytidosporum inconspicuum,alpine appleberry,Dicotyledonae,Pittosporaceae,e,Endangered
Sagina diemensis,tasmanian pearlwort,Dicotyledonae,Caryophyllaceae,e,Endangered
Scaevola aemula,fairy fanflower,Dicotyledonae,Goodeniaceae,e,Endangered
Schoenus latelaminatus,medusa bog sedge,Monocotyledonae,Cyperaceae,e,Endangered
Senecio extensus,subalpine fireweed,Dicotyledonae,Asteraceae,e,Endangered
Senecio psilocarpus,swamp fireweed,Dicotyledonae,Asteraceae,e,Endangered
Solanum opacum,greenberry nightshade,Dicotyledonae,Solanaceae,e,Endangered
Spyridium eriocephalum var. eriocephalum,heath dustymiller,Dicotyledonae,Rhamnaceae,e,Endangered
Stackhousia subterranea,grassland candles,Dicotyledonae,Celastraceae,e,Endangered
Stenopetalum lineare,narrow threadpetal,Dicotyledonae,Brassicaceae,e,Endangered
Stonesiella selaginoides,clubmoss bushpea,Dicotyledonae,Fabaceae,e,Endangered
Tetratheca gunnii,shy pinkbells,Dicotyledonae,Elaeocarpaceae,e,Endangered
Thelymitra antennifera,rabbit ears,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra atronitida,blackhood sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra benthamiana,blotched sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra bracteata,leafy sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra improcera,coast sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra inflata,inflated sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra jonesii,skyblue sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra lucida,glistening sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra malvina,mauvetuft sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thelymitra mucida,plum sun-orchid,Monocotyledonae,Orchidaceae,e,Endangered
Thynninorchis nothofagicola,myrtle elbow orchid,Monocotyledonae,Orchidaceae,e,Endangered
Triglochin mucronata,prickly arrowgrass,Monocotyledonae,Juncaginaceae,e,Endangered
Veronica notabilis,forest speedwell,Dicotyledonae,Plantaginaceae,e,Endangered
Viminaria juncea,golden spray,Dicotyledonae,Fabaceae,e,Endangered
Vittadinia australasica var. oricola,coast new-holland-daisy,Dicotyledonae,Asteraceae,e,Endangered
Wurmbea latifolia subsp. vanessae,broadleaf early nancy,Monocotyledonae,Colchicaceae,e,Endangered
Zieria veronicea subsp. veronicea,pink zieria,Dicotyledonae,Rutaceae,e,Endangered
Austroparmelina pallida,,Lichen,Parmeliaceae,e,Endangered
Bunodophoron notatum,,Lichen,Sphaerophoraceae,e,Endangered
Erioderma sorediatum,,Lichen,Pannariaceae,e,Endangered
Menegazzia minuta,,Lichen,Parmeliaceae,e,Endangered
Roccellinastrum neglectum,,Lichen,Roccellinastraceae,e,Endangered
Xanthoparmelia amphixantha,,Lichen,Parmeliaceae,e,Endangered
Xanthoparmelia molliuscula,,Lichen,Parmeliaceae,e,Endangered
Xanthoparmelia subloxodella,,Lichen,Parmeliaceae,e,Endangered
Xanthoparmelia willisii,,Lichen,Parmeliaceae,e,Endangered
Ammoniropa vigens,Ammonite Pinwheel Snail,Invertebrates,Eupulmonata,e,Endangered
Antipodia chaostola leucophaea,Tasmanian Chaostola Skipper,Invertebrates,Lepidoptera,e,Endangered
Beddomeia averni ,Hydrobiid Snail (West Gawler),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia camensis ,Hydrobiid Snail (Cam River),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia capensis ,Hydrobiid Snail (Table Cape),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia fromensis ,Hydrobiid Snail (Frome River),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia fultoni ,Hydrobiid Snail (Farnhams Creek),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia hallae ,Hydrobiid Snail (Buttons Rivulet),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia hermansi ,Hydrobiid Snail (Viking Creek),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia kershawi ,Hydrobiid Snail (Macquarie River),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia launcestonensis ,Hydrobiid Snail (Cataract Gorge),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia petterdi ,Blythe River Freshwater Snail,Invertebrates,Mesogastropoda,e,Endangered
Beddomeia ronaldi ,Hydrobiid Snail (St. Patricks River),Invertebrates,Mesogastropoda,e,Endangered
Beddomeia tumida,Hydrobiid Snail (Great Lake),Invertebrates,Mesogastropoda,e,Endangered
