scientificName,vernacularName,status,sourceStatus
Xanthosia collina,,Priority 3: Poorly-known species,P3
Xanthosia eichleri,,"Priority 4: Rare, Near Threatened",P4
Xanthosia peduncularis,,Priority 3: Poorly-known species,P3
Xanthosia tomentosa,,"Priority 4: Rare, Near Threatened",P4
Xanthostemon psidioides,,Priority 2: Poorly-known species,P2
Xanthostemon umbrosus,,Priority 1: Poorly-known species,P1
Xerochrysum boreale,,Priority 3: Poorly-known species,P3
Xyris exilis,,Endangered,EN
Xyris maxima,,Priority 2: Poorly-known species,P2
Zehneria mucronata,,Priority 1: Poorly-known species,P1
Zeuxine oblonga,,Priority 2: Poorly-known species,P2
Zornia areolata,,Priority 1: Poorly-known species,P1
Zornia sp. West Kimberley (C.A. Gardner 9942),,Priority 3: Poorly-known species,P3
Abebaioscia troglodytes,Pannikin Plain Cave isopod,Vulnerable,VU
Acanthophis antarcticus,southern death adder,Priority 3: Poorly-known species,P3
Acercella poorginup,Poorginup Swamp watermite,Priority 2: Poorly-known species,P2
Acizzia mccarthyi,McCarthy's plant-louse,Vulnerable,VU
Acizzia veski,Vesk's plant-louse,Vulnerable,VU
Acrocephalus orientalis,oriental reed-warbler,Migratory,MI
Actitis hypoleucos,common sandpiper,Migratory,MI
Aipysurus apraefrontalis,short-nosed seasnake,Critically Endangered,CR
Aipysurus foliosquama,leaf-scaled seasnake,Critically Endangered,CR
Amplirhagada astuta,a camaenid land snail (Koolan and Molema Islands),Vulnerable,VU
Amplirhagada herbertena,Herbert's camaenid land snail (Buccaneer Archipelago),Priority 1: Poorly-known species,P1
Amplirhagada montalivetensis,Montalivet Island camaenid land snail,Priority 1: Poorly-known species,P1
Amplirhagada novelta,a camaenid land snail (Napier-Broome Bay),Priority 1: Poorly-known species,P1
Amplirhagada questroana,El Questro Station camaenid land snail,Priority 1: Poorly-known species,P1
Amytornis housei,black grasswren,"Priority 4: Rare, Near Threatened",P4
Amytornis striatus striatus,striated grasswren (sandplain),"Priority 4: Rare, Near Threatened",P4
Amytornis textilis textilis,western grasswren,"Priority 4: Rare, Near Threatened",P4
Anilios ganei,Gane's blind snake (Pilbara),Priority 1: Poorly-known species,P1
Anilios howi,Kimberley deep-soil blind snake (Admiralty Gulf),Priority 2: Poorly-known species,P2
Anilios longissimus,Barrow Island blind snake,Priority 2: Poorly-known species,P2
Anilios margaretae,buff snouted blind snake (Lake Throssell),Priority 2: Poorly-known species,P2
Anilios micromma,small-eyed blind snake (Leopold Downs),Priority 1: Poorly-known species,P1
