scientificName,Common Name,sourceStatus,status
Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),,P4,"Priority 4: Rare, Near Threatened"
Acacia dura,,P2,Priority 2: Poorly-known species
Acacia effusa,,P3,Priority 3: Poorly-known species
Acacia epacantha,,P3,Priority 3: Poorly-known species
Acacia epedunculata,,P1,Priority 1: Poorly-known species
Acacia eremophila var. Numerous-nerved variant (A.S.George 11924),,P3,Priority 3: Poorly-known species
Acacia eremophila var. variabilis Maiden & Blakely,,P3,Priority 3: Poorly-known species
Acacia errabunda,,P3,Priority 3: Poorly-known species
Acacia euthyphylla,,P3,Priority 3: Poorly-known species
Acacia fecunda,,P1,Priority 1: Poorly-known species
Acacia filifolia,,P3,Priority 3: Poorly-known species
Acacia flabellifolia,,P3,Priority 3: Poorly-known species
Acacia flagelliformis,,P4,"Priority 4: Rare, Near Threatened"
Acacia formidabilis,,P3,Priority 3: Poorly-known species
Acacia forrestiana,Forrest's Wattle,VU,Vulnerable
Acacia gelasina,,P2,Priority 2: Poorly-known species
Acacia gibsonii,,P1,Priority 1: Poorly-known species
Acacia glaucissima,,P3,Priority 3: Poorly-known species
Acacia gloeotricha,,P1,Priority 1: Poorly-known species
Acacia graciliformis,,P1,Priority 1: Poorly-known species
Acacia grisea,,P4,"Priority 4: Rare, Near Threatened"
Acacia guinetii,Guinet's Wattle,P4,"Priority 4: Rare, Near Threatened"
Acacia haematites,Koolyanobbing Ironstone Wattle,P1,Priority 1: Poorly-known species
Acacia heterochroa subsp. robertii,,P2,Priority 2: Poorly-known species
Acacia heteroclita subsp. valida,,P2,Priority 2: Poorly-known species
Acacia horridula,,P3,Priority 3: Poorly-known species
Acacia hypermeces,,P1,Priority 1: Poorly-known species
Acacia hystrix subsp. continua,,P1,Priority 1: Poorly-known species
Acacia imitans,Gibson Wattle,P4,"Priority 4: Rare, Near Threatened"
Acacia imparilis,,P4,"Priority 4: Rare, Near Threatened"
Acacia improcera,,P3,Priority 3: Poorly-known species
Acacia incanicarpa,,P2,Priority 2: Poorly-known species
Acacia inceana subsp. latifolia,,P1,Priority 1: Poorly-known species
Acacia incongesta,,P2,Priority 2: Poorly-known species
Acacia inophloia,,P3,Priority 3: Poorly-known species
Acacia inops,,P3,Priority 3: Poorly-known species
Acacia insolita subsp. recurva,Yornaning Wattle,CR,Critically Endangered
Acacia isoneura subsp. isoneura,,P3,Priority 3: Poorly-known species
Acacia isoneura subsp. nimia,,P3,Priority 3: Poorly-known species
Acacia jasperensis,,P3,Priority 3: Poorly-known species
Acacia karinae,,P1,Priority 1: Poorly-known species
Acacia keigheryi,Keighery's Wattle,P3,Priority 3: Poorly-known species
Acacia kenneallyi,,P3,Priority 3: Poorly-known species
Acacia kerryana,,P2,Priority 2: Poorly-known species
Acacia kimberleyensis,,P2,Priority 2: Poorly-known species
Acacia kingiana,,EX,Extinct
Acacia kulinensis,Kulin Wattle,P1,Priority 1: Poorly-known species
Acacia lachnocarpa,,P1,Priority 1: Poorly-known species
Acacia lanceolata,,P3,Priority 3: Poorly-known species
Acacia lanei,,P3,Priority 3: Poorly-known species
Acacia lanuginophylla,Woolly Wattle,VU,Vulnerable
Acacia lapidosa,Mount Magnet Rock Wattle,P1,Priority 1: Poorly-known species
Acacia lasiocarpa var. bracteolata long peduncle variant (G.J. Keighery 5026),,P1,Priority 1: Poorly-known species
