scientificName,vernacularName,sourceStatus,status
  Cinclosoma punctatum anachoreta,Spotted Quailthrush,SA:E,Endangered
  Cinclosoma punctatum punctatum,Spotted Quailthrush,SA:E,Endangered
  Psophodes nigrogularis leucogaster,Western Whipbird,SA:E,Endangered
Phoebetria fusca,Sooty Albatross,SA:E,Endangered
  Pedionomus torquatus,Plains-wanderer,SA:E,Endangered
  Sternula nereis,Fairy Tern,SA:E,Endangered
  Stipiturus mallee,Mallee Emuwren,SA:E,Endangered
  Anthochaera phrygia,Regent Honeyeater,SA:E,Endangered
 Miniopterus orianae bassanii,Southern Bent-winged Bat,SA:E,Endangered
Dromaius baudinianus,Kangaroo Island Emu,SA: E,Endangered
Excalfactoria chinensis,King Quail,SA: E,Endangered
Anseranas semipalmata,Magpie Goose,SA: E,Endangered
  Ixobrychus dubius,Australian Little Bittern [Black-backed Bittern],SA: E,Endangered
  Pandion haliaetus,Osprey,SA: E,Endangered
  Accipiter novaehollandiae,Grey Goshawk,SA: E,Endangered
  Haliaeetus leucogaster,White-bellied Sea Eagle,SA: E,Endangered
  Lophoictinia isura,"(Gould, 1838)",SA: E,Endangered
  Sternula albifrons,Little Tern,SA: E,Endangered
  Calyptorhynchus lathami,Glossy Black Cockatoo,SA: E,Endangered
  Glossopsitta pusilla,Little Lorikeet,SA: E,Endangered
  Lathamus discolor,Swift Parrot,SA: E,Endangered
  Neophema chrysogaster,Orange-bellied Parrot,SA: E,Endangered
  Pezoporus occidentalis,Night Parrot,SA: E,Endangered
  Pezoporus wallicus,Eastern Ground Parrot,SA: E,Endangered
  Tyto novaehollandiae,Australian Masked Owl,SA: E,Endangered
  Ninox strenua,Powerful Owl,SA: E,Endangered
  Ceyx azureus,Azure Kingfisher,SA: E,Endangered
  Chlamydera maculata,Spotted Bowerbird,SA: E,Endangered
  Epthianura crocea,Yellow Chat,SA: E,Endangered
 Manorina flavigula melanotis,Black-eared Miner,SA: E,Endangered
  Strepera graculina,Pied Currawong,SA: E,Endangered
  Pachycephala olivacea,Olive Whistler,SA: E,Endangered
  Myiagra cyanoleuca,Satin Flycatcher,SA: E,Endangered
  Eremiornis carteri,Spinifexbird,SA: E,Endangered
Ornithorhynchus anatinus,Platypus,SA: E,Endangered
Myrmecobius fasciatus,Numbat,SA: E,Endangered
Dasycercus blythi,Brush-tailed Mulgara (Mulgara),SA: E,Endangered
Dasyurus geoffroii,Western Quoll,SA: E,Endangered
Dasyurus maculatus,Spotted-tailed Quoll (Tiger Quoll),SA: E,Endangered
Dasyurus viverrinus,Eastern Quoll,SA: E,Endangered
Antechinus agilis,Agile Antechinus,SA: E,Endangered
Antechinus minimus,Swamp Antechinus,SA: E,Endangered
Phascogale calura,Red-tailed Phascogale,SA: E,Endangered
Phascogale tapoatafa,Brush-tailed Phascogale,SA: E,Endangered
Sminthopsis aitkeni,Kangaroo Island Dunnart,SA: E,Endangered
Macrotis leucura,Lesser Bilby,SA: E,Endangered
Chaeropus ecaudatus,Pig-footed Bandicoot,SA: E,Endangered
Isoodon auratus,Golden Bandicoot,SA: E,Endangered
Perameles eremiana,Desert Bandicoot,SA: E,Endangered
Perameles gunnii,Eastern Barred Bandicoot,SA: E,Endangered
