scientificName,vernacularName,sourceStatus,status
Petaurus australis,Yellow-bellied Glider,SA: E,Endangered
Petaurus norfolcensis,Squirrel Glider,SA: E,Endangered
Acrobates pygmaeus,Feathertail Glider,SA: E,Endangered
Bettongia lesueur,Burrowing Bettong,SA: E,Endangered
Caloprymnus campestris,Desert Rat-kangaroo,SA: E,Endangered
Potorous tridactylus,Long-nosed Potoroo,SA: E,Endangered
Lagorchestes hirsutus,Rufous Hare-wallaby (Mala),SA: E,Endangered
Lagorchestes leporides,Eastern Hare-wallaby,SA: E,Endangered
Macropus greyi,Toolache Wallaby,SA: E,Endangered
Onychogalea lunata,Crescent Nailtail Wallaby,SA: E,Endangered
Thylogale billardierii,Tasmanian Pademelon,SA: E,Endangered
Falsistrellus tasmaniensis,Eastern False Pipistrelle (Tasmanian Falsistrelle),SA: E,Endangered
 Arctocephalus tropicalis,Subantarctic Fur Seal,SA: E,Endangered
 Balaenoptera musculus,Blue Whale,SA: E,Endangered
 Conilurus albipes,White-footed Tree-rat,SA: E,Endangered
 Leporillus apicalis,Lesser Stick-nest Rat,SA: E,Endangered
 Notomys amplus,Short-tailed Hopping-mouse,SA: E,Endangered
 Notomys longicaudatus,Long-tailed Hopping-mouse,SA: E,Endangered
Pseudomys gouldii,Gould’s Mouse,SA: E,Endangered
Pseudomys shortridgei,Heath Mouse,SA: E,Endangered
Rattus tunneyi,Pale Field-rat,SA: E,Endangered
Caretta caretta,Loggerhead Turtle,SA: E,Endangered
Aprasia aurita,Eared Worm-lizard ,SA: E,Endangered
Delma impar,Striped Snake-lizard,SA: E,Endangered
Egernia cunninghami,Cunningham’s Skink ,SA: E,Endangered
  Liopholis kintorei,Tjakura,SA: E,Endangered
  Liopholis slateri,Black-lined Desert Skink ,SA: E,Endangered
  Lissolepis coventryi,Swamp Skink ,SA: E,Endangered
  Nannoscincus maccoyi,Salamander Skink ,SA: E,Endangered
  Tiliqua adelaidensis,Pygmy Bluetongue ,SA: E,Endangered
Macroderma gigas,Ghost Bat,SA:  E,Endangered
Myotis macropus,Large-footed Myotis,SA:  E,Endangered
Chalinolobus picatus,Little Pied Bat,SA:  E,Endangered
Nyctophilus gouldi,Gould’s Long-eared Bat,SA:  E,Endangered
Saccolaimus flaviventris,Yellow-bellied Sheath-tailed Bat,SA:R,Rare
Taphozous hilli,Hill’s Sheath-tailed Bat,SA:R,Rare
  Psophodes nigrogularis lashmari,Western Whipbird,SA: R,Rare
  Xenus cinereus,Terek Sandpiper   ,SA: R,Rare
Cyclorana cultripes,Knife-footed Frog  ,SA: R,Rare
Geocrinia laevis,Smooth Frog  ,SA: R,Rare
Pseudophryne bibronii,Brown Toadlet  ,SA: R,Rare
Uperoleia capitulata,Small-headed Toadlet  ,SA: R,Rare
Anas rhynchotis,Australasian Shoveler,SA: R,Rare
Biziura lobata,Musk Duck,SA: R,Rare
Cereopsis novaehollandiae,Cape Barren Goose,SA: R,Rare
Oxyura australis,Blue-billed Duck,SA: R,Rare
Puffinus carneipes,Flesh-footed Shearwater,SA: R,Rare
Podiceps cristatus,Great Crested Grebe,SA: R,Rare
Plegadis falcinellus,Glossy Ibis,SA: R,Rare
Ardea ibis,Cattle Egret,SA: R,Rare
Ardea intermedia,Intermediate Egret,SA: R,Rare
Egretta garzetta,Little Egret,SA: R,Rare
  Egretta cra,Pacific Reef Heron (Eastern Reef Egret),SA: R,Rare
  Anhinga novaehollandiae,Australasian Darter,SA: R,Rare
  Elanus scriptus,Letter-winged Kite,SA: R,Rare
  Hamirostra melanosternon,Black-breasted Buzzard,SA: R,Rare
  Falco hypoleucos,Grey Falcon,SA: R,Rare
  Falco peregrinus,Peregrine Falcon,SA: R,Rare
  Porzana tabuensis,Black-tailed Nativehen,SA: R,Rare
  Turnix pyrrhothorax,Red-chested Buttonquail,SA: R,Rare
  Turnix varius,Painted Buttonquail,SA: R,Rare
   Burhinus grallarius,Bush Stonecurlew,SA: R,Rare
  Haematopus fuliginosus,Sooty Oystercatcher,SA: R,Rare
  Haematopus longirostris,(Australian) Pied Oystercatcher,SA: R,Rare
  Charadrius leschenaultii,Greater nd Plover,SA: R,Rare
  Charadrius mongolus,Lesser nd Plover,SA: R,Rare
  Pluvialis fulva,Pacific Golden Plover,SA: R,Rare
  Actitis hypoleucos,Common ndpiper,SA: R,Rare
  Arenaria interpres,Ruddy Turnstone,SA: R,Rare
  Calidris alba,Sanderling,SA: R,Rare
  Calidris melanotos,Pectoral ndpiper,SA: R,Rare
  Calidris subminuta,Long-toed Stint,SA: R,Rare
  Calidris tenuirostris,Great Knot,SA: R,Rare
  Gallinago hardwickii,Latham’s Snipe,SA: R,Rare
  Limosa lapponica,Bar-tailed Godwit,SA: R,Rare
  Limosa limosa,Black-tailedGodwit,SA: R,Rare
  Numenius phaeopus,Whimbrel,SA: R,Rare
  Philomachus pugnax,Ruff,SA: R,Rare
  Tringa brevipes,Grey-tailed Tattler,SA: R,Rare
  Tringa glareola,Wood ndpiper,SA: R,Rare
  Sterna hirundo,Common Tern,SA: R,Rare
  Larus dominicanus,Kelp Gull,SA: R,Rare
  Geophaps plumifera,Spinifex Pigeon,SA: R,Rare
  Phaps histrionica,Flock Bronzewing,SA: R,Rare
  Cacatua leadbeateri,Major Mitchell’s Cockatoo,SA: R,Rare
  Aprosmictus erythropterus,Red-winged Parrot,SA: R,Rare
  Neophema elegans,Elegant Parrot,SA: R,Rare
  Neophema petrophila,Rock Parrot,SA: R,Rare
  Neophema splendida,Scarlet-chested Parrot,SA: R,Rare
  Tyto longimembris,Eastern Grass Owl,SA: R,Rare
  Ninox connivens,Barking Owl,SA: R,Rare
  Chlamydera guttata,Western Bowerbird,SA: R,Rare
  Climacteris affinis,White-browed Treecreeper,SA: R,Rare
  Amytornis barbatus,Grey Grasswren,SA: R,Rare
  Amytornis striatus,Striated Grasswren,SA: R,Rare
  Stipiturus ruficeps,Rufous-crowned Emuwren,SA: R,Rare
  Conopophila whitei,Grey Honeyeater,SA: R,Rare
  Entomyzon cyanotis,Blue-faced Honeyeater,SA: R,Rare
  Grantiella picta,Painted Honeyeater,SA: R,Rare
  Philemon citreogularis,Little Friarbird,SA: R,Rare
  Plectorhyncha lanceolata,Striped Honeyeater,SA: R,Rare
  Dasyornis broadbenti,Rufous Bristlebird,SA: R,Rare
  Aphelocephala pectoralis,Chestnut-breasted Whiteface,SA: R,Rare
  Calamanthus (Hylacola) cautus,Shy Heathwren,SA: R,Rare
  Gerygone olivacea,White-throated Gerygone,SA: R,Rare
  Gerygone fusca,Western Gerygone,SA: R,Rare
  Coracina papuensis,White-bellied Cuckooshrike,SA: R,Rare
  Pachycephala inornata,Gilbert’s Whistler,SA: R,Rare
  Pachycephala rufogularis,Red-lored Whistler,SA: R,Rare
  Oriolus gittatus,Olive-backed Oriole,SA: R,Rare
  Myiagra inquieta,Restless Flycatcher,SA: R,Rare
  Corcorax melanorhamphos,White-winged Chough,SA: R,Rare
  Zoothera lunulata,Bassian Thrush,SA: R,Rare
  Emblema pictum,Painted Finch,SA: R,Rare
  Stagonopleura bella,Beautiful Firetail,SA: R,Rare
Sminthopsis youngsoni,Lesser Hairy-footed Dunnart,SA: R,Rare
Vombatus ursinus,Common Wombat,SA: R,Rare
Trichosurus vulpecula,Common Brushtail Possum,SA: R,Rare
Petaurus breviceps,Sugar Glider,SA: R,Rare
Macropus giganteus,Eastern Grey Kangaroo,SA: R,Rare
Macropus rufogriseus,Red-necked Wallaby,SA: R,Rare
Pteropus poliocephalus,Grey-headed Flying-fox,SA: R,Rare
Pteropus scapulatus,Little Red Flying-fox,SA: R,Rare
 Arctocephalus pusillus,Australian Fur Seal (Brown Fur Seal),SA: R,Rare
 Hydrurga leptonyx,Leopard Seal,SA: R,Rare
 Mirounga leonina,Southern Elephant Seal,SA: R,Rare
 Balaenoptera acutorostrata,Dwarf Minke Whale,SA: R,Rare
 Balaenoptera edeni,Bryde’s Whale,SA: R,Rare
 Caperea marginata,Pygmy Right Whale,SA: R,Rare
 Globicephala macrorhynchus,Short-finned Pilot Whale,SA: R,Rare
 Grampus griseus,Risso's Dolphin,SA: R,Rare
 Pseudorca crassidens,False Killer Whale,SA: R,Rare
 Physeter macrocephalus,Sperm Whale,SA: R,Rare
 Kogia breviceps,Pygmy Sperm Whale,SA: R,Rare
 Kogia sima,Dwarf Sperm Whale,SA: R,Rare
 Berardius arnuxii,Arnoux’s Beaked Whale,SA: R,Rare
 Hyperoodon planifrons,Southern Bottlenose Whale,SA: R,Rare
 Mesoplodon bowdoini,Andrews’ Beaked Whale,SA: R,Rare
 Mesoplodon grayi,Gray’s Beaked Whale (Scamperdown Whale),SA: R,Rare
 Mesoplodon hectori,Hector’s Beaked Whale,SA: R,Rare
 Tasmacetus shepherdi,Shepherd’s Beaked Whale (Tasman Beaked Whale),SA: R,Rare
 Ziphius cavirostris,Cuvier’s Beaked Whale (Goose-beaked Whale),SA: R,Rare
Rattus lutreolus,Swamp Rat,SA: R,Rare
Amphibolurus muricatus,Jacky Lizard ,SA: R,Rare
Ctenophorus maculatus,Spotted Dragon ,SA: R,Rare
Ctenophorus mckenziei,McKenzie’s Dragon ,SA: R,Rare
Ctenophorus salinarum,Claypan Dragon ,SA: R,Rare
Nephrurus deleani,Pernatty Knob-tailed Gecko ,SA: R,Rare
Diplodactylus pulcher,Patchwork Gecko ,SA: R,Rare
Lucasium steindachneri,Map Gecko ,SA: R,Rare
Oedura marmorata,Marbled Velvet Gecko ,SA: R,Rare
Delma borea,Northern Snake-lizard ,SA: R,Rare
Delma desmosa,Desert Snake-lizard ,SA: R,Rare
Ophidiocephalus taeniatus,Bronzeback Legless Lizard ,SA: R,Rare
Bassiana trilineata,Western Three-lined Skink ,SA: R,Rare
Ctenotus astarte,Ashy Downs Ctenotus ,SA: R,Rare
Ctenotus grandis,Giant Desert Ctenotus ,SA: R,Rare
Ctenotus greeri,Greer’s Ctenotus ,SA: R,Rare
Ctenotus joanae,Blacksoil Ctenotus ,SA: R,Rare
Ctenotus piankai,Paleface Ctenotus ,SA: R,Rare
Eulamprus tympanum,Southern Water Skink ,SA: R,Rare
Lerista arenicola,Beach Slider ,SA: R,Rare
Lerista baynesi,Speckled Slider ,SA: R,Rare
Lerista distinguenda,Dwarf Four-toed Slider ,SA: R,Rare
Lerista microtis,Long-legged Slider ,SA: R,Rare
  Notoscincus ornatus,Desert Glossy Skink ,SA: R,Rare
  Proablepharus kinghorni,Blacksoil Skink ,SA: R,Rare
  Pseudemoia baudini,Bight Coast Skink ,SA: R,Rare
  Pseudemoia pagenstecheri,Tussock Skink ,SA: R,Rare
  Varanus brevicauda,Short-tailed Pygmy Goanna ,SA: R,Rare
  Varanus varius,Lace Monitor ,SA: R,Rare
  Aspidites ramsayi,Woma ,SA: R,Rare
  Morelia spilota,Carpet Python ,SA: R,Rare
Demansia rimicola,Channel Country Whipsnake ,SA: R,Rare
Drysdalia coronoides,White-lipped Snake ,SA: R,Rare
Echiopsis curta,Bardick ,SA: R,Rare
Neelaps bimaculatus,Western Black-naped Snake ,SA: R,Rare
Pseudonaja guttata,Spotted Brown Snake ,SA: R,Rare
Vermicella annulata,Common Bandy Bandy ,SA: R,Rare
Leipoa ocellata,Malleefowl,SA:V,Vulnerable
Thalassarche bulleri,Buller’s Albatross,SA:V,Vulnerable
Thalassarche cauta,Shy Albatross,SA:V,Vulnerable
Thalassarche chrysostoma,Grey-headed Albatross,SA:V,Vulnerable
Thalassarche lvini,Salvin’s Albatross,SA:V,Vulnerable
Macronectes giganteus,Southern Giant Petrel,SA:V,Vulnerable
Botaurus poiciloptilus,Australasian Bittern,SA:V,Vulnerable
  Rostratula australis,Australian Painted-snipe,SA:V,Vulnerable
  Grus rubicunda,Brolga,SA:V,Vulnerable
Neobatrachus sutor,Shoemaker Frog,SA: V,Vulnerable
Pseudophryne cf. occidentalis,Everard Ranges Toadlet  ,SA: V,Vulnerable
Pseudophryne semimarmorata,Marbled Toadlet ,SA: V,Vulnerable
Litoria raniformis,Southern Bell Frog,SA: V,Vulnerable
Coturnix ypsilophora,Brown Quail,SA: V,Vulnerable
Stictonetta naevosa,Freckled Duck,SA: V,Vulnerable
Diomedea exulans,Wandering Albatross,SA: V,Vulnerable
Phoebetria palpebrata ,Light-mantled Albatross (Light-mantled Sooty Albatross),SA: V,Vulnerable
  Ardeotis australis,Australian Bustard,SA: V,Vulnerable
  Lewinia pectoralis,Lewin’s Rail,SA: V,Vulnerable
  Cladorhynchus leucocephalus,Banded Stilt,SA: V,Vulnerable
  Thinornis rubricollis,Hooded Plover [Hooded Dotterel],SA: V,Vulnerable
  Numenius madagascariensis,Far Eastern Curlew,SA: V,Vulnerable
  Stercorarius antarcticus,Brown Skua,SA: V,Vulnerable
  Calyptorhynchus funereus,Yellow-tailed Black Cockatoo,SA: V,Vulnerable
  Neophema chrysostoma,Blue-winged Parrot,SA: V,Vulnerable
  Polytelis alexandrae,Princess Parrot,SA: V,Vulnerable
  Polytelis anthopeplus,Regent Parrot,SA: V,Vulnerable
  Petroica phoenicea,Flame Robin,SA: V,Vulnerable
  Stagonopleura guttata,Diamond Firetail,SA: V,Vulnerable
Notoryctes typhlops,Southern Marsupial Mole (Itjaritjara),SA: V,Vulnerable
Dasyuroides byrnei,Kowari,SA: V,Vulnerable
Antechinus flavipes,Yellow-footed Antechinus,SA: V,Vulnerable
Sminthopsis psammophila,Sandhill Dunnart,SA: V,Vulnerable
Macrotis lagotis,Greater Bilby (Bilby),SA: V,Vulnerable
Isoodon obesulus,Southern Brown Bandicoot,SA: V,Vulnerable
Cercartetus nanus,Eastern Pygmy-possum,SA: V,Vulnerable
Petrogale xanthopus,Yellow-footed Rock-wallaby,SA: V,Vulnerable
Wallabia bicolor,Swamp Wallaby,SA: V,Vulnerable
Mormopterus eleryi,Bristle-faced Free-tailed Bat,SA: V,Vulnerable
Nyctophilus corbeni,Corben’s Long-eared Bat,SA: V,Vulnerable
 Neophoca cinerea,Australian Sea Lion,SA: V,Vulnerable
 Eubalaena australis,Southern Right Whale,SA: V,Vulnerable
 Balaenoptera borealis,Sei Whale,SA: V,Vulnerable
 Balaenoptera physalus,Fin Whale,SA: V,Vulnerable
 Megaptera novaeangliae,Humpback Whale,SA: V,Vulnerable
 Leporillus conditor,Greater Stick-nest Rat,SA: V,Vulnerable
 Notomys cervinus,Fawn Hopping-mouse,SA: V,Vulnerable
 Notomys fuscus,Dusky Hopping-mouse,SA: V,Vulnerable
Pseudomys australis,Plains Mouse,SA: V,Vulnerable
Chelodina expansa,Broad-shelled Tortoise ,SA: V,Vulnerable
Emydura macquarii,Macquarie Tortoise ,SA: V,Vulnerable
Chelonia mydas,Green Turtle ,SA: V,Vulnerable
Dermochelys coriacea,Leathery Turtle ,SA: V,Vulnerable
Eulamprus heatwolei,Yellow-bellied Water Skink ,SA: V,Vulnerable
Lerista speciosa,Musgrave Slider ,SA: V,Vulnerable
  Pseudemoia rawlinsoni,Glossy Grass Skink ,SA: V,Vulnerable
  Varanus rosenbergi,Heath Goanna ,SA: V,Vulnerable
  Acanthophis pyrrhus,Desert Death Adder ,SA: V,Vulnerable
