taxonID,scientificName,vernacularName,status,Threatened Species Listed Name,Threatened Species Date Effective,Act Migratory,Bonn,Camba,Jamba,Rokamba,Marine Status,Listed Name Marine,Cetacean,Finalised Priority Assessment List,Listed Name,Conservation Advice,Recovery Plan,Recovery Plan Decisions,kingdom,phylum,class,order,family,genus,Taxon Group,iucn Red List,iucn Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,sourceStatus
882,Charadrius veredus,"Oriental Plover, Oriental Dotterel",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Charadrius veredus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,birds,Least Concern,Charadrius veredus,,,Present,Present,Present,,,Present,,,,,,,,,,Listed
59598,Chlidonias leucopterus,"White-winged Tern, White-winged Black Tern",Listed,,,Listed,,Listed,Listed,Listed,Listed,Chlidonias leucopterus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,birds,Least Concern,Chlidonias leucopterus,,,,,,,,,,,,,,,,,Present,Listed
86651,Cuculus optatus,"Oriental Cuckoo, Horsfield's Cuckoo",Listed,,,Listed,,Listed,Listed,Listed,,,,,,,,,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,birds,Least Concern,Cuculus optatus,,Present,Present,Present,,,,Present,Present,Present,,,Present,,,,,Listed
1011,Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Listed,Fregata andrewsi,07-DEC-2016,Listed,,Listed,,,Listed,Fregata andrewsi,,Completed,Fregata andrewsi,19-Oct-20,18-Aug-04,Recovery plan required,Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,Fregata,birds,Critically Endangered,Fregata andrewsi,,,,,,,,,,,Present,,,,,,Present,Listed
1012,Fregata ariel,"Lesser Frigatebird, Least Frigatebird",Listed,,,Listed,,Listed,Listed,Listed,Listed,Fregata ariel,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,Fregata,birds,Least Concern,Fregata ariel,,,,Present,,,,Present,Present,Present,,Present,,,,,Present,Listed
1013,Fregata minor,"Great Frigatebird, Greater Frigatebird",Listed,,,Listed,,Listed,Listed,,Listed,Fregata minor,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,Fregata,birds,Least Concern,Fregata minor,,,,Present,,,,Present,Present,Present,Present,Present,,,,,Present,Listed
864,Gallinago megala,Swinhoe's Snipe,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Gallinago megala,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,birds,Least Concern,Gallinago megala,,,,,,,,,,,,,,,,,,Listed
841,Gallinago stenura,Pin-tailed Snipe,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Gallinago stenura,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,birds,Least Concern,Gallinago stenura,,,,,,,,,,,,,,,,,,Listed
806,Gelochelidon nilotica,Gull-billed Tern,Listed,,,Listed,,Listed,,,Listed,Sterna nilotica,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,birds,Least Concern,Gelochelidon nilotica,,,,,,,Present,,,,,,,,,,Present,Listed
840,Glareola maldivarum,Oriental Pratincole,Listed,,,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Glareola maldivarum,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,birds,Least Concern,Glareola maldivarum,,,Present,Present,,,,Present,,,,,,,,,,Listed
682,Hirundapus caudacutus,White-throated Needletail,Listed,Hirundapus caudacutus,04-JUL-2019,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Hirundapus caudacutus,,Completed,Hirundapus caudacutus,04-Jul-19,,Recovery Plan not required,Animalia,Chordata,Aves,Apodiformes,Apodidae,Hirundapus,birds,Least Concern,Hirundapus caudacutus,Present,Present,,Present,Present,Present,Present,,,,,,Present,,,,,Listed
662,Hirundo rustica,Barn Swallow,Listed,,,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Hirundo rustica,,,,,,,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,birds,Least Concern,Hirundo rustica,,,Present,Present,,,,Present,Present,Present,Present,,,,,,,Listed
86650,Hydrobates monorhis,Swinhoe's Storm-Petrel,Listed,,,Listed,,Listed,Listed,Listed,,,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,birds,Near Threatened,Hydrobates monorhis,,,,,,,,,,,,,,,,,,Listed
842,Limicola falcinellus,Broad-billed Sandpiper,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Limicola falcinellus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limicola,birds,,,,Present,Present,Present,,,,Present,,,,,,,,,,Listed
843,Limnodromus semipalmatus,Asian Dowitcher,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Limnodromus semipalmatus,,30/10/2022,Limnodromus semipalmatus,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,birds,Near Threatened,Limnodromus semipalmatus,,,Present,,,,,,,,,,,,,,,Listed
844,Limosa lapponica,Bar-tailed Godwit,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Limosa lapponica,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,birds,Near Threatened,Limosa lapponica,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
845,Limosa limosa,Black-tailed Godwit,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Limosa limosa,,30/10/2022,Limosa limosa,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,birds,Near Threatened,Limosa limosa,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
642,Motacilla cinerea,Grey Wagtail,Listed,,,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Motacilla cinerea,,,,,,,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,birds,Least Concern,Motacilla cinerea,,Present,Present,Present,Present,,Present,Present,Present,Present,Present,,,,,,,Listed
644,Motacilla flava,Yellow Wagtail,Listed,,,Listed,,Listed,Listed,Listed,Listed - overfly marine area,Motacilla flava,,,,,,,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,birds,,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,Listed
847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Listed,Numenius madagascariensis,26-MAY-2015,Listed,B1,Listed,Listed,Listed,Listed,Numenius madagascariensis,,"30/10/2022, Completed","Numenius madagascariensis, Numenius madagascariensis",26-May-15,,Recovery Plan not required,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,Endangered,Numenius madagascariensis,,Present,Present,Present,Present,Present,Present,Present,,,,,Present,,,,Present,Listed
848,Numenius minutus,"Little Curlew, Little Whimbrel",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Numenius minutus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,Least Concern,Numenius minutus,,,Present,Present,Present,,,Present,,,,,,,,,,Listed
849,Numenius phaeopus,Whimbrel,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Numenius phaeopus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,Least Concern,Numenius phaeopus,,Present,Present,Present,,,,Present,,,,Present,,,,,Present,Listed
82845,Onychoprion anaethetus,Bridled Tern,Listed,,,Listed,,Listed,Listed,,Listed,Sterna anaethetus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,birds,Least Concern,Onychoprion anaethetus,,,Present,Present,Present,,,Present,Present,,,,,,,,Present,Listed
1014,Phaethon lepturus,White-tailed Tropicbird,Listed,,,Listed,,Listed,Listed,,Listed,Phaethon lepturus,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Phaethontidae,Phaethon,birds,Least Concern,Phaethon lepturus,,,,,,,,,Present,Present,Present,,,,,,Present,Listed
994,Phaethon rubricauda,Red-tailed Tropicbird,Listed,,,Listed,,Listed,Listed,,Listed,Phaethon rubricauda,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Phaethontidae,Phaethon,birds,Least Concern,Phaethon rubricauda,,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,Present,Listed
838,Phalaropus lobatus,Red-necked Phalarope,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Phalaropus lobatus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,birds,Least Concern,Phalaropus lobatus,,,,,,,,,,,,,,,,,Present,Listed
850,Philomachus pugnax,Ruff (Reeve),Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Philomachus pugnax,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Philomachus,birds,,,,,,,,,,,,,,,,,,,,Listed
25545,Pluvialis fulva,Pacific Golden Plover,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Pluvialis fulva,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,birds,Least Concern,Pluvialis fulva,,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,,Present,Listed
865,Pluvialis squatarola,Grey Plover,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Pluvialis squatarola,,30/10/2022,Pluvialis squatarola,,,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,birds,Least Concern,Pluvialis squatarola,,,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
91690,Spatula querquedula,"Garganey, Garganey Teal",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Anas querquedula,,,,,,,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,birds,Least Concern,Spatula querquedula,,,,,,,,,,,,,,,,,,Listed
819,Stercorarius longicaudus,"Long-tailed Jaeger, Long-tailed Skua",Listed,,,Listed,,Listed,Listed,,Listed,Stercorarius longicaudus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Stercorarius,birds,Least Concern,Stercorarius longicaudus,,,,,,,,,,,,,,,,,Present,Listed
821,Stercorarius parasiticus,"Arctic Jaeger, Arctic Skua",Listed,,,Listed,,Listed,Listed,Listed,Listed,Stercorarius parasiticus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Stercorarius,birds,Least Concern,Stercorarius parasiticus,,,,,,,,,,,,,,,,,Present,Listed
822,Stercorarius pomarinus,"Pomarine Jaeger, Pomarine Skua",Listed,,,Listed,,Listed,Listed,Listed,Listed,Stercorarius pomarinus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Stercorarius,birds,Least Concern,Stercorarius pomarinus,,,,,,,,,,,,,,,,,Present,Listed
817,Sterna dougallii,Roseate Tern,Listed,,,Listed,,Listed,Listed,,Listed,Sterna dougallii,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,Least Concern,Sterna dougallii,,,Present,Present,,,,Present,Present,,,,,,,,Present,Listed
795,Sterna hirundo,Common Tern,Listed,,,Listed,,Listed,Listed,Listed,Listed,Sterna hirundo,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,Least Concern,Sterna hirundo,,,,,,,,,,,,,,,,,Present,Listed
800,Sterna sumatrana,Black-naped Tern,Listed,,,Listed,,Listed,Listed,,Listed,Sterna sumatrana,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,Least Concern,Sterna sumatrana,,,Present,Present,,,,,,,,Present,,,,,Present,Listed
82849,Sternula albifrons,Little Tern,Listed,,,Listed,B2,Listed,Listed,Listed,Listed,Sterna albifrons,,30/10/2022,Sternula albifrons,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,birds,Least Concern,Sternula albifrons,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,Present,Listed
1022,Sula leucogaster,Brown Booby,Listed,,,Listed,,Listed,Listed,Listed,Listed,Sula leucogaster,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Sula,birds,Least Concern,Sula leucogaster,,,,Present,,,,Present,Present,Present,Present,Present,,,,,Present,Listed
1023,Sula sula,Red-footed Booby,Listed,,,Listed,,Listed,Listed,,Listed,Sula sula,,,,,,,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Sula,birds,Least Concern,Sula sula,,,,,,,,Present,Present,Present,Present,Present,,,,,Present,Listed
851,Tringa brevipes,Grey-tailed Tattler,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed,Heteroscelus brevipes,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,Near Threatened,Tringa brevipes,,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,,Present,Listed
829,Tringa glareola,Wood Sandpiper,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Tringa glareola,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,Least Concern,Tringa glareola,Vagrant,Present,Present,Present,Present,Vagrant,Present,Present,,,,,,,,,,Listed
832,Tringa nebularia,"Common Greenshank, Greenshank",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Tringa nebularia,,30/10/2022,Tringa nebularia,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,Least Concern,Tringa nebularia,,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,,Listed
833,Tringa stagnatilis,"Marsh Sandpiper, Little Greenshank",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Tringa stagnatilis,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,Least Concern,Tringa stagnatilis,,Present,Present,Present,Present,,Present,Present,,,,,,,,,,Listed
835,Tringa totanus,"Common Redshank, Redshank",Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Tringa totanus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,Least Concern,Tringa totanus,,,,,,,,,,,,,,,,,,Listed
59300,Xenus cinereus,Terek Sandpiper,Listed,,,Listed,B2C,Listed,Listed,Listed,Listed - overfly marine area,Xenus cinereus,,30/10/2022,Xenus cinereus,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,birds,Least Concern,Xenus cinereus,,Present,Present,Present,Present,,Present,Present,,,,,,,,,,Listed
