scientificName,status,sourceStatus
Abrodictyum obscurum,Endangered,Endangered
Acacia equisetifolia,Critically Endangered,Critically endangered
Acacia latzii,Vulnerable,Vulnerable
Acacia peuce,Endangered,Endangered
Acacia praetermissa,Vulnerable,Vulnerable
Acacia undoolyana,Vulnerable,Vulnerable
Actinotus schwarzii,Vulnerable,Vulnerable
Adiantum capillus-veneris,Vulnerable,Vulnerable
Amperea spicata,Vulnerable,Vulnerable
Angiopteris evecta,Vulnerable,Vulnerable
Atalaya brevialata,Critically Endangered,Critically endangered
Babingtonia behrii,Vulnerable,Vulnerable
Baumea arthrophylla,Endangered,Endangered
Bolbitis quoyana,Vulnerable,Vulnerable
Boronia quadrilata,Vulnerable,Vulnerable
Boronia viridiflora,Vulnerable,Vulnerable
Burmannia sp. Bathurst Island,Endangered,Endangered
Calochilus caeruleus,Vulnerable,Vulnerable
Carex fascicularis,Vulnerable,Vulnerable
Clausena excavata,Critically Endangered,Critically endangered
Clematis decipiens,Vulnerable,Vulnerable
Cleome insolata,Vulnerable,Vulnerable
Crepidium marsupichilum,Vulnerable,Vulnerable
Cryptocarya hypospodia,Endangered,Endangered
Cycas armstrongii,Vulnerable,Vulnerable
Dendromyza reinwardtiana,Vulnerable,Vulnerable
Dienia montana,Vulnerable,Vulnerable
Elaeocarpus miegei,Critically Endangered,Critically endangered
Eleocharis papillosa,Vulnerable,Vulnerable
Endiandra limnophila,Vulnerable,Vulnerable
Erythroxylum sp. Cholmondely Creek,Endangered,Endangered
Freycinetia excelsa,Vulnerable,Vulnerable
Freycinetia percostata,Vulnerable,Vulnerable
Garcinia warrenii,Endangered,Endangered
Gleichenia sp. Victoria River,Vulnerable,Vulnerable
Habenaria rumphii,Endangered,Endangered
Helicteres macrothrix,Endangered,Endangered
Hibbertia brennanii,Vulnerable,Vulnerable
Hibbertia pancerea,Vulnerable,Vulnerable
Hibbertia sp. South Magela,Vulnerable,Vulnerable
Hibbertia tricornis,Vulnerable,Vulnerable
Hibiscus brennanii,Vulnerable,Vulnerable
Hibiscus cravenii,Vulnerable,Vulnerable
Hoya australis subsp. oramicola,Vulnerable,Vulnerable
Intsia bijuga,Critically Endangered,Critically endangered
Jacksonia divisa,Vulnerable,Vulnerable
Lithomyrtus linariifolia,Vulnerable,Vulnerable
Livistona mariae subsp. MariaeRed cabbage palm,Endangered,Endangered
Luisia corrugata,Vulnerable,Vulnerable
Macrothelypteris torresiana,Endangered,Endangered
Mapania macrocephala,Vulnerable,Vulnerable
Minuria tridens,Vulnerable,Vulnerable
Mischocarpus stipitatus,Endangered,Endangered
Mitrella tiwiensis,Vulnerable,Vulnerable
Monochoria hastata,Vulnerable,Vulnerable
Olearia macdonnellensis,Endangered,Endangered
Platysace saxatilis,Vulnerable,Vulnerable
Prostanthera schultzii,Vulnerable,Vulnerable
Pternandra coerulescens,Vulnerable,Vulnerable
Ptychosperma macarthurii,Endangered,Endangered
Santalum acuminatum,Vulnerable,Vulnerable
