scientificName,vernacularName,family,WildNetTaxonID,taxonID,status,sourceStatus
Diomedea antipodensis antipodensis,Antipodean albatross,Diomedeidae,27767,https://apps.des.qld.gov.au/species-search/details/?id=27767,Vulnerable,V
Diomedea antipodensis gibsoni,Gibson's albatross,Diomedeidae,27768,https://apps.des.qld.gov.au/species-search/details/?id=27768,Vulnerable,V
Diomedea exulans,wandering albatross,Diomedeidae,1255,https://apps.des.qld.gov.au/species-search/details/?id=1255,Vulnerable,V
Phoebetria fusca,sooty albatross,Diomedeidae,1258,https://apps.des.qld.gov.au/species-search/details/?id=1258,Vulnerable,V
Thalassarche bulleri,Buller's albatross,Diomedeidae,18836,https://apps.des.qld.gov.au/species-search/details/?id=18836,Vulnerable,V
Thalassarche carteri,Indian yellow-nosed albatross,Diomedeidae,1252,https://apps.des.qld.gov.au/species-search/details/?id=1252,Vulnerable,V
Thalassarche cauta,shy albatross,Diomedeidae,1251,https://apps.des.qld.gov.au/species-search/details/?id=1251,Endangered,E
Thalassarche chrysostoma,grey-headed albatross,Diomedeidae,1253,https://apps.des.qld.gov.au/species-search/details/?id=1253,Endangered,E
Thalassarche steadi,white-capped albatross,Diomedeidae,27766,https://apps.des.qld.gov.au/species-search/details/?id=27766,Vulnerable,V
Ardenna grisea,sooty shearwater,Procellariidae,1200,https://apps.des.qld.gov.au/species-search/details/?id=1200,Vulnerable,V
Ardenna pacifica,wedge-tailed shearwater,Procellariidae,1188,https://apps.des.qld.gov.au/species-search/details/?id=1188,Vulnerable,V
Halobaena caerulea,blue petrel,Procellariidae,1233,https://apps.des.qld.gov.au/species-search/details/?id=1233,Vulnerable,V
Macronectes giganteus,southern giant-petrel,Procellariidae,1222,https://apps.des.qld.gov.au/species-search/details/?id=1222,Endangered,E
Macronectes halli,northern giant-petrel,Procellariidae,1223,https://apps.des.qld.gov.au/species-search/details/?id=1223,Vulnerable,V
Pterodroma heraldica,Herald petrel,Procellariidae,22453,https://apps.des.qld.gov.au/species-search/details/?id=22453,Critically Endangered,CR
Botaurus poiciloptilus,Australasian bittern,Ardeidae,1836,https://apps.des.qld.gov.au/species-search/details/?id=1836,Endangered,E
Erythrotriorchis radiatus,red goshawk,Accipitridae,1728,https://apps.des.qld.gov.au/species-search/details/?id=1728,Endangered,E
Falco hypoleucos,grey falcon,Falconidae,1705,https://apps.des.qld.gov.au/species-search/details/?id=1705,Vulnerable,V
Esacus magnirostris,beach stone-curlew,Burhinidae,1958,https://apps.des.qld.gov.au/species-search/details/?id=1958,Vulnerable,V
Charadrius leschenaultii,greater sand plover,Charadriidae,1948,https://apps.des.qld.gov.au/species-search/details/?id=1948,Vulnerable,V
Charadrius mongolus,lesser sand plover,Charadriidae,1936,https://apps.des.qld.gov.au/species-search/details/?id=1936,Endangered,E
Pedionomus torquatus,plains-wanderer,Pedionomidae,1892,https://apps.des.qld.gov.au/species-search/details/?id=1892,Critically Endangered,CR
Rostratula australis,Australian painted-snipe,Rostratulidae,1883,https://apps.des.qld.gov.au/species-search/details/?id=1883,Endangered,E
Calidris canutus,red knot,Scolopacidae,1877,https://apps.des.qld.gov.au/species-search/details/?id=1877,Endangered,E
Calidris ferruginea,curlew sandpiper,Scolopacidae,1878,https://apps.des.qld.gov.au/species-search/details/?id=1878,Critically Endangered,CR
Calidris tenuirostris,great knot,Scolopacidae,1856,https://apps.des.qld.gov.au/species-search/details/?id=1856,Critically Endangered,CR
Limosa lapponica baueri,Western Alaskan bar-tailed godwit,Scolopacidae,1867,https://apps.des.qld.gov.au/species-search/details/?id=1867,Vulnerable,V
Numenius madagascariensis,eastern curlew,Scolopacidae,1843,https://apps.des.qld.gov.au/species-search/details/?id=1843,Endangered,E
Turnix melanogaster,black-breasted button-quail,Turnicidae,1092,https://apps.des.qld.gov.au/species-search/details/?id=1092,Vulnerable,V
Turnix olivii,buff-breasted button-quail,Turnicidae,1093,https://apps.des.qld.gov.au/species-search/details/?id=1093,Critically Endangered,CR
Sternula nereis exsul,New Caledonian fairy tern,Laridae,1900,https://apps.des.qld.gov.au/species-search/details/?id=1900,Endangered,E
Cacatua leadbeateri leadbeateri,Major Mitchell's cockatoo,Cacatuidae,1192,https://apps.des.qld.gov.au/species-search/details/?id=1192,Endangered,E
Calyptorhynchus lathami,glossy black-cockatoo,Cacatuidae,1171,https://apps.des.qld.gov.au/species-search/details/?id=1171,Vulnerable,V
Calyptorhynchus lathami erebus,glossy black-cockatoo (northern),Cacatuidae,22493,https://apps.des.qld.gov.au/species-search/details/?id=22493,Vulnerable,V
Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern),Cacatuidae,22494,https://apps.des.qld.gov.au/species-search/details/?id=22494,Vulnerable,V
Probosciger aterrimus macgillivrayi,palm cockatoo,Cacatuidae,1175,https://apps.des.qld.gov.au/species-search/details/?id=1175,Endangered,E
Cyclopsitta diophthalma coxeni,Coxen's fig-parrot,Psittaculidae,1164,https://apps.des.qld.gov.au/species-search/details/?id=1164,Critically Endangered,CR
Cyclopsitta diophthalma macleayana,Macleay's fig-parrot,Psittaculidae,1165,https://apps.des.qld.gov.au/species-search/details/?id=1165,Vulnerable,V
Eclectus polychloros macgillivrayi,eclectus parrot (Cape York Peninsula),Psittaculidae,1168,https://apps.des.qld.gov.au/species-search/details/?id=1168,Vulnerable,V
Lathamus discolor,swift parrot,Psittaculidae,1149,https://apps.des.qld.gov.au/species-search/details/?id=1149,Endangered,E
Neophema chrysostoma,blue-winged parrot,Psittaculidae,1153,https://apps.des.qld.gov.au/species-search/details/?id=1153,Vulnerable,V
Pezoporus occidentalis,night parrot,Psittaculidae,1133,https://apps.des.qld.gov.au/species-search/details/?id=1133,Endangered,E
Pezoporus wallicus wallicus,ground parrot,Psittaculidae,1135,https://apps.des.qld.gov.au/species-search/details/?id=1135,Vulnerable,V
Psephotellus chrysopterygius,golden-shouldered parrot,Psittaculidae,1117,https://apps.des.qld.gov.au/species-search/details/?id=1117,Endangered,E
Psephotellus pulcherrimus,paradise parrot,Psittaculidae,1119,https://apps.des.qld.gov.au/species-search/details/?id=1119,Extinct in the wild,PE
Ninox rufa meesi,rufous owl (Cape York subspecies),Strigidae,1104,https://apps.des.qld.gov.au/species-search/details/?id=1104,Near Threatened,NT
Ninox strenua,powerful owl,Strigidae,1107,https://apps.des.qld.gov.au/species-search/details/?id=1107,Vulnerable,V
Tyto novaehollandiae kimberli,masked owl (northern subspecies),Tytonidae,1097,https://apps.des.qld.gov.au/species-search/details/?id=1097,Vulnerable,V
Menura alberti,Albert's lyrebird,Menuridae,1467,https://apps.des.qld.gov.au/species-search/details/?id=1467,Near Threatened,NT
Atrichornis rufescens,rufous scrub-bird,Atrichornithidae,1632,https://apps.des.qld.gov.au/species-search/details/?id=1632,Vulnerable,V
Climacteris picumnus victoriae,brown treecreeper (south-eastern),Climacteridae,22456,https://apps.des.qld.gov.au/species-search/details/?id=22456,Vulnerable,V
Amytornis barbatus,grey grasswren,Maluridae,1563,https://apps.des.qld.gov.au/species-search/details/?id=1563,Near Threatened,NT
Amytornis barbatus barbatus,grey grasswren (Bulloo),Maluridae,29885,https://apps.des.qld.gov.au/species-search/details/?id=29885,Endangered,E
Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),Maluridae,29886,https://apps.des.qld.gov.au/species-search/details/?id=29886,Near Threatened,NT
Amytornis dorotheae,Carpentarian grasswren,Maluridae,1564,https://apps.des.qld.gov.au/species-search/details/?id=1564,Endangered,E
Amytornis rowleyi,rusty grasswren,Maluridae,1568,https://apps.des.qld.gov.au/species-search/details/?id=1568,Near Threatened,NT
Malurus coronatus,purple-crowned fairy-wren,Maluridae,1569,https://apps.des.qld.gov.au/species-search/details/?id=1569,Vulnerable,V
Stipiturus malachurus,southern emu-wren,Maluridae,1549,https://apps.des.qld.gov.au/species-search/details/?id=1549,Vulnerable,V
Dasyornis brachypterus,eastern bristlebird,Dasyornithidae,1405,https://apps.des.qld.gov.au/species-search/details/?id=1405,Endangered,E
Aphelocephala leucopsis,southern whiteface,Acanthizidae,1400,https://apps.des.qld.gov.au/species-search/details/?id=1400,Vulnerable,V
Anthochaera phrygia,regent honeyeater,Meliphagidae,1478,https://apps.des.qld.gov.au/species-search/details/?id=1478,Critically Endangered,CR
Bolemoreus hindwoodi,Eungella honeyeater,Meliphagidae,1514,https://apps.des.qld.gov.au/species-search/details/?id=1514,Vulnerable,V
Epthianura crocea,yellow chat,Meliphagidae,1528,https://apps.des.qld.gov.au/species-search/details/?id=1528,Vulnerable,V
Epthianura crocea crocea,yellow chat (gulf),Meliphagidae,22458,https://apps.des.qld.gov.au/species-search/details/?id=22458,Vulnerable,V
Epthianura crocea macgregori,yellow chat (Dawson),Meliphagidae,22459,https://apps.des.qld.gov.au/species-search/details/?id=22459,Endangered,E
Grantiella picta,painted honeyeater,Meliphagidae,1521,https://apps.des.qld.gov.au/species-search/details/?id=1521,Vulnerable,V
Melanodryas cucullata cucullata,hooded robin (south-eastern),Petroicidae,22461,https://apps.des.qld.gov.au/species-search/details/?id=22461,Endangered,E
Chloebia gouldiae,Gouldian finch,Estrildidae,1376,https://apps.des.qld.gov.au/species-search/details/?id=1376,Endangered,E
Erythrura trichroa,blue-faced parrot-finch,Estrildidae,1378,https://apps.des.qld.gov.au/species-search/details/?id=1378,Near Threatened,NT
Neochmia ruficauda ruficauda,star finch (eastern subspecies),Estrildidae,18452,https://apps.des.qld.gov.au/species-search/details/?id=18452,Endangered,E
Poephila cincta cincta,black-throated finch (white-rumped subspecies),Estrildidae,1365,https://apps.des.qld.gov.au/species-search/details/?id=1365,Endangered,E
Stagonopleura guttata,diamond firetail,Estrildidae,1355,https://apps.des.qld.gov.au/species-search/details/?id=1355,Vulnerable,V
Carcharias taurus,greynurse shark,Odontaspididae,22531,https://apps.des.qld.gov.au/species-search/details/?id=22531,Endangered,E
Hemitrygon fluviorum,estuary stingray,Dasyatidae,22620,https://apps.des.qld.gov.au/species-search/details/?id=22620,Near Threatened,NT
Trisyntopa scatophaga,antbed moth,Oecophoridae,32708,https://apps.des.qld.gov.au/species-search/details/?id=32708,Endangered,E
Ornithoptera richmondia,Richmond birdwing,Papilionidae,2014,https://apps.des.qld.gov.au/species-search/details/?id=2014,Vulnerable,V
Argynnis hyperbius inconstans,Australian fritillary,Nymphalidae,2008,https://apps.des.qld.gov.au/species-search/details/?id=2008,Endangered,E
Acrodipsas illidgei,Illidge's ant-blue,Lycaenidae,27,https://apps.des.qld.gov.au/species-search/details/?id=27,Vulnerable,V
Hypochrysops apollo apollo,Apollo jewel (Wet Tropics subspecies),Lycaenidae,18,https://apps.des.qld.gov.au/species-search/details/?id=18,Vulnerable,V
Hypochrysops piceatus,bulloak jewel,Lycaenidae,6,https://apps.des.qld.gov.au/species-search/details/?id=6,Critically Endangered,CR
Jalmenus eubulus,pale imperial hairstreak,Lycaenidae,9,https://apps.des.qld.gov.au/species-search/details/?id=9,Vulnerable,V
Mordacia praecox,non-parasitic lamprey,Mordaciidae,30038,https://apps.des.qld.gov.au/species-search/details/?id=30038,Endangered,E
Cherax robustus,,Parastacidae,33588,https://apps.des.qld.gov.au/species-search/details/?id=33588,Vulnerable,V
Euastacus bindal,Mt Elliot crayfish,Parastacidae,33590,https://apps.des.qld.gov.au/species-search/details/?id=33590,Critically Endangered,CR
Euastacus binzayedi,,Parastacidae,36167,https://apps.des.qld.gov.au/species-search/details/?id=36167,Critically Endangered,CR
Euastacus dalagarbe,,Parastacidae,36176,https://apps.des.qld.gov.au/species-search/details/?id=36176,Critically Endangered,CR
Euastacus eungella,,Parastacidae,33591,https://apps.des.qld.gov.au/species-search/details/?id=33591,Endangered,E
Euastacus hystricosus,,Parastacidae,33593,https://apps.des.qld.gov.au/species-search/details/?id=33593,Endangered,E
Euastacus jagara,Jagara hairy crayfish,Parastacidae,33594,https://apps.des.qld.gov.au/species-search/details/?id=33594,Critically Endangered,CR
Euastacus maidae,,Parastacidae,33595,https://apps.des.qld.gov.au/species-search/details/?id=33595,Critically Endangered,CR
Euastacus monteithorum,,Parastacidae,33596,https://apps.des.qld.gov.au/species-search/details/?id=33596,Endangered,E
Euastacus robertsi,,Parastacidae,33597,https://apps.des.qld.gov.au/species-search/details/?id=33597,Endangered,E
Euastacus suttoni,,Parastacidae,36168,https://apps.des.qld.gov.au/species-search/details/?id=36168,Endangered,E
Tenuibranchiurus glypticus,swamp crayfish,Parastacidae,33603,https://apps.des.qld.gov.au/species-search/details/?id=33603,Endangered,E
Antechinus argentus,silver-headed antechinus,Dasyuridae,35003,https://apps.des.qld.gov.au/species-search/details/?id=35003,Endangered,E
Antechinus arktos,black-tailed antechinus,Dasyuridae,823,https://apps.des.qld.gov.au/species-search/details/?id=823,Endangered,E
Dasycercus blythi,brush-tailed mulgara,Dasyuridae,824,https://apps.des.qld.gov.au/species-search/details/?id=824,Vulnerable,V
Dasycercus cristicauda,crest-tailed mulgara,Dasyuridae,26895,https://apps.des.qld.gov.au/species-search/details/?id=26895,Vulnerable,V
Dasyuroides byrnei,kowari,Dasyuridae,827,https://apps.des.qld.gov.au/species-search/details/?id=827,Endangered,E
Dasyurus geoffroii geoffroii,western quoll,Dasyuridae,813,https://apps.des.qld.gov.au/species-search/details/?id=813,Extinct in the wild,PE
Dasyurus maculatus gracilis,spotted-tailed quoll (northern subspecies),Dasyuridae,802,https://apps.des.qld.gov.au/species-search/details/?id=802,Endangered,E
Dasyurus maculatus maculatus,spotted-tailed quoll (southern subspecies),Dasyuridae,803,https://apps.des.qld.gov.au/species-search/details/?id=803,Endangered,E
Sminthopsis archeri,chestnut dunnart,Dasyuridae,799,https://apps.des.qld.gov.au/species-search/details/?id=799,Near Threatened,NT
Sminthopsis douglasi,Julia Creek dunnart,Dasyuridae,789,https://apps.des.qld.gov.au/species-search/details/?id=789,Endangered,E
Sminthopsis leucopus janetzkiae,Wet Tropics white-footed dunnart,Dasyuridae,791,https://apps.des.qld.gov.au/species-search/details/?id=791,Vulnerable,V
Macrotis lagotis,greater bilby,Thylacomyidae,841,https://apps.des.qld.gov.au/species-search/details/?id=841,Endangered,E
Phascolarctos cinereus,koala,Phascolarctidae,860,https://apps.des.qld.gov.au/species-search/details/?id=860,Endangered,E
Lasiorhinus krefftii,northern hairy-nosed wombat,Vombatidae,828,https://apps.des.qld.gov.au/species-search/details/?id=828,Critically Endangered,CR
Vombatus ursinus,common wombat,Vombatidae,831,https://apps.des.qld.gov.au/species-search/details/?id=831,Near Threatened,NT
Petaurus australis australis,yellow-bellied glider (southern subspecies),Petauridae,875,https://apps.des.qld.gov.au/species-search/details/?id=875,Vulnerable,V
Petaurus australis brevirostrum,northern yellow-bellied glider,Petauridae,876,https://apps.des.qld.gov.au/species-search/details/?id=876,Endangered,E
Petaurus gracilis,mahogany glider,Petauridae,878,https://apps.des.qld.gov.au/species-search/details/?id=878,Endangered,E
Hemibelideus lemuroides,lemuroid ringtail possum,Pseudocheiridae,845,https://apps.des.qld.gov.au/species-search/details/?id=845,Critically Endangered,CR
Petauroides volans,greater glider,Pseudocheiridae,848,https://apps.des.qld.gov.au/species-search/details/?id=848,Vulnerable,V
Petauroides volans minor,northern greater glider,Pseudocheiridae,2456,https://apps.des.qld.gov.au/species-search/details/?id=2456,Vulnerable,V
Petauroides volans volans,southern greater glider,Pseudocheiridae,2455,https://apps.des.qld.gov.au/species-search/details/?id=2455,Endangered,E
Bettongia gaimardi gaimardi,eastern bettong,Potoroidae,864,https://apps.des.qld.gov.au/species-search/details/?id=864,Extinct,EX
Bettongia lesueur graii,burrowing bettong,Potoroidae,29916,https://apps.des.qld.gov.au/species-search/details/?id=29916,Extinct,EX
Bettongia tropica,northern bettong,Potoroidae,866,https://apps.des.qld.gov.au/species-search/details/?id=866,Endangered,E
Caloprymnus campestris,desert rat-kangaroo,Potoroidae,867,https://apps.des.qld.gov.au/species-search/details/?id=867,Extinct in the wild,PE
Potorous tridactylus tridactylus,long-nosed potoroo,Potoroidae,18794,https://apps.des.qld.gov.au/species-search/details/?id=18794,Vulnerable,V
Dendrolagus bennettianus,Bennett's tree-kangaroo,Macropodidae,920,https://apps.des.qld.gov.au/species-search/details/?id=920,Near Threatened,NT
Dendrolagus lumholtzi,Lumholtz's tree-kangaroo,Macropodidae,921,https://apps.des.qld.gov.au/species-search/details/?id=921,Near Threatened,NT
Onychogalea frenata,bridled nailtail wallaby,Macropodidae,907,https://apps.des.qld.gov.au/species-search/details/?id=907,Endangered,E
Petrogale coenensis,Cape York rock-wallaby,Macropodidae,898,https://apps.des.qld.gov.au/species-search/details/?id=898,Vulnerable,V
Petrogale penicillata,brush-tailed rock-wallaby,Macropodidae,890,https://apps.des.qld.gov.au/species-search/details/?id=890,Vulnerable,V
Petrogale persephone,Proserpine rock-wallaby,Macropodidae,891,https://apps.des.qld.gov.au/species-search/details/?id=891,Endangered,E
Petrogale purpureicollis,purple-necked rock-wallaby,Macropodidae,888,https://apps.des.qld.gov.au/species-search/details/?id=888,Vulnerable,V
Petrogale sharmani,Sharman's rock-wallaby,Macropodidae,892,https://apps.des.qld.gov.au/species-search/details/?id=892,Vulnerable,V
Petrogale xanthopus celeris,yellow-footed rock-wallaby,Macropodidae,894,https://apps.des.qld.gov.au/species-search/details/?id=894,Vulnerable,V
Pteropus brunneus,Percy Island flying-fox,Pteropodidae,985,https://apps.des.qld.gov.au/species-search/details/?id=985,Extinct,EX
Pteropus conspicillatus,spectacled flying-fox,Pteropodidae,986,https://apps.des.qld.gov.au/species-search/details/?id=986,Endangered,E
Macroderma gigas,ghost bat,Megadermatidae,994,https://apps.des.qld.gov.au/species-search/details/?id=994,Endangered,E
Rhinolophus robertsi,greater large-eared horseshoe bat,Rhinolophidae,969,https://apps.des.qld.gov.au/species-search/details/?id=969,Endangered,E
Hipposideros cervinus,fawn leaf-nosed bat,Hipposideridae,1002,https://apps.des.qld.gov.au/species-search/details/?id=1002,Vulnerable,V
Hipposideros diadema reginae,diadem leaf-nosed bat,Hipposideridae,1003,https://apps.des.qld.gov.au/species-search/details/?id=1003,Near Threatened,NT
Hipposideros semoni,Semon`s leaf-nosed bat,Hipposideridae,1004,https://apps.des.qld.gov.au/species-search/details/?id=1004,Endangered,E
Hipposideros stenotis,northern leaf-nosed bat,Hipposideridae,991,https://apps.des.qld.gov.au/species-search/details/?id=991,Vulnerable,V
Rhinonicteris aurantia,orange leaf-nosed bat,Hipposideridae,992,https://apps.des.qld.gov.au/species-search/details/?id=992,Vulnerable,V
Saccolaimus saccolaimus nudicluniatus,bare-rumped sheathtail bat,Emballonuridae,1008,https://apps.des.qld.gov.au/species-search/details/?id=1008,Endangered,E
Taphozous australis,coastal sheathtail bat,Emballonuridae,1010,https://apps.des.qld.gov.au/species-search/details/?id=1010,Near Threatened,NT
Chalinolobus dwyeri,large-eared pied bat,Vespertilionidae,971,https://apps.des.qld.gov.au/species-search/details/?id=971,Endangered,E
Murina florium,tube-nosed insectivorous bat,Vespertilionidae,957,https://apps.des.qld.gov.au/species-search/details/?id=957,Vulnerable,V
Nyctophilus corbeni,eastern long-eared bat,Vespertilionidae,939,https://apps.des.qld.gov.au/species-search/details/?id=939,Vulnerable,V
Conilurus albipes,white-footed rabbit-rat,Muridae,779,https://apps.des.qld.gov.au/species-search/details/?id=779,Extinct in the wild,PE
Conilurus capricornensis,Capricorn rabbit-rat,Muridae,36772,https://apps.des.qld.gov.au/species-search/details/?id=36772,Extinct,EX
Conilurus penicillatus,brush-tailed tree-rat,Muridae,780,https://apps.des.qld.gov.au/species-search/details/?id=780,Vulnerable,V
Melomys rubicola,Bramble Cay melomys,Muridae,760,https://apps.des.qld.gov.au/species-search/details/?id=760,Extinct in the wild,PE
Notomys aquilo,northern hopping-mouse,Muridae,752,https://apps.des.qld.gov.au/species-search/details/?id=752,Vulnerable,V
Notomys fuscus,dusky hopping-mouse,Muridae,754,https://apps.des.qld.gov.au/species-search/details/?id=754,Endangered,E
Notomys mordax,Darling Downs hopping-mouse,Muridae,756,https://apps.des.qld.gov.au/species-search/details/?id=756,Extinct in the wild,PE
Pseudomys australis,plains rat,Muridae,746,https://apps.des.qld.gov.au/species-search/details/?id=746,Vulnerable,V
Pseudomys glaucus,silky mouse,Muridae,27771,https://apps.des.qld.gov.au/species-search/details/?id=27771,Extinct,EX
