class,order,family,vernacularName,taxonID,genus,species,scientificName,sourceStatus,npwActStatusComments,epbcStatus,epbcActStatusComments,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,subspeciesAuthor,status,majorGroup,subSpecies,NPW ACT STATUS,NPW ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA
MAMMALIA,PERAMELEMORPHIA,THYLACOMYIDAE,Lesser Bilby,Z01107,Macrotis,leucura,Macrotis leucura,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Thomas, 1887)",,Endangered,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,CHAEROPODIDAE,Pig-footed Bandicoot,E01110,Chaeropus,ecaudatus,Chaeropus ecaudatus,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Ogilby, 1838)",,Endangered,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Golden Bandicoot,M01094,Isoodon,auratus,Isoodon auratus,E,,VU,"2 ssp in  EPBC Act. SA ssp,  I.a. auratus (Golden Bandicoot- mainland)",Although recent genetic studies by Zenger et al. (2005) place I. auratus in I. o. fusciventer this Census retains the use of I. auratus until morphological studies confirm it status.,1990-03-01 00:00:00,2012-04-17 00:00:00,"(Ramsay, 1887)",,Endangered,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Southern Brown Bandicoot (Nuyts Archipelago),Q09016,Isoodon,obesulus nauticus,Isoodon obesulus nauticus,V,,VU,,,1990-03-01 00:00:00,2017-11-27 00:00:00,"(Shaw, 1797)",,Vulnerable,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Southern Brown Bandicoot (SA mainland and KI),G04375,Isoodon,obesulus obesulus,Isoodon obesulus obesulus,V,,EN,,,2007-09-14 00:00:00,2012-04-17 00:00:00,,,Vulnerable,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Western Barred Bandicoot,W01099,Perameles,bougainville,Perameles bougainville,E,Extinct; Shark Bay ssp intod. to Roxby,ssp,Mainland and Shark Bay ssp listed seperately in EPBC Act Extinct;,Original populations extinct in SA. Reintroduced (Western Australian stock Perameles b. bougainville) to Arid Recovery/Roxby in 2001 (extant).,1990-03-01 00:00:00,2012-11-23 00:00:00,"Quoy & Gaimard, 1824",,Endangered,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Desert Bandicoot,A01100,Perameles,eremiana,Perameles eremiana,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Spencer, 1897",,Endangered,,,,,,,,
MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Eastern Barred Bandicoot,U01098,Perameles,gunnii,Perameles gunnii,E,,EN,referring to unnamed ssp (mainland),,1990-03-01 00:00:00,2002-11-01 00:00:00,"Gray, 1838",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,VOMBATIDAE,Common Wombat,K01165,Vombatus,ursinus,Vombatus ursinus,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Shaw, 1800)",,Rare,,,,,,,,
MAMMALIA,DIPROTODONTIA,BURRAMYIDAE,Eastern Pygmy-possum,U01150,Cercartetus,nanus,Cercartetus nanus,V,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Desmarest, 1818)",,Vulnerable,,,,,,,,
MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Common Brushtail Possum,K01113,Trichosurus,vulpecula,Trichosurus vulpecula,R,,,,"Reintroduced to many locations, including the Flinders Ranges, along the River Murray (extant) and on Thistle Island (extant).",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Kerr, 1792)",,Rare,,,,,,,,
MAMMALIA,DIPROTODONTIA,PETAURIDAE,Yellow-bellied Glider,U04222,Petaurus,australis,Petaurus australis,E,now considered probably extinct from SA,VU,listed March 2022,,2000-02-22 00:00:00,2002-11-01 00:00:00,"Shaw, 1791",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,PETAURIDAE,Sugar Glider,E01138,Petaurus,breviceps,Petaurus breviceps,R,,,,Note: the single SA Museum specimen for the Mt Lofty Ranges (M17784) is probably a captive escapee.,1990-03-01 00:00:00,2002-11-01 00:00:00,"Waterhouse, 1839",,Rare,,,,,,,,
MAMMALIA,DIPROTODONTIA,PETAURIDAE,Squirrel Glider,E04226,Petaurus,norfolcensis,Petaurus norfolcensis,E,,,,,2000-03-21 00:00:00,2002-11-01 00:00:00,"(Kerr, 1792)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,ACROBATIDAE,Feathertail Glider,G01147,Acrobates,pygmaeus,Acrobates pygmaeus,E,,,,"Recent studies show that there is likely to be two species in SA, one along the Murray River and the other in the South East.",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Shaw, 1794)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,POTORIDAE,Burrowing Bettong,Q01184,Bettongia,lesueur,Bettongia lesueur,E,,EX,,"Original populations extinct in SA.  Reintroduced (stock from Western Australia) to Yookamurra Sanctuary (from 2007, extant) and Arid Recovery/Roxby (from 2000, extant).",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Quoy & Gaimard, 1824)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,POTORIDAE,Brush-tailed Bettong,M21002,Bettongia,penicillata ogilbyi,Bettongia penicillata ogilbyi,R,subsp ogilbyi introduced to SA,EN,,Subspecies B. p. ogilbyi introduced to SA (SA: R).,2001-08-06 00:00:00,2002-11-01 00:00:00,"Gray, 1837",,Rare,,,,,,,,
MAMMALIA,DIPROTODONTIA,POTORIDAE,Brush-tailed Bettong,K21001,Bettongia,penicillata penicillata,Bettongia penicillata penicillata,E,,EX,Subspecies B. p. penicillata: EX,Subspecies B. p. penicillata (AU: EX  SA: E).,2001-08-06 00:00:00,2002-11-01 00:00:00,"Gray, 1837",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,POTORIDAE,Desert Rat-kangaroo,M01190,Caloprymnus,campestris,Caloprymnus campestris,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1843)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,POTORIDAE,Long-nosed Potoroo,Z01175,Potorous,tridactylus,Potorous tridactylus,E,,VU,P.t. tridactylus - Long-nosed Potoroo (SE mainland subspecies),,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Kerr, 1792)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Rufous Hare-wallaby (Mala),W01195,Lagorchestes,hirsutus,Lagorchestes hirsutus,E,,EX,this status for the ssp L. hirsutus hirsutus,The subspecies L. h. hirsutus is the only taxon that occurred in SA. It is extinct.,1990-03-01 00:00:00,2002-11-01 00:00:00,"Gould, 1844",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Eastern Hare-wallaby,U01194,Lagorchestes,leporides,Lagorchestes leporides,E,,EX,,"Gould reported that in the 1840's this species was abundant on the SA plains, particularly `between the belts of the Murray and the mountain ranges'  (Van Dyck and Strahan 2008).",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1841)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Toolache Wallaby,S01257,Macropus (Notamacropus),greyi,Macropus (Notamacropus) greyi,E,,EX,,,1990-03-01 00:00:00,2019-02-25 00:00:00,"Waterhouse, 1846",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Crescent Nailtail Wallaby,M01202,Onychogalea,lunata,Onychogalea lunata,E,,EX,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1841)",,Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Warru (Central Australian Rock-wallaby),M09014,Petrogale,lateralis centralis,Petrogale lateralis centralis,E,Listed as Petrogale lateralis (MacDonnell Ranges race),VU,Listed as Petrogale lateralis (MacDonnell Ranges race),,1990-03-01 00:00:00,2020-03-06 00:00:00,"Gould, 1842","Eldridge & Potter, 2020",Endangered,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Black-footed Rock-wallaby (Pearson Island subspecies),K09013,Petrogale,lateralis pearsoni,Petrogale lateralis pearsoni,R,,,delisted from EPBC in 2010,"P. l. pearsonii   (AU:  VU  SA:  R)  on Pearson Island and introduced to Wedge, Thistle and West (now extinct) Islands.",1990-03-01 00:00:00,2018-04-06 00:00:00,"Gould, 1842","Thomas, 1922",Rare,,,,,,,,
MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Tasmanian Pademelon,G01235,Thylogale,billardierii,Thylogale billardierii,E,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Desmarest, 1822)",,Endangered,,,,,,,,
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Grey-headed Flying-fox,Q01280,Pteropus,poliocephalus,Pteropus poliocephalus,R,,VU,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Temminck, 1825",,Rare,,,,,,,,
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Little Red Flying-fox,S01281,Pteropus,scapulatus,Pteropus scapulatus,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Peters, 1862",,Rare,,,,,,,,
MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Ghost Bat,Q01300,Macroderma,gigas,Macroderma gigas,E,,VU,,"Subfossils confirm the evidence for this species in SA but these are undated.  Finlayson (1961) recorded that Aboriginal people remembered it in the Mann, Musgrave and Tomkinson Ranges early in the 20th century.",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Dobson, 1880)",,Endangered,,,,,,,,
MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Yellow-bellied Sheath-tailed Bat,C01321,Saccolaimus,flaviventris,Saccolaimus flaviventris,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Peters, 1867)",,Rare,,,,,,,,
MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Hill's Sheath-tailed Bat,G01323,Taphozous,hilli,Taphozous hilli,R,,,,The record from near Ooldea is based on a description by Wood Jones (1923-25) of a specimen that he assigned to Taphozous georgianus. This specimen cannot be traced and is more likely to be T. hilli.,1990-03-01 00:00:00,2002-11-01 00:00:00,"Kitchener, 1980",,Rare,,,,,,,,
MAMMALIA,CHIROPTERA,MOLOSSIDAE,Bristle-faced Free-tailed Bat,Q04352,Mormopterus,eleryi,Mormopterus eleryi,V,,,,,2005-11-04 00:00:00,2012-08-31 00:00:00,"Reardon & McKenzie, 2008",,Vulnerable,,,,,,,,
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Large-footed Myotis,M09030,Myotis,macropus,Myotis macropus,E,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Gould, 1855",,Endangered,,,,,,,,
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Little Pied Bat,Q01352,Chalinolobus,picatus,Chalinolobus picatus,E,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1852)",,Endangered,,,,,,,,
MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eastern False Pipistrelle (Tasmanian Falsistrelle),A01372,Falsistrellus,tasmaniensis,Falsistrellus tasmaniensis,E,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gould, 1858)",,Endangered,,,,,,,,
