scientificName,vernacularName,family,status,sourceStatus
Adelotus brevis,tusked frog,Limnodynastidae,Vulnerable,V
Philoria kundagungan,red-and-yellow mountainfrog,Limnodynastidae,Endangered,E
Assa darlingtoni,pouched frog,Myobatrachidae,Vulnerable,V
Crinia tinnula,wallum froglet,Myobatrachidae,Vulnerable,V
Mixophyes fleayi,Fleay's barred frog,Myobatrachidae,Endangered,E
Mixophyes iteratus,giant barred frog,Myobatrachidae,Vulnerable,V
Pseudophryne covacevichae,magnificent broodfrog,Myobatrachidae,Vulnerable,V
Rheobatrachus silus,southern gastric brooding frog,Myobatrachidae,Extinct in the wild,PE
Rheobatrachus vitellinus,northern gastric brooding frog,Myobatrachidae,Endangered,E
Taudactylus acutirostris,sharp snouted dayfrog,Myobatrachidae,Extinct in the wild,PE
Taudactylus diurnus,southern dayfrog,Myobatrachidae,Extinct in the wild,PE
Taudactylus eungellensis,Eungella dayfrog,Myobatrachidae,Endangered,E
Taudactylus liemi,Eungella tinkerfrog,Myobatrachidae,Near threatened,NT
Taudactylus pleione,Kroombit tinkerfrog,Myobatrachidae,Critically Endangered,CR
Taudactylus rheophilus,northern tinkerfrog,Myobatrachidae,Critically Endangered,CR
Litoria andiirrmalin,Melville Range treefrog,Hylidae,Vulnerable,V
Litoria cooloolensis,Cooloola sedgefrog,Hylidae,Near threatened,NT
Litoria dayi,Australian lacelid,Hylidae,Vulnerable,V
Litoria freycineti,wallum rocketfrog,Hylidae,Vulnerable,V
Litoria kroombitensis,Kroombit treefrog,Hylidae,Critically Endangered,CR
Litoria longirostris,long snouted treefrog,Hylidae,Near threatened,NT
Litoria lorica,little waterfall frog,Hylidae,Critically Endangered,CR
Litoria myola,Kuranda treefrog,Hylidae,Critically Endangered,CR
Litoria nannotis,waterfall frog,Hylidae,Endangered,E
Litoria nyakalensis,mountain mistfrog,Hylidae,Critically Endangered,CR
Litoria olongburensis,wallum sedgefrog,Hylidae,Vulnerable,V
Litoria pearsoniana,cascade treefrog,Hylidae,Vulnerable,V
Litoria rheocola,common mistfrog,Hylidae,Endangered,E
Litoria serrata,tapping green eyed frog,Hylidae,Vulnerable,V
Litoria sp. cf. cooloolensis (North Stradbroke Is population),,Hylidae,Near threatened,NT
Litoria subglandulosa,New England treefrog,Hylidae,Vulnerable,V
Cophixalus aenigma,tapping nurseryfrog,Microhylidae,Endangered,E
Cophixalus concinnus,beautiful nurseryfrog,Microhylidae,Critically Endangered,CR
Cophixalus crepitans,northern nurseryfrog,Microhylidae,Vulnerable,V
Cophixalus exiguus,dainty nurseryfrog,Microhylidae,Vulnerable,V
Cophixalus hosmeri,rattling nurseryfrog,Microhylidae,Critically Endangered,CR
Cophixalus mcdonaldi,Mount Elliot nurseryfrog,Microhylidae,Critically Endangered,CR
Cophixalus monticola,mountain nurseryfrog,Microhylidae,Critically Endangered,CR
Cophixalus neglectus,Bellenden Ker nurseryfrog,Microhylidae,Critically Endangered,CR
