name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Balaustion sp. Billyacatting Hill (A.S. George 14349) PN,,Balaustion,Priority 2: Poorly-known species,added,,,
Balaustion sp. North Ironcap (R.J. Cranfield 10580) PN,,Balaustion,Priority 1: Poorly-known species,added,,,
Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933) PN,,Balaustion,Priority 1: Poorly-known species,added,,,
Balaustion spenceri,,Balaustion,Priority 1: Poorly-known species,added,,,
Balaustion tangerinum,,Balaustion,Priority 1: Poorly-known species,added,,,
Balaustion thamnoides,,Balaustion,Priority 2: Poorly-known species,added,,,
Balaustion unguiculatum,,Balaustion,Priority 1: Poorly-known species,added,,,
Banksia densa,,Banksia densa,Priority 2: Poorly-known species,added,,,
Banksia nana,,Banksia nana,Priority 3: Poorly-known species,added,,,
Banksia parva,,Banksia parva,"Priority 4: Rare, Near Threatened",added,,,
Bergia occultipetala,,Bergia occultipetala,Priority 3: Poorly-known species,added,,,
Beyeria lateralis,Jefferies' Beyeria,Beyeria lateralis,Priority 2: Poorly-known species,added,,,
Beyeria opaca,Dark Turpentine-bush,Beyeria opaca,Priority 1: Poorly-known species,added,,,
Bolboschoenus fluviatilis,Marsh Club-rush,Bolboschoenus fluviatilis,Priority 1: Poorly-known species,added,,,
Boronia clavata subsp. clavata,,Boronia clavata subsp. clavata,Vulnerable,added,,,
Boronia clavata subsp. grandis,,Boronia clavata subsp. grandis,Priority 2: Poorly-known species,added,,,
Boronia crenulata subsp. crenulata var. angustifolia,,Boronia crenulata var. angustifolia,"Priority 4: Rare, Near Threatened",added,,,
Boronia denticulata subsp. whoogarupensis,,Boronia denticulata subsp. whoogarupensis,Priority 2: Poorly-known species,added,,,
Boronia sp. Leeuwin (J. Scott 235),,Boronia sp. Leeuwin (J.Scott 235),Priority 2: Poorly-known species,added,,,
Boronia ternata var. promiscua,,Boronia ternata var. promiscua,Priority 3: Poorly-known species,added,,,
Borya stenophylla,Synnot Range Borya,Borya stenophylla,Priority 1: Poorly-known species,added,,,
Bossiaea lalagoides,Broad-leaved Brown Pea,Bossiaea ornata,Priority 3: Poorly-known species,added,,,
Bossiaea moylei,,Bossiaea moylei,Priority 2: Poorly-known species,added,,,
Bossiaea reptans,Creeping Brown Pea,Bossiaea reptans,Endangered,added,,,
Bossiaea sp. Mt Frankland (L. Graham 2174) PN,,Bossiaea sp. Mt Frankland (L.Graham 2174),Priority 2: Poorly-known species,added,,,
Brachyloma djerral,,Brachyloma djerral MS,Priority 3: Poorly-known species,added,,,
Brachyloma elusum,,Brachyloma elusum,Priority 2: Poorly-known species,added,,,
Brachyloma pirara,,Brachyloma pirara MS,Priority 2: Poorly-known species,added,,,
Buellia durackensis,,Buellia durackensis,Priority 1: Poorly-known species,added,,,
Caesia arcuata,Curved Grass Lily,Caesia arcuata,Priority 1: Poorly-known species,added,,,
Caesia chlorantha,,Caesia chlorantha,Priority 1: Poorly-known species,added,,,
Caesia sp. Great Victoria Desert (C. Tauss 2835),,Caesia sp. Great Victoria Desert (C.Tauss 2835),Priority 2: Poorly-known species,added,,,
Caladenia applanata subsp. erubescens,Rose Spider Orchid,Caladenia applanata subsp. erubescens,Priority 2: Poorly-known species,added,,,
Caladenia multiplex,Bulbarnet Spider Orchid,Caladenia multiplex,Priority 2: Poorly-known species,added,,,
Caladenia nivalis,Exotic Spider Orchid,Caladenia nivalis,Priority 2: Poorly-known species,added,,,
Calandrinia lefroyensis,,Calandrinia lefroyensis,Priority 1: Poorly-known species,added,,,
Calandrinia quartzitica,,Calandrinia quartzitica,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Bayswater (C. Andrews s.n. 11/1902) PN,Parakeelya,Calandrinia,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Berry Springs (M.O. Parker 855) PN,,Calandrinia sp. Berry Springs (M.O.Parker 855),Priority 1: Poorly-known species,added,,,
Calandrinia sp. Boolardy Station (P. Jayasekara 719-JHR-01),,Calandrinia sp. Boolardy Station (P.Jayasekara 719-JHR-01),Priority 1: Poorly-known species,added,,,
Calandrinia sp. Cape Range (F. Obbens FO 10/18),,Calandrinia sp. Cape Range (F.Obbens FO 10/18),Priority 2: Poorly-known species,added,,,
Calandrinia sp. Edel Land (F. Obbens FO 01/17),,Calandrinia sp. Edel Land (F.Obbens FO 01/17),Priority 2: Poorly-known species,added,,,
Calandrinia sp. Hamelin Station (F. Obbens FO 02/20) PN,Parakeelya,Calandrinia,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Lennard River (W.V. Fitzgerald 739) PN,Parakeelya,Calandrinia,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Menzies (F. Hort et al. FH 4100),,Calandrinia sp. Menzies (F.Hort et al. FH 4100),Priority 3: Poorly-known species,added,,,
Calandrinia sp. Mt Vernon Station (T.L. Setter 427) PN,Parakeelya,Calandrinia,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Nanutarra (F. Obbens FO 08/18),,Calandrinia sp. Nanutarra (F.Obbens FO 08/18),Priority 1: Poorly-known species,added,,,
Calandrinia sp. Torndirrup (S.D. Hopper et al. SDH 8712) PN,,Calandrinia sp. Torndirrup (S.D.Hopper et al. SDH 8712),Priority 2: Poorly-known species,added,,,
Calandrinia uncinella,,Calandrinia uncinella,Priority 1: Poorly-known species,added,,,
Calandrinia wilsonii,,Calandrinia wilsonii,Priority 2: Poorly-known species,added,,,
Calectasia grandiflora,Blue Tinsel Lily,Calectasia grandiflora,Priority 2: Poorly-known species,added,,,
Calytrix calingiri,Fringe Myrtle,Calytrix,Priority 3: Poorly-known species,added,,,
Calytrix djinda,Fringe Myrtle,Calytrix,Priority 1: Poorly-known species,added,,,
Calytrix gypsophila,,Calytrix gypsophila,Priority 2: Poorly-known species,added,,,
Calytrix insperata,Mundatharrda Calytrix,Calytrix insperata,Priority 2: Poorly-known species,added,,,
Calytrix platycheiridion,Fringe Myrtle,Calytrix,Priority 2: Poorly-known species,added,,,
Calytrix retrorsifolia,,Calytrix retrorsifolia,Priority 1: Poorly-known species,added,,,
Calytrix sp. Learmonth (S. Fox EMopp 1),Fringe Myrtle,Calytrix,Priority 1: Poorly-known species,added,,,
Calytrix sp. Wandana (G. Byrne 1750) PN,Fringe Myrtle,Calytrix,Priority 3: Poorly-known species,added,,,
Camonea pilosa,,Camonea pilosa,Priority 1: Poorly-known species,added,,,
Carpobrotus sp. Lateral Flowers (N. Gibson & M. Lyons 973) PN,,Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),Priority 2: Poorly-known species,added,,,
Chamaescilla maculata,Red-spotted Squill,Chamaescilla maculata,Priority 1: Poorly-known species,added,,,
Chamelaucium erythrochlorum,,Chamelaucium sp. Yoongarillup (G.J.Keighery 3635),"Priority 4: Rare, Near Threatened",added,,,
Chamelaucium floriferum subsp. diffusum,,Chamelaucium sp. Nornalup (N.G.Marchant 76/125),Priority 2: Poorly-known species,added,,,
