"taxonRank","kingdom","class","order","family","genus","scientificName","specificEpithet","vernacularName","establishmentMeans","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","dcterms_modified","generalisation"
"Species","Plantae","Flora","Flora","Proteaceae","Hakea","Hakea pulvinifera","pulvinifera","Lake Keepit Hakea","Alive in NSW, Native","Endangered","false","Category 2",10390,"Endangered","2017-10-04T17:37:45.58+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Rhizanthella","Rhizanthella slateri","slateri","Eastern Australian Underground Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10730,"Endangered","2018-10-26T23:43:16.47+11:00","10km"
"Species","Plantae","Flora","Flora","Gentianaceae","Gentiana","Gentiana bredboensis","bredboensis","Bredbo Gentian","Alive in NSW, Native","Critically Endangered","false","Category 2",10346,"Vulnerable","2017-10-04T17:42:22.51+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Sarcochilus","Sarcochilus dilatatus","dilatatus","Brown Butterfly Orchid","Alive in NSW, Native","Endangered","true","Category 2",10743,"Not Listed","2017-10-04T17:36:03.58+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris venosa","venosa","Veined Doubletail","Alive in NSW, Native","Vulnerable","true","Category 2",10244,"Vulnerable","2017-10-04T17:35:47.767+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Bulbophyllum","Bulbophyllum globuliforme","globuliforme","Hoop Pine Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10112,"Vulnerable","2011-11-11T11:23:01+11:00","10km"
"Species","Plantae","Flora","Flora","Gentianaceae","Gentiana","Gentiana wingecarribiensis","wingecarribiensis","Wingecarribee Gentian","Alive in NSW, Native","Critically Endangered","false","Category 3",10347,"Endangered","2021-03-05T12:53:47.673+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis cobarensis","cobarensis","Greenhood Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10698,"Not Listed","2017-10-04T17:42:28.447+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Sarcochilus","Sarcochilus weinthalii","weinthalii","Blotched Sarcochilus","Alive in NSW, Native","Vulnerable","true","Category 2",10746,"Vulnerable","2017-12-04T10:30:31.6+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Sarcochilus","Sarcochilus fitzgeraldii","fitzgeraldii","Ravine Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10744,"Vulnerable","2017-10-04T17:36:04.08+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Phaius","Phaius australis","australis","Southern Swamp Orchid","Alive in NSW, Native","Endangered","true","Category 2",10610,"Endangered","2017-10-04T17:35:50.61+11:00","10km"
"Species","Plantae","Flora","Flora","Sapindaceae","Diploglottis","Diploglottis campbellii","campbellii","Small-leaved Tamarind","Alive in NSW, Native","Endangered","false","Category 2",10231,"Endangered","2017-10-04T17:38:54.74+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Sarcochilus","Sarcochilus hartmannii","hartmannii","Hartman's Sarcochilus","Alive in NSW, Native","Vulnerable","true","Category 2",10745,"Vulnerable","2017-10-04T17:36:04.283+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Chiloglottis","Chiloglottis anaticeps","anaticeps","Bird Orchid","Alive in NSW, Native","Endangered","true","Category 2",10164,"Not Listed","2017-10-04T17:46:04.53+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris pedunculata","pedunculata","Small Snake Orchid","Alive in NSW, Native","Endangered","true","Category 2",10239,"Endangered","2017-10-04T17:35:46.64+11:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea mollis","mollis","Soft Grevillea","Alive in NSW, Native","Endangered","false","Category 3",10370,"Endangered","2017-10-04T17:46:47.843+11:00","1km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea iaspicula","iaspicula","Wee Jasper Grevillea","Alive in NSW, Native","Critically Endangered","false","Category 2",10366,"Endangered","2017-10-04T17:44:20.95+11:00","10km"
"Species","Plantae","Flora","Flora","Dryopteridaceae","Lastreopsis","Lastreopsis hispida","hispida","Bristly Shield Fern","Alive in NSW, Native","Endangered","false","Category 3",10454,"Not Listed","2017-10-04T17:43:43.62+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum fuscum","fuscum","Slaty Leek Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",10664,"Vulnerable","2018-10-26T23:43:18.033+11:00","10km"
