"taxonRank","kingdom","class","order","family","genus","scientificName","specificEpithet","vernacularName","establishmentMeans","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","dcterms_modified","generalisation"
"Species","Plantae","Flora","Flora","Myrtaceae","Micromyrtus","Micromyrtus grandis","grandis","Severn River Heath-myrtle","Alive in NSW, Native","Endangered","false","Category 3",10528,"Endangered","2017-10-04T17:47:29.72+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis saxicola","saxicola","Sydney Plains Greenhood","Alive in NSW, Native","Endangered","true","Category 2",10705,"Endangered","2017-10-04T17:47:29.25+11:00","10km"
"Species","Animalia","Amphibia","Anura","Myobatrachidae","Pseudophryne","Pseudophryne pengilleyi","pengilleyi","Northern Corroboree Frog","Alive in NSW, Native","Critically Endangered","true","Category 2",10694,"Critically Endangered","2011-11-11T11:23:07+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium plumosum","plumosum","Tallong Midge Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",10341,"Endangered","2017-10-04T17:47:39.407+11:00","10km"
"Species","Plantae","Flora","Flora","Myrtaceae","Angophora","Angophora exul","exul","Gibraltar Rock Apple","Alive in NSW, Native","Endangered","false","Category 3",10052,"Not Listed","2017-10-04T17:47:47.22+11:00","1km"
"Species","Plantae","Flora","Flora","Myrtaceae","Eucalyptus","Eucalyptus dissita","dissita","Gibraltar Mallee","Alive in NSW, Native","Vulnerable","false","Category 3",10293,"Not Listed","2017-10-04T17:47:47.5+11:00","1km"
"Species","Plantae","Flora","Flora","Myrtaceae","Baeckea","Baeckea kandos","kandos",NA,"Alive in NSW, Native","Endangered","false","Category 3",10086,"Endangered","2017-10-04T17:48:02.69+11:00","1km"
"Species","Plantae","Flora","Flora","Rhamnaceae","Pomaderris","Pomaderris adnata","adnata","Sublime Point Pomaderris","Alive in NSW, Native","Endangered","false","Category 3",10646,"Not Listed","2017-10-04T17:48:05.64+11:00","1km"
"Species","Plantae","Flora","Flora","Lamiaceae","Prostanthera","Prostanthera palustris","palustris","Swamp Mint-bush","Alive in NSW, Native","Vulnerable","false","Category 3",10679,"Vulnerable","2017-10-04T17:48:10.08+11:00","1km"
"Subspecies","Plantae","Flora","Flora","Thymelaeaceae","Pimelea","Pimelea axiflora subsp. pubescens","axiflora","Bungonia Rice-flower","Alive in NSW, Native","Endangered","false","Category 2",20055,"Not Listed","2017-10-04T17:48:10.563+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis elegans","elegans","Elegant Greenhood","Alive in NSW, Native","Vulnerable","true","Category 2",10700,"Not Listed","2017-10-04T17:48:13.11+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis metcalfei","metcalfei","Metcalfe's Greenhood","Alive in NSW, Native","Endangered","true","Category 2",10702,"Not Listed","2017-10-04T17:48:13.377+11:00","10km"
"Subspecies","Plantae","Flora","Flora","Myrtaceae","Eucalyptus","Eucalyptus pachycalyx subsp. banyabba","pachycalyx","Banyabba Shiny-barked Gum","Alive in NSW, Native","Endangered","false","Category 3",10304,"Endangered","2017-10-04T17:48:14.423+11:00","1km"
"Species","Plantae","Flora","Flora","Fabaceae (Faboideae)","Pultenaea","Pultenaea sp. Olinda","sp. Olinda",NA,"Alive in NSW, Native","Endangered","false","Category 3",10718,"Not Listed","2017-10-04T17:48:21.377+11:00","1km"
"Species","Plantae","Flora","Flora","Proteaceae","Persoonia","Persoonia pauciflora","pauciflora","North Rothbury Persoonia","Alive in NSW, Native","Critically Endangered","true","Category 3",10599,"Critically Endangered","2017-10-04T17:20:12.48+11:00","1km"
"Species","Plantae","Flora","Flora","Araceae","Typhonium","Typhonium sp. aff. brownii","sp. aff. brownii","Stinky Lily","Alive in NSW, Native","Endangered","false","Category 3",10818,"Not Listed","2017-10-04T17:20:18.123+11:00","1km"
"Species","Plantae","Flora","Flora","Rutaceae","Boronia","Boronia boliviensis","boliviensis","Bolivia Hill Boronia","Alive in NSW, Native","Endangered","true","Category 3",10096,"Not Listed","2017-10-04T17:20:18.53+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris arenaria","arenaria","Sand Doubletail","Alive in NSW, Native","Endangered","true","Category 2",10236,"Not Listed","2017-10-04T17:20:19.873+11:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Hakea","Hakea archaeoides","archaeoides","Big Nellie Hakea","Alive in NSW, Native","Vulnerable","false","Category 3",10387,"Vulnerable","2017-10-04T17:20:26.263+11:00","1km"
"Subspecies","Plantae","Flora","Flora","Rutaceae","Leionema","Leionema lamprophyllum subsp. obovatum","lamprophyllum",NA,"Alive in NSW, Native","Not Listed","false","Category 2",NA,"Not Listed","2018-10-22T16:57:54.663+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia porphyrea","porphyrea",NA,"Alive in NSW, Native","Not Listed","true","Category 2",20045,"Not Listed","2017-10-04T17:20:52.357+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum canaliculatum","canaliculatum","Summer Leek Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20064,"Not Listed","2017-10-04T17:20:52.983+11:00","10km"
"Species","Plantae","Flora","Flora","Cunoniaceae","Davidsonia","Davidsonia jerseyana","jerseyana","Davidson's Plum","Alive in NSW, Native","Endangered","false","Category 2",10208,"Endangered","2017-10-04T17:20:54.28+11:00","10km"
"Species","Plantae","Flora","Flora","Fabaceae (Mimosoideae)","Acacia","Acacia atrox","atrox","Myall Creek Wattle","Alive in NSW, Native","Endangered","false","Category 3",10003,"Not Listed","2020-01-21T10:58:52.833+11:00","1km"
"Species","Animalia","Insecta","Coleoptera","Carabidae","Nurus","Nurus atlas","atlas","Atlas Rainforest Ground-beetle","Alive in NSW, Native","Endangered","false","Category 3",10564,"Not Listed","2012-11-05T16:32:20.143+11:00","1km"
"Species","Animalia","Insecta","Coleoptera","Carabidae","Nurus","Nurus brevis","brevis","Shorter Rainforest Ground-beetle","Alive in NSW, Native","Endangered","false","Category 3",10565,"Not Listed","2012-11-05T16:33:09.093+11:00","1km"
"Species","Plantae","Flora","Flora","Araucariaceae","Wollemia","Wollemia nobilis","nobilis","Wollemi Pine","Alive in NSW, Native","Critically Endangered","true","Category 1",10840,"Critically Endangered","2018-10-26T23:43:22.22+11:00","WITHHOLD"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris sp. (Oaklands, D.L. Jones 5380)","sp. (Oaklands, D.L. Jones 5380)","Oaklands Diuris","Alive in NSW, Native","Endangered","true","Category 2",10242,"Not Listed","2017-10-04T17:21:30.623+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia attenuata","attenuata","Duramana Fingers","Alive in NSW, Native","Critically Endangered","true","Category 2",20276,"Critically Endangered","2018-10-26T23:43:22.487+11:00","10km"
"Subspecies","Animalia","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus banksii banksii","banksii","Red-tailed Black-Cockatoo (coastal subspecies)","Alive in NSW, Native","Critically Endangered","true","Category 2",20109,"Not Listed","2015-06-10T16:52:21.32+10:00","10km"
"Subspecies","Animalia","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus banksii samueli","banksii","Red-tailed Black-Cockatoo (inland subspecies)","Alive in NSW, Native","Vulnerable","true","Category 2",10138,"Not Listed","2015-06-10T16:50:14.917+10:00","10km"
"Subspecies","Animalia","Aves","Psittaciformes","Psittacidae","Pezoporus","Pezoporus wallicus wallicus","wallicus","Eastern Ground Parrot","Alive in NSW, Native","Vulnerable","true","Category 3",10608,"Not Listed","2011-11-11T11:23:07+11:00","1km"
"Species","Animalia","Aves","Strigiformes","Tytonidae","Tyto","Tyto longimembris","longimembris","Eastern Grass Owl","Alive in NSW, Native","Vulnerable","true","Category 3",10819,"Not Listed","2012-11-05T14:57:16.61+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium vernale","vernale","East Lynne Midge Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10343,"Vulnerable","2017-10-04T17:21:42.56+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum retroflexum","retroflexum","Kiandra Leek Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",10667,"Vulnerable","2017-10-04T17:21:49.64+11:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Eidothea","Eidothea hardeniana","hardeniana","Nightcap Oak","Alive in NSW, Native","Endangered","false","Category 2",10260,"Critically Endangered","2017-10-04T17:21:54+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Thelymitra","Thelymitra adorata","adorata","Wyong Sun Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20099,"Critically Endangered","2017-10-04T17:22:04+11:00","10km"
"Species","Animalia","Reptilia","Squamata","Scincidae","Liopholis","Liopholis guthega","guthega","Guthega Skink","Alive in NSW, Native","Endangered","true","Category 2",20251,"Endangered","2021-10-13T15:28:51.313+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Thelymitra","Thelymitra atronitida","atronitida","Black-hooded Sun Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20060,"Not Listed","2017-10-04T17:22:16.61+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris ochroma","ochroma","Pale Golden Moths","Alive in NSW, Native","Endangered","true","Category 2",10926,"Vulnerable","2017-10-04T17:22:18.623+11:00","10km"
"Species","Animalia","Amphibia","Anura","Limnodynastidae","Philoria","Philoria pughi","pughi",NA,"Alive in NSW, Native","Endangered","true","Category 2",10971,"Not Listed","2021-02-01T18:08:26.567+11:00","10km"
"Species","Animalia","Amphibia","Anura","Limnodynastidae","Philoria","Philoria richmondensis","richmondensis",NA,"Alive in NSW, Native","Endangered","true","Category 2",10972,"Not Listed","2021-02-01T18:08:26.757+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Corybas","Corybas dowlingii","dowlingii","Red Helmet Orchid","Alive in NSW, Native","Endangered","true","Category 2",20058,"Not Listed","2017-10-04T17:22:27.03+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis despectans","despectans",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20086,"Endangered","2017-10-04T17:22:28.937+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia montana","montana",NA,"Alive in NSW, Native","Vulnerable","true","Category 2",20302,"Not Listed","2018-10-26T23:43:22.957+11:00","10km"
"Species","Plantae","Flora","Flora","Fabaceae (Faboideae)","Pultenaea","Pultenaea sp. Genowlan Point","sp. Genowlan Point",NA,"Alive in NSW, Native","Critically Endangered","false","Category 3",10717,"Critically Endangered","2017-10-04T17:22:42.313+11:00","1km"
"Species","Plantae","Flora","Flora","Fabaceae (Faboideae)","Pultenaea","Pultenaea elusa","elusa","Elusive Bush-pea","Alive in NSW, Native","Critically Endangered","false","Category 3",10713,"Endangered","2021-03-05T12:50:07.29+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium littorale","littorale","Tuncurry Midge Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20110,"Critically Endangered","2017-10-04T17:23:38.987+11:00","10km"
"Species","Plantae","Flora","Flora","Rhamnaceae","Pomaderris","Pomaderris walshii","walshii","Carrington Falls Pomaderris","Alive in NSW, Native","Critically Endangered","false","Category 2",20054,"Not Listed","2021-03-05T13:48:59.15+11:00","10km"
"Species","Animalia","Aves","Falconiformes","Accipitridae","Pandion","Pandion cristatus","cristatus","Eastern Osprey","Alive in NSW, Native","Vulnerable","true","Category 3",10585,"Not Listed","2020-10-13T08:59:11.34+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum innubum","innubum",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20084,"Critically Endangered","2017-10-04T17:23:58.347+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum keltonii","keltonii","Kelton's Leek Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20085,"Critically Endangered","2017-10-04T17:23:58.703+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Thelymitra","Thelymitra kangaloonica","kangaloonica","Kangaloon Sun Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",20168,"Critically Endangered","2017-10-04T17:25:21.38+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Calochilus","Calochilus pulchellus","pulchellus","Pretty Beard Orchid","Alive in NSW, Native","Endangered","true","Category 2",20092,"Not Listed","2017-10-04T17:25:53.643+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum sp. Moama","sp. Moama",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20103,"Not Listed","2017-10-04T17:25:55.787+11:00","10km"
"Species","Animalia","Insecta","Lepidoptera","Lycaenidae","Jalmenus","Jalmenus eubulus","eubulus","Pale Imperial Hairstreak","Alive in NSW, Native","Critically Endangered","false","Category 2",20123,"Not Listed","2011-11-11T11:22:59+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum pallens","pallens","Musty Leek Orchid","Alive in NSW, Native","Vulnerable","true","Category 2",20132,"Not Listed","2012-09-04T17:17:29.873+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis bicornis","bicornis","Horned Greenhood","Alive in NSW, Native","Endangered","true","Category 2",20167,"Vulnerable","2017-10-04T17:26:13.35+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium insigne","insigne","Variable Midge Orchid","Alive in NSW, Native","Critically Endangered","true","Category 2",10340,"Critically Endangered","2018-10-26T23:43:24.847+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum bagoense","bagoense",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",10938,"Critically Endangered","2018-10-26T23:43:25.113+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris eborensis","eborensis",NA,"Alive in NSW, Native","Endangered","true","Category 2",20293,"Endangered","2018-10-26T23:43:25.33+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis riparia","riparia",NA,"Alive in NSW, Native","Vulnerable","true","Category 2",10699,"Vulnerable","2020-09-14T14:46:10.13+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis ventricosa","ventricosa",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20162,"Not Listed","2020-09-14T14:47:26.687+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis vernalis","vernalis",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20163,"Critically Endangered","2017-10-04T17:26:47.833+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Corunastylis","Corunastylis sp. Charmhaven (NSW896673)","sp. Charmhaven (NSW896673)",NA,"Alive in NSW, Native","Critically Endangered","true","Category 2",20266,"Critically Endangered","2018-10-22T18:03:18.47+11:00","10km"
"Species","Plantae","Flora","Flora","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sedentarius","sedentarius","Minyon Quandong","Alive in NSW, Native","Endangered","false","Category 3",10261,"Endangered","2017-10-04T17:27:12.223+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Thelymitra","Thelymitra alpicola","alpicola","Alpine Sun-orchid","Alive in NSW, Native","Vulnerable","true","Category 2",20296,"Not Listed","2020-09-08T19:35:47.397+10:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Banksia","Banksia vincentia","vincentia",NA,"Alive in NSW, Native","Critically Endangered","false","Category 2",20291,"Critically Endangered","2018-10-26T23:43:27.613+11:00","10km"
"Species","Animalia","Reptilia","Testudines","Chelidae","Myuchelys","Myuchelys georgesi","georgesi","Bellinger River Snapping Turtle","Alive in NSW, Native","Critically Endangered","true","Category 2",20301,"Critically Endangered","2018-08-29T14:35:54.777+10:00","10km"
"Species","Plantae","Flora","Flora","Lamiaceae","Prostanthera","Prostanthera gilesii","gilesii",NA,"Alive in NSW, Native","Critically Endangered","false","Category 2",20332,"Not Listed","2018-10-26T23:43:28.113+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Diuris","Diuris byronensis","byronensis","Byron Bay Diuris","Alive in NSW, Native","Endangered","true","Category 2",10241,"Not Listed","2019-06-24T13:49:21.473+10:00","10km"
"Species","Plantae","Flora","Flora","Dilleniaceae","Hibbertia","Hibbertia spanantha","spanantha","Julian's Hibbertia","Alive in NSW, Native","Critically Endangered","false","Category 2",20279,"Critically Endangered","2016-11-28T10:11:41.093+11:00","10km"
"Species","Plantae","Flora","Flora","Apiaceae","Gingidia","Gingidia rupicola","rupicola",NA,"Alive in NSW, Native","Endangered","false","Category 3",10351,"Endangered","2020-01-23T17:13:55.44+11:00","1km"
"Subspecies","Animalia","Aves","Passeriformes","Maluridae","Amytornis","Amytornis modestus inexpectatus","modestus","Thick-billed Grasswren (central NSW subspecies)","Alive in NSW, Native","Extinct","true","Category 2",20329,"Not Listed","2018-08-29T16:22:31.857+10:00","10km"
"Subspecies","Animalia","Aves","Passeriformes","Maluridae","Amytornis","Amytornis modestus obscurior","modestus","Thick-billed Grasswren (north-west NSW subspecies)","Alive in NSW, Native","Critically Endangered","true","Category 2",10049,"Critically Endangered","2018-08-29T16:26:40.91+10:00","10km"
"Subspecies","Plantae","Flora","Flora","Poaceae","Anthosachne","Anthosachne kingiana subsp. kingiana","kingiana","Philip Island Wheat Grass","Alive in NSW, Native","Critically Endangered","false","Category 3",20148,"Critically Endangered","2020-01-23T17:14:13.01+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia tensa","tensa","Rigid Spider-orchid","Alive in NSW, Native","Not Listed","true","Category 2",NA,"Not Listed","2020-06-23T19:56:43.85+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia atroclavia","atroclavia","Black-clubbed Spider-orchid","Alive in NSW, Native","Not Listed","true","Category 2",20365,"Endangered","2020-06-23T19:51:08.733+10:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum sandrae","sandrae","Majors Creek Leek Orchid","Alive in NSW, Native","Critically Endangered","false","Category 2",10668,"Not Listed","2021-12-31T11:53:58.467+11:00","10km"
"Species","Plantae","Flora","Flora","Myrtaceae","Backhousia","Backhousia subargentea","subargentea","Giant Ironwood","Alive in NSW, Native","Endangered","false","Category 3",10166,"Not Listed","2021-03-17T14:00:40.507+11:00","1km"
