category,scientificname,vernacularname,taxonrank,taxonomicstatus,kingdom,phylum,class,order,family,sourcestatus,status,authority,ngunnawal,comments,synonym,taxonremarks
Bird,Anthochaera phrygia,Regent Honeyeater,species,accepted,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
Reptile,Aprasia parapulchella,Pink-tailed Worm-lizard,species,accepted,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Banburung,,,
Mammal,Bettongia gaimardi,Eastern Bettong,species,accepted,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Regionally Conservation Dependent,Regionally Conservation Dependent,Nature Conservation Act 2014 (ACT),Ngaluda,Regionally Conservation Dependent,,
Fish,Bidyanus bidyanus,Silver Perch,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Dhingur,,,
Plant,Bossiaea grayi,Murrumbidgee Bossiaea,species,accepted,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
Bird,Botaurus poiciloptilus,Australasian Bittern,species,accepted,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,included in ACT Migratory Species Action Plan,,
Plant,Caladenia actensis,Canberra Spider Orchid,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,Arachnorchis actensis,
Bird,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,subspecies,accepted,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,Calyptorhynchus lathami species rank considered to be this subspecies when occurring in the ACT,,
Bird,Climacteris picumnus victoriae,Brown Treecreeper,subspecies,accepted,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Plant,Corunastylis ectopa,Brindabella Midge Orchid,species,accepted,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Critically Endangered,Critically Endangered,Nature Conservation Act 2014 (ACT),,,,
Bird,Daphoenositta chrysoptera,Varied Sittella,species,accepted,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Mammal,Dasyurus maculatus maculatus,Spotted-tailed Quoll,subspecies,accepted,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Murunguny,,,
Mammal,Dasyurus viverrinus,Eastern Quoll,species,accepted,Animalia,Chordata,Mammalia,Dasyuromorphia,dasyuridae,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Murunguny,,,
Reptile,Delma impar,Striped Legless Lizard,species,accepted,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Narung or Gandi,,,
Fish,Euastacus armatus,Murray River Crayfish,species,accepted,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Murunung,,,
Plant,Eucalyptus aggregata,Black Gum,species,accepted,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
Fish,Gadopsis bispinosus,Two-spined Blackfish,species,accepted,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Wagar,,,
