scientificName,vernacularName,family,genus,status,sourceStatus
Balaenoptera musculus,Blue Whale,BALAENOPTERIDAE,Balaenoptera,Endangered,E
Balaenoptera physalus,Fin Whale,BALAENOPTERIDAE,Balaenoptera,Vulnerable,V
Megaptera novaeangliae,Humpback Whale,BALAENOPTERIDAE,Megaptera,Vulnerable,V
Caperea marginata,Pygmy Right Whale,NEOBALAENIDAE,Caperea,Rare,R
Globicephala macrorhynchus,Short-finned Pilot Whale,DELPHINIDAE,Globicephala,Rare,R
Grampus griseus,Risso's Dolphin,DELPHINIDAE,Grampus,Rare,R
Pseudorca crassidens,False Killer Whale,DELPHINIDAE,Pseudorca,Rare,R
Physeter macrocephalus,Sperm Whale,PHYSETERIDAE,Physeter,Rare,R
Kogia breviceps,Pygmy Sperm Whale,KOGIIDAE,Kogia,Rare,R
Kogia sima,Dwarf Sperm Whale,KOGIIDAE,Kogia,Rare,R
Berardius arnuxii,Arnoux's Beaked Whale,ZIPHIIDAE,Berardius,Rare,R
Hyperoodon planifrons,Southern Bottlenose Whale,ZIPHIIDAE,Hyperoodon,Rare,R
Mesoplodon bowdoini,Andrews' Beaked Whale,ZIPHIIDAE,Mesoplodon,Rare,R
Mesoplodon grayi,Gray's Beaked Whale (Scamperdown Whale),ZIPHIIDAE,Mesoplodon,Rare,R
Mesoplodon hectori,Hector's Beaked Whale,ZIPHIIDAE,Mesoplodon,Rare,R
Tasmacetus shepherdi,Shepherd's Beaked Whale (Tasman Beaked Whale),ZIPHIIDAE,Tasmacetus,Rare,R
Ziphius cavirostris,Cuvier's Beaked Whale (Goose-beaked Whale),ZIPHIIDAE,Ziphius,Rare,R
Conilurus albipes,White-footed Tree-rat,MURIDAE,Conilurus,Endangered,E
Leporillus apicalis,Lesser Stick-nest Rat,MURIDAE,Leporillus,Endangered,E
Leporillus conditor,Greater Stick-nest Rat,MURIDAE,Leporillus,Vulnerable,V
Notomys amplus,Short-tailed Hopping-mouse,MURIDAE,Notomys,Endangered,E
Notomys cervinus,Fawn Hopping-mouse,MURIDAE,Notomys,Vulnerable,V
Notomys fuscus,Dusky Hopping-mouse,MURIDAE,Notomys,Vulnerable,V
Notomys longicaudatus,Long-tailed Hopping-mouse,MURIDAE,Notomys,Endangered,E
Pseudomys australis,Plains Mouse,MURIDAE,Pseudomys,Vulnerable,V
Pseudomys fieldi,Shark Bay Mouse,MURIDAE,Pseudomys,Endangered,E
Pseudomys gouldii,Gould's Mouse,MURIDAE,Pseudomys,Endangered,E
Pseudomys shortridgei,Heath Mouse,MURIDAE,Pseudomys,Endangered,E
Rattus lutreolus,Swamp Rat,MURIDAE,Rattus,Rare,R
Rattus tunneyi,Pale Field-rat,MURIDAE,Rattus,Endangered,E
Dromaius novaehollandiae baudinianus,Kangaroo Island Emu,CASUARIIDAE,Dromaius,Endangered,E
Anseranas semipalmata,Magpie Goose,ANSERANATIDAE,Anseranas,Endangered,E
Biziura lobata menziesi,Musk Duck,ANATIDAE,Biziura,Rare,R
Cereopsis novaehollandiae novaehollandiae,Cape Barren Goose,ANATIDAE,Cereopsis,Rare,R
Oxyura australis,Blue-billed Duck,ANATIDAE,Oxyura,Rare,R
Spatula rhynchotis,Australasian Shoveler,ANATIDAE,Spatula,Rare,R
Stictonetta naevosa,Freckled Duck,ANATIDAE,Stictonetta,Vulnerable,V
Leipoa ocellata,Malleefowl,MEGAPODIIDAE,Leipoa,Vulnerable,V
Coturnix ypsilophora australis,Brown Quail,PHASIANIDAE,Coturnix,Vulnerable,V
Excalfactoria chinensis australis,King Quail,PHASIANIDAE,Excalfactoria,Endangered,E
Diomedea epomophora,Southern Royal Albatross,DIOMEDEIDAE,Diomedea,Vulnerable,V
Diomedea exulans,Wandering Albatross,DIOMEDEIDAE,Diomedea,Vulnerable,V
Diomedea sanfordi,Northern Royal Albatross,DIOMEDEIDAE,Diomedea,Endangered,E
Phoebetria fusca,Sooty Albatross,DIOMEDEIDAE,Phoebetria,Endangered,E
Phoebetria palpebrata,Light-mantled Albatross,DIOMEDEIDAE,Phoebetria,Vulnerable,V
Thalassarche bulleri bulleri,Buller's Albatross,DIOMEDEIDAE,Thalassarche,Vulnerable,V
Thalassarche carteri,Indian Yellow-nosed Albatross,DIOMEDEIDAE,Thalassarche,Endangered,E
Thalassarche cauta cauta,Shy Albatross,DIOMEDEIDAE,Thalassarche,Vulnerable,V
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,DIOMEDEIDAE,Thalassarche,Endangered,E
Thalassarche chrysostoma,Grey-headed Albatross,DIOMEDEIDAE,Thalassarche,Vulnerable,V
Thalassarche impavida,Campbell Albatross,DIOMEDEIDAE,Thalassarche,Vulnerable,V
Thalassarche salvini,Salvin's Albatross,DIOMEDEIDAE,Thalassarche,Vulnerable,V
Ardenna carneipes,Flesh-footed Shearwater,PROCELLARIIDAE,Ardenna,Rare,R
Macronectes giganteus,Southern Giant Petrel,PROCELLARIIDAE,Macronectes,Vulnerable,V
Podiceps cristatus australis,Great Crested Grebe,PODICIPEDIDAE,Podiceps,Rare,R
Plegadis falcinellus,Glossy Ibis,THRESKIORNITHIDAE,Plegadis,Rare,R
Ardea intermedia plumifera,Plumed Egret,ARDEIDAE,Ardea,Rare,R
Botaurus poiciloptilus,Australasian Bittern,ARDEIDAE,Botaurus,Endangered,E
Bubulcus ibis coromandus,Eastern Cattle Egret,ARDEIDAE,Bubulcus,Rare,R
Egretta garzetta nigripes,Little Egret,ARDEIDAE,Egretta,Rare,R
Egretta sacra sacra,Pacific Reef Heron,ARDEIDAE,Egretta,Rare,R
Ixobrychus dubius,Black-backed Bittern (Australian Little Bittern),ARDEIDAE,Ixobrychus,Endangered,E
Anhinga novaehollandiae novaehollandiae,Australasian Darter,ANHINGIDAE,Anhinga,Rare,R
