scientificName,vernacularName,family,genus,status,sourceStatus
Eulamprus heatwolei,Yellow-bellied Water Skink,SCINCIDAE,Eulamprus,Vulnerable,V
Eulamprus tympanum,Southern Water Skink,SCINCIDAE,Eulamprus,Rare,R
Lerista arenicola,Beach Slider,SCINCIDAE,Lerista,Rare,R
Lerista baynesi,Speckled Slider,SCINCIDAE,Lerista,Rare,R
Lerista distinguenda,Dwarf Four-toed Slider,SCINCIDAE,Lerista,Rare,R
Lerista microtis,Long-legged Slider,SCINCIDAE,Lerista,Rare,R
Lerista speciosa,Musgrave Slider,SCINCIDAE,Lerista,Vulnerable,V
Liopholis kintorei,Tjakura,SCINCIDAE,Liopholis,Endangered,E
Liopholis slateri,Black-lined Desert Skink,SCINCIDAE,Liopholis,Endangered,E
Lissolepis coventryi,Swamp Skink,SCINCIDAE,Lissolepis,Endangered,E
Notoscincus ornatus,Desert Glossy Skink,SCINCIDAE,Notoscincus,Rare,R
Pseudemoia baudini,Bight Coast Skink,SCINCIDAE,Pseudemoia,Rare,R
Pseudemoia pagenstecheri,Tussock Skink,SCINCIDAE,Pseudemoia,Rare,R
Pseudemoia rawlinsoni,Glossy Grass Skink,SCINCIDAE,Pseudemoia,Vulnerable,V
Tiliqua adelaidensis,Pygmy Bluetongue,SCINCIDAE,Tiliqua,Endangered,E
Amphibolurus muricatus,Jacky Lizard,AGAMIDAE,Amphibolurus,Rare,R
Ctenophorus maculatus,Nullarbor Spotted Sand Dragon,AGAMIDAE,Ctenophorus,Rare,R
Ctenophorus mckenziei,McKenzie's Dragon,AGAMIDAE,Ctenophorus,Rare,R
Ctenophorus salinarum,Claypan Dragon,AGAMIDAE,Ctenophorus,Rare,R
Varanus brevicauda,Short-tailed Pygmy Goanna,VARANIDAE,Varanus,Rare,R
Varanus rosenbergi,Heath Goanna,VARANIDAE,Varanus,Vulnerable,V
Varanus varius,Lace Monitor,VARANIDAE,Varanus,Rare,R
Aspidites ramsayi,Woma,PYTHONIDAE,Aspidites,Rare,R
Morelia spilota,Carpet Python,PYTHONIDAE,Morelia,Rare,R
Acanthophis pyrrhus,Desert Death Adder,ELAPIDAE,Acanthophis,Vulnerable,V
Demansia rimicola,Channel Country Whipsnake,ELAPIDAE,Demansia,Rare,R
Drysdalia coronoides,White-lipped Snake,ELAPIDAE,Drysdalia,Rare,R
Echiopsis curta,Bardick,ELAPIDAE,Echiopsis,Rare,R
Neelaps bimaculatus,Western Black-naped Snake,ELAPIDAE,Neelaps,Rare,R
Pseudonaja guttata,Speckled Brown Snake,ELAPIDAE,Pseudonaja,Rare,R
Vermicella annulata,Common Bandy Bandy,ELAPIDAE,Vermicella,Rare,R
Cyclorana cultripes,Knife-footed Frog,HYLIDAE,Cyclorana,Rare,R
Litoria raniformis,Southern Bell Frog,HYLIDAE,Litoria,Vulnerable,V
Geocrinia laevis,Smooth Frog,MYOBATRACHIDAE,Geocrinia,Rare,R
Neobatrachus sutor,Shoemaker Frog,MYOBATRACHIDAE,Neobatrachus,Vulnerable,V
Pseudophryne bibronii,Brown Toadlet,MYOBATRACHIDAE,Pseudophryne,Rare,R
Pseudophryne robinsoni,Everard Ranges Toadlet,MYOBATRACHIDAE,Pseudophryne,Vulnerable,V
Pseudophryne semimarmorata,Marbled Toadlet,MYOBATRACHIDAE,Pseudophryne,Vulnerable,V
Uperoleia rugosa,Small-headed Toadlet,MYOBATRACHIDAE,Uperoleia,Rare,R
Psilotum nudum,Skeleton Fork-fern,PSILOTACEAE,Psilotum,Endangered,E
Lycopodiella lateralis,Slender Clubmoss,LYCOPODIACEAE,Lycopodiella,Rare,R
Lycopodiella serpentina,Bog Clubmoss,LYCOPODIACEAE,Lycopodiella,Endangered,E
Lycopodium deuterodensum,Bushy Clubmoss,LYCOPODIACEAE,Lycopodium,Endangered,E
Phylloglossum drummondii,Pigmy Clubmoss,LYCOPODIACEAE,Phylloglossum,Rare,R
Isoetes drummondii ssp. drummondii,Plain Quillwort,ISOETACEAE,Isoetes,Rare,R
Gleichenia microphylla,Coral Fern,GLEICHENIACEAE,Gleichenia,Rare,R
Botrychium australe,Austral Moonwort,OPHIOGLOSSACEAE,Botrychium,Endangered,E
Ophioglossum polyphyllum,Large Adder's-tongue,OPHIOGLOSSACEAE,Ophioglossum,Rare,R
Todea barbara,King Fern,OSMUNDACEAE,Todea,Endangered,E
Schizaea bifida,Forked Comb-fern,SCHIZAEACEAE,Schizaea,Vulnerable,V
Schizaea fistulosa,Narrow Comb-fern,SCHIZAEACEAE,Schizaea,Vulnerable,V
Dicksonia antarctica,Soft Tree-fern,DICKSONIACEAE,Dicksonia,Endangered,E
Dennstaedtia davallioides,Lacy Ground-fern,DENNSTAEDTIACEAE,Dennstaedtia,Endangered,E
Histiopteris incisa,Bat's-wing Fern,DENNSTAEDTIACEAE,Histiopteris,Endangered,E
Hypolepis rugosula,Ruddy Ground-fern,DENNSTAEDTIACEAE,Hypolepis,Rare,R
Adiantum capillus-veneris,Dainty Maiden-hair,ADIANTACEAE,Adiantum,Vulnerable,V
Anogramma leptophylla,Annual Fern,ADIANTACEAE,Anogramma,Rare,R
Pteris tremula,Tender Brake,PTERIDACEAE,Pteris,Rare,R
Blechnum chambersii,Lance Water-fern,BLECHNACEAE,Blechnum,Endangered,E
Blechnum nudum,Fishbone Water-fern,BLECHNACEAE,Blechnum,Rare,R
Blechnum rupestre,Small Rasp-fern,BLECHNACEAE,Blechnum,Endangered,E
Blechnum wattsii,Hard Water-fern,BLECHNACEAE,Blechnum,Rare,R
Lastreopsis acuminata,Shiny Shield-fern,DRYOPTERIDACEAE,Lastreopsis,Endangered,E
Polystichum proliferum,Mother Shield-fern,DRYOPTERIDACEAE,Polystichum,Endangered,E
Asplenium trichomanes,Common Spleenwort,ASPLENIACEAE,Asplenium,Rare,R
Christella dentata,Soft Shield-fern,THELYPTERIDACEAE,Christella,Rare,R
Pilularia novae-hollandiae,Austral Pillwort,MARSILEACEAE,Pilularia,Rare,R
Allocasuarina robusta,Mount Compass Oak-bush,CASUARINACEAE,Allocasuarina,Endangered,E
Grevillea anethifolia,,PROTEACEAE,Grevillea,Rare,R
Grevillea angustiloba ssp. wirregaensis,Dissected Holly-leaf Grevillea,PROTEACEAE,Grevillea,Endangered,E
Grevillea aquifolium,Prickly Grevillea,PROTEACEAE,Grevillea,Rare,R
Grevillea halmaturina ssp. halmaturina,Prickly Grevillea,PROTEACEAE,Grevillea,Rare,R
Grevillea halmaturina ssp. laevis,Prickly Grevillea,PROTEACEAE,Grevillea,Rare,R
Grevillea lavandulacea ssp. rogersii,Rogers' Spider-flower,PROTEACEAE,Grevillea,Rare,R
Grevillea muricata,Rough Spider-flower,PROTEACEAE,Grevillea,Rare,R
Grevillea pauciflora ssp. leptophylla,Narrow-leaf Grevillea,PROTEACEAE,Grevillea,Rare,R
Grevillea treueriana,Mt Finke Grevillea,PROTEACEAE,Grevillea,Vulnerable,V
Hakea aenigma,Enigma Hakea,PROTEACEAE,Hakea,Rare,R
Hakea tephrosperma,Hooked Needlewood,PROTEACEAE,Hakea,Rare,R
Olax obcordata,,OLACACEAE,Olax,Rare,R
Choretrum chrysanthum,Yellow Sour-bush,SANTALACEAE,Choretrum,Rare,R
Choretrum spicatum ssp. continentale,Spiked Sour-bush,SANTALACEAE,Choretrum,Rare,R
Choretrum spicatum ssp. spicatum,Spiked Sour-bush,SANTALACEAE,Choretrum,Rare,R
Exocarpos strictus,Pale-fruit Cherry,SANTALACEAE,Exocarpos,Rare,R
Leptomeria preissiana,,SANTALACEAE,Leptomeria,Endangered,E
Santalum spicatum,Sandalwood,SANTALACEAE,Santalum,Vulnerable,V
Duma horrida ssp. horrida,Spiny Lignum,POLYGONACEAE,Duma,Rare,R
Rumex dumosus,Wiry Dock,POLYGONACEAE,Rumex,Rare,R
Codonocarpus pyramidalis,Slender Bell-fruit,GYROSTEMONACEAE,Codonocarpus,Endangered,E
Sarcozona bicarinata,Ridged Noon-flower,AIZOACEAE,Sarcozona,Vulnerable,V
Calandrinia sphaerophylla,Bead Purslane,PORTULACACEAE,Calandrinia,Rare,R
Calandrinia stagnensis,,PORTULACACEAE,Calandrinia,Rare,R
Montia australasica,White Purslane,PORTULACACEAE,Montia,Rare,R
Montia fontana ssp. chondrosperma,Waterblinks,PORTULACACEAE,Montia,Vulnerable,V
Colobanthus apetalus,Coast Colobanth,CARYOPHYLLACEAE,Colobanthus,Vulnerable,V
Scleranthus diander,Tufted Knawel,CARYOPHYLLACEAE,Scleranthus,Endangered,E
Stellaria angustifolia ssp. tenella,Swamp Starwort,CARYOPHYLLACEAE,Stellaria,Rare,R
Stellaria multiflora ssp. collaris,Rayless Starwort,CARYOPHYLLACEAE,Stellaria,Rare,R
Stellaria multiflora ssp. multiflora,Rayless Starwort,CARYOPHYLLACEAE,Stellaria,Rare,R
Stellaria multiflora ssp. nebulosa,Rayless Starwort,CARYOPHYLLACEAE,Stellaria,Rare,R
Stellaria pungens,Prickly Starwort,CARYOPHYLLACEAE,Stellaria,Rare,R
Atriplex australasica,,CHENOPODIACEAE,Atriplex,Rare,R
Atriplex eichleri,Eichler's Saltbush,CHENOPODIACEAE,Atriplex,Rare,R
Atriplex humifusa,,CHENOPODIACEAE,Atriplex,Vulnerable,V
Atriplex kochiana,Koch's Saltbush,CHENOPODIACEAE,Atriplex,Vulnerable,V
Atriplex morrisii,,CHENOPODIACEAE,Atriplex,Vulnerable,V
Atriplex papillata,Coral Saltbush,CHENOPODIACEAE,Atriplex,Endangered,E
Chenopodium erosum,Papery Goosefoot,CHENOPODIACEAE,Chenopodium,Rare,R
Maireana decalvans,Black Cotton-bush,CHENOPODIACEAE,Maireana,Endangered,E
Maireana excavata,Bottle Fissure-plant,CHENOPODIACEAE,Maireana,Vulnerable,V
Maireana melanocarpa,Black-fruit Bluebush,CHENOPODIACEAE,Maireana,Rare,R
Maireana pentagona,Slender Fissure-plant,CHENOPODIACEAE,Maireana,Rare,R
Maireana rohrlachii,Rohrlach's Bluebush,CHENOPODIACEAE,Maireana,Rare,R
Maireana suaedifolia,Lax Bluebush,CHENOPODIACEAE,Maireana,Rare,R
Malacocera gracilis,Slender Soft-horns,CHENOPODIACEAE,Malacocera,Vulnerable,V
Osteocarpum acropterum var. deminutum,Wingless Bonefruit,CHENOPODIACEAE,Osteocarpum,Rare,R
Osteocarpum pentapterum,Five-wing Bonefruit,CHENOPODIACEAE,Osteocarpum,Endangered,E
Sclerolaena blackiana,Black's Bindyi,CHENOPODIACEAE,Sclerolaena,Rare,R
Sclerolaena fontinalis,Mound Spring Bindyi,CHENOPODIACEAE,Sclerolaena,Rare,R
Sclerolaena fusiformis,,CHENOPODIACEAE,Sclerolaena,Vulnerable,V
Sclerolaena muricata var. villosa,Five-spine Bindyi,CHENOPODIACEAE,Sclerolaena,Rare,R
Sclerolaena symoniana,Symon's Bindyi,CHENOPODIACEAE,Sclerolaena,Vulnerable,V
Tecticornia cupuliformis,,CHENOPODIACEAE,Tecticornia,Vulnerable,V
Tecticornia flabelliformis,Bead Samphire,CHENOPODIACEAE,Tecticornia,Vulnerable,V
Tecticornia lepidosperma,,CHENOPODIACEAE,Tecticornia,Rare,R
Hemichroa mesembryanthema,Pigface Hemichroa,AMARANTHACEAE,Hemichroa,Vulnerable,V
Ptilotus angustifolius,Narrow-leaf Yellow-tails,AMARANTHACEAE,Ptilotus,Endangered,E
Ptilotus aristatus ssp. aristatus,,AMARANTHACEAE,Ptilotus,Rare,R
Ptilotus barkeri,Barker's Mulla Mulla,AMARANTHACEAE,Ptilotus,Rare,R
Ptilotus beckerianus,Ironstone Mulla Mulla,AMARANTHACEAE,Ptilotus,Vulnerable,V
Ptilotus erubescens,Hairy-tails,AMARANTHACEAE,Ptilotus,Rare,R
Ptilotus robynsianus,,AMARANTHACEAE,Ptilotus,Vulnerable,V
Ptilotus schwartzii,Horse mulla mulla,AMARANTHACEAE,Ptilotus,Rare,R
Ptilotus symonii,,AMARANTHACEAE,Ptilotus,Rare,R
Clematis aristata,Mountain Clematis,RANUNCULACEAE,Clematis,Vulnerable,V
Ranunculus glabrifolius,Shining Buttercup,RANUNCULACEAE,Ranunculus,Vulnerable,V
Ranunculus inundatus,River Buttercup,RANUNCULACEAE,Ranunculus,Rare,R
Ranunculus papulentus,Large River Buttercup,RANUNCULACEAE,Ranunculus,Vulnerable,V
Ranunculus pumilio var. politus,Smooth-fruit Ferny Buttercup,RANUNCULACEAE,Ranunculus,Vulnerable,V
Ranunculus robertsonii,Slender Buttercup,RANUNCULACEAE,Ranunculus,Rare,R
Ranunculus sessiliflorus var. pilulifer,Annual Buttercup,RANUNCULACEAE,Ranunculus,Vulnerable,V
Ceratophyllum demersum,Hornwort,CERATOPHYLLACEAE,Ceratophyllum,Rare,R
Hibbertia cinerea,Port Lincoln Guinea-flower,DILLENIACEAE,Hibbertia,Rare,R
Hibbertia crispula,Ooldea Guinea-flower,DILLENIACEAE,Hibbertia,Vulnerable,V
Hibbertia glaberrima,Central Australian Guinea-flower,DILLENIACEAE,Hibbertia,Rare,R
Hibbertia glebosa ssp. oblonga,,DILLENIACEAE,Hibbertia,Rare,R
Hibbertia obtusibracteata,Prickly Guinea-flower,DILLENIACEAE,Hibbertia,Vulnerable,V
Hibbertia sessiliflora,,DILLENIACEAE,Hibbertia,Endangered,E
Hibbertia tenuis,,DILLENIACEAE,Hibbertia,Endangered,E
Hypericum japonicum,Matted St John's Wort,GUTTIFERAE,Hypericum,Rare,R
Drosera binata,Forked Sundew,DROSERACEAE,Drosera,Rare,R
Drosera praefolia,Early Sundew,DROSERACEAE,Drosera,Rare,R
Drosera stricticaulis,Erect Sundew,DROSERACEAE,Drosera,Vulnerable,V
Cardamine gunnii,Spade-leaf Bitter-cress,CRUCIFERAE,Cardamine,Vulnerable,V
Cardamine paucijuga,Annual Bitter-cress,CRUCIFERAE,Cardamine,Rare,R
Cardamine tenuifolia,Slender Bitter-cress,CRUCIFERAE,Cardamine,Rare,R
Irenepharsus phasmatodes,Kangaroo Island Cress,CRUCIFERAE,Irenepharsus,Rare,R
Lepidium desvauxii,Bushy Peppercress,CRUCIFERAE,Lepidium,Rare,R
Lepidium pseudopapillosum,Erect Peppercress,CRUCIFERAE,Lepidium,Endangered,E
Lepidium pseudoruderale,,CRUCIFERAE,Lepidium,Rare,R
Lepidium pseudotasmanicum,Shade Peppercress,CRUCIFERAE,Lepidium,Vulnerable,V
Menkea lutea,,CRUCIFERAE,Menkea,Rare,R
Microlepidium alatum,,CRUCIFERAE,Microlepidium,Vulnerable,V
Microlepidium pilosulum,Hairy Shepherd's-purse,CRUCIFERAE,Microlepidium,Rare,R
Phlegmatospermum eremaeum,Spreading Cress,CRUCIFERAE,Phlegmatospermum,Rare,R
Phlegmatospermum richardsii,Nullarbor Cress,CRUCIFERAE,Phlegmatospermum,Vulnerable,V
Rorippa dictyosperma,Forest Bitter-cress,CRUCIFERAE,Rorippa,Rare,R
Rorippa laciniata,Jagged Bitter-cress,CRUCIFERAE,Rorippa,Rare,R
Crassula exserta,Large-fruit Crassula,CRASSULACEAE,Crassula,Rare,R
Crassula peduncularis,Purple Crassula,CRASSULACEAE,Crassula,Rare,R
Crassula sieberiana,Sieber's Crassula,CRASSULACEAE,Crassula,Endangered,E
Bauera rubioides,Wiry Bauera,BAUERACEAE,Bauera,Rare,R
Billardiera scandens var. scandens,Eastern Apple-berry,PITTOSPORACEAE,Billardiera,Rare,R
Billardiera sp. Yorke Peninsula (P.C.Heyligers 80164),Lehmann's Apple-berry,PITTOSPORACEAE,Billardiera,Endangered,E
Cheiranthera volubilis,Twining Hand-flower,PITTOSPORACEAE,Cheiranthera,Vulnerable,V
Rhytidosporum procumbens,White Rhytidosporum,PITTOSPORACEAE,Rhytidosporum,Rare,R
Acacia alcockii,Alcock's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia ammobia,,LEGUMINOSAE,Acacia,Rare,R
Acacia araneosa,Spidery Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia barattensis,Baratta Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia carneorum,Needle Wattle,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia confluens,Arkaroola Wattle,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia cretacea,Chalky Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia dodonaeifolia,Hop-bush Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia enterocarpa,Jumping-jack Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia erinacea,Prickly Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia genistifolia ssp. genistifolia,Broom Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia georginae,Georgina Gidgee,LEGUMINOSAE,Acacia,Rare,R
Acacia glandulicarpa,Hairy-pod Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia gracilifolia,Graceful Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia gunnii,Ploughshare Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia helmsiana,Helm's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia hemiteles,,LEGUMINOSAE,Acacia,Rare,R
Acacia hexaneura,Six-nerve Spine-bush,LEGUMINOSAE,Acacia,Rare,R
Acacia imbricata,Feathery Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia iteaphylla,Flinders Ranges Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia jennerae,Coonavittra Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia latzii,,LEGUMINOSAE,Acacia,Rare,R
Acacia lineata,Streaked Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia loderi,Nealie,LEGUMINOSAE,Acacia,Rare,R
Acacia menzelii,Menzel's Wattle,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia mitchellii,Mitchell's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia montana,Mallee Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia mutabilis ssp. angustifolia,,LEGUMINOSAE,Acacia,Rare,R
Acacia pendula,Weeping Myall,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia pickardii,Pickard's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia pinguifolia,Fat-leaf Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia praemorsa,Senna Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia quornensis,Quorn Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia rhetinocarpa,Resin Wattle,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia rhigiophylla,Dagger-leaf Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia rhodophloia,Minni Ritchi,LEGUMINOSAE,Acacia,Rare,R
Acacia simmonsiana,Hall's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia spilleriana,Spiller's Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia stricta,Hop Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia suaveolens,Sweet Wattle,LEGUMINOSAE,Acacia,Vulnerable,V
Acacia symonii,Symon's Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia tenuior,,LEGUMINOSAE,Acacia,Rare,R
Acacia tenuissima,Slender Wattle,LEGUMINOSAE,Acacia,Rare,R
Acacia toondulya,,LEGUMINOSAE,Acacia,Rare,R
Acacia trineura,Three-nerve Wattle,LEGUMINOSAE,Acacia,Endangered,E
Acacia whibleyana,Whibley's Wattle,LEGUMINOSAE,Acacia,Endangered,E
Bossiaea peninsularis,Sword Bossiaea,LEGUMINOSAE,Bossiaea,Endangered,E
Cullen microcephalum,Mountain Scurf-pea,LEGUMINOSAE,Cullen,Endangered,E
Cullen parvum,Small Scurf-pea,LEGUMINOSAE,Cullen,Vulnerable,V
Daviesia pectinata,Zig-zag Bitter-pea,LEGUMINOSAE,Daviesia,Rare,R
Daviesia sejugata,Disjunct Bitter-pea,LEGUMINOSAE,Daviesia,Endangered,E
Daviesia stricta,Flinders Ranges Bitter-pea,LEGUMINOSAE,Daviesia,Rare,R
Dillwynia cinerascens,Grey Parrot-pea,LEGUMINOSAE,Dillwynia,Endangered,E
Glycine latrobeana,Clover Glycine,LEGUMINOSAE,Glycine,Vulnerable,V
Glycine tabacina,Variable Glycine,LEGUMINOSAE,Glycine,Vulnerable,V
Hovea heterophylla,Common Hovea,LEGUMINOSAE,Hovea,Vulnerable,V
Hovea purpurea,Tall Hovea,LEGUMINOSAE,Hovea,Rare,R
Pultenaea dentata,Clustered Bush-pea,LEGUMINOSAE,Pultenaea,Vulnerable,V
Pultenaea graveolens,Scented Bush-pea,LEGUMINOSAE,Pultenaea,Rare,R
Pultenaea insularis,Beyeria Bush-pea,LEGUMINOSAE,Pultenaea,Endangered,E
Pultenaea kraehenbuehlii,Tothill Bush-pea,LEGUMINOSAE,Pultenaea,Rare,R
Pultenaea scabra,Rough Bush-pea,LEGUMINOSAE,Pultenaea,Rare,R
Pultenaea trichophylla,Tufted Bush-pea,LEGUMINOSAE,Pultenaea,Rare,R
Pultenaea villifera var. glabrescens,Splendid Bush-pea,LEGUMINOSAE,Pultenaea,Vulnerable,V
Sphaerolobium minus,Leafless Globe-pea,LEGUMINOSAE,Sphaerolobium,Rare,R
Swainsona behriana,Behr's Swainson-pea,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona dictyocarpa,,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona fuscoviridis,Dark Green Swainson-pea,LEGUMINOSAE,Swainsona,Rare,R
Swainsona kingii,,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona leeana,Lee's Swainson-pea,LEGUMINOSAE,Swainsona,Rare,R
Swainsona microcalyx,Wild Violet,LEGUMINOSAE,Swainsona,Rare,R
Swainsona minutiflora,Small-flower Swainson-pea,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona murrayana,Murray Swainson-pea,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona oligophylla,,LEGUMINOSAE,Swainsona,Rare,R
Swainsona procumbens,Broughton Pea,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona pyrophila,Yellow Swainson-pea,LEGUMINOSAE,Swainsona,Rare,R
Swainsona vestita,,LEGUMINOSAE,Swainsona,Vulnerable,V
Swainsona viridis,Creeping Darling Pea,LEGUMINOSAE,Swainsona,Vulnerable,V
Templetonia battii,Spiny Templetonia,LEGUMINOSAE,Templetonia,Rare,R
Templetonia stenophylla,Leafy Templetonia,LEGUMINOSAE,Templetonia,Vulnerable,V
Viminaria juncea,Native Broom,LEGUMINOSAE,Viminaria,Rare,R
Erodium sp. Blesing (J.R.Wheeler 471),Blesing Heron's-bill,GERANIACEAE,Erodium,Rare,R
Roepera crassissima,Thick Twinleaf,ZYGOPHYLLACEAE,Roepera,Rare,R
Roepera humillima,Small-fruit Twinleaf,ZYGOPHYLLACEAE,Roepera,Rare,R
Roepera hybrida,,ZYGOPHYLLACEAE,Roepera,Rare,R
Beyeria subtecta,Kangaroo Island Turpentine Bush,EUPHORBIACEAE,Beyeria,Endangered,E
Lysiandra calycina,Snowdrop Spurge,EUPHORBIACEAE,Lysiandra,Rare,R
Pseudanthus micranthus,Fringed Pseudanthus,EUPHORBIACEAE,Pseudanthus,Rare,R
Synostemon ramosissimus,,EUPHORBIACEAE,Synostemon,Rare,R
Asterolasia muricata,Lemon Star-bush,RUTACEAE,Asterolasia,Rare,R
Asterolasia phebalioides,Downy Star-bush,RUTACEAE,Asterolasia,Vulnerable,V
Boronia nana var. hyssopifolia,Dwarf Boronia,RUTACEAE,Boronia,Rare,R
Boronia nana var. pubescens,Dwarf Boronia,RUTACEAE,Boronia,Rare,R
Boronia parviflora,Swamp Boronia,RUTACEAE,Boronia,Rare,R
Boronia pilosa ssp. torquata,Hairy Boronia,RUTACEAE,Boronia,Rare,R
Citrus glauca,Desert Lime,RUTACEAE,Citrus,Vulnerable,V
Correa aemula,Hairy Correa,RUTACEAE,Correa,Rare,R
Correa alba var. pannosa,White Correa,RUTACEAE,Correa,Rare,R
Correa backhouseana var. orbicularis,Round-leaf Correa,RUTACEAE,Correa,Rare,R
Correa calycina var. calycina,Hindmarsh Correa,RUTACEAE,Correa,Vulnerable,V
Correa calycina var. halmaturorum,Hindmarsh Correa,RUTACEAE,Correa,Endangered,E
Correa eburnea,Deep Creek Correa,RUTACEAE,Correa,Vulnerable,V
Correa glabra var. leucoclada,Rock Correa,RUTACEAE,Correa,Rare,R
Geijera parviflora,Wilga,RUTACEAE,Geijera,Rare,R
Leionema equestre,Kangaroo Island Phebalium,RUTACEAE,Leionema,Endangered,E
Leionema hillebrandii,Mount Lofty Phebalium,RUTACEAE,Leionema,Rare,R
Leionema microphyllum,Limestone Phebalium,RUTACEAE,Leionema,Rare,R
Phebalium lowanense,Lowan Phebalium,RUTACEAE,Phebalium,Vulnerable,V
Philotheca angustifolia ssp. angustifolia,Narrow-leaf Wax-flower,RUTACEAE,Philotheca,Rare,R
Philotheca difformis ssp. difformis,Small-leaf Wax-flower,RUTACEAE,Philotheca,Vulnerable,V
Philotheca verrucosa,Bendigo Wax-flower,RUTACEAE,Philotheca,Vulnerable,V
Zieria veronicea ssp. insularis,Pink Zieria,RUTACEAE,Zieria,Rare,R
Zieria veronicea ssp. veronicea,Pink Zieria,RUTACEAE,Zieria,Rare,R
Dodonaea procumbens,Trailing Hop-bush,SAPINDACEAE,Dodonaea,Vulnerable,V
Dodonaea subglandulifera,,SAPINDACEAE,Dodonaea,Endangered,E
Stackhousia annua,Annual Candles,STACKHOUSIACEAE,Stackhousia,Vulnerable,V
Cryptandra campanulata,Long-flower Cryptandra,RHAMNACEAE,Cryptandra,Rare,R
Pomaderris forrestiana,,RHAMNACEAE,Pomaderris,Rare,R
Pomaderris halmaturina ssp. continentis,Glenelg Pomaderris,RHAMNACEAE,Pomaderris,Vulnerable,V
Pomaderris halmaturina ssp. halmaturina,Kangaroo Island Pomaderris,RHAMNACEAE,Pomaderris,Vulnerable,V
Spyridium bifidum ssp. bifidum,Marble Range Spyridium,RHAMNACEAE,Spyridium,Vulnerable,V
Spyridium bifidum ssp. wanillae,Wanilla Spyridium,RHAMNACEAE,Spyridium,Vulnerable,V
Spyridium coactilifolium,Butterfly Spyridium,RHAMNACEAE,Spyridium,Vulnerable,V
Spyridium coalitum,Flinders Chase Spyridium,RHAMNACEAE,Spyridium,Rare,R
Spyridium daphnoides,Spoon-leaved Spyridium,RHAMNACEAE,Spyridium,Rare,R
Spyridium erymnocladum,Cloaked Spyridium,RHAMNACEAE,Spyridium,Rare,R
Spyridium fontis-woodii,Woods Well Spyridium,RHAMNACEAE,Spyridium,Endangered,E
Spyridium leucopogon,Silvery Spyridium,RHAMNACEAE,Spyridium,Rare,R
Spyridium scabridum,Rough Spyridium,RHAMNACEAE,Spyridium,Rare,R
Spyridium tricolor,Rusty Spyridium,RHAMNACEAE,Spyridium,Vulnerable,V
Stenanthemum arens,,RHAMNACEAE,Stenanthemum,Rare,R
Althaea australis,Australian Mallow,MALVACEAE,Althaea,Vulnerable,V
Lawrencia berthae,Showy Lawrencia,MALVACEAE,Lawrencia,Rare,R
Sida sp. Wakaya Desert (C.Dunlop 1984),,MALVACEAE,Sida,Rare,R
Androcalva multiloba,Trailing Commersonia,STERCULIACEAE,Androcalva,Endangered,E
Commersonia craurophylla,Brittle-leaf Rulingia,STERCULIACEAE,Commersonia,Vulnerable,V
Gilesia biniflora,Western Tar-vine,STERCULIACEAE,Gilesia,Rare,R
Pimelea hewardiana,,THYMELAEACEAE,Pimelea,Vulnerable,V
Pimelea ligustrina ssp. ligustrina,Tall Riceflower,THYMELAEACEAE,Pimelea,Endangered,E
