scientificName,vernacularName,family,genus,sourceStatus,status
Pterodroma nigripennis,Black-winged Petrel,Procellariidae,Pterodroma,Vulnerable,Vulnerable
Varanus rosenbergi,Rosenberg's Goanna,Varanidae,Varanus,Vulnerable,Vulnerable
Philoria loveridgei,Loveridge's Frog,Limnodynastidae,Philoria,Endangered,Endangered
Tiliqua multifasciata,Centralian Blue-tongued Lizard,Scincidae,Tiliqua,Vulnerable,Vulnerable
Amalosia rhombifer,Zigzag Velvet Gecko,Diplodactylidae,Amalosia,Endangered,Endangered
Oxyuranus microlepidotus,Fierce Snake,Elapidae,Oxyuranus,Extinct,Extinct
Simoselaps fasciolatus,Narrow-banded Snake,Elapidae,Simoselaps,Vulnerable,Vulnerable
Litoria raniformis,Southern Bell Frog,Hylidae,Litoria,Endangered,Endangered
Dasyornis brachypterus,Eastern Bristlebird,Dasyornithidae,Dasyornis,Endangered,Endangered
Calidris ferruginea,Curlew Sandpiper,Scolopacidae,Calidris,Endangered,Endangered
Crinia sloanei,Sloane's Froglet,Myobatrachidae,Crinia,Vulnerable,Vulnerable
Dasyurus maculatus,Spotted-tailed Quoll,Dasyuridae,Dasyurus,Vulnerable,Vulnerable
Thalassarche melanophris,Black-browed Albatross,Diomedeidae,Thalassarche,Vulnerable,Vulnerable
Calamanthus fuliginosus,Striated Fieldwren,Acanthizidae,Calamanthus,Endangered,Endangered
Hamirostra melanosternon,Black-breasted Buzzard,Accipitridae,Hamirostra,Vulnerable,Vulnerable
Limicola falcinellus,Broad-billed Sandpiper,Scolopacidae,Limicola,Vulnerable,Vulnerable
Neobatrachus pictus,Painted Burrowing Frog,Limnodynastidae,Neobatrachus,Endangered,Endangered
Pseudomys hermannsburgensis,Sandy Inland Mouse,Muridae,Pseudomys,Vulnerable,Vulnerable
Chelonia mydas,Green Turtle,Cheloniidae,Chelonia,Vulnerable,Vulnerable
Planigale maculata,Common Planigale,Dasyuridae,Planigale,Vulnerable,Vulnerable
Onychogalea fraenata,Bridled Nailtail Wallaby,Macropodidae,Onychogalea,Extinct,Extinct
Suta flagellum,Little Whip Snake,Elapidae,Suta,Vulnerable,Vulnerable
Esacus magnirostris,Beach Stone-curlew,Burhinidae,Esacus,Critically Endangered,Critically Endangered
Phascogale calura,Red-tailed Phascogale,Dasyuridae,Phascogale,Extinct,Extinct
Thylogale stigmatica,Red-legged Pademelon,Macropodidae,Thylogale,Vulnerable,Vulnerable
Pseudonaja modesta,Ringed Brown Snake,Elapidae,Pseudonaja,Endangered,Endangered
Antaresia stimsoni,Stimson's Python,Pythonidae,Antaresia,Vulnerable,Vulnerable
Neophema pulchella,Turquoise Parrot,Psittacidae,Neophema,Vulnerable,Vulnerable
Antechinomys laniger,Kultarr,Dasyuridae,Antechinomys,Endangered,Endangered
Tyto novaehollandiae,Masked Owl,Tytonidae,Tyto,Vulnerable,Vulnerable
Phaps histrionica,Flock Bronzewing,Columbidae,Phaps,Endangered,Endangered
Hoplocephalus stephensii,Stephens' Banded Snake,Elapidae,Hoplocephalus,Vulnerable,Vulnerable
Hemiaspis damelii,Grey Snake,Elapidae,Hemiaspis,Endangered,Endangered
Gygis alba,White Tern,Laridae,Gygis,Vulnerable,Vulnerable
Macronectes giganteus,Southern Giant Petrel,Procellariidae,Macronectes,Endangered,Endangered
Lucasium stenodactylum,Crowned Gecko,Diplodactylidae,Lucasium,Vulnerable,Vulnerable
Botaurus poiciloptilus,Australasian Bittern,Ardeidae,Botaurus,Endangered,Endangered
Phoebetria fusca,Sooty Albatross,Diomedeidae,Phoebetria,Vulnerable,Vulnerable
Ramphotyphlops endoterus,Interior Blind Snake,Typhlopidae,Ramphotyphlops,Endangered,Endangered
Macropus parma,Parma Wallaby,Macropodidae,Macropus,Vulnerable,Vulnerable
Dasyurus geoffroii,Western Quoll,Dasyuridae,Dasyurus,Extinct,Extinct
Dasyurus viverrinus,Eastern Quoll,Dasyuridae,Dasyurus,Endangered,Endangered
Potorous tridactylus,Long-nosed Potoroo,Potoroidae,Potorous,Vulnerable,Vulnerable
Petauroides volans,Southern Greater Glider,Pseudocheiridae,Petauroides,Endangered,Endangered
Aspidites ramsayi,Woma,Pythonidae,Aspidites,Vulnerable,Vulnerable
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Psittacidae,Cyclopsitta,Critically Endangered,Critically Endangered
Haematopus fuliginosus,Sooty Oystercatcher,Haematopodidae,Haematopus,Vulnerable,Vulnerable
Hieraaetus morphnoides,Little Eagle,Accipitridae,Hieraaetus,Vulnerable,Vulnerable
Petaurus norfolcensis,Squirrel Glider,Petauridae,Petaurus,Vulnerable,Vulnerable
Strepera graculina crissalis,Pied Currawong (Lord Howe Is. subsp.),Artamidae,Strepera,Vulnerable,Vulnerable
Irediparra gallinacea,Comb-crested Jacana,Jacanidae,Irediparra,Vulnerable,Vulnerable
Leipoa ocellata,Malleefowl,Megapodiidae,Leipoa,Endangered,Endangered
Potorous longipes,Long-footed Potoroo,Potoroidae,Potorous,Critically Endangered,Critically Endangered
