NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
K07165,22984,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,aegagropilum,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07171,21298,0,Rhodophyta,Ceramiaceae,45.8,,Leptoklonion,fastigiatum,(Harv.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YP,,,,,,KI,,,,,,
G07171,22994,1,Rhodophyta,Ceramiaceae,45.8,,Amoenothamnion,elongatum,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07171,22993,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,fastigiatum,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07171,22995,1,Rhodophyta,Ceramiaceae,45.8,,Leptoklonion,elongatum,(E.M.Woll.) Athanas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07190,21317,0,Rhodophyta,Ceramiaceae,45.8,,Lomathamnion,epicodii,Gordon-Mills,,,,,,,,,,,,,,,,,NU,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,KI,,,SE,,,
G07199,21326,0,Rhodophyta,Ceramiaceae,45.8,,Lophothamnion,hirtum,(Hook.f. & Harv.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,KI,,,SE,,,
G07199,23066,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,hirtum,Hook.f. & Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07199,23068,1,Rhodophyta,Ceramiaceae,45.8,,Lophothamnion,comatum,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07199,23069,1,Rhodophyta,Ceramiaceae,45.8,,Pleonosporium,?comatum,(J.Agardh) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07199,23067,1,Rhodophyta,Ceramiaceae,45.8,,Pleonosporium,hirtum,(Hook.f. & Harv.) Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07203,21330,0,Rhodophyta,Ceramiaceae,45.8,,Macrothamnion,acanthophorum,(Kutz.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07203,23074,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,acanthocarpum,(Kutz.) Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07203,23073,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,acanthophorum,Kutz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07204,21331,0,Rhodophyta,Ceramiaceae,45.8,,Macrothamnion,pectenellum,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,21332,0,Rhodophyta,Ceramiaceae,45.8,,Macrothamnion,pellucidum,(Harv.) E.M.Woll.,,,,,,,,,,,,,,,,,NU,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
S07205,23078,1,Rhodophyta,Ceramiaceae,45.8,,Antithamnion,mucronatum,(J.Agardh) Nageli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23080,1,Rhodophyta,Ceramiaceae,45.8,,Ballia,hamulosa,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23079,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,griffithsioides,Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23077,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,mucronatum,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23076,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,pellucidum,(Harv.) Hook.f. & Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23081,1,Rhodophyta,Ceramiaceae,45.8,,Spyridia,nobilis,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07205,23075,1,Rhodophyta,Ceramiaceae,45.8,,Spyridia,pellucida,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07206,21333,0,Rhodophyta,Ceramiaceae,45.8,,Macrothamnion,secundum,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,KI,,,SE,,,
Z07211,21338,0,Rhodophyta,Ceramiaceae,45.8,,Mazoyerella,arachnoidea,(Harv.) Gordon-Mills & Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YP,,,SL,,,KI,,,,,,
Z07211,23093,1,Rhodophyta,Ceramiaceae,45.8,,Corynospora,arachnoidea,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07211,23094,1,Rhodophyta,Ceramiaceae,45.8,,Monospora,arachnoidea,(Harv.) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07212,21339,0,Rhodophyta,Ceramiaceae,45.8,,Mazoyerella,australis,(Harv.) Huisman & Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,,,,
Q07212,23095,1,Rhodophyta,Ceramiaceae,45.8,,Corynospora,australis,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07212,23096,1,Rhodophyta,Ceramiaceae,45.8,,Monosporus,australis,(Harv.) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07213,21340,0,Rhodophyta,Ceramiaceae,45.8,,Medeiothamnion,halurus,(Harv.) Gordon-Mills,,,,,,,,,,,,,,,,,NU,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
S07213,23097,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,halurus,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07214,21341,0,Rhodophyta,Ceramiaceae,45.8,,Medeiothamnion,protensum,(Harv.) Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
U07214,23099,1,Rhodophyta,Ceramiaceae,45.8,,Mazoyera,protensa,(Harv.) Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07214,23098,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,protensa,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07215,21342,0,Rhodophyta,Ceramiaceae,45.8,,Medeiothamnion,repens,Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,,,,KI,,,SE,,,
Y07236,21363,0,Rhodophyta,Ceramiaceae,45.8,,Muellerena,wattsii,(Harv.) F.Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,SE,,,
Y07236,23184,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,wattsii,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07284,21411,0,Rhodophyta,Ceramiaceae,45.8,,Ochmapexus,minimus,(Harv.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,SE,,,
A07284,23286,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,minimum,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07301,21428,0,Rhodophyta,Ceramiaceae,45.8,,Perischelia,glomulifera,(J.Agardh) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
S07301,23307,1,Rhodophyta,Ceramiaceae,45.8,,Thamnocarpus,?glomuliferus,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07303,21430,0,Rhodophyta,Ceramiaceae,45.8,,Perithamnion,ceramioides,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
A07304,21431,0,Rhodophyta,Ceramiaceae,45.8,,Perithamnion,muelleri,(Harv.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,,,,
A07304,23311,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,muelleri,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07402,21529,0,Rhodophyta,Ceramiaceae,45.8,,Psilothallia,siliculosa,(Harv.) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,SE,,,
E07402,23472,1,Rhodophyta,Ceramiaceae,45.8,,Plumaria,siliculosa,(Harv.) Kuntze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07402,23471,1,Rhodophyta,Ceramiaceae,45.8,,Ptilota,siliculosa,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07403,21530,0,Rhodophyta,Ceramiaceae,45.8,,Psilothallia,striata,(Harv.) F.Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
G07403,23474,1,Rhodophyta,Ceramiaceae,45.8,,Plumaria,striata,(Harv.) Kuntze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07403,23473,1,Rhodophyta,Ceramiaceae,45.8,,Ptilota,striata,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07409,21536,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,aciculare,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07409,23484,1,Rhodophyta,Ceramiaceae,45.8,,Glandothamnus,acicularis,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07410,21537,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,cuspidatum,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07410,23485,1,Rhodophyta,Ceramiaceae,45.8,,Platythamnion,cuspidatum,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G07411,21538,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,flexile,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,,,,,,,
G07411,23486,1,Rhodophyta,Ceramiaceae,45.8,,Glandothamnus,flexilis,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07412,21539,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,francisianum,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
Y07412,23487,1,Rhodophyta,Ceramiaceae,45.8,,Platythamnion,francisianum,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07413,21540,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,manifestum,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07413,23488,1,Rhodophyta,Ceramiaceae,45.8,,Glandothamnus,manifestus,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07414,21541,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,nodiferum,(J.Agardh) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
M07414,23490,1,Rhodophyta,Ceramiaceae,45.8,,Antithamnion,nodiferum,(J.Agardh) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07414,23489,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,nodiferum,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07414,23492,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,simile,sensu Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07414,23491,1,Rhodophyta,Ceramiaceae,45.8,,Platythamnion,nodiferum,(J.Agardh) E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07415,21542,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,ramulentum,(E.M.Woll.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
Z07415,23495,1,Rhodophyta,Ceramiaceae,45.8,,Antithamnion,plumula,(J.Ellis) Thur. sensu A.H.S.Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07415,23494,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,plumula,(J.Ellis) Lyngb. sensu Hook.f. & Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07415,23493,1,Rhodophyta,Ceramiaceae,45.8,,Glandothamnus,ramulentus,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07416,21543,0,Rhodophyta,Ceramiaceae,45.8,,Pterothamnion,squarrulosum,(Harv.) Athanas. & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
Q07416,23497,1,Rhodophyta,Ceramiaceae,45.8,,Platythamnion,squarrulosum,(Harv.) N.M.Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07416,23496,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,squarrulosa,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07417,21544,0,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,australis,(Harv.) E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,,,,
S07417,23498,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,attenuata,(C.Agardh) J.Agardh,var.,australis,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07417,23499,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,australis,(Harv.) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07418,21545,0,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,crouanioides,(Sond.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,,,,,,,
U07418,23500,1,Rhodophyta,Ceramiaceae,45.8,,Dasya,crouanioides,(Sond.) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07419,21546,0,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,gracilis,(J.Agardh) Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07419,23501,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,gracilis,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,21547,0,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,pulchra,Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
Y07420,23503,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,agardhiana,(Harv.) Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23506,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,insignis,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23508,1,Rhodophyta,Ceramiaceae,45.8,,Gulsoniopsis,insignis,(Harv.) Hommersand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23507,1,Rhodophyta,Ceramiaceae,45.8,,Muellerena,?insignis,(Harv.) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23504,1,Rhodophyta,Ceramiaceae,45.8,,Muellerena,agardhiana,(Harv.) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23505,1,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,agardhiana,(Harv.) E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07420,23502,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,agardhiana,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07421,21548,0,Rhodophyta,Ceramiaceae,45.8,,Ptilocladia,vestita,(Harv.) E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
K07421,23509,1,Rhodophyta,Ceramiaceae,45.8,,Crouania,vestita,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07425,27118,0,Rhodophyta,Ceramiaceae,45.8,,Ptilota,?hannafordii,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,SE,,,
S07425,23514,1,Rhodophyta,Ceramiaceae,45.8,,Antithamnion,hannafordii,(Harv.) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07425,27119,1,Rhodophyta,Ceramiaceae,45.8,,Ptilota q,hannafordii,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07426,21553,0,Rhodophyta,Ceramiaceae,45.8,,Ptilothamnion,schmitzii,Heydr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
W07427,21554,0,Rhodophyta,Ceramiaceae,45.8,,Ptilothamnion,subsimplex,Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
M07430,21557,0,Rhodophyta,Ceramiaceae,45.8,,Radiathamnion,speleotis,Gordon-Mills & Kraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,SE,,,
W07435,21562,0,Rhodophyta,Ceramiaceae,45.8,,Rhipidothamnion,secundum,Huisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07443,21570,0,Rhodophyta,Ceramiaceae,45.8,,Rhodocallis,elegans,Kutz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,KI,,,SE,,,
W07443,23526,1,Rhodophyta,Ceramiaceae,45.8,,Phacelocarpus,echionotus,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07443,23525,1,Rhodophyta,Ceramiaceae,45.8,,Ptilota,rhodocallis,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07485,21612,0,Rhodophyta,Ceramiaceae,45.8,,Scageliopsis,patens,E.M.Woll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
S07505,21632,0,Rhodophyta,Ceramiaceae,45.8,,Shepleya,australis,(J.Agardh) Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,,,,KI,,,,,,
S07505,23644,1,Rhodophyta,Ceramiaceae,45.8,,Antithamnion,australe,(J.Agardh) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07505,23643,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,australe,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07506,21633,0,Rhodophyta,Ceramiaceae,45.8,,Shepleya,verticillata,Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YP,,,,,,KI,,,SE,,,
U07506,23646,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,incurva,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07506,23645,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,verticillata,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07507,21634,0,Rhodophyta,Ceramiaceae,45.8,,Shepleya,wattsii,(Harv.) Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,SE,,,
W07507,23647,1,Rhodophyta,Ceramiaceae,45.8,,Wrangelia,wattsii,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U07514,21641,0,Rhodophyta,Ceramiaceae,45.8,,Spermothamnion,cymosum,(Harv.) De Toni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
U07514,23658,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,cymosum,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07515,21642,0,Rhodophyta,Ceramiaceae,45.8,,Spermothamnion,pinnatum,Gordon-Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
W07515,23659,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,turneri,sensu Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07515,23660,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,turneri,(Mert.) C.Agardh,var.,repens,sensu Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W07515,23661,1,Rhodophyta,Ceramiaceae,45.8,,Spermothamnion,turneri,sensu Guiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K07537,21664,0,Rhodophyta,Ceramiaceae,45.8,,Spongoclonium,australicum,Womersley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,,,,
M07538,21665,0,Rhodophyta,Ceramiaceae,45.8,,Spongoclonium,brownianum,(Harv.) J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,,,,
M07538,23682,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,brownianum,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07538,23683,1,Rhodophyta,Ceramiaceae,45.8,,Pleonosporium,brownianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07539,21666,0,Rhodophyta,Ceramiaceae,45.8,,Spongoclonium,conspicuum,Sond.,,,,,,,,,,,,,,,,,NU,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
Z07539,23684,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,conspicuum,Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z07539,23685,1,Rhodophyta,Ceramiaceae,45.8,,Callithamnion,tingens,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07540,21667,0,Rhodophyta,Ceramiaceae,45.8,,Spongoclonium,fasciculatum,J.Agardh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,KI,,,SE,,,
S07549,21676,0,Rhodophyta,Ceramiaceae,45.8,,Spyridia,dasyoides,Sond.,,,,,,,,,,,,,,,,,NU,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,KI,,,SE,,,
S07549,23698,1,Rhodophyta,Ceramiaceae,45.8,,Spyridia,opposita,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S07549,23699,1,Rhodophyta,Ceramiaceae,45.8,,Spyridia,prolifera,Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07550,21677,0,Rhodophyta,Ceramiaceae,45.8,,Spyridia,filamentosa,(Wulfen) Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,KI,,,,,,
