NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
Z20191,12516,0,Angiospermae,Leguminosae,91.182,,Swainsona,murrayana,Wawra,,,,Vulnerable,Vulnerable,,,,Murray Swainson-pea,Slender Swainson-pea,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,
Z01791,3736,0,Angiospermae,Leguminosae,91.182,,Swainsona,pyrophila,Joy Thomps.,,,,Vulnerable,Rare,,,,Yellow Swainson-pea,Yellow Darling Pea,,,,,,,,,,,,,,,,EA,,,EP,,,,,,MU,,,YP,,,,,,,,,,,,
M01918,3962,0,Angiospermae,Euphorbiaceae,91.204,,Beyeria,subtecta,J.M.Black,,,,Vulnerable,Endangered,,,,Kangaroo Island Turpentine Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
Y04616,8644,0,Angiospermae,Rutaceae,91.212,,Asterolasia,phebalioides,F.Muell.,,,,Vulnerable,Vulnerable,,,,Downy Star-bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
K01985,4083,0,Angiospermae,Rutaceae,91.212,,Phebalium,lowanense,J.H.Willis,,,,Vulnerable,Vulnerable,,,,Lowan Phebalium,Mallee Phebalium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
W02015,4137,0,Angiospermae,Sapindaceae,91.236,,Dodonaea,procumbens,F.Muell.,,,,Vulnerable,Vulnerable,,,,Trailing Hop-bush,,,,,,,,,,,,,,,,,,,,EP,,,NL,,,MU,,,,,,,,,,,,SE,,,
E02026,4149,0,Angiospermae,Stackhousiaceae,91.256,,Stackhousia,annua,W.R.Barker,,,,Vulnerable,Vulnerable,,,,Annual Candles,,,,,,,,,,,,,,,,,,,,EP,,,,,,MU,?,,YP,,,,,,,,,,,,
A02040,4175,0,Angiospermae,Rhamnaceae,91.263,,Pomaderris,halmaturina,J.M.Black,ssp.,halmaturina,,Vulnerable,Vulnerable,,,,Kangaroo Island Pomaderris,Glenelg Pomaderris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,SE,,,
Q02048,4184,0,Angiospermae,Rhamnaceae,91.263,,Spyridium,coactilifolium,Reissek,,,,Vulnerable,Vulnerable,,,,Butterfly Spyridium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
G04015,7776,0,Angiospermae,Rhamnaceae,91.263,,Spyridium,eriocephalum,Fenzl,var.,glabrisepalum,J.M.Black,Vulnerable,Endangered,,,,Macgillivray Spyridium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
W02455,5052,0,Angiospermae,Loganiaceae,91.362,,Logania,insularis,J.M.Black,,,,Vulnerable,Vulnerable,,,,Kangaroo Island Logania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
A02616,5340,0,Angiospermae,Labiatae,91.392,,Prostanthera,calycina,F.Muell. ex Benth.,,,,Vulnerable,Vulnerable,,,,West Coast Mintbush,Limestone Mintbush,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
S02621,5346,0,Angiospermae,Labiatae,91.392,,Prostanthera,nudula,J.M.Black ex E.L.Robertson,,,,Vulnerable,Vulnerable,,,,Mount Illbillee Mintbush,,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y06428,14179,0,Angiospermae,Solanaceae,91.395,,Solanum,karsense,Symon,,,,Vulnerable,,,,,,,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,
G04675,8712,0,Angiospermae,Scrophulariaceae,91.4,,Limosella,granitica,W.R.Barker,,,,Vulnerable,Vulnerable,,,,Granite Mudwort,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
Z05355,11796,0,Angiospermae,Acanthaceae,91.405,,Xerothamnella,parvifolia,C.T.White,,,,Vulnerable,Endangered,,,,,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03564,6979,0,Angiospermae,Compositae,91.435,,Ixodia,achillaeoides,R.Br.,ssp.,arenicola,Copley,Vulnerable,Endangered,,,,Sand Ixodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
Q04432,8340,0,Angiospermae,Compositae,91.435,,Olearia,pannosa,Hook.,ssp.,pannosa,,Vulnerable,Vulnerable,,,,Silver Daisy-bush,,,,,,,,,,,,,,FR,,,,,,EP,,,NL,,,MU,,,YP,,,SL,,,KI,,,SE,,,
U03034,5988,0,Angiospermae,Compositae,91.435,,Pleuropappus,phyllocalymmeus,F.Muell.,,,,Vulnerable,Vulnerable,,,,Silver Candles,Saltlake Candle-daisy,,,,,,,,,,,,,,,,,,,EP,,,,,,MU,,,YP,,,,,,,,,,,,
C03089,6083,0,Angiospermae,Compositae,91.435,,Senecio,macrocarpus,F.Muell. ex Belcher,,,,Vulnerable,Vulnerable,,,,Large-fruit Groundsel,,,,,,,,,,,,,,FR,,,,,,,,,NL,,,MU,,,YP,,,SL,,,,,,SE,,,
M03314,6531,0,Angiospermae,Compositae,91.435,,Senecio,megaglossus,F.Muell.,,,,Vulnerable,Endangered,,,,Large-flower Groundsel,Superb Groundsel,,,,,,,,,,,,,FR,,,,,,EP,,,NL,,,MU,,,,,,,,,,,,,,,
U05586,12597,0,Angiospermae,Compositae,91.435,,Senecio,psilocarpus,Belcher & Albr.,,,,Vulnerable,Vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
K32029,26499,0,Angiospermae,Compositae,91.435,,Taraxacum,cygnorum,Hand.-Mazz.,,,,Vulnerable,,,,,Dandelion,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,KI,,,SE,,,
K32581,28984,0,Angiospermae,Gramineae,91.495,,Amphibromus,fluitans,Kirk,,,,Vulnerable,,,,,River Swamp Wallaby-grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
Y05408,11989,0,Angiospermae,Cyperaceae,91.504,,Eleocharis,papillosa,Latz,,,,Vulnerable,Rare,,,,,,,,,LE,,,,,,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W05147,11125,0,Angiospermae,Orchidaceae,91.514,,Caladenia,brumalis,D.L.Jones,,,,Vulnerable,Vulnerable,,,,Winter Spider-orchid,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,SL,,,,,,,,,
S04361,8229,0,Angiospermae,Orchidaceae,91.514,,Caladenia,calcicola,G.W.Carr,,,,Vulnerable,Endangered,,,,Limestone Spider-orchid,Eastern Limestone Spider-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
U04362,8230,0,Angiospermae,Orchidaceae,91.514,,Caladenia,concolor,Fitzg.,,,,Vulnerable,,,,,Crimson Spider-orchid,Maroon Spider-orchid,,,,,,,,,,,,,FR,,,,,,,,,,,,MU,,,,,,SL,,,,,,,,,
M05150,12032,0,Angiospermae,Orchidaceae,91.514,,Caladenia,formosa,G.W.Carr,,,,Vulnerable,Vulnerable,,,,Elegant Spider Orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
Y06080,13655,0,Angiospermae,Orchidaceae,91.514,,Caladenia,ornata,(Nicholls) D.L.Jones,,,,Vulnerable,Endangered,,,,Ornate Pink Fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
G00779,1557,0,Angiospermae,Orchidaceae,91.514,,Caladenia,ovata,R.S.Rogers,,,,Vulnerable,Endangered,,,,Kangaroo Island Spider-orchid,Ovate Spider-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,,,,
Q05144,12022,0,Angiospermae,Orchidaceae,91.514,,Caladenia,versicolor,G.W.Carr,,,,Vulnerable,Endangered*,,,,Grampians Spider-orchid,Candy Spider-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,
W05163,11167,0,Angiospermae,Orchidaceae,91.514,,Caladenia,woolcockiorum,D.L.Jones,,,,Vulnerable,Endangered,,,,Woolcock's Spider-orchid,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06267,13932,0,Angiospermae,Orchidaceae,91.514,,Corybas,dentatus,D.L.Jones,,,,Vulnerable,Endangered,,species,,Finniss Helmet-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
