name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Sminthopsis leucopus janetzkiae,,,Vulnerable,added,,,
Acacia torringtonensis,,Acacia torringtonensis,Vulnerable,added,,,
Hypserpa polyandra,,Hypserpa polyandra,Vulnerable,added,,,
Melaleuca williamsii,,Callistemon pungens,Vulnerable,added,,,
Pakau pennigera,,,Endangered,added,,,
Spatula querquedula,,,,removed,Garganey,Spatula querquedula,Special least concern
Phaethon lepturus,,,,removed,White-tailed Tropicbird,Phaethon lepturus,Special least concern
Apus pacificus,,,,removed,Fork-tailed Swift,Apus (Apus) pacificus,Special least concern
Oceanites oceanicus,,,,removed,Wilson's Storm Petrel,Oceanites oceanicus,Special least concern
Diomedea epomophora,,,,removed,Southern Royal Albatross,Diomedea epomophora,Special least concern
Phoebetria palpebrata,,,,removed,Light-mantled Sooty Albatross,Phoebetria palpebrata,Special least concern
Thalassarche impavida,,,,removed,Campbell Albatross,Thalassarche impavida,Special least concern
Thalassarche melanophris,,,,removed,Mollymawk,Thalassarche melanophris,Special least concern
Thalassarche salvini,,,,removed,Salvin's Albatross,Thalassarche salvini,Special least concern
Ardenna carneipes,,,,removed,Flesh-footed Shearwater,Ardenna carneipes,Special least concern
Ardenna tenuirostris,,,,removed,Short-tailed Shearwater,Ardenna tenuirostris,Special least concern
Bulweria bulwerii,,,,removed,Bulwer's Petrel,Bulweria bulwerii,Special least concern
Calonectris leucomelas,,,,removed,Streaked Shearwater,Calonectris leucomelas,Special least concern
Procellaria aequinoctialis,,,,removed,,Procellaria (Procellaria) aequinoctialis aequinoctialis,Special least concern
Procellaria parkinsoni,,,,removed,Black Petrel,Procellaria (Procellaria) parkinsoni,Special least concern
Procellaria westlandica,,,,removed,Westland Black Petrel,Procellaria (Procellaria) westlandica,Special least concern
Fregata ariel,,,,removed,Lesser Frigatebird,Fregata ariel,Special least concern
Fregata minor,,,,removed,Greater Frigatebird,Fregata minor,Special least concern
Sula dactylatra,,,,removed,Masked Gannet,Sula dactylatra,Special least concern
Sula leucogaster,,,,removed,Brown Booby,Sula leucogaster,Special least concern
Sula sula,,,,removed,Red-footed Booby,Sula sula,Special least concern
Plegadis falcinellus,,,,removed,Black Curlew,Plegadis falcinellus,Special least concern
Pandion cristatus,,,,removed,Fish Hawk,Pandion haliaetus cristatus,Special least concern
Charadrius bicinctus,,,,removed,,Charadrius (Charadrius) bicinctus bicinctus,Special least concern
Charadrius dubius,,,,removed,Little Ringed Plover,Charadrius (Charadrius) dubius,Special least concern
Charadrius veredus,,,,removed,Oriental Plover,Charadrius (Eupoda) veredus,Special least concern
Pluvialis fulva,,,,removed,Pacific Golden Plover,Pluvialis fulva,Special least concern
Pluvialis squatarola,,,,removed,Grey Plover,Pluvialis squatarola,Special least concern
Actitis hypoleucos,,,,removed,Common Sandpiper,Actitis hypoleucos,Special least concern
Arenaria interpres,,,,removed,Ruddy Turnstone,Arenaria interpres,Special least concern
Calidris acuminata,,,,removed,Sharp-tailed Sandpiper,Calidris (Erolia) acuminata,Special least concern
Calidris alba,,,,removed,Sanderling,Calidris (Crocethia) alba,Special least concern
Calidris falcinellus,,,,removed,Broad-billed Sandpiper,Calidris (Calidris) falcinellus,Special least concern
Calidris melanotos,,,,removed,Pectoral Sandpiper,Calidris (Erolia) melanotos,Special least concern
Calidris pugnax,,,,removed,Ruff,Calidris pugnax,Special least concern
Calidris ruficollis,,,,removed,Red-necked Stint,Calidris (Ereunetes) ruficollis,Special least concern
Calidris subminuta,,,,removed,Long-toed Stint,Calidris (Ereunetes) subminuta,Special least concern
Gallinago hardwickii,,,,removed,Japanese Snipe,Gallinago (Gallinago) hardwickii,Special least concern
Gallinago megala,,,,removed,Swinhoe's Snipe,Gallinago (Gallinago) megala,Special least concern
Limnodromus semipalmatus,,,,removed,Asian Dowitcher,Limnodromus semipalmatus,Special least concern
Limosa limosa,,,,removed,Black-tailed Godwit,Limosa limosa,Special least concern
Numenius minutus,,,,removed,Little Whimbrel,Numenius (Mesoscolopax) minutus,Special least concern
Numenius phaeopus,,,,removed,Whimbrel,Numenius (Phaeopus) phaeopus,Special least concern
Phalaropus lobatus,,,,removed,Red-necked Phalarope,Phalaropus lobatus,Special least concern
Tringa brevipes,,,,removed,Grey-tailed Tattler,Tringa (Heteroscelus) brevipes,Special least concern
Tringa glareola,,,,removed,Wood Sandpiper,Tringa (Rhyacophilus) glareola,Special least concern
Tringa incana,,,,removed,Wandering Tattler,Tringa (Heteroscelus) incana,Special least concern
Tringa nebularia,,,,removed,Greenshank,Tringa (Glottis) nebularia,Special least concern
Tringa stagnatilis,,,,removed,Marsh Sandpiper,Tringa (Rhyacophilus) stagnatilis,Special least concern
Tringa totanus,,,,removed,Common Redshank,Tringa (Totanus) totanus,Special least concern
Xenus cinereus,,,,removed,Terek Sandpiper,Xenus cinereus,Special least concern
Glareola maldivarum,,,,removed,Oriental Pratincole,Glareola (Glareola) maldivarum,Special least concern
Stercorarius longicaudus,,,,removed,Long-tailed Skua,Stercorarius longicaudus,Special least concern
Stercorarius maccormicki,,,,removed,South Polar Skua,Stercorarius maccormicki,Special least concern
Stercorarius parasiticus,,,,removed,Arctic Skua,Stercorarius parasiticus,Special least concern
Stercorarius pomarinus,,,,removed,Pomarine Skua,Stercorarius pomarinus,Special least concern
Anous stolidus,,,,removed,Common Noddy,Anous stolidus,Special least concern
Chlidonias leucopterus,,,,removed,White-winged Tern,Chlidonias (Chlidonias) leucopterus,Special least concern
Gelochelidon nilotica,,,,removed,Gull-billed Tern,Gelochelidon nilotica,Special least concern
Hydroprogne caspia,,,,removed,Caspian Tern,Hydroprogne caspia,Special least concern
Onychoprion anaethetus,,,,removed,Bridled Tern,Onychoprion anaethetus,Special least concern
Sterna dougallii,,,,removed,Roseate Tern,Sterna (Sterna) dougallii,Special least concern
Sterna hirundo,,,,removed,Common Tern,Sterna (Sterna) hirundo,Special least concern
Sterna sumatrana,,,,removed,Black-naped Tern,Sterna (Gygisterna) sumatrana,Special least concern
