name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Phyllurus kabikabi,,Phyllurus kabikabi,,Oakview Leaf-tailed Gecko,Critically endangered,Critically Endangered,status change
Phyllurus pinnaclensis,,Phyllurus pinnaclensis,,Pinnacles Leaf-tailed Gecko,Critically endangered,Critically Endangered,status change
Saltuarius eximius,,Saltuarius eximius,,Cape Melville Leaf-tailed Gecko,Critically endangered,Critically Endangered,status change
Varanus mitchelli,,Varanus mitchelli,,Mitchell's Water Monitor,Critically endangered,Critically Endangered,status change
Austroablepharus barrylyoni,,Austroablepharus barrylyoni,,,,Critically Endangered,status change
Ctenotus serotinus,,Ctenotus serotinus,,Gravel-downs Ctenotus,Critically endangered,Critically Endangered,status change
Harrisoniascincus zia,,Harrisoniascincus zia,,Rainforest Cool-skink,,Vulnerable,status change
Nangura spinosa,,Nangura spinosa,,Nangur Skink,Critically endangered,Critically Endangered,status change
Techmarscincus jigurru,,Techmarscincus jigurru,,Bartle Frere Cool-skink,Critically endangered,Critically Endangered,status change
Tiliqua scincoides intermedia,,Tiliqua scincoides intermedia,,Northern Blue-tongued Skink,Critically endangered,Critically Endangered,status change
Anilios insperatus,,Anilios insperatus,,Fassifern Blind Snake,Critically endangered,Critically Endangered,status change
Leichhardtia araujacea,,Leichhardtia araujacea,,,Critically endangered,Critically Endangered,status change
Argophyllum cryptophlebum,,Argophyllum cryptophlebum,,,Vulnerable,Near threatened,status change
Calotis glabrescens,,Calotis glabrescens,,White Burr-daisy,Critically endangered,Critically Endangered,status change
Trioncinia patens,,Trioncinia patens,,,Critically endangered,Critically Endangered,status change
Diplazium squamuligerum,,Diplazium squamuligerum,,,Critically endangered,Critically Endangered,status change
Borya inopinata,,Borya inopinata,,Stewart Range Pincushion Lily,Critically endangered,Vulnerable,status change
Commersonia beeronensis,,Androcalva beeronensis,,,Critically endangered,Critically Endangered,status change
Commersonia inglewoodensis,,Androcalva inglewoodensis,,,Critically endangered,Critically Endangered,status change
Commersonia pearnii,,Androcalva pearnii,,,Critically endangered,Critically Endangered,status change
Commersonia perkinsiana,,Androcalva perkinsiana,,,Critically endangered,Critically Endangered,status change
Lobelia fontana,,Lobelia fontana,,,Critically endangered,Critically Endangered,status change
Apatophyllum flavovirens,,Apatophyllum flavovirens,,,Critically endangered,Critically Endangered,status change
Garcinia russellii,,Garcinia russellii,,Rupert's Mangosteen,Critically endangered,Critically Endangered,status change
Eucryphia jinksii,,Eucryphia jinksii,,Springbrook Leatherwood,Critically endangered,Critically Endangered,status change
Eucryphia wilkiei,,Eucryphia wilkiei,,Wilkie's Leatherwood,Critically endangered,Critically Endangered,status change
Drosera buubugujin,,Drosera buubugujin,,,Critically endangered,Critically Endangered,status change
Eriocaulon aloefolium,,Eriocaulon aloefolium,,,Critically endangered,Critically Endangered,status change
Eriocaulon giganticum,,Eriocaulon giganticum,,,Critically endangered,Critically Endangered,status change
Croton lucens,,Croton lucens,,,Critically endangered,Critically Endangered,status change
Croton mamillatus,,Croton mamillatus,,Bahrs Scrub Croton,Critically endangered,Critically Endangered,status change
Goodenia stirlingii,,Goodenia stirlingii,,,Vulnerable,Near threatened,status change
Gyrostemon osmus,,Gyrostemon osmus,,,Critically endangered,Critically Endangered,status change
Crepidomanes aphlebioides,,Crepidomanes aphlebioides,,,Critically endangered,Critically Endangered,status change
Hymenophyllum reinwardtii,,Hymenophyllum reinwardtii,,,Critically endangered,Critically Endangered,status change
Hymenophyllum whitei,,Hymenophyllum whitei,,A Filmy Fern,Critically endangered,Critically Endangered,status change
Coleus acariformis,,Coleus acariformis,,Mt Emu Mint Bush,Critically endangered,Endangered,status change
Coleus insularis,,Coleus insularis,,Millmerran Mint Bush,Critically endangered,Critically Endangered,status change
Prostanthera albohirta,,Prostanthera albohirta,,,Critically endangered,Critically Endangered,status change
Prostanthera athertoniana,,Prostanthera athertoniana,,,Critically endangered,Critically Endangered,status change
Prostanthera eungella,,Prostanthera eungella,,,Critically endangered,Critically Endangered,status change
Prostanthera mulliganensis,,Prostanthera mulliganensis,,Mount Mulligan Prostanthera,Critically endangered,Critically Endangered,status change
Prostanthera tozerana,,Prostanthera tozerana,,Mount Tozer Prostanthera,Critically endangered,Critically Endangered,status change
Acacia deuteroneura,,Acacia deuteroneura,,,Critically endangered,Critically Endangered,status change
Acacia forsteri,,Acacia forsteri,,Forster's Wattle,Critically endangered,Critically Endangered,status change
Acacia guymeri,,Acacia guymeri,,,Vulnerable,Near threatened,status change
Acacia lumholtzii,,Acacia lumholtzii,,,Vulnerable,Critically Endangered,status change
Acacia solenota,,Acacia solenota,,,Vulnerable,Endangered,status change
Cynometra roseiflora,,Cynometra roseiflora,,,Critically endangered,Critically Endangered,status change
Phlegmariurus creber,,Phlegmariurus creber,,Rat-tail Tassel-fern,Critically endangered,Critically Endangered,status change
Phlegmariurus dalhousieanus,,Phlegmariurus dalhousieanus,,Bluetassel-fern,Critically endangered,Critically Endangered,status change
Phlegmariurus squarrosus,,Phlegmariurus squarrosus,,Water Tassel-fern,Critically endangered,Critically Endangered,status change
Backhousia oligantha,,Backhousia oligantha,,,Critically endangered,Critically Endangered,status change
Backhousia tetraptera,,Backhousia tetraptera,,,Critically endangered,Critically Endangered,status change
Decaspermum struckoilicum,,Decaspermum struckoilicum,,Mount Morgan Myrtle,Critically endangered,Critically Endangered,status change
Eucalyptus argophloia,,Eucalyptus argophloia,,Queensland Western White Gum,Critically endangered,Critically Endangered,status change
Eucalyptus dalveenica,,Eucalyptus dalveenica,,,Critically endangered,Critically Endangered,status change
Gossia gonoclada,,Gossia gonoclada,,Angle-stemmed Myrtle,Critically endangered,Critically Endangered,status change
Gossia inophloia,,Gossia inophloia,,,Critically endangered,Critically Endangered,status change
Homoranthus brevistylis,,Homoranthus brevistylis,,,Critically endangered,Critically Endangered,status change
Homoranthus coracinus,,Homoranthus coracinus,,,Critically endangered,Critically Endangered,status change
Homoranthus cummingii,,Homoranthus cummingii,,,Critically endangered,Critically Endangered,status change
Homoranthus inopinatus,,Homoranthus inopinatus,,,Critically endangered,Critically Endangered,status change
Homoranthus montanus,,Homoranthus montanus,,,Critically endangered,Critically Endangered,status change
Homoranthus papillatus,,Homoranthus papillatus,,Mouse Bush,Critically endangered,Critically Endangered,status change
Homoranthus tricolor,,Homoranthus tricolor,,,Critically endangered,Critically Endangered,status change
Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),,,,,Critically endangered,Critically Endangered,status change
Melaleuca lophocoracorum,,Melaleuca lophocoracorum,,,Critically endangered,Critically Endangered,status change
Melaleuca uxorum,,Melaleuca uxorum,,,Endangered,Critically Endangered,status change
Mitrantia bilocularis,,Mitrantia bilocularis,,,Endangered,Critically Endangered,status change
Rhodamnia angustifolia,,Rhodamnia angustifolia,,Narrow-leaved Malletwood,Critically endangered,Critically Endangered,status change
Rhodamnia longisepala,,Rhodamnia longisepala,,,Critically endangered,Critically Endangered,status change
Rhodamnia maideniana,,Rhodamnia maideniana,,Smooth Scrub Turpentine,Critically endangered,Critically Endangered,status change
Rhodamnia rubescens,,Rhodamnia rubescens,,Brown Malletwood,Critically endangered,Critically Endangered,status change
Rhodomyrtus psidioides,,Rhodomyrtus psidioides,,Native Guava,Critically endangered,Critically Endangered,status change
Syzygium fratris,,Syzygium fratris,,Brotherly Love Lilly Pilly,Critically endangered,Critically Endangered,status change
Notelaea ipsviciensis,,Notelaea ipsviciensis,,Cooneana Olive,Critically endangered,Critically Endangered,status change
Oberonia attenuata,,Oberonia attenuata,,Mossman Fairy Orchid,Critically endangered,Critically Endangered,status change
Auranticarpa edentata,,Auranticarpa edentata,,,,Endangered,status change
Calyptochloa gracillima subsp. ipsviciensis,,Calyptochloa gracillima subsp. ipsviciensis,,,Critically endangered,Critically Endangered,status change
Digitaria basaltica,,Digitaria basaltica,,,Critically endangered,Critically Endangered,status change
Digitaria veldkampiana,,Digitaria veldkampiana,,,Critically endangered,Critically Endangered,status change
Grevillea hodgei,,Grevillea hodgei,,Coochin Hills Grevillea,Critically endangered,Critically Endangered,status change
Grevillea scortechinii subsp. scortechinii,,Grevillea scortechinii subsp. scortechinii,,Black Grevillea,Critically endangered,Critically Endangered,status change
Hakea macrorrhyncha,,Hakea macrorrhyncha,,,Vulnerable,Endangered,status change
Hollandaea porphyrocarpa,,Hollandaea porphyrocarpa,,,Critically endangered,Critically Endangered,status change
Macadamia jansenii,,Macadamia jansenii,,Bulburin Nut Tree,Critically endangered,Critically Endangered,status change
Antrophyum austroqueenslandicum,,Antrophyum austroqueenslandicum,,Border Ranges Lined Fern,Critically endangered,Critically Endangered,status change
Emmenosperma pancherianum,,Emmenosperma pancherianum,,,Critically endangered,Critically Endangered,status change
Bruguiera x hainesii,,Bruguiera x hainesii,,Haines's Orange Mangrove,Critically endangered,Critically Endangered,status change
Boronia grimshawii,,Boronia grimshawii,,Grimshaw's Boronia,Critically endangered,Critically Endangered,status change
Euodia pubifolia,,Euodia pubifolia,,,Vulnerable,Endangered,status change
Zieria actites,,Zieria actites,,Mt Larcom Stink Bush,Critically endangered,Critically Endangered,status change
Zieria alata,,Zieria alata,,Mt Lewis Stink Bush,Critically endangered,Critically Endangered,status change
Zieria boolbunda,,Zieria boolbunda,,Boolbunda Stink Bush,Critically endangered,Critically Endangered,status change
Zieria cephalophila,,Zieria cephalophila,,Sydney Heads Stink Bush,Critically endangered,Critically Endangered,status change
Zieria eungellaensis,,Zieria eungellaensis,,Eungella Stink Bush,Critically endangered,Critically Endangered,status change
Zieria exsul,,Zieria exsul,,Banished Stink Bush,Critically endangered,Critically Endangered,status change
Zieria fordii,,Zieria fordii,,Ford's Stink Bush,Critically endangered,Critically Endangered,status change
Zieria gymnocarpa,,Zieria gymnocarpa,,,Critically endangered,Critically Endangered,status change
Zieria hydroscopica,,Zieria hydroscopica,,Coominglah Stink Bush,Critically endangered,Critically Endangered,status change
Zieria madida,,Zieria madida,,Thornton Peak Stink Bush,Critically endangered,Critically Endangered,status change
Zieria montana,,Zieria montana,,Mt Barney Stink Bush,Critically endangered,Critically Endangered,status change
Zieria scopulus,,Zieria scopulus,,Flinders Peak Stink Bush,Critically endangered,Critically Endangered,status change
Zieria vagans,,Zieria vagans,,Gurgeena Stink Bush,Critically endangered,Critically Endangered,status change
Zieria wilhelminae,,Zieria wilhelminae,,Mt Jukes Stink Bush,Critically endangered,Critically Endangered,status change
Solanum adoxum,,Solanum adoxum,,,Critically endangered,Critically Endangered,status change
Solanum angustum,,Solanum angustum,,,Critically endangered,Critically Endangered,status change
Solanum orgadophilum,,Solanum orgadophilum,,Capella Potato Bush,Critically endangered,Critically Endangered,status change
Brachychiton guymeri,,Brachychiton guymeri,,,Critically endangered,Critically Endangered,status change
Brachychiton sp. (Ormeau L.H.Bird AQ435851),,Brachychiton sp. Ormeau (L.H.Bird AQ435851),,Ormeau Bottle Tree,Critically endangered,Critically Endangered,status change
Amblovenatum immersum,,Amblovenatum immersum,,,Critically endangered,Critically Endangered,status change
Amblovenatum tildeniae,,Amblovenatum tildeniae,,,Critically endangered,Critically Endangered,status change
Reholttumia costata,,,,,,Near threatened,status change
Pimelea fugiens,,Pimelea fugiens,,,Critically endangered,Critically Endangered,status change
Pimelea leptospermoides subsp. bowmanni,,Pimelea leptospermoides subsp. bowmanni,,,Critically endangered,Critically Endangered,status change
Pimelea leptospermoides subsp. leptospermoides,,Pimelea leptospermoides subsp. leptospermoides,,,Near threatened,Vulnerable,status change
Bubbia whiteana,,Bubbia whiteana,,,Vulnerable,Critically Endangered,status change
