id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,V B A Taxon Id,vernacular name,scientificNameAuthoritiy,family,F F G Status,F F G Desc,sourceStatus,status,sensiivityZoneId,V B A Restriction,speciesGroup,V B A_discipline,kingdom,taxonRank,modified,E P B C Status,E P B C Desc,identificationRemarks,V B A Treaty
4041196,Naiopegia xiphagrostis,Freshwater Isopod,Naiopegia xiphagrostis,https://biodiversity.org.au/afd/taxa/b92e6c6f-f7d7-413b-9f9e-a28979d0e925,dr490,"[{'key': 'V B A Taxon Id', 'value': '75166'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Wilson & Keable, 2002'}, {'key': 'family', 'value': 'Phreatoicidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75166,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041313,Taskiria otwayensis,Caddisfly,Taskiria otwayensis,https://biodiversity.org.au/afd/taxa/c21f68b0-b949-42ec-b92d-3029ab652ce1,dr490,"[{'key': 'V B A Taxon Id', 'value': '3040'}, {'key': 'vernacular name', 'value': 'Caddisfly'}, {'key': 'scientificNameAuthoritiy', 'value': 'Neboiss, 1984'}, {'key': 'family', 'value': 'Kokiriidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",3040,Caddisfly,"Neboiss, 1984",Kokiriidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
4041251,Pogona barbata,Common Bearded Dragon,Pogona barbata,https://biodiversity.org.au/afd/taxa/25b7606b-0b61-4f2d-967e-9c5c210fe332,dr490,"[{'key': 'V B A Taxon Id', 'value': '12177'}, {'key': 'vernacular name', 'value': 'Bearded Dragon'}, {'key': 'family', 'value': 'Agamidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Reptiles'}, {'key': 'V B A_discipline', 'value': 'Terrestrial fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",12177,Bearded Dragon,,Agamidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Reptiles,Terrestrial fauna,Animalia,Species,23/06/2021,,,,
4041309,Synamphisopus ambiguus,Phreatoic Isopod,Synamphisopus ambiguus,https://biodiversity.org.au/afd/taxa/bc3b9067-fb38-48f7-a426-1e02f40b7fbc,dr490,"[{'key': 'V B A Taxon Id', 'value': '75168'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': '(Sheard, 1936)'}, {'key': 'family', 'value': 'Amphisopodidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Terrestrial fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75168,freshwater isopod,"(Sheard, 1936)",Amphisopodidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Terrestrial fauna,Animalia,Species,23/06/2021,,,,
4041249,Synamphisopus doegi,Phreatoic Isopod,Synamphisopus doegi,https://biodiversity.org.au/afd/taxa/fdb51ee6-a468-4ae1-82d4-d0a8434a7478,dr490,"[{'key': 'V B A Taxon Id', 'value': '75169'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Wilson & Keable, 2002'}, {'key': 'family', 'value': 'Amphisopodidae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Invertebrates'}, {'key': 'V B A_discipline', 'value': 'Terrestrial fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75169,freshwater isopod,"Wilson & Keable, 2002",Amphisopodidae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Invertebrates,Terrestrial fauna,Animalia,Species,23/06/2021,,,,
4041263,Phreatoicopsis raffae,Freshwater Isopod,Phreatoicopsis raffae,https://biodiversity.org.au/afd/taxa/07ca46fc-cee2-4b8b-8395-2a7203f73c60,dr490,"[{'key': 'V B A Taxon Id', 'value': '75167'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Wilson & Keable, 2002'}, {'key': 'family', 'value': 'Phreatoicopsididae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Aquatic invertebrates'}, {'key': 'V B A_discipline', 'value': 'Terrestrial fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",75167,freshwater isopod,"Wilson & Keable, 2002",Phreatoicopsididae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Aquatic invertebrates,Terrestrial fauna,Animalia,Species,23/06/2021,,,,
4041186,Phreatoicopsis terricola,Freshwater Isopod,Phreatoicopsis terricola,https://biodiversity.org.au/afd/taxa/caa04214-2bb0-461d-98dc-f850f5925561,dr490,"[{'key': 'V B A Taxon Id', 'value': '15262'}, {'key': 'vernacular name', 'value': 'freshwater isopod'}, {'key': 'scientificNameAuthoritiy', 'value': 'Spencer & Hall, 1897'}, {'key': 'family', 'value': 'Phreatoicopsididae'}, {'key': 'F F G Status', 'value': 'vu'}, {'key': 'F F G Desc', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Aquatic invertebrates'}, {'key': 'V B A_discipline', 'value': 'Terrestrial fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",15262,freshwater isopod,"Spencer & Hall, 1897",Phreatoicopsididae,vu,Vulnerable,vu,Vulnerable,VIC,Restricted viewing taxon,Aquatic invertebrates,Terrestrial fauna,Animalia,Species,23/06/2021,,,,
4041288,Engaeus strictifrons,Portland Burrowing Crayfish,Engaeus strictifrons,https://biodiversity.org.au/afd/taxa/64f5df91-7a61-4115-9f1c-0b370d4e8a2f,dr490,"[{'key': 'V B A Taxon Id', 'value': '1690'}, {'key': 'vernacular name', 'value': 'Portland Burrowing Crayfish'}, {'key': 'scientificNameAuthoritiy', 'value': '(Clark, 1936)'}, {'key': 'family', 'value': 'Parastacidae'}, {'key': 'F F G Status', 'value': 'en'}, {'key': 'F F G Desc', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Mussels, decopod crustacea'}, {'key': 'V B A_discipline', 'value': 'Aquatic fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",1690,Portland Burrowing Crayfish,"(Clark, 1936)",Parastacidae,en,Endangered,vu,Vulnerable,VIC,Restricted viewing taxon,"Mussels, decopod crustacea",Aquatic fauna,Animalia,Species,23/06/2021,,,,
4041209,Euastacus claytoni,Claytons Spiny Crayfish,Euastacus claytoni,https://biodiversity.org.au/afd/taxa/1edd788e-56ca-4080-8804-f332d361c43e,dr490,"[{'key': 'V B A Taxon Id', 'value': '1643'}, {'key': 'vernacular name', 'value': 'Claytons Spiny Crayfish'}, {'key': 'scientificNameAuthoritiy', 'value': 'Riek, 1969'}, {'key': 'family', 'value': 'Parastacidae'}, {'key': 'F F G Status', 'value': 'en'}, {'key': 'F F G Desc', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Mussels, decopod crustacea'}, {'key': 'V B A_discipline', 'value': 'Aquatic fauna'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",1643,Claytons Spiny Crayfish,"Riek, 1969",Parastacidae,en,Endangered,vu,Vulnerable,VIC,Restricted viewing taxon,"Mussels, decopod crustacea",Aquatic fauna,Animalia,Species,23/06/2021,,,,
4041287,Pseudocalliax tooradin,Ghost Shrimp,Pseudocalliax tooradin,https://biodiversity.org.au/afd/taxa/8cb4ff91-205d-48fe-b2d5-be02bfc2ecbc,dr490,"[{'key': 'V B A Taxon Id', 'value': '15255'}, {'key': 'vernacular name', 'value': 'Ghost shrimp'}, {'key': 'scientificNameAuthoritiy', 'value': '(Poore & Griffin, 1979)'}, {'key': 'family', 'value': 'Callianassidae'}, {'key': 'F F G Status', 'value': 'en'}, {'key': 'F F G Desc', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'vu'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sensiivityZoneId', 'value': 'VIC'}, {'key': 'V B A Restriction', 'value': 'Restricted viewing taxon'}, {'key': 'speciesGroup', 'value': 'Aquatic invertebrates'}, {'key': 'V B A_discipline', 'value': 'Aquatic invertebrates'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'taxonRank', 'value': 'Species'}, {'key': 'modified', 'value': '23/06/2021'}]",15255,Ghost shrimp,"(Poore & Griffin, 1979)",Callianassidae,en,Endangered,vu,Vulnerable,VIC,Restricted viewing taxon,Aquatic invertebrates,Aquatic invertebrates,Animalia,Species,23/06/2021,,,,
