id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4429104,Verticordia dasystylis subsp. kalbarriensis,,Verticordia dasystylis subsp. kalbarriensis,https://id.biodiversity.org.au/node/apni/2891435,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4432414,Verticordia dasystylis subsp. oestopoia,,Verticordia dasystylis subsp. oestopoia,https://id.biodiversity.org.au/node/apni/2905051,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4428974,Verticordia densiflora var. pedunculata,,Verticordia densiflora var. pedunculata,https://id.biodiversity.org.au/node/apni/2888310,dr467,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '10 km'}]",EN,10 km
4430514,Verticordia densiflora var. roseostella,,Verticordia densiflora var. roseostella,https://id.biodiversity.org.au/node/apni/2888814,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4433007,Verticordia dichroma var. dichroma,,Verticordia dichroma var. dichroma,https://id.biodiversity.org.au/node/apni/2905454,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4428646,Verticordia dichroma var. syntoma,,Verticordia dichroma var. syntoma,https://id.biodiversity.org.au/node/apni/2889909,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4428913,Verticordia elizabethiae,Elizabeth's Featherflower,Verticordia elizabethiae,https://id.biodiversity.org.au/name/apni/51375404,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4429511,Verticordia endlicheriana var. angustifolia,,Verticordia endlicheriana var. angustifolia,https://id.biodiversity.org.au/node/apni/2895743,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4430515,Verticordia fimbrilepis subsp. australis,,Verticordia fimbrilepis subsp. australis,https://id.biodiversity.org.au/node/apni/2896437,dr467,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '10 km'}]",EN,10 km
4429487,Verticordia fimbrilepis subsp. fimbrilepis,,Verticordia fimbrilepis subsp. fimbrilepis,https://id.biodiversity.org.au/node/apni/2889676,dr467,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '10 km'}]",VU,10 km
4430104,Verticordia fragrans,Hollyhock Verticordia,Verticordia fragrans,https://id.biodiversity.org.au/node/apni/2902566,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4432652,Verticordia galeata,,Verticordia galeata,https://id.biodiversity.org.au/node/apni/2908828,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4428746,Verticordia gracilis,,Verticordia gracilis,https://id.biodiversity.org.au/node/apni/2891375,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4431885,Verticordia halophila,Salt-loving Featherflower,Verticordia halophila,https://id.biodiversity.org.au/node/apni/2896305,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4431591,Verticordia harveyi,Autumn Featherflower,Verticordia harveyi,https://id.biodiversity.org.au/node/apni/2911073,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4430799,Verticordia helichrysantha,Barrens Featherflower,Verticordia helichrysantha,https://id.biodiversity.org.au/node/apni/2905661,dr467,"[{'key': 'category', 'value': 'VU'}, {'key': 'generalisation', 'value': '10 km'}]",VU,10 km
4432025,Verticordia huegelii var. tridens,,Verticordia huegelii var. tridens,https://id.biodiversity.org.au/node/apni/2915252,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4432722,Verticordia hughanii,Hughan's Featherflower,Verticordia hughanii,https://id.biodiversity.org.au/node/apni/2910452,dr467,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '10 km'}]",EN,10 km
4430265,Verticordia insignis subsp. eomagis,Northern Insignis,Verticordia insignis subsp. eomagis,https://id.biodiversity.org.au/node/apni/2889673,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4429302,Verticordia integra,Plastic Verticordia,Verticordia integra,https://id.biodiversity.org.au/node/apni/2887845,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4431187,Verticordia jamiesonii,,Verticordia jamiesonii,https://id.biodiversity.org.au/node/apni/2895950,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4433043,Verticordia lehmannii,,Verticordia lehmannii,https://id.biodiversity.org.au/node/apni/2910556,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4429980,Verticordia lepidophylla var. quantula,,Verticordia lepidophylla var. quantula,https://id.biodiversity.org.au/node/apni/2911908,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
