id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,kingdom,class,family,vernacular name,scientificNameAuthorship,sourceStatus,significant,status,endemicity,epbcStatus
4041162,Rhinolophus philippinensis,Greater Large-eared Horseshoe Bat,Rhinolophus philippinensis,ALA_DR652_255,dr493,"[{'key': 'taxonID', 'value': '969'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Mammalia'}, {'key': 'family', 'value': 'Rhinolophidae'}, {'key': 'vernacular name', 'value': 'greater large-eared horseshoe bat'}, {'key': 'scientificNameAuthorship', 'value': 'Waterhouse, 1843'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Naturally occurs in Queensland and overseas'}, {'key': 'epbcStatus', 'value': 'Vulnerable'}]",969,Animalia,Mammalia,Rhinolophidae,greater large-eared horseshoe bat,"Waterhouse, 1843",E,Y,Endangered,Naturally occurs in Queensland and overseas,Vulnerable
4041149,Chloebia gouldiae,Gouldian Finch,Chloebia gouldiae,https://biodiversity.org.au/afd/taxa/27d27be2-4adb-407e-9f27-ee2d96164d18,dr493,"[{'key': 'taxonID', 'value': '1376'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'vernacular name', 'value': 'Gouldian finch'}, {'key': 'scientificNameAuthorship', 'value': '(Gould, 1844)'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1376,Animalia,Aves,Estrildidae,Gouldian finch,"(Gould, 1844)",E,Y,Endangered,Australian endemic,Endangered
4040810,Erythrura trichroa,Blue-faced Parrot-finch,Erythrura (Acalanthe) trichroa,https://biodiversity.org.au/afd/taxa/cb632014-1e9a-492c-8f5a-7a6582c72f74,dr493,"[{'key': 'taxonID', 'value': '1378'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'vernacular name', 'value': 'blue-faced parrot-finch'}, {'key': 'scientificNameAuthorship', 'value': '(Kittlitz, 1835)'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Naturally occurs in Australia and overseas'}]",1378,Animalia,Aves,Estrildidae,blue-faced parrot-finch,"(Kittlitz, 1835)",NT,Y,Near Threatened,Naturally occurs in Australia and overseas,
4040507,Neochmia phaeton evangelinae,,Neochmia (Neochmia) phaeton evangelinae,https://biodiversity.org.au/afd/taxa/565b6f37-ddeb-4179-ab44-26c602b814ee,dr493,"[{'key': 'taxonID', 'value': '1370'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'vernacular name', 'value': 'crimson finch (white-bellied subspecies)'}, {'key': 'scientificNameAuthorship', 'value': '(Hombron & Jacquinot, 1841)'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Naturally occurs in Queensland and overseas'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1370,Animalia,Aves,Estrildidae,crimson finch (white-bellied subspecies),"(Hombron & Jacquinot, 1841)",E,Y,Endangered,Naturally occurs in Queensland and overseas,Endangered
4040686,Poephila cincta cincta,Black-throated Finch (southern Subspecies),Poephila (Poephila) cincta cincta,https://biodiversity.org.au/afd/taxa/9fe878db-cb42-4934-b27d-d345a09d68df,dr493,"[{'key': 'taxonID', 'value': '1365'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'vernacular name', 'value': 'black-throated finch (white-rumped subspecies)'}, {'key': 'scientificNameAuthorship', 'value': 'Gould, 1837'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1365,Animalia,Aves,Estrildidae,black-throated finch (white-rumped subspecies),"Gould, 1837",E,Y,Endangered,Australian endemic,Endangered
4041058,Stagonopleura guttata,Diamond Firetail,Stagonopleura (Stagonopleura) guttata,https://biodiversity.org.au/afd/taxa/6e872b58-55d1-443c-a30e-0d90a57e3240,dr493,"[{'key': 'taxonID', 'value': '1355'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Estrildidae'}, {'key': 'vernacular name', 'value': 'diamond firetail'}, {'key': 'scientificNameAuthorship', 'value': '(Shaw, 1796)'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1355,Animalia,Aves,Estrildidae,diamond firetail,"(Shaw, 1796)",C,N,Least concern,Australian endemic,
4040742,Pachycephala olivacea,Olive Whistler,Pachycephala (Timixos) olivacea,https://biodiversity.org.au/afd/taxa/2063bf6d-973d-4de1-bb0c-dec72f5d019b,dr493,"[{'key': 'taxonID', 'value': '1435'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Pachycephalidae'}, {'key': 'vernacular name', 'value': 'olive whistler'}, {'key': 'scientificNameAuthorship', 'value': 'Vigors & Horsfield, 1827'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1435,Animalia,Aves,Pachycephalidae,olive whistler,"Vigors & Horsfield, 1827",C,N,Least concern,Australian endemic,
4040518,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr493,"[{'key': 'taxonID', 'value': '1478'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Meliphagidae'}, {'key': 'vernacular name', 'value': 'regent honeyeater'}, {'key': 'scientificNameAuthorship', 'value': '(Shaw, 1794)'}, {'key': 'sourceStatus', 'value': 'CR'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Critically endangered'}]",1478,Animalia,Aves,Meliphagidae,regent honeyeater,"(Shaw, 1794)",CR,Y,Critically Endangered,Australian endemic,Critically endangered
4040559,Epthianura crocea,Yellow Chat,Epthianura (Aurepthianura) crocea,https://biodiversity.org.au/afd/taxa/3ebe27bd-3977-4f7d-b822-bb8013379b3a,dr493,"[{'key': 'taxonID', 'value': '1528'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Meliphagidae'}, {'key': 'vernacular name', 'value': 'yellow chat'}, {'key': 'scientificNameAuthorship', 'value': 'Castelnau & Ramsay, 1877'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1528,Animalia,Aves,Meliphagidae,yellow chat,"Castelnau & Ramsay, 1877",V,Y,Vulnerable,Australian endemic,
4041140,Epthianura crocea crocea,Yellow Chat,Epthianura (Aurepthianura) crocea crocea,https://biodiversity.org.au/afd/taxa/632efd10-a729-48b7-b793-94ff60978652,dr493,"[{'key': 'taxonID', 'value': '22458'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Meliphagidae'}, {'key': 'vernacular name', 'value': 'yellow chat (gulf)'}, {'key': 'scientificNameAuthorship', 'value': 'Castelnau & Ramsay, 1877'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",22458,Animalia,Aves,Meliphagidae,yellow chat (gulf),"Castelnau & Ramsay, 1877",V,Y,Vulnerable,Australian endemic,
