id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,kingdom,class,family,vernacular name,scientificNameAuthorship,sourceStatus,significant,status,endemicity,epbcStatus
4040398,Epthianura crocea macgregori,,Epthianura (Aurepthianura) crocea macgregori,https://biodiversity.org.au/afd/taxa/3b102dda-5119-4719-88f9-278dc9e661ea,dr493,"[{'key': 'taxonID', 'value': '22459'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Meliphagidae'}, {'key': 'vernacular name', 'value': 'yellow chat (Dawson)'}, {'key': 'scientificNameAuthorship', 'value': 'Keast, 1958'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Queensland endemic'}, {'key': 'epbcStatus', 'value': 'Critically endangered'}]",22459,Animalia,Aves,Meliphagidae,yellow chat (Dawson),"Keast, 1958",E,Y,Endangered,Queensland endemic,Critically endangered
4041020,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,Hylacola pyrrhopygia,https://biodiversity.org.au/afd/taxa/c88390d9-2583-474b-b576-b00349b7eb3b,dr493,"[{'key': 'taxonID', 'value': '1399'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Acanthizidae'}, {'key': 'vernacular name', 'value': 'chestnut-rumped heathwren'}, {'key': 'scientificNameAuthorship', 'value': '(Vigors & Horsfield, 1827)'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1399,Animalia,Aves,Acanthizidae,chestnut-rumped heathwren,"(Vigors & Horsfield, 1827)",C,N,Least concern,Australian endemic,
4040269,Dasyornis brachypterus,Eastern Bristlebird,Dasyornis (Dasyornis) brachypterus,https://biodiversity.org.au/afd/taxa/5a760ca8-e6c7-4465-a113-3eaf26b170cb,dr493,"[{'key': 'taxonID', 'value': '1405'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Dasyornithidae'}, {'key': 'vernacular name', 'value': 'eastern bristlebird'}, {'key': 'scientificNameAuthorship', 'value': '(Latham, 1801)'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1405,Animalia,Aves,Dasyornithidae,eastern bristlebird,"(Latham, 1801)",E,Y,Endangered,Australian endemic,Endangered
4041108,Amytornis ballarae,Kalkadoon Grasswren,Amytornis (Amytornis) ballarae,https://biodiversity.org.au/afd/taxa/ac708e6d-f410-4203-95f4-4de2ee93efd8,dr493,"[{'key': 'taxonID', 'value': '1566'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'Kalkadoon grasswren'}, {'key': 'scientificNameAuthorship', 'value': '(Mathews, 1914)'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1566,Animalia,Aves,Maluridae,Kalkadoon grasswren,"(Mathews, 1914)",C,N,Least concern,Australian endemic,
4041116,Amytornis barbatus,Grey Grasswren,Amytornis (Maluropsis) barbatus,https://biodiversity.org.au/afd/taxa/3b441005-8cc1-46f2-8818-91b36931b7d6,dr493,"[{'key': 'taxonID', 'value': '1563'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'grey grasswren'}, {'key': 'scientificNameAuthorship', 'value': 'Favaloro & McEvey, 1968'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1563,Animalia,Aves,Maluridae,grey grasswren,"Favaloro & McEvey, 1968",NT,Y,Near Threatened,Australian endemic,
4041112,Amytornis barbatus barbatus,Grey Grasswren,Amytornis (Maluropsis) barbatus barbatus,https://biodiversity.org.au/afd/taxa/4b228269-91dc-4709-8af2-bfe6065bc4c1,dr493,"[{'key': 'taxonID', 'value': '29885'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'grey grasswren (Bulloo)'}, {'key': 'scientificNameAuthorship', 'value': 'Favaloro & McEvey, 1968'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",29885,Animalia,Aves,Maluridae,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",E,Y,Endangered,Australian endemic,Endangered
4041152,Amytornis barbatus diamantina,Grey Grasswren,Amytornis (Maluropsis) barbatus diamantina,https://biodiversity.org.au/afd/taxa/8069e794-d6fc-4452-acc3-7777e0ab4da5,dr493,"[{'key': 'taxonID', 'value': '29886'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'grey grasswren (Lake Eyre basin)'}, {'key': 'scientificNameAuthorship', 'value': 'Schodde & Christidis, 1987'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",29886,Animalia,Aves,Maluridae,grey grasswren (Lake Eyre basin),"Schodde & Christidis, 1987",NT,Y,Near Threatened,Australian endemic,
4040463,Amytornis dorotheae,Carpentarian Grasswren,Amytornis (Magnamytis) dorotheae,https://biodiversity.org.au/afd/taxa/425c0e16-780d-44da-b916-e0c4cf9ecd1d,dr493,"[{'key': 'taxonID', 'value': '1564'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'Carpentarian grasswren'}, {'key': 'scientificNameAuthorship', 'value': '(Mathews, 1914)'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1564,Animalia,Aves,Maluridae,Carpentarian grasswren,"(Mathews, 1914)",E,Y,Endangered,Australian endemic,Endangered
4040815,Amytornis goyderi,Eyrean Grasswren,Amytornis (Amytornis) goyderi,https://biodiversity.org.au/afd/taxa/82ac680b-af93-4de1-bfcc-064724200db5,dr493,"[{'key': 'taxonID', 'value': '1565'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'Eyrean grasswren'}, {'key': 'scientificNameAuthorship', 'value': '(Gould, 1875)'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1565,Animalia,Aves,Maluridae,Eyrean grasswren,"(Gould, 1875)",C,N,Least concern,Australian endemic,
4040805,Amytornis rowleyi,Rusty Grasswren,Amytornis rowleyi,ALA_DR652_168,dr493,"[{'key': 'taxonID', 'value': '1568'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'rusty grasswren'}, {'key': 'scientificNameAuthorship', 'value': '(Gould, 1840)'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1568,Animalia,Aves,Maluridae,rusty grasswren,"(Gould, 1840)",NT,Y,Near Threatened,Australian endemic,
4040228,Stipiturus malachurus,Southern Emu-wren,Stipiturus malachurus,https://biodiversity.org.au/afd/taxa/960b9ffd-b781-4629-9044-78a79b33c485,dr493,"[{'key': 'taxonID', 'value': '1549'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Maluridae'}, {'key': 'vernacular name', 'value': 'southern emu-wren'}, {'key': 'scientificNameAuthorship', 'value': '(Shaw, 1798)'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",1549,Animalia,Aves,Maluridae,southern emu-wren,"(Shaw, 1798)",V,Y,Vulnerable,Australian endemic,
4041016,Atrichornis rufescens,Rufous Scrub-bird,Atrichornis (Atrichornis) rufescens,https://biodiversity.org.au/afd/taxa/a0a03328-a019-4b4d-93d5-b51933d26adc,dr493,"[{'key': 'taxonID', 'value': '1632'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Atrichornithidae'}, {'key': 'vernacular name', 'value': 'rufous scrub-bird'}, {'key': 'scientificNameAuthorship', 'value': '(Ramsay, 1867)'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1632,Animalia,Aves,Atrichornithidae,rufous scrub-bird,"(Ramsay, 1867)",V,Y,Vulnerable,Australian endemic,Endangered
4041059,Pezoporus occidentalis,Night Parrot,Pezoporus occidentalis,https://biodiversity.org.au/afd/taxa/c630f3b0-528a-4686-a2a1-73113135f214,dr493,"[{'key': 'taxonID', 'value': '1133'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Psittacidae'}, {'key': 'vernacular name', 'value': 'night parrot'}, {'key': 'scientificNameAuthorship', 'value': 'Gould, 1861'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1133,Animalia,Aves,Psittacidae,night parrot,"Gould, 1861",E,Y,Endangered,Australian endemic,Endangered
4040822,Turnix olivii,Buff-breasted Button-quail,Turnix (Austroturnix) olivii,https://biodiversity.org.au/afd/taxa/e26aef43-95fe-434b-8984-8866d6671d95,dr493,"[{'key': 'taxonID', 'value': '1093'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Turnicidae'}, {'key': 'vernacular name', 'value': 'buff-breasted button-quail'}, {'key': 'scientificNameAuthorship', 'value': 'Robinson, 1900'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'endemicity', 'value': 'Queensland endemic'}, {'key': 'epbcStatus', 'value': 'Endangered'}]",1093,Animalia,Aves,Turnicidae,buff-breasted button-quail,"Robinson, 1900",E,Y,Endangered,Queensland endemic,Endangered
4040274,Falco hypoleucos,Grey Falcon,Falco (Hierofalco) hypoleucos,https://biodiversity.org.au/afd/taxa/4c73a934-63ae-417d-af40-56a82ae68371,dr493,"[{'key': 'taxonID', 'value': '1705'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Aves'}, {'key': 'family', 'value': 'Falconidae'}, {'key': 'vernacular name', 'value': 'grey falcon'}, {'key': 'scientificNameAuthorship', 'value': 'Gould, 1841'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Australian endemic'}, {'key': 'epbcStatus', 'value': 'Vulnerable'}]",1705,Animalia,Aves,Falconidae,grey falcon,"Gould, 1841",V,Y,Vulnerable,Australian endemic,Vulnerable
4040707,Hoplocephalus stephensii,Stephens' Banded Snake,Hoplocephalus stephensii,https://biodiversity.org.au/afd/taxa/943a1d1b-8d2a-413e-bd63-9112c560cf2e,dr493,"[{'key': 'taxonID', 'value': '481'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Elapidae'}, {'key': 'vernacular name', 'value': ""Stephens' banded snake""}, {'key': 'scientificNameAuthorship', 'value': 'Krefft, 1869'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",481,Animalia,Reptilia,Elapidae,Stephens' banded snake,"Krefft, 1869",C,N,Least concern,Australian endemic,
4040336,Aspidites ramsayi,Woma,Aspidites ramsayi,https://biodiversity.org.au/afd/taxa/7066fe38-8828-485b-b553-e4f97b2e4271,dr493,"[{'key': 'taxonID', 'value': '541'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Boidae'}, {'key': 'vernacular name', 'value': 'woma'}, {'key': 'scientificNameAuthorship', 'value': '(Macleay, 1882)'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Australian endemic'}]",541,Animalia,Reptilia,Boidae,woma,"(Macleay, 1882)",NT,Y,Near Threatened,Australian endemic,
4041054,Morelia viridis,Green Python,Morelia viridis,https://biodiversity.org.au/afd/taxa/baef28a0-f4f8-4c6f-aead-2228f9b07ee6,dr493,"[{'key': 'taxonID', 'value': '520'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Boidae'}, {'key': 'vernacular name', 'value': 'green python'}, {'key': 'scientificNameAuthorship', 'value': '(Schlegel, 1872)'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'endemicity', 'value': 'Naturally occurs in Australia and overseas'}]",520,Animalia,Reptilia,Boidae,green python,"(Schlegel, 1872)",NT,Y,Near Threatened,Naturally occurs in Australia and overseas,
4040484,Calyptotis thorntonensis,Thornton Peak Calyptotis,Calyptotis thorntonensis,https://biodiversity.org.au/afd/taxa/f6b2966b-d96b-4361-b8f5-f5b4da48a392,dr493,"[{'key': 'taxonID', 'value': '315'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Scincidae'}, {'key': 'vernacular name', 'value': 'Thornton Peak calyptotis'}, {'key': 'scientificNameAuthorship', 'value': 'Greer, 1983'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Queensland endemic'}]",315,Animalia,Reptilia,Scincidae,Thornton Peak calyptotis,"Greer, 1983",C,N,Least concern,Queensland endemic,
4041070,Carlia wundalthini,Cape Melville Rainbow Skink,Carlia wundalthini,https://biodiversity.org.au/afd/taxa/e072f77f-5deb-48cb-acc7-020c09fdffd1,dr493,"[{'key': 'taxonID', 'value': '35480'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Scincidae'}, {'key': 'vernacular name', 'value': 'Cape Melville rainbow skink'}, {'key': 'scientificNameAuthorship', 'value': 'Hoskin, 2014'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Queensland endemic'}]",35480,Animalia,Reptilia,Scincidae,Cape Melville rainbow skink,"Hoskin, 2014",C,N,Least concern,Queensland endemic,
4040689,Egernia rugosa,Yakka Skink,Egernia rugosa,https://biodiversity.org.au/afd/taxa/d44604b6-9bd4-4ad7-b2db-eb53b9ccdf7a,dr493,"[{'key': 'taxonID', 'value': '227'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Scincidae'}, {'key': 'vernacular name', 'value': 'yakka skink'}, {'key': 'scientificNameAuthorship', 'value': 'De Vis, 1888'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'significant', 'value': 'Y'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'endemicity', 'value': 'Queensland endemic'}, {'key': 'epbcStatus', 'value': 'Vulnerable'}]",227,Animalia,Reptilia,Scincidae,yakka skink,"De Vis, 1888",V,Y,Vulnerable,Queensland endemic,Vulnerable
4040263,Glaphyromorphus clandestinus,Mt Elliot Skink,Glaphyromorphus clandestinus,https://biodiversity.org.au/afd/taxa/8119d6dd-c16a-418b-971b-f41de855ba36,dr493,"[{'key': 'taxonID', 'value': '29318'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Scincidae'}, {'key': 'vernacular name', 'value': 'Mt Elliot skink'}, {'key': 'scientificNameAuthorship', 'value': 'Hoskin & Couper, 2004'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Queensland endemic'}]",29318,Animalia,Reptilia,Scincidae,Mt Elliot skink,"Hoskin & Couper, 2004",C,N,Least concern,Queensland endemic,
4041021,Glaphyromorphus othelarrni,Cape Melville Bar-lipped Skink,Glaphyromorphus othelarrni,https://biodiversity.org.au/afd/taxa/8e6ae7c5-8f54-433c-a4ae-6091bb53fc36,dr493,"[{'key': 'taxonID', 'value': '35478'}, {'key': 'kingdom', 'value': 'Animalia'}, {'key': 'class', 'value': 'Reptilia'}, {'key': 'family', 'value': 'Scincidae'}, {'key': 'vernacular name', 'value': 'Cape Melville bar-lipped skink'}, {'key': 'scientificNameAuthorship', 'value': 'Hoskin & Couper, 2014'}, {'key': 'sourceStatus', 'value': 'C'}, {'key': 'significant', 'value': 'N'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'endemicity', 'value': 'Queensland endemic'}]",35478,Animalia,Reptilia,Scincidae,Cape Melville bar-lipped skink,"Hoskin & Couper, 2014",C,N,Least concern,Queensland endemic,
