id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation
4349220,Paralucia spinifera,Bathurst Copper Wing,Paralucia spinifera,https://biodiversity.org.au/afd/taxa/1934e752-4ffa-4c22-8949-c4f90b33058b,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349394,Pseudalmenus chlorinda,Silky Hairstreak,Pseudalmenus chlorinda,https://biodiversity.org.au/afd/taxa/394d705d-cf02-46e9-b7a6-87c8e371cfde,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349379,Toxidia peron,Large Dingy Skipper,Toxidia peron,https://biodiversity.org.au/afd/taxa/724c2f19-0824-4cdb-9186-9e486661d8e9,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349282,Euastacus armatus,Murray River Crayfish,Euastacus armatus,https://biodiversity.org.au/afd/taxa/98156289-1be9-4804-8de1-34104c4b3abb,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349339,Euastacus crassus,Alpine Spiny Crayfish,Euastacus crassus,https://biodiversity.org.au/afd/taxa/62e9a5cb-122f-41bc-9d63-faa267b0213e,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349295,Euastacus rieki,Freshwater Crayfish Or Yabby,Euastacus rieki,https://biodiversity.org.au/afd/taxa/fd8f3304-e811-422d-bacd-7e80facb6e4e,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349375,Austroaeschna flavomaculata,Alpine Darner Dragonfly,Austroaeschna (Austroaeschna) flavomaculata,https://biodiversity.org.au/afd/taxa/6033897c-60f1-487e-a5de-5d18501063ef,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349250,Austropetalia tonyana,,Austropetalia tonyana,https://biodiversity.org.au/afd/taxa/321b5490-3fa1-4ec3-a9ad-60d60e4a6989,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349218,Maratus harrisi,,Maratus harrisi,https://biodiversity.org.au/afd/taxa/178f6298-5813-4d85-8615-372ba303cacd,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349284,Bettongia gaimardi,Tasmanian Bettong,Bettongia gaimardi,https://biodiversity.org.au/afd/taxa/19c9bfdf-0fbd-4b1b-a7c4-64498290d059,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349364,Cervus elaphus,Red Deer,Cervus elaphus,https://biodiversity.org.au/afd/taxa/70943adf-8589-40e9-8338-7ba862074b86,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349202,Cervus unicolor,Sambar,Cervus unicolor,https://biodiversity.org.au/afd/taxa/fcd3d838-a4e7-4402-ab20-3a7454b6db16,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349334,Dama dama,Fallow Deer,Dama dama,https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1,dr2627,"[{'key': 'generalisation', 'value': '1km'}]",1km
