"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Dendrobium affine","https://id.biodiversity.org.au/name/apni/84857","Dendrobium affine","Orchidaceae",,"(Decne.) Steud.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","37682",,,
"Lyperanthus suaveolens","https://id.biodiversity.org.au/name/apni/101038","Lyperanthus suaveolens","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12782","brown beaks",,
"Taudactylus rheophilus","urn:lsid:biodiversity.org.au:afd.taxon:5d2a30f5-deea-467d-9275-880116222f0b","Taudactylus rheophilus","Myobatrachidae",,"Liem & Hosmer, 1973","Animalia","Amphibia","Myobatrachidae","E","Endangered wildlife","Y","Queensland endemic","656","northern tinkerfrog","E","Endangered"
"Dendrobium 'Mauna Kea'","ALA_Dendrobium_Mauna_Kea","Dendrobium 'Mauna Kea'",,,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","38443",,,
"Nepenthes jardinei","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,,"Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Queensland endemic","40151",,,
"Oberonia flavescens","https://id.biodiversity.org.au/name/apni/205301","Oberonia flavescens","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae",,,"N","Queensland endemic","35334",,,
"Magmellia luteilateralis","ALA_Magmellia_luteilateralis","Magmellia luteilateralis","Scincidae",,"(Covacevich & McDonald, 1980)","Animalia","Reptilia","Scincidae","V","Vulnerable wildlife","Y","Queensland endemic","187","orange-speckled forest-skink",,
"Grastidium cancroides","https://id.biodiversity.org.au/name/apni/60237","Grastidium cancroides","Orchidaceae",,"(T.E.Hunt) Rauschert","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","19449",,,
"Huperzia serrata","https://id.biodiversity.org.au/node/apni/2895756","Huperzia serrata","Lycopodiaceae",,"(Thunb. ex Murray) Trevis.","Plantae","Equisetopsida","Lycopodiaceae","PE","Extinct in the wild wildlife","Y","Naturally occurs in Queensland and overseas","12357",,"EX","Extinct"
"Dendrobium discolor","https://id.biodiversity.org.au/name/apni/85416","Dendrobium discolor","Orchidaceae",,"Lindl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","12828",,,
"Phlegmariurus carinatus","https://id.biodiversity.org.au/node/apni/2889787","Phlegmariurus carinatus","Lycopodiaceae",,"(Desv. ex Poir.) Ching","Plantae","Equisetopsida","Lycopodiaceae","E","Endangered wildlife","Y","Naturally occurs in Queensland and overseas","34745",,"E","Endangered"
"Prasophyllum campestre","https://id.biodiversity.org.au/name/apni/117499","Prasophyllum campestre","Orchidaceae",,"R.J.Bates & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","7908",,,
"Aponogeton elongatus","https://id.biodiversity.org.au/taxon/apni/51266799","Aponogeton elongatus","Aponogetonaceae",,"F.Muell. ex Benth.","Plantae","Equisetopsida","Aponogetonaceae","NT","Near threatened wildlife","Y","XU","12437",,,
"Dendrobium toressae","https://id.biodiversity.org.au/name/apni/86769","Dendrobium toressae","Orchidaceae",,"(F.M.Bailey) Dockrill","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12841",,,
"Tainia trinervis","https://id.biodiversity.org.au/name/apni/118394","Tainia trinervis","Orchidaceae",,"(Blume) Rchb.f.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","9081",,,
"Phlegmariurus delbrueckii","https://id.biodiversity.org.au/name/apni/51288377","Phlegmariurus delbrueckii","Lycopodiaceae",,"(Herter) A.R.Field & Bostock","Plantae","Equisetopsida","Lycopodiaceae","V","Vulnerable wildlife","Y","Queensland endemic","36497",,,
"Bulbophyllum lageniforme","https://id.biodiversity.org.au/name/apni/69570","Bulbophyllum lageniforme","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13486",,,
"Cyathea felina","https://id.biodiversity.org.au/node/apni/2897879","Cyathea felina","Cyatheaceae",,"(Roxb.) C.V.Morton","Plantae","Equisetopsida","Cyatheaceae","E","Endangered wildlife","Y","Naturally occurs in Queensland and overseas","14651",,,
"Dendrobium uniflos","https://id.biodiversity.org.au/name/apni/86841","Dendrobium uniflos","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39952",,,
"Arthrochilus rosulatus","https://id.biodiversity.org.au/name/apni/117342","Arthrochilus rosulatus","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7933",,,
"Nepenthes mirabilis","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"(Lour.) Druce","Plantae","Equisetopsida","Nepenthaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","16622","tropical pitcher plant",,
"Bryobium irukandjianum","https://id.biodiversity.org.au/name/apni/176952","Bryobium irukandjianum","Orchidaceae",,"(St.Cloud) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","32737",,,
"Pterostylis sp. (Mt Maroon J.R.Clarkson+ 1114)","https://id.biodiversity.org.au/name/apni/232219","Pterostylis sp. Mt Maroon (J.R.Clarkson+ 1114)","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","6688",,,
"Thelasis carinata","https://id.biodiversity.org.au/name/apni/96465","Thelasis carinata","Orchidaceae",,"Blume","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12673",,,
"Cadetia collinsii","https://id.biodiversity.org.au/name/apni/89502","Cadetia collinsii","Orchidaceae",,"Lavarack","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","9697",,,
"Apostasia","https://id.biodiversity.org.au/node/apni/2904171","Apostasia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","11219",,,
"Acriopsis","https://id.biodiversity.org.au/node/apni/2915141","Acriopsis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20094",,,
"Lerista allanae","urn:lsid:biodiversity.org.au:afd.taxon:906e5ef8-64f7-460f-b3b0-3518ae3390f3","Lerista allanae","Scincidae",,"(Longman, 1937)","Animalia","Reptilia","Scincidae","E","Endangered wildlife","Y","Queensland endemic","161","Allan's lerista","E","Endangered"
"Corunastylis","https://id.biodiversity.org.au/name/apni/81548","Corunastylis","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","36427",,,
"Taudactylus eungellensis","urn:lsid:biodiversity.org.au:afd.taxon:134081e8-0768-441a-bf41-722c82406791","Taudactylus eungellensis","Myobatrachidae",,"Liem & Hosmer, 1973","Animalia","Amphibia","Myobatrachidae","E","Endangered wildlife","Y","Queensland endemic","653","Eungella dayfrog","E","Endangered"
"Mobilabium","https://id.biodiversity.org.au/node/apni/2896545","Mobilabium","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","21094",,,
"Pterostylis baptistii","https://id.biodiversity.org.au/name/apni/74161","Pterostylis baptistii","Orchidaceae",,"Fitzg.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","16345","king greenhood",,
"Thelymitra","https://id.biodiversity.org.au/taxon/apni/51291032","Thelymitra","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","13082",,,
"Eria inornata","https://id.biodiversity.org.au/name/apni/91321","Eria inornata","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39924",,,
