"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Thelymitra media var. media","https://id.biodiversity.org.au/name/apni/115940","Thelymitra media var. media","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12674","tall sun orchid",,
"Corunastylis parvicalla","https://id.biodiversity.org.au/name/apni/178833","Corunastylis parvicalla","Orchidaceae",,"(Rupp) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","27539",,,
"Oberonia","https://id.biodiversity.org.au/node/apni/2910656","Oberonia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","21157",,,
"Antrophyum plantagineum","https://id.biodiversity.org.au/node/apni/2914164","Antrophyum plantagineum","Pteridaceae",,"(Cav.) Kaulf.","Plantae","Equisetopsida","Pteridaceae","NT","Near threatened wildlife","Y","Naturally occurs in Queensland and overseas","14034",,,
"Phlegmariurus squarrosus","https://id.biodiversity.org.au/node/apni/2916196","Phlegmariurus squarrosus","Lycopodiaceae",,"(G.Forst.) A.Love & D.Love","Plantae","Equisetopsida","Lycopodiaceae","CR","Critically endangered wildlife","Y","Naturally occurs in Australia and overseas","34780","water tassel-fern","CE","Critically endangered"
"Corunastylis tecta","https://id.biodiversity.org.au/node/apni/2908787","Genoplesium tectum","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","27546","Cardwell midge orchid","E","Endangered"
"Corunastylis pedersonii","https://id.biodiversity.org.au/name/apni/6273462","Corunastylis pedersonii","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","27540",,,
"Oberonia carnosa","https://id.biodiversity.org.au/name/apni/84620","Oberonia carnosa","Orchidaceae",,"Lavarack","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","10464",,,
"Glossodia","https://id.biodiversity.org.au/node/apni/2921168","Glossodia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20775",,,
"Aspidites ramsayi","urn:lsid:biodiversity.org.au:afd.taxon:7066fe38-8828-485b-b553-e4f97b2e4271","Aspidites ramsayi","Pythonidae",,"(Macleay, 1882)","Animalia","Reptilia","Boidae","NT","Near threatened wildlife","Y","Australian endemic","541","woma",,
"Caladenia fuscata","https://id.biodiversity.org.au/name/apni/91461","Caladenia fuscata","Orchidaceae",,"(Rchb.f.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","8247",,,
"Corunastylis cranei","https://id.biodiversity.org.au/name/apni/169203","Corunastylis cranei","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","27535",,,
"Taeniophyllum muelleri","https://id.biodiversity.org.au/name/apni/66101","Taeniophyllum muelleri","Orchidaceae",,"Lindl. ex Benth.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","9840",,,
"Habenaria","https://id.biodiversity.org.au/node/apni/2888632","Habenaria","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","12817",,,
"Phaius pictus","https://id.biodiversity.org.au/node/apni/2918182","Phaius pictus","Orchidaceae",,"T.E.Hunt","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","12724",,"V","Vulnerable"
"Diuris","https://id.biodiversity.org.au/taxon/apni/51290527","Diuris","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","12798",,,
"Pinalia kingii","https://id.biodiversity.org.au/name/apni/198022","Pinalia kingii","Orchidaceae",,"(F.Muell.) Kuntze","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","36405",,,
"Corunastylis alticola","https://id.biodiversity.org.au/name/apni/178816","Corunastylis alticola","Orchidaceae",,"(D.L.Jones & B.Gray) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","27532",,,
"Cycas media","https://id.biodiversity.org.au/node/apni/2889358","Cycas media","Cycadaceae",,"R.Br.","Plantae","Equisetopsida","Cycadaceae","C","Least concern wildlife","N","Queensland endemic","17503",,,
"Diuris sulphurea","https://id.biodiversity.org.au/name/apni/96803","Diuris sulphurea","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","14608","tiger orchid",,
"Elseya irwini","urn:lsid:biodiversity.org.au:afd.taxon:00a639e3-ddd3-4273-b8a2-d966e52a33aa","Elseya (Pelocomastes) irwini","Chelidae",,"Cann, 1997","Animalia","Reptilia","Chelidae","C","Least concern wildlife","N","Queensland endemic","18454","Irwin's turtle",,
"Diuris punctata var. punctata","https://id.biodiversity.org.au/name/apni/96378","Diuris punctata var. punctata","Orchidaceae",,"Sm.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9445",,,
"Pterostylis revoluta","https://id.biodiversity.org.au/name/apni/75521","Pterostylis revoluta","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","16348","autumn greenhood",,
"Dendrobium giddinsii","https://id.biodiversity.org.au/name/apni/85581","Dendrobium giddinsii","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39948",,,
"Macadamia jansenii","https://id.biodiversity.org.au/node/apni/2904937","Macadamia jansenii","Proteaceae",,"C.L.Gross & P.H.Weston","Plantae","Equisetopsida","Proteaceae","E","Endangered wildlife","Y","Queensland endemic","8185",,"E","Endangered"
"Lastreopsis walleri","https://id.biodiversity.org.au/node/apni/2892120","Lastreopsis walleri","Dryopteridaceae",,"Tindale","Plantae","Equisetopsida","Dryopteridaceae","V","Vulnerable wildlife","Y","Queensland endemic","9868",,"V","Vulnerable"
"Habenaria millari","https://id.biodiversity.org.au/name/apni/106479","Habenaria millari","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39921",,,
"Cycas platyphylla","https://id.biodiversity.org.au/node/apni/2889516","Cycas platyphylla","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","V","Vulnerable wildlife","Y","Queensland endemic","8897",,"V","Vulnerable"
"Zeuxine","https://id.biodiversity.org.au/node/apni/2906330","Zeuxine","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","21765",,,
"Macrozamia lomandroides","https://id.biodiversity.org.au/node/apni/2889844","Macrozamia lomandroides","Zamiaceae",,"D.L.Jones","Plantae","Equisetopsida","Zamiaceae","E","Endangered wildlife","Y","Queensland endemic","8511",,"E","Endangered"
"Acianthus amplexicaulis","https://id.biodiversity.org.au/name/apni/73150","Acianthus amplexicaulis","Orchidaceae",,"(F.M.Bailey) Rolfe","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13476",,,
"Turnix olivii","urn:lsid:biodiversity.org.au:afd.taxon:66c9a287-d340-48d8-a2c3-d90985ed6b2d","Turnix (Austroturnix) olivii","Turnicidae",,"Robinson, 1900","Animalia","Aves","Turnicidae","E","Endangered wildlife","Y","Queensland endemic","1093","buff-breasted button-quail","E","Endangered"
"Orthoceras",,,,,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","21191",,,
"Pteridoblechnum acuminatum","https://id.biodiversity.org.au/taxon/apni/51269475","Blechnum reticulatum","Blechnaceae",,"(C.T.White & Goy) Hennipman","Plantae","Equisetopsida","Blechnaceae","NT","Near threatened wildlife","Y","Queensland endemic","21892",,,
"Pterostylis torquata","https://id.biodiversity.org.au/name/apni/178872","Pterostylis torquata","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","35660",,,
"Appendicula","https://id.biodiversity.org.au/node/apni/2909892","Appendicula","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","XU","20195",,,
"Cycas tuckeri","https://id.biodiversity.org.au/node/apni/2919760","Cycas tuckeri","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","V","Vulnerable wildlife","Y","Queensland endemic","5937",,,
"Dockrillia calamiformis","https://id.biodiversity.org.au/name/apni/169537","Dockrillia calamiformis","Orchidaceae",,"(Lodd.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","5762",,,
"Erythrura gouldiae","urn:lsid:biodiversity.org.au:afd.taxon:21dc0ca1-1639-496b-ba41-e2903491b666","Erythrura (Chloebia) gouldiae","Estrildidae",,"(Gould, 1844)","Animalia","Aves","Estrildidae","E","Endangered wildlife","Y","Australian endemic","1376","Gouldian finch","E","Endangered"
"Saccolabium virgatum","https://id.biodiversity.org.au/name/apni/102802","Saccolabium virgatum","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39907",,,
"Aponogeton elongatus subsp. elongatus","https://id.biodiversity.org.au/node/apni/2919039","Aponogeton elongatus subsp. elongatus","Aponogetonaceae",,"F.Muell. ex Benth.","Plantae","Equisetopsida","Aponogetonaceae","NT","Near threatened wildlife","Y","Australian endemic","21902",,,
"Tectaria siifolia","https://id.biodiversity.org.au/node/apni/2888409","Tectaria siifolia","Tectariaceae",,"(Willd.) Copel.","Plantae","Equisetopsida","Tectariaceae","V","Vulnerable wildlife","Y","Naturally occurs in Australia and overseas","12027",,,
"Dockrillia brevicauda","https://id.biodiversity.org.au/name/apni/178986","Dockrillia brevicauda","Orchidaceae",,"(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","5766",,,
"Rhizanthella omissa","https://id.biodiversity.org.au/name/apni/199611","Rhizanthella omissa","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","30870",,,
"Drosera buubugujin",,,,,"M.T.Mathieson","Plantae","Equisetopsida","Droseraceae","C","Least concern wildlife","N","Queensland endemic","41407",,,
"Hylacola pyrrhopygia","ALA_Hylacola_pyrrhopygia","Hylacola pyrrhopygia","Acanthizidae",,"(Vigors & Horsfield, 1827)","Animalia","Aves","Acanthizidae","C","Least concern wildlife","N","Australian endemic","1399","chestnut-rumped heathwren",,
"Aphyllorchis anomala","https://id.biodiversity.org.au/name/apni/97187","Aphyllorchis anomala","Orchidaceae",,"Dockrill","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","9881",,,
"Cadetia wariana","https://id.biodiversity.org.au/name/apni/89540","Cadetia wariana","Orchidaceae",,"Schltr.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","13493",,,
"Pterostylis whitei","https://id.biodiversity.org.au/name/apni/76077","Pterostylis whitei","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39917",,,
"Liparis mowbulana","https://id.biodiversity.org.au/name/apni/65884","Liparis mowbulana","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39914",,,
"Cryptostylis leptochila","https://id.biodiversity.org.au/name/apni/89013","Cryptostylis leptochila","Orchidaceae",,"F.Muell. ex Benth.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9617","small tongue orchid",,
"Drymoanthus","https://id.biodiversity.org.au/node/apni/2916333","Drymoanthus","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20636",,,
"Wollumbinia belli","urn:lsid:biodiversity.org.au:afd.taxon:1a85a82f-5a1f-4c56-9f04-918643461260","Wollumbinia belli","Chelidae",,"(Gray, 1844)","Animalia","Reptilia","Chelidae","V","Vulnerable wildlife","Y","Australian endemic","22659","Bell's turtle","V","Vulnerable"
"Litoria myola","urn:lsid:biodiversity.org.au:afd.taxon:17551719-97f7-4ad4-8c30-30d25b4d77d8","Litoria myola","Hylidae",,"Hoskin, 2007","Animalia","Amphibia","Hylidae","CR","Critically endangered wildlife","Y","Queensland endemic","31630","Kuranda treefrog","CE","Critically endangered"
"Pseudophryne covacevichae","urn:lsid:biodiversity.org.au:afd.taxon:019f5d1c-2a0c-4c53-98b6-dad6130c9267","Pseudophryne covacevichae","Myobatrachidae",,"Ingram & Corben, 1994","Animalia","Amphibia","Myobatrachidae","V","Vulnerable wildlife","Y","Queensland endemic","660","magnificent broodfrog","V","Vulnerable"
"Corunastylis tenella","https://id.biodiversity.org.au/name/apni/242334","Corunastylis tenella","Orchidaceae",,"D.L.Jones & L.M.Copel.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36568",,,
"Pterostylis daintreana","https://id.biodiversity.org.au/name/apni/226110","Pterostylis daintreeana","Orchidaceae",,"F.Muell. ex Benth.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13105",,,
"Dendrobium speciosum var. delicatum","https://id.biodiversity.org.au/taxon/apni/51305036","Dendrobium x delicatum","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","40381",,,
"Plexaure crassiuscula","https://id.biodiversity.org.au/name/apni/189055","Plexaure crassiuscula","Orchidaceae",,"(Nicholls) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","30802",,,
"Pterostylis crassichila","https://id.biodiversity.org.au/name/apni/123185","Pterostylis crassichila","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","31907",,,
"Calochilus campestris","https://id.biodiversity.org.au/name/apni/98962","Calochilus campestris","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","14140","copper beard orchid",,
"Dendrobium johannis","https://id.biodiversity.org.au/node/apni/2896253","Cepobaculum johannis","Orchidaceae",,"Rchb.f.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","17451","brown antelope orchid","V","Vulnerable"
"Phyllurus amnicola","urn:lsid:biodiversity.org.au:afd.taxon:f128b274-c396-40da-8b3b-dac475e0308a","Phyllurus amnicola","Carphodactylidae",,"Hoskin, Couper, Schneider & Covacevich 2000","Animalia","Reptilia","Carphodactylidae","C","Least concern wildlife","N","Queensland endemic","22412","Mount Elliot broad-tailed gecko",,
"Dendrobium kingianum","https://id.biodiversity.org.au/taxon/apni/51316787","Dendrobium kingianum","Orchidaceae",,"Bidwill ex Lindl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","22382",,,
"Tainia","https://id.biodiversity.org.au/node/apni/2919607","Tainia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","21587",,,
"Cestichis angustilabris","https://id.biodiversity.org.au/name/apni/196161","Cestichis angustilabris","Orchidaceae",,"(F.Muell.) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36398",,,
"Cycas ophiolitica","https://id.biodiversity.org.au/node/apni/2914888","Cycas ophiolitica","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","E","Endangered wildlife","Y","Queensland endemic","8437","Marlborough blue","E","Endangered"
"Cadetia clausa","https://id.biodiversity.org.au/name/apni/206420","Cadetia clausa","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","32313",,,
"Huperzia","https://id.biodiversity.org.au/node/apni/2915577","Huperzia","Lycopodiaceae",,,"Plantae","Equisetopsida","Lycopodiaceae",,,"N","Native to Queensland - endemicity not defined","8163",,,
"Calochilus gracillimus","https://id.biodiversity.org.au/name/apni/98998","Calochilus gracillimus","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae",,,,"XU","8547","slender beard orchid",,
"Dendrobium speciosum subsp. curvicaule","https://id.biodiversity.org.au/taxon/apni/51316815","Dendrobium speciosum subsp. curvicaule","Orchidaceae",,"(F.M.Bailey) D.P.Banks & Clemesha","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13975",,,
"Phyllurus kabikabi","urn:lsid:biodiversity.org.au:afd.taxon:2e3a3aac-fd06-4dec-8749-5ecb76cf9954","Phyllurus kabikabi","Carphodactylidae",,"Couper, Hamley & Hoskin 2008","Animalia","Reptilia","Carphodactylidae","CR","Critically endangered wildlife","Y","Queensland endemic","31986","Oakview leaf-tailed gecko",,
"Grammitis reinwardtii","https://id.biodiversity.org.au/node/apni/2894117","Oreogrammitis reinwardtii","Grammitidaceae",,"Blume","Plantae","Equisetopsida","Polypodiaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","17073",,"V","Vulnerable"
"Rhinerrhizopsis matutina","https://id.biodiversity.org.au/node/apni/2918122","Rhinerrhizopsis matutina","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","33076",,"V","Vulnerable"
"Sarcochilus weinthalii","https://id.biodiversity.org.au/node/apni/2890229","Sarcochilus weinthalii","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","12661","blotched sarcochilus","V","Vulnerable"
"Bromheadia","https://id.biodiversity.org.au/node/apni/2894867","Bromheadia","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","20317",,,
"Sarcochilus falcatus","https://id.biodiversity.org.au/name/apni/62943","Sarcochilus falcatus","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12709","orange blossom orchid",,
"Selenocosmia strenua","urn:lsid:biodiversity.org.au:afd.taxon:86543abe-0ce5-49a2-9372-4a9bb9a0678e","Selenocosmia strenua","Theraphosidae",,"(Thorell, 1881)","Animalia","Arachnida","Theraphosidae","C","Least concern wildlife","N","Queensland endemic","29182",,,
"Pachystoma pubescens","https://id.biodiversity.org.au/name/apni/109831","Pachystoma pubescens","Orchidaceae",,"Blume","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","8553",,,
"Bromheadia pulchra","https://id.biodiversity.org.au/name/apni/67633","Bromheadia pulchra","Orchidaceae",,"Schltr.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","5601",,,
"Dockrillia wassellii","https://id.biodiversity.org.au/name/apni/181527","Dockrillia wassellii","Orchidaceae",,"(S.T.Blake) Brieger","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","18387",,,
"Sarcochilus dilatatus","https://id.biodiversity.org.au/name/apni/62881","Sarcochilus dilatatus","Orchidaceae",,"F.Muell.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12659","brown sarcochilus",,
"Acianthus caudatus","https://id.biodiversity.org.au/name/apni/73167","Acianthus caudatus","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13477","mayfly orchid",,
"Pterostylis cycnocephala","https://id.biodiversity.org.au/node/apni/2903608","Pterostylis ziegeleri","Orchidaceae",,"Fitzg.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12702","swan greenhood",,
"Grastidium insigne","https://id.biodiversity.org.au/name/apni/125923","Grastidium insigne","Orchidaceae",,"(Blume) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","19451",,,
"Phlegmariurus filiformis","https://id.biodiversity.org.au/node/apni/2896005","Phlegmariurus filiformis","Lycopodiaceae",,"(Sw.) W.H.Wagner","Plantae","Equisetopsida","Lycopodiaceae","C","Least concern wildlife","Y","XU","34749",,"E","Endangered"
"Taeniophyllum epacridicola","https://id.biodiversity.org.au/taxon/apni/51291020","Taeniophyllum epacridicola","Orchidaceae",,"B.Gray","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36337",,,
"Rheodytes leukops","urn:lsid:biodiversity.org.au:afd.taxon:364e7d1c-d626-4b67-98b7-3608828b0dae","Rheodytes leukops","Chelidae",,"Legler & Cann, 1980","Animalia","Reptilia","Chelidae","V","Vulnerable wildlife","Y","Queensland endemic","48","Fitzroy River turtle","V","Vulnerable"
"Vanda hindsii","https://id.biodiversity.org.au/node/apni/2889494","Vanda hindsii","Orchidaceae",,"Lindl.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12680","Cape York vanda","V","Vulnerable"
"Dipodium ensifolium","https://id.biodiversity.org.au/name/apni/79449","Dipodium ensifolium","Orchidaceae",,"F.Muell.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12846","leafy hyacinth orchid",,
"Caladenia amnicola","https://id.biodiversity.org.au/name/apni/171412","Caladenia amnicola","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","32546",,,
"Taeniophyllum malianum","https://id.biodiversity.org.au/name/apni/66078","Taeniophyllum malianum","Orchidaceae",,"Schltr.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","12670",,,
"Corunastylis psammophila","https://id.biodiversity.org.au/name/apni/178834","Corunastylis psammophila","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","27541",,,
"Calochilus paludosus","https://id.biodiversity.org.au/name/apni/99067","Calochilus paludosus","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13288","red beard orchid",,
"Pomatocalpa macphersonii","https://id.biodiversity.org.au/name/apni/113545","Pomatocalpa macphersonii","Orchidaceae",,"(F.Muell.) T.E.Hunt","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12735",,,
"Peristylus candidus","https://id.biodiversity.org.au/name/apni/92673","Peristylus candidus","Orchidaceae",,"J.J.Sm.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12720",,,
"Dockrillia pugioniformis","https://id.biodiversity.org.au/name/apni/147399","Dockrillia pugioniformis","Orchidaceae",,"(A.Cunn.) Rauschert","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","5799","dagger orchid",,
"Erythrura trichroa","urn:lsid:biodiversity.org.au:afd.taxon:64f01e51-e90b-4a19-9c20-62b9de54ca90","Erythrura (Acalanthe) trichroa","Estrildidae",,"(Kittlitz, 1835)","Animalia","Aves","Estrildidae","NT","Near threatened wildlife","Y","Naturally occurs in Australia and overseas","1378","blue-faced parrot-finch",,
"Apostasia wallichii","https://id.biodiversity.org.au/name/apni/97869","Apostasia wallichii","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","15686",,,
"Arthrochilus stenophyllus","https://id.biodiversity.org.au/name/apni/118297","Arthrochilus stenophyllus","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7935",,,
"Dendrobium x gracillimum","https://id.biodiversity.org.au/name/apni/241082","Dendrobium x gracillimum","Orchidaceae",,"(Rupp) Leaney","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9133",,,
"Sarcochilus platystachys","https://id.biodiversity.org.au/name/apni/63429","Sarcochilus platystachys","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39910",,,
"Pterostylis venusta",,,,,"(D.L.Jones) D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","41381",,,
"Pachycephala olivacea","urn:lsid:biodiversity.org.au:afd.taxon:ee167180-6567-427c-aeee-08a34afe7557","Pachycephala (Timixos) olivacea","Pachycephalidae",,"Vigors & Horsfield, 1827","Animalia","Aves","Pachycephalidae","C","Least concern wildlife","N","Australian endemic","1435","olive whistler",,
"Egernia rugosa","urn:lsid:biodiversity.org.au:afd.taxon:33916d2f-0d12-4dce-bd45-73ce89a7cdb6","Egernia rugosa","Scincidae",,"De Vis, 1888","Animalia","Reptilia","Scincidae","V","Vulnerable wildlife","Y","Queensland endemic","227","yakka skink","V","Vulnerable"
"Aponogeton lancesmithii","https://id.biodiversity.org.au/node/apni/2892842","Aponogeton lancesmithii","Aponogetonaceae",,"Hellq. & S.W.L.Jacobs","Plantae","Equisetopsida","Aponogetonaceae","E","Endangered wildlife","Y","Queensland endemic","21901",,,
"Bulbophyllum boonjee","https://id.biodiversity.org.au/name/apni/69438","Bulbophyllum boonjee","Orchidaceae",,"B.Gray & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","9437",,,
"Caladenia atroclavia","https://id.biodiversity.org.au/node/apni/2914177","Caladenia atroclavia","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","9298",,"E","Endangered"
"Dendrobium x vinicolor","https://id.biodiversity.org.au/node/apni/2889407","x Vappaculum x superbiens","Orchidaceae",,"St.Cloud","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","32035",,,
"Thelymitra fragrans","https://id.biodiversity.org.au/name/apni/115286","Thelymitra fragrans","Orchidaceae",,"D.L.Jones & M.A.Clem.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","9199",,,
"Bulbophyllum gadgarrense","https://id.biodiversity.org.au/name/apni/69525","Bulbophyllum gadgarrense","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13485",,,
"Pterostylis parviflora","https://id.biodiversity.org.au/taxon/apni/51290647","Pterostylis corpulenta","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","16347","tiny greenhood",,
"Saccolabiopsis armitii","https://id.biodiversity.org.au/name/apni/102541","Saccolabiopsis armitii","Orchidaceae",,"(F.Muell.) Dockrill","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12707",,,
"Spiranthes australis","ALA_Spiranthes_australis_sensu_Hook_f","Spiranthes australis sensu Hook.f.","Orchidaceae",,"(R.Br.) Lindl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","5003",,,
