name,scientificName_old,scientificName_new,commonName_old,commonName_new,listUpdate
Dasyurus maculatus maculatus,,Dasyurus maculatus maculatus,,Spot-tailed Quoll,added
Tympanocryptis lineata pinguicolla,,Tympanocryptis pinguicolla,,Grassland Earless Dragon,added
