name,scientificName_old,scientificName_new,commonName_old,commonName_new,listUpdate
Calyptorhynchus lathami lathami,,Calyptorhynchus (Calyptorhynchus) lathami lathami,,Glossy Black-cockatoo,added
Leionema lamprophyllum subsp. fractum,,Leionema lamprophyllum subsp. fractum,,,added
Danhatchia copelandii,,Danhatchia copelandii,,,added
Leionema lamprophyllum subsp. obovatum,Leionema lamprophyllum subsp. obovatum,,Shiny Leionema,,removed
Caladenia porphyrea,Caladenia quadrifaria,,,,removed
