name,scientificName_old,scientificName_new,commonName_old,commonName_new,listUpdate
Calyptorhynchus lathami,,Calyptorhynchus (Calyptorhynchus) lathami,,Glossy Black-cockatoo,added
Climacteris picumnus,,Climacteris (Climacteris) picumnus,,Brown Treecreeper,added
Dasyurus maculatus,,Dasyurus maculatus,,Spotted-tailed Quoll,added
Dasyurus maculatus maculatus,,Dasyurus maculatus maculatus,,Spot-tailed Quoll,added
Isoodon obesulus,,Isoodon obesulus,,Southern Brown Bandicoot,added
Mastacomys fuscus,,Mastacomys fuscus,,Broad-toothed Rat,added
Melanodryas cucullata ,,Melanodryas (Melanodryas) cucullata,,Hooded Robin,added
Tympanocryptis lineata pinguicolla,,Tympanocryptis pinguicolla,,Grassland Earless Dragon,added
