name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Calandrinia sp. Berry Springs (M.O. Parker 855) PN,,Calandrinia sp. Berry Springs (M.O.Parker 855),Priority 1: Poorly-known species,added,,,
Calandrinia sp. Cape Range (F. Obbens FO 10/18),,Calandrinia sp. Cape Range (F.Obbens FO 10/18),Priority 2: Poorly-known species,added,,,
Calandrinia sp. Hamelin Station (F. Obbens FO 02/20) PN,,,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Lennard River (W.V. Fitzgerald 739) PN,,,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Mt Vernon Station (T.L. Setter 427) PN,,,Priority 1: Poorly-known species,added,,,
Calandrinia sp. Nanutarra (F. Obbens FO 08/18),,Calandrinia sp. Nanutarra (F.Obbens FO 08/18),Priority 1: Poorly-known species,added,,,
Calandrinia sp. Torndirrup (S.D. Hopper et al. SDH 8712) PN,,Calandrinia sp. Torndirrup (S.D.Hopper et al. SDH 8712),Priority 2: Poorly-known species,added,,,
Calandrinia uncinella,,Calandrinia uncinella,Priority 1: Poorly-known species,added,,,
Calectasia grandiflora,Blue Tinsel Lily,Calectasia grandiflora,Priority 2: Poorly-known species,added,,,
Calytrix calingiri,,,Priority 3: Poorly-known species,added,,,
Calytrix djinda,,,Priority 1: Poorly-known species,added,,,
Calytrix insperata,Mundatharrda Calytrix,Calytrix insperata,Priority 2: Poorly-known species,added,,,
Calytrix platycheiridion,,,Priority 2: Poorly-known species,added,,,
Calytrix sp. Learmonth (S. Fox EMopp 1),,,Priority 1: Poorly-known species,added,,,
Calytrix sp. Wandana (G. Byrne 1750) PN,,,Priority 3: Poorly-known species,added,,,
Carpobrotus sp. Lateral Flowers (N. Gibson & M. Lyons 973) PN,,Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),Priority 2: Poorly-known species,added,,,
Chamelaucium erythrochlorum,,Chamelaucium sp. Yoongarillup (G.J.Keighery 3635),"Priority 4: Rare, Near Threatened",added,,,
Chamelaucium floriferum subsp. diffusum,,Chamelaucium sp. Nornalup (N.G.Marchant 76/125),Priority 2: Poorly-known species,added,,,
Chamelaucium floriferum subsp. floriferum,,Chamelaucium floriferum subsp. floriferum,Priority 2: Poorly-known species,added,,,
Chamelaucium forrestii,,Chamelaucium sp. Mt Frankland (A.S.George 11117),Priority 2: Poorly-known species,added,,,
Chamelaucium lullfitzii,Gingin Wax,Chamelaucium sp. Gingin (N.G.Marchant 6),Vulnerable,added,,,
Chamelaucium orarium,,Chamelaucium orarium,Priority 2: Poorly-known species,added,,,
Chamelaucium repens,,Chamelaucium sp. Canna (G.J.Keighery s.n. PERTH 02236435),Priority 1: Poorly-known species,added,,,
Chamelaucium roycei,Royce's Waxflower,Chamelaucium sp. S coastal plain (R.D.Royce 4872),Vulnerable,added,,,
Chamelaucium xanthocladum,,Chamelaucium xanthocladum,Priority 2: Poorly-known species,added,,,
Comesperma minutum,,Comesperma minutum,Priority 1: Poorly-known species,added,,,
Conostephium wonganense,,,Priority 1: Poorly-known species,added,,,
Conostylis sp. Watheroo (S.D. Hopper 7668) PN,,,Priority 2: Poorly-known species,added,,,
Convolvulus pyrophilus,,,Priority 1: Poorly-known species,added,,,
Corchorus fitzroyensis,Fitzroy River Corchorus,Corchorus fitzroyensis,Priority 3: Poorly-known species,added,,,
Corybas autumnalis,,Corybas autumnalis,Priority 2: Poorly-known species,added,,,
Corymbia chlorolampra,Mountain Marri,Corymbia haematoxylon,Priority 1: Poorly-known species,added,,,
Corynotheca acanthoclada,Spiny Zigzag Lily,Corynotheca acanthoclada,Priority 1: Poorly-known species,added,,,
Corynotheca flexuosissima,Compact Zigzag Lily,Corynotheca flexuosissima,Priority 3: Poorly-known species,added,,,
Crassula colorata var. miriamae,,Crassula colorata var. miriamae,Priority 2: Poorly-known species,added,,,
Cryptandra subtilis,No Petals Cryptandra,Cryptandra subtilis,Priority 3: Poorly-known species,added,,,
Cyanothamnus acanthocladus,,Cyanothamnus acanthocladus,Priority 2: Poorly-known species,added,,,
Cyanothamnus baeckeaceus subsp. patulus,,Cyanothamnus baeckeaceus subsp. patulus,Priority 1: Poorly-known species,added,,,
Cyanothamnus ramosus subsp. lesueuranus,,Cyanothamnus ramosus subsp. lesueuranus,Priority 2: Poorly-known species,added,,,
Cyanothamnus tenuis,Blue Boronia,Boronia tenuis,"Priority 4: Rare, Near Threatened",added,,,
Cyanothamnus westringioides,,Cyanothamnus westringioides,Priority 2: Poorly-known species,added,,,
Cyanthillium gracile,,Cyanthillium gracile,Priority 3: Poorly-known species,added,,,
Dampiera prasiolitica,Coolgardie Dampiera,Dampiera prasiolitica,Priority 1: Poorly-known species,added,,,
Darwinia sp. Bindoon (S. Patrick 281) PN,,Darwinia sp. Bindoon (S.Patrick 281),Priority 1: Poorly-known species,added,,,
Darwinia sp. Corrigin (T. Erickson TEE 308) PN,,Darwinia sp. Corrigin (T.Erickson TEE 308),Priority 2: Poorly-known species,added,,,
Darwinia sphaerica,Canna Darwinia,Darwinia sphaerica,Priority 2: Poorly-known species,added,,,
Deyeuxia abscondita,Preston Bentgrass,Deyeuxia abscondita,Priority 1: Poorly-known species,added,,,
Dielsiodoxa altimontana,,,Priority 2: Poorly-known species,added,,,
Dillwynia sp. Coujinup Hill (M.A. Burgman 1560),,Dillwynia sp. Coujinup Hill (M.A.Burgman 1560),Priority 1: Poorly-known species,added,,,
Dipodium basalticum,,Dipodium sp. Basalt Woodland (M.D.Barrett 198),Priority 1: Poorly-known species,added,,,
Dolichocarpa sp. Hamersley Station (A.A. Mitchell PRP 1479) PN,,,Priority 3: Poorly-known species,added,,,
Dopatrium junceum,,Dopatrium junceum,Priority 1: Poorly-known species,added,,,
Drosera oreopodion,,Drosera oreopodion,Priority 1: Poorly-known species,added,,,
Drosera radicans,,Drosera radicans,Priority 3: Poorly-known species,added,,,
Drosera rechingeri,,Drosera rechingeri,Priority 3: Poorly-known species,added,,,
Drosera sp. Kentdale (G.J. Bourke 458) PN,,,Priority 2: Poorly-known species,added,,,
Drosera sp. Lesueur National Park (C.A. Gardner 9350) PN,,,Priority 2: Poorly-known species,added,,,
Drosera sp. Yampi Peninsula (A.J.M. Hopkins BA 0248) PN,,,Priority 1: Poorly-known species,added,,,
Drummondita billyacatting,,,Priority 2: Poorly-known species,added,,,
