name,scientificName_old,scientificName_new,commonName_old,commonName_new,listUpdate
Calyptorhynchus (Catyptorhynchus) banksii,,Calyptorhynchus (Calyptorhynchus) banksii,,Red-tailed Black Cockatoo,added
Calyptorhynchus (Catyptorhynchus) lathami,,Calyptorhynchus (Calyptorhynchus) lathami,,Glossy Black-cockatoo,added
Lophochroa leadbeateri,,Lophochroa leadbeateri,,Major Mitchell's Cockatoo,added
Polytelis anthopeplus,,Polytelis anthopeplus,,Regent Parrot,added
Amytornis striatus,,Amytornis (Magnamytis) striatus,,Striated Grasswren,added
Thinornis cucullatus,,Thinornis cucullatus,,Hooded Plover,added
Calyptorhynchus banksii,Calyptorhynchus (Calyptorhynchus) banksii,,Red-tailed Black Cockatoo,,removed
Calyptorhynchus lathami,Calyptorhynchus (Calyptorhynchus) lathami,,Glossy Black-cockatoo,,removed
