name,scientificName,commonName,listUpdate
Relicina rahengensis,Relicina rahengensis,,added
Rhinolophus philippinensis,Rhinolophus philippinensis,Greater Large-eared Horseshoe Bat,removed
Rhinolophus robertsi,Rhinolophus robertsi,Large-eared Horseshoe Bat,added
