scientificName,vernacularName,category,WildNetTaxonID,status,kingdom,family,generalisation
Rhinolophus robertsi,greater large-eared horseshoe bat,EN,969,Endangered,Animalia,Rhinolophidae,2 km
Chloebia gouldiae,Gouldian finch,EN,1376,Endangered,Animalia,Estrildidae,2 km
Erythrura trichroa,blue-faced parrot-finch,NT,1378,Near Threatened,Animalia,Estrildidae,2 km
Neochmia phaeton evangelinae,crimson finch (white-bellied subspecies),LC,1370,Least concern,Animalia,Estrildidae,2 km
Poephila cincta cincta,black-throated finch (white-rumped subspecies),EN,1365,Endangered,Animalia,Estrildidae,2 km
Stagonopleura guttata,diamond firetail,VU,1355,Vulnerable,Animalia,Estrildidae,2 km
Pachycephala olivacea,olive whistler,LC,1435,Least concern,Animalia,Pachycephalidae,2 km
Anthochaera phrygia,regent honeyeater,CR,1478,Critically Endangered,Animalia,Meliphagidae,2 km
Epthianura crocea,yellow chat,VU,1528,Vulnerable,Animalia,Meliphagidae,2 km
Epthianura crocea crocea,yellow chat (gulf),VU,22458,Vulnerable,Animalia,Meliphagidae,2 km
Epthianura crocea macgregori,yellow chat (Dawson),EN,22459,Endangered,Animalia,Meliphagidae,2 km
Hylacola pyrrhopygia,chestnut-rumped heathwren,LC,1399,Least concern,Animalia,Acanthizidae,2 km
Dasyornis brachypterus,eastern bristlebird,EN,1405,Endangered,Animalia,Dasyornithidae,2 km
Amytornis ballarae,Kalkadoon grasswren,LC,1566,Least concern,Animalia,Maluridae,2 km
Amytornis barbatus,grey grasswren,NT,1563,Near Threatened,Animalia,Maluridae,2 km
Amytornis barbatus barbatus,grey grasswren (Bulloo),EN,29885,Endangered,Animalia,Maluridae,2 km
Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),NT,29886,Near Threatened,Animalia,Maluridae,2 km
Amytornis dorotheae,Carpentarian grasswren,EN,1564,Endangered,Animalia,Maluridae,2 km
Amytornis goyderi,Eyrean grasswren,LC,1565,Least concern,Animalia,Maluridae,2 km
Amytornis rowleyi,rusty grasswren,NT,1568,Near Threatened,Animalia,Maluridae,2 km
Stipiturus malachurus,southern emu-wren,VU,1549,Vulnerable,Animalia,Maluridae,2 km
Atrichornis rufescens,rufous scrub-bird,VU,1632,Vulnerable,Animalia,Atrichornithidae,2 km
Pezoporus occidentalis,night parrot,EN,1133,Endangered,Animalia,Psittaculidae,2 km
Turnix olivii,buff-breasted button-quail,CR,1093,Critically Endangered,Animalia,Turnicidae,2 km
Falco hypoleucos,grey falcon,VU,1705,Vulnerable,Animalia,Falconidae,2 km
Hoplocephalus stephensii,Stephens' banded snake,LC,481,Least concern,Animalia,Elapidae,2 km
Aspidites ramsayi,woma,NT,541,Near Threatened,Animalia,Boidae,2 km
Morelia viridis,green python,NT,520,Near Threatened,Animalia,Boidae,2 km
Calorodius thorntonensis,Thornton Peak skink,LC,315,Least concern,Animalia,Scincidae,2 km
Carlia wundalthini,Cape Melville rainbow skink,LC,35480,Least concern,Animalia,Scincidae,2 km
Egernia rugosa,yakka skink,VU,227,Vulnerable,Animalia,Scincidae,2 km
Glaphyromorphus clandestinus,Mt Elliot skink,LC,29318,Least concern,Animalia,Scincidae,2 km
Glaphyromorphus othelarrni,Cape Melville bar-lipped skink,LC,35478,Least concern,Animalia,Scincidae,2 km
Karma tryoni,Tryon's skink,EN,18839,Endangered,Animalia,Scincidae,2 km
Lerista allanae,Allan's lerista,EN,161,Endangered,Animalia,Scincidae,2 km
Magmellia luteilateralis,orange-speckled forest-skink,VU,187,Vulnerable,Animalia,Scincidae,2 km
Nangura spinosa,Nangur skink,CR,125,Critically Endangered,Animalia,Scincidae,2 km
Saproscincus saltus,Cape Melville shade skink,LC,34971,Least concern,Animalia,Scincidae,2 km
