name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Caladenia arenaria,Sand-hill Spider-orchid,Caladenia arenaria,added,,
Prasophyllum retroflexum,Kiandra Leek Orchid,Prasophyllum retroflexum,added,,
Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,added,,
Miniopterus orianae bassanii,Southern Bent-winged Bat,Miniopterus orianae bassanii,added,,
Prasophyllum sp. aff. validum A,,,removed,,Prasophyllum sp. Woodlands (D.L.Jones 17707)
