name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Pedionomus torquatus,Plains-wanderer,Pedionomus torquatus,added,,
Isotoma fluviatilis subsp. fluviatilis,,Isotoma fluviatilis subsp. fluviatilis,added,,
Cyclodomorphus praealtus,Alpine She-oak Skink,Cyclodomorphus praealtus,added,,
Lathamus discolor,,,removed,Swift Parrot,Lathamus discolor
