name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Galaxias sp. 14,Galaxias,Galaxias terenasus,Critically Endangered,added,,,
Hyridella (Hyridella) depressa,Freshwater Mussel,Hyridella (Hyridella) depressa,Endangered,added,,,
Hyridella narracanensis,Freshwater Mussel,Hyridella (Hyridella) narracanensis,Endangered,added,,,
Leichhardtia australis,Doubah,Marsdenia australis,Endangered,added,,,
Leichhardtia flavescens,,Leichhardtia flavescens,Critically Endangered,added,,,
Orianthera pusilla,,Orianthera pusilla,Vulnerable,added,,,
Prasophyllum sp. aff. montanum,,Prasophyllum sp. montane (D.T.Rouse 180),Endangered,added,,,
Prasophyllum sp. aff. validum,,Prasophyllum sp. Woodlands (D.L.Jones 17707),Endangered,added,,,
Logania pusilla,,,,removed,,Orianthera pusilla,Vulnerable
Marsdenia australis,,,,removed,Doubah,Marsdenia australis,Endangered
Marsdenia flavescens,,,,removed,Yellow Milk-vine,Marsdenia flavescens,Critically Endangered
Prasophyllum sp. aff. montanum A,,,,removed,,Prasophyllum sp. montane (D.T.Rouse 180),Endangered
Prasophyllum sp. aff. validum A,,,,removed,,Prasophyllum sp. Woodlands (D.L.Jones 17707),Endangered
