Common name,Scientific name,Status,Animal Group
Abbot's booby,Papasula abbotti,Endangered,Bird
Alice Springs squat snail,Semotrachia euzyga,Endangered,Invertebrate
Angalarri grunter,Scortum neili,Vulnerable,Fish
Arafura snake-eyed skink,Cryptoblepharus gurrmul,Endangered,Reptile
Arnhem land gorges skink,Bellatorias obiri,Endangered,Reptile
Arnhem leaf-nosed bat,Hipposideros inornatus,Vulnerable,Mammal
Arnhem rock-rat,Zyzomys maini,Vulnerable,Mammal
Atlas moth,Attacus wardi,Vulnerable,Invertebrate
Australian painted-snipe,Rostratula australis,Endangered,Bird
Bar-tailed godwit (northern Siberian),Limosa lapponica menzbieri,Critically endangered,Bird
Bar-tailed godwit (western Alaskan),Limosa lapponica baueri,Vulnerable,Bird
Bare-rumped sheath-tailed bat,Saccolaimus saccolaimus nudicluniatus,Listed nationally but not under NT legislation,Mammal
Bednall’s dwarfmelon,Sinumelon bednalli,Listed nationally but not under NT legislation,Invertebrate
Behn River keeled snail,Ordtrachia australis,Endangered,Invertebrate
Black-footed rock-wallaby (central Australian),Petrogale lateralis centralis,Listed nationally but not under NT legislation,Mammal
Black-footed tree-rat (Kimberley and mainland NT),Mesembriomys gouldii gouldii,Endangered,Mammal
Black-footed tree-rat (Melville Island),Mesembriomys gouldii melvillensis,Vulnerable,Mammal
Bronzeback,Ophidiocephalus taeniatus,Endangered,Reptile
Brush-tailed bettong,Bettongia penicillata,Endangered (extinct in NT),Mammal
Brush-tailed rabbit-rat,Conilurus penicillatus,Endangered,Mammal
Burrowing bettong (inland),Bettongia lesueur graii,Extinct,Mammal
Butler’s dunnart,Sminthopsis butleri,Vulnerable,Mammal
Carpentarian grasswren,Amytornis dorotheae,Endangered,Bird
Carpentarian rock-rat,Zyzomys palatalis,Endangered,Mammal
Central hare-wallaby,Lagorchestes asomatus,Extinct,Mammal
Central rock-rat,Zyzomys pedunculatus,Critically endangered,Mammal
Christmas Island frigatebird,Fregata andrewsi,Endangered,Bird
Common brushtail possum (central and south eastern),Trichosurus vulpecula vulpecula,Endangered,Mammal
Common brushtail possum (north-western),Trichosurus vulpecula arnhemensis,Listed nationally but not under NT legislation,Mammal
Crack-dwelling ctenotus (Keep-Ord Rivers),Ctenotus rimacola camptris,Vulnerable,Reptile
