"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Eucalyptus articulata","https://id.biodiversity.org.au/taxon/apni/51289837","Eucalyptus articulata","Myrtaceae",,"Ponton Creek Mallee","Endangered","Endangered"
"Conostylis seorsiflora subsp. Nyabing (A. Coates s.n. 2/10/1988)","ALA_Conostylis_seorsiflora_subsp_Nyabing_A_Coates_s_n_2_10_1988","Conostylis seorsiflora subsp. Nyabing (A. Coates s.n. 2/10/1988)",,,,"Priority Two","Near Threatened"
"Baeckea sp. Tammin (R.Coveny 8319 & B.Habberley)","https://id.biodiversity.org.au/node/apni/2904958","Baeckea sp. Tammin (R.Coveny 8319 & B.Habberley)","Myrtaceae",,,"Priority Three","Near Threatened"
"Schoenus pennisetis","https://id.biodiversity.org.au/node/apni/2897438","Schoenus pennisetis","Cyperaceae",,,"Priority One","Near Threatened"
"Grevillea scapigera","https://id.biodiversity.org.au/node/apni/2890664","Grevillea scapigera","Proteaceae",,"Corrigin Grevillea","Critically Endangered","Endangered"
"Baeckea sp. Bungalbin Hill (B.J.Lepschi & L.A.Craven 4586)","https://id.biodiversity.org.au/node/apni/2903711","Baeckea sp. Bungalbin Hill (B.J.Lepschi & L.A.Craven 4586)","Myrtaceae",,,"Priority One","Near Threatened"
"Ptilotus chrysocomus","https://id.biodiversity.org.au/node/apni/2900872","Ptilotus chrysocomus","Amaranthaceae",,,"Priority One","Near Threatened"
"Gastrolobium sp. Harvey (G.J.Keighery 16821)","https://id.biodiversity.org.au/node/apni/2917072","Gastrolobium sp. Harvey (G.J.Keighery 16821)","Fabaceae",,,"Priority Two","Near Threatened"
"Caladenia busselliana","https://id.biodiversity.org.au/node/apni/2905825","Caladenia busselliana","Orchidaceae",,"Bussell's Spider Orchid","Critically Endangered","Endangered"
"Cupaniopsis anacardioides","https://id.biodiversity.org.au/node/apni/2890288","Cupaniopsis anacardioides","Sapindaceae",,"Beach Tamarind","Priority Three","Near Threatened"
"Thryptomene sp. Tamala (M.E.Trudgen 7384)","https://id.biodiversity.org.au/taxon/apni/51290340","Thryptomene caduca","Myrtaceae",,,"Priority One","Near Threatened"
"Persoonia rudis","https://id.biodiversity.org.au/node/apni/2915136","Persoonia rudis","Proteaceae",,,"Priority Three","Near Threatened"
"Hypocalymma sp. Cascade (R.Bruhn 20896)","https://id.biodiversity.org.au/node/apni/2886939","Hypocalymma sp. Cascade (R.Bruhn 20896)","Myrtaceae",,,"Priority Two","Near Threatened"
"Lerista puncticauda","urn:lsid:biodiversity.org.au:afd.taxon:4334495a-b113-4a18-b428-7942e3c6d930","Lerista puncticauda","Scincidae",,"Dotty-tailed Robust Slider","Priority Two","Near Threatened"
"Verticordia serrata var. linearis","https://id.biodiversity.org.au/node/apni/2910459","Verticordia serrata var. linearis","Myrtaceae",,,"Priority Three","Near Threatened"
"Scaevola eneabba","https://id.biodiversity.org.au/node/apni/2890681","Scaevola eneabba","Goodeniaceae",,,"Priority Two","Near Threatened"
"Solanum sp. Boomerang Bay (K.F.Kenneally 10021)","https://id.biodiversity.org.au/node/apni/2904913","Solanum sp. Boomerang Bay (K.F.Kenneally 10021)","Solanaceae",,,"Priority One","Near Threatened"
