id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,taxonomicstatus,sourcestatus,status,authority,ngunnawal,comments,synonym,taxonremarks
4241442,Litoria verreauxii alpina,Alpine Tree Frog,Litoria verreauxii alpina,https://biodiversity.org.au/afd/taxa/9e35aef8-6788-4070-b6ac-955915df25f6,dr649,"[{'key': 'category', 'value': 'Frog'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Frog,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241450,Maccullochella macquariensis,Trout Cod,Maccullochella macquariensis,https://biodiversity.org.au/afd/taxa/1697dd30-7656-4450-a92e-b4c74b62cebc,dr649,"[{'key': 'category', 'value': 'Fish'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Gudu'}]",Fish,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gudu,,,
4241455,Macquaria australasica,Macca,Macquaria australasica,https://biodiversity.org.au/afd/taxa/42c0f534-bbaa-46ed-90d6-4a78d69fb0e4,dr649,"[{'key': 'category', 'value': 'Fish'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Gubay'}]",Fish,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Gubay,,,
4241426,Mastacomys fuscus mordicus,Broad-toothed Rat (mainland),Mastacomys fuscus mordicus,https://biodiversity.org.au/afd/taxa/70e10fcf-b3e9-47d3-b5be-70c323570043,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Luda'}]",Mammal,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Luda,,,
4241460,Melanodryas cucullata cucullata,Hooded Robin (south-eastern Form),Melanodryas (Melanodryas) cucullata cucullata,https://biodiversity.org.au/afd/taxa/f411b7e7-5818-45fc-b3d2-8dfa5ed45f1e,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Bird,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
4241433,Muehlenbeckia tuggeranong,Tuggeranong Lignum,Muehlenbeckia tuggeranong,https://id.biodiversity.org.au/node/apni/2896218,dr649,"[{'key': 'category', 'value': 'Plant'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Plant,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),,,,
4241430,Perunga ochracea,Perunga Grasshopper,Perunga ochracea,https://biodiversity.org.au/afd/taxa/ab03e158-f57a-418d-b9cb-274063cb0573,dr649,"[{'key': 'category', 'value': 'Invertebrate'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Baaman'}]",Invertebrate,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Baaman,,,
4241419,Petauroides volans,Greater Glider,Petauroides volans,https://biodiversity.org.au/afd/taxa/7e891f26-c72e-4b29-98db-1cd10c4eaa6d,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Banguu'}]",Mammal,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),Banguu,,,
4241466,Petrogale penicillata,Brush-tailed Rock-wallaby,Petrogale penicillata,https://biodiversity.org.au/afd/taxa/7a7a2817-26e7-44bd-bb34-1dc9c1ed4d38,dr649,"[{'key': 'category', 'value': 'Mammal'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Endangered'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}, {'key': 'ngunnawal', 'value': 'Baray'}]",Mammal,accepted,Endangered,Endangered,Nature Conservation Act 2014 (ACT),Baray,,,
4241418,Petroica boodang,Scarlet Robin,Petroica (Petroica) boodang,https://biodiversity.org.au/afd/taxa/a3e5376b-f9e6-4bdf-adae-1e7add9f5c29,dr649,"[{'key': 'category', 'value': 'Bird'}, {'key': 'taxonomicstatus', 'value': 'accepted'}, {'key': 'sourcestatus', 'value': 'Vulnernable'}, {'key': 'status', 'value': 'Vulnernable'}, {'key': 'authority', 'value': 'Nature Conservation Act 2014 (ACT)'}]",Bird,accepted,Vulnernable,Vulnernable,Nature Conservation Act 2014 (ACT),,,,
