"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Ophidiocephalus taeniatus","urn:lsid:biodiversity.org.au:afd.taxon:464d5453-faa9-44ed-b8b4-9e637e3966cd","Ophidiocephalus taeniatus","Pygopodidae",,"Bronzeback","Rare","Near Threatened"
"Ziphius cavirostris","urn:lsid:biodiversity.org.au:afd.taxon:ec880d6b-91fc-4089-86c7-7acf615a34b2","Ziphius cavirostris","Ziphiidae",,"Cuvier's Beaked Whale","Rare","Near Threatened"
"Acacia araneosa","https://id.biodiversity.org.au/node/apni/2919802","Acacia araneosa","Fabaceae",,"Spidery Wattle","Extinct or Endangered","Endangered"
"Lomandra filiformis subsp. coriacea","https://id.biodiversity.org.au/node/apni/2895860","Lomandra filiformis subsp. coriacea","Asparagaceae",,"Wattle Mat-rush","Rare","Near Threatened"
"Euphrasia scabra","http://id.biodiversity.org.au/node/apni/2903366","Euphrasia scabra","Scrophulariaceae",,"Rough Eyebright","Extinct or Endangered (needs further qualification)","Endangered"
"Grevillea anethifolia","https://id.biodiversity.org.au/node/apni/2886318","Grevillea anethifolia","Proteaceae",,"Spiny Cream Spider-flower","Rare","Near Threatened"
"Pimelea penicillaris","https://id.biodiversity.org.au/node/apni/2910366","Pimelea penicillaris","Thymelaeaceae",,"Sandhill Rice-flower","Rare","Near Threatened"
"Leionema hillebrandii","https://id.biodiversity.org.au/node/apni/2894038","Leionema hillebrandii","Rutaceae",,"Mount Lofty Phebalium","Rare","Near Threatened"
"Ptilotus nobilis subsp. semilanatus","https://id.biodiversity.org.au/node/apni/2908771","Ptilotus nobilis subsp. semilanatus","Amaranthaceae",,"Lamb's Tails","Extinct or Endangered","Endangered"
"Stypandra glauca","https://id.biodiversity.org.au/node/apni/2892177","Stypandra glauca","Hemerocallidaceae",,"Blind Grass","Vulnerable","Endangered"
"Gahnia sp. West Bay (B.M.Overton 2685)","https://id.biodiversity.org.au/node/apni/2890440","Gahnia halmaturina","Cyperaceae",,,"Rare","Near Threatened"
"Melaleuca armillaris subsp. akineta","https://id.biodiversity.org.au/node/apni/2888497","Melaleuca armillaris subsp. akineta","Myrtaceae",,"Needle-leaf Honey-myrtle","Rare","Near Threatened"
"Melithreptus (Eidopsarus) gularis gularis","urn:lsid:biodiversity.org.au:afd.taxon:9ca7b29a-6d49-4edf-9a8e-40c14b74a54e","Melithreptus (Eidopsarus) gularis gularis","Meliphagidae",,"Black-chinned Honeyeater","Vulnerable","Endangered"
"Northiella haematogaster narethae","urn:lsid:biodiversity.org.au:afd.taxon:839eb7b3-786d-492e-a240-61d8f7a82af6","Northiella narethae","Psittacidae",,"Naretha Bluebonnet","Rare","Near Threatened"
"Thylogale billardierii","urn:lsid:biodiversity.org.au:afd.taxon:42fc5fb3-ba90-44ec-b795-e9f8fcbd6128","Thylogale billardierii","Macropodidae",,"Tasmanian Pademelon","Extinct or Endangered","Endangered"
"Pterostylis foliata","https://id.biodiversity.org.au/name/apni/74610","Pterostylis foliata","Orchidaceae",,"Slender Greenhood","Rare","Near Threatened"
"Acanthiza (Geobasileus) iredalei iredalei","urn:lsid:biodiversity.org.au:afd.taxon:9da5e100-ce82-4077-93f7-3e242d827bd6","Acanthiza (Geobasileus) iredalei iredalei","Acanthizidae",,"Slender-billed Thornbill","Rare","Near Threatened"
"Caladenia parva","https://id.biodiversity.org.au/name/apni/119070","Caladenia parva","Orchidaceae",,"Small Greencomb Spider Orchid","Extinct or Endangered","Endangered"
"Eucalyptus wimmerensis","https://id.biodiversity.org.au/taxon/apni/51260039","Eucalyptus wimmerensis","Myrtaceae",,"Wimmera Mallee Box","Rare","Near Threatened"
"Dermochelys coriacea","urn:lsid:biodiversity.org.au:afd.taxon:9b31383c-4745-4b8f-a3bd-8b9e91619e47","Dermochelys coriacea","Dermochelyidae",,"Leathery Turtle","Vulnerable","Endangered"
"Caladenia gladiolata","https://id.biodiversity.org.au/node/apni/2913185","Caladenia gladiolata","Orchidaceae",,"Spider Orchid","Extinct or Endangered","Endangered"
"Chlamydera maculata","urn:lsid:biodiversity.org.au:afd.taxon:52b5d76d-4459-4b9e-9393-4fd5c75b9194","Ptilonorhynchus maculatus","Ptilonorhynchidae",,"Spotted Bowerbird","Extinct or Endangered","Endangered"
"Calyptorhynchus (Calyptorhynchus) lathami halmaturinus","urn:lsid:biodiversity.org.au:afd.taxon:e51feb81-a1da-4251-b3fa-58b9bc2b1873","Calyptorhynchus (Calyptorhynchus) lathami halmaturinus","Cacatuidae",,"Glossy Black-cockatoo (south Australian)","Extinct or Endangered","Endangered"
"Tricostularia pauciflora","https://id.biodiversity.org.au/node/apni/2908406","Tricostularia pauciflora","Cyperaceae",,"Needle Bog-rush","Extinct or Endangered","Endangered"
"Thelymitra circumsepta","https://id.biodiversity.org.au/name/apni/97061","Thelymitra circumsepta","Orchidaceae",,"Naked Sun Orchid","Extinct or Endangered","Endangered"
"Pratia concolor","https://id.biodiversity.org.au/node/apni/2909727","Lobelia concolor","Campanulaceae",,"Milky Lobelia","Rare","Near Threatened"
"Uperoleia capitulata","urn:lsid:biodiversity.org.au:afd.taxon:b5e6d104-a00d-4071-bdee-4554121ca5a5","Uperoleia rugosa","Myobatrachidae",,"Small-headed Toadlet","Rare","Near Threatened"
