id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,source Status
4745847,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745877,Aprasia parapulchella,Pink-tailed Worm-lizard,Aprasia parapulchella,https://biodiversity.org.au/afd/taxa/0d74fa05-7039-4f1e-9147-ca3927124532,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745892,Bettongia gaimardi,Tasmanian Bettong,Bettongia gaimardi,https://biodiversity.org.au/afd/taxa/19c9bfdf-0fbd-4b1b-a7c4-64498290d059,dr649,"[{'key': 'status', 'value': 'Conservation Dependent'}, {'key': 'source Status', 'value': 'Regionally Conservation Dependent'}]",Conservation Dependent,Regionally Conservation Dependent
4745885,Bidyanus bidyanus,Silver Perch,Bidyanus bidyanus,https://biodiversity.org.au/afd/taxa/05866f31-1adb-4709-91f4-41dbff54459f,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745894,Bossiaea grayi,Murrumbidgee Bossiaea,Bossiaea grayi,https://id.biodiversity.org.au/node/apni/2910201,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745852,Botaurus poiciloptilus,Australasian Bittern,Botaurus poiciloptilus,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745879,Caladenia actensis,Canberra Spider Orchid,Caladenia actensis,https://id.biodiversity.org.au/taxon/apni/51398755,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745862,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745895,Calyptorhynchus lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami,https://biodiversity.org.au/afd/taxa/2b3630b3-6e95-47b8-ad3f-e3f46fa797dc,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745855,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami lathami,https://biodiversity.org.au/afd/taxa/9823b764-cb22-42d0-bbbe-79c0a95b1a25,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745854,Climacteris picumnus,Brown Treecreeper,Climacteris (Climacteris) picumnus,https://biodiversity.org.au/afd/taxa/5f79ff26-59bf-42f4-9a7b-d493b3951974,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745875,Climacteris picumnus victoriae,Brown Treecreeper (eastern Subspecies),Climacteris (Climacteris) picumnus victoriae,https://biodiversity.org.au/afd/taxa/fe69a214-d43c-468f-bb83-06402ac95e35,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745856,Corunastylis ectopa,,Genoplesium ectopum,https://id.biodiversity.org.au/taxon/apni/51406011,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745890,Daphoenositta chrysoptera,Varied Sittella,Daphoenositta (Neositta) chrysoptera,https://biodiversity.org.au/afd/taxa/8bf4b8b0-f432-4e9d-8ea6-08fc20c8090c,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745864,Dasyurus maculatus,Spotted-tailed Quoll,Dasyurus maculatus,https://biodiversity.org.au/afd/taxa/617e069f-eb5c-40ec-a027-f5fd40e5145d,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745871,Dasyurus maculatus maculatus,Spot-tailed Quoll,Dasyurus maculatus maculatus,https://biodiversity.org.au/afd/taxa/a4ef7496-ba95-481c-b3a5-a6ed66f37394,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745897,Dasyurus viverrinus,Eastern Quoll,Dasyurus viverrinus,https://biodiversity.org.au/afd/taxa/52149285-a12a-4085-a285-b41af5ba3ce3,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745887,Delma impar,Many-lined Delma,Delma impar,https://biodiversity.org.au/afd/taxa/51c700dd-d2c3-4fb4-9d1f-2728bf2e302f,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745906,Euastacus armatus,Murray River Crayfish,Euastacus armatus,https://biodiversity.org.au/afd/taxa/98156289-1be9-4804-8de1-34104c4b3abb,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745868,Eucalyptus aggregata,Black Gum,Eucalyptus aggregata,https://id.biodiversity.org.au/node/apni/2900093,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745886,Gadopsis bispinosus,Two-spined Blackfish,Gadopsis bispinosus,https://biodiversity.org.au/afd/taxa/347bd80e-cd88-43e1-beb5-5e5da13b3cd6,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745851,Gentiana baeuerlenii,Baeuerlen's Gentian,Gentiana baeuerlenii,https://id.biodiversity.org.au/node/apni/2892776,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745843,Grantiella picta,Painted Honeyeater,Grantiella picta,https://biodiversity.org.au/afd/taxa/6dad05af-065a-4b0f-ac18-ff00331a3f3e,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745857,Hieraaetus morphnoides,Little Eagle,Hieraaetus (Hieraaetus) morphnoides,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745903,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,https://biodiversity.org.au/afd/taxa/6485cd0c-f104-4950-8cdf-be4d09fc6bbc,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745883,Isoodon obesulus,Southern Brown Bandicoot,Isoodon obesulus,https://biodiversity.org.au/afd/taxa/0fbb8f1e-ec6d-4b65-a663-7387c91c68bf,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
