id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonRank,kingdom,class,order,family,genus,specificEpithet,vernacular name,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,T S Profile I D,countryConservation,dcterms_modified,speciesID,taxonID,status
4028356,Eucalyptus camphora subsp. relicta,Swamp Gum,Eucalyptus camphora subsp. camphora,https://id.biodiversity.org.au/node/apni/2891743,dr650,"[{'key': 'taxonRank', 'value': 'Subspecies'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Myrtaceae'}, {'key': 'genus', 'value': 'Eucalyptus'}, {'key': 'specificEpithet', 'value': 'camphora'}, {'key': 'vernacular name', 'value': 'Warra Broad-leaved Sally'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10288.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:46:23.407+11:00'}, {'key': 'speciesID', 'value': '7110'}, {'key': 'taxonID', 'value': '7110'}, {'key': 'status', 'value': 'Endangered'}]",Subspecies,Plantae,Flora,Flora,Myrtaceae,Eucalyptus,camphora,Warra Broad-leaved Sally,"Alive in NSW, Native",Endangered,False,Not Sensitive,10288.0,Not Listed,2017-10-04T17:46:23.407+11:00,7110,7110,Endangered
4028999,Pomaderris cotoneaster,Cotoneaster Pomaderris,Pomaderris cotoneaster,https://id.biodiversity.org.au/node/apni/2910377,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Rhamnaceae'}, {'key': 'genus', 'value': 'Pomaderris'}, {'key': 'specificEpithet', 'value': 'cotoneaster'}, {'key': 'vernacular name', 'value': 'Cotoneaster Pomaderris'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10648.0'}, {'key': 'countryConservation', 'value': 'Endangered'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:38:11.74+11:00'}, {'key': 'speciesID', 'value': '7113'}, {'key': 'taxonID', 'value': '7113'}, {'key': 'status', 'value': 'Endangered'}]",Species,Plantae,Flora,Flora,Rhamnaceae,Pomaderris,cotoneaster,Cotoneaster Pomaderris,"Alive in NSW, Native",Endangered,False,Not Sensitive,10648.0,Endangered,2017-10-04T17:38:11.74+11:00,7113,7113,Endangered
4028499,Eucalyptus glaucina,Slaty Red Gum,Eucalyptus glaucina,https://id.biodiversity.org.au/node/apni/2890884,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Myrtaceae'}, {'key': 'genus', 'value': 'Eucalyptus'}, {'key': 'specificEpithet', 'value': 'glaucina'}, {'key': 'vernacular name', 'value': 'Slaty Red Gum'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10295.0'}, {'key': 'countryConservation', 'value': 'Vulnerable'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:34:42.623+11:00'}, {'key': 'speciesID', 'value': '7146'}, {'key': 'taxonID', 'value': '7146'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Plantae,Flora,Flora,Myrtaceae,Eucalyptus,glaucina,Slaty Red Gum,"Alive in NSW, Native",Vulnerable,False,Not Sensitive,10295.0,Vulnerable,2017-10-04T17:34:42.623+11:00,7146,7146,Vulnerable
4028513,Chiloglottis anaticeps,Bird Orchid,Chiloglottis anaticeps,https://id.biodiversity.org.au/taxon/apni/51400590,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Orchidaceae'}, {'key': 'genus', 'value': 'Chiloglottis'}, {'key': 'specificEpithet', 'value': 'anaticeps'}, {'key': 'vernacular name', 'value': 'Bird Orchid'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Category 2'}, {'key': 'T S Profile I D', 'value': '10164.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:46:04.53+11:00'}, {'key': 'speciesID', 'value': '7166'}, {'key': 'taxonID', 'value': '7166'}, {'key': 'status', 'value': 'Endangered'}]",Species,Plantae,Flora,Flora,Orchidaceae,Chiloglottis,anaticeps,Bird Orchid,"Alive in NSW, Native",Endangered,True,Category 2,10164.0,Not Listed,2017-10-04T17:46:04.53+11:00,7166,7166,Endangered
4029111,Diuris pedunculata,Small Snake Orchid,Diuris pedunculata,https://id.biodiversity.org.au/taxon/apni/51404295,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Orchidaceae'}, {'key': 'genus', 'value': 'Diuris'}, {'key': 'specificEpithet', 'value': 'pedunculata'}, {'key': 'vernacular name', 'value': 'Small Snake Orchid'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Category 2'}, {'key': 'T S Profile I D', 'value': '10239.0'}, {'key': 'countryConservation', 'value': 'Endangered'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:35:46.64+11:00'}, {'key': 'speciesID', 'value': '7186'}, {'key': 'taxonID', 'value': '7186'}, {'key': 'status', 'value': 'Endangered'}]",Species,Plantae,Flora,Flora,Orchidaceae,Diuris,pedunculata,Small Snake Orchid,"Alive in NSW, Native",Endangered,True,Category 2,10239.0,Endangered,2017-10-04T17:35:46.64+11:00,7186,7186,Endangered
4029070,Doryanthes palmeri,Spear Lily,Doryanthes palmeri,https://id.biodiversity.org.au/node/apni/2908349,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Doryanthaceae'}, {'key': 'genus', 'value': 'Doryanthes'}, {'key': 'specificEpithet', 'value': 'palmeri'}, {'key': 'vernacular name', 'value': 'Giant Spear Lily'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'True'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10249.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:18:54.09+11:00'}, {'key': 'speciesID', 'value': '7190'}, {'key': 'taxonID', 'value': '7190'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Plantae,Flora,Flora,Doryanthaceae,Doryanthes,palmeri,Giant Spear Lily,"Alive in NSW, Native",Vulnerable,True,Not Sensitive,10249.0,Not Listed,2017-10-04T17:18:54.09+11:00,7190,7190,Vulnerable
4028721,Dampiera fusca,Kydra Dampiera,Dampiera fusca,https://id.biodiversity.org.au/node/apni/2908327,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Goodeniaceae'}, {'key': 'genus', 'value': 'Dampiera'}, {'key': 'specificEpithet', 'value': 'fusca'}, {'key': 'vernacular name', 'value': 'Kydra Dampiera'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Endangered'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '20057.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:42:25.65+11:00'}, {'key': 'speciesID', 'value': '7221'}, {'key': 'taxonID', 'value': '7221'}, {'key': 'status', 'value': 'Endangered'}]",Species,Plantae,Flora,Flora,Goodeniaceae,Dampiera,fusca,Kydra Dampiera,"Alive in NSW, Native",Endangered,False,Not Sensitive,20057.0,Not Listed,2017-10-04T17:42:25.65+11:00,7221,7221,Endangered
4028386,Swainsona sericea,Silky Swainson-pea,Swainsona sericea,https://id.biodiversity.org.au/node/apni/2906530,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Fabaceae (Faboideae)'}, {'key': 'genus', 'value': 'Swainsona'}, {'key': 'specificEpithet', 'value': 'sericea'}, {'key': 'vernacular name', 'value': 'Silky Swainson-pea'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10783.0'}, {'key': 'countryConservation', 'value': 'Not Listed'}, {'key': 'dcterms_modified', 'value': '2017-10-04T17:44:54.73+11:00'}, {'key': 'speciesID', 'value': '7223'}, {'key': 'taxonID', 'value': '7223'}, {'key': 'status', 'value': 'Vulnerable'}]",Species,Plantae,Flora,Flora,Fabaceae (Faboideae),Swainsona,sericea,Silky Swainson-pea,"Alive in NSW, Native",Vulnerable,False,Not Sensitive,10783.0,Not Listed,2017-10-04T17:44:54.73+11:00,7223,7223,Vulnerable
4028230,Pimelea curviflora var. curviflora,,Pimelea curviflora var. curviflora,https://id.biodiversity.org.au/node/apni/2894491,dr650,"[{'key': 'taxonRank', 'value': 'Variety'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Thymelaeaceae'}, {'key': 'genus', 'value': 'Pimelea'}, {'key': 'specificEpithet', 'value': 'curviflora'}, {'key': 'establishmentMeans', 'value': 'Alive in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '10629.0'}, {'key': 'countryConservation', 'value': 'Vulnerable'}, {'key': 'dcterms_modified', 'value': '2017-11-30T17:22:53.82+11:00'}, {'key': 'speciesID', 'value': '7232'}, {'key': 'taxonID', 'value': '7232'}, {'key': 'status', 'value': 'Vulnerable'}]",Variety,Plantae,Flora,Flora,Thymelaeaceae,Pimelea,curviflora,,"Alive in NSW, Native",Vulnerable,False,Not Sensitive,10629.0,Vulnerable,2017-11-30T17:22:53.82+11:00,7232,7232,Vulnerable
4028575,Rhaphidospora bonneyana,,Rhaphidospora bonneyana,https://id.biodiversity.org.au/node/apni/2896807,dr650,"[{'key': 'taxonRank', 'value': 'Species'}, {'key': 'kingdom', 'value': 'Plantae'}, {'key': 'class', 'value': 'Flora'}, {'key': 'order', 'value': 'Flora'}, {'key': 'family', 'value': 'Acanthaceae'}, {'key': 'genus', 'value': 'Rhaphidospora'}, {'key': 'specificEpithet', 'value': 'bonneyana'}, {'key': 'establishmentMeans', 'value': 'Extinct in NSW, Native'}, {'key': 'sourceStatus', 'value': 'Extinct'}, {'key': 'protectedInNSW', 'value': 'False'}, {'key': 'sensitivityClass', 'value': 'Not Sensitive'}, {'key': 'T S Profile I D', 'value': '20208.0'}, {'key': 'countryConservation', 'value': 'Vulnerable'}, {'key': 'dcterms_modified', 'value': '2020-01-22T14:24:13.587+11:00'}, {'key': 'speciesID', 'value': '7242'}, {'key': 'taxonID', 'value': '7242'}, {'key': 'status', 'value': 'Extinct'}]",Species,Plantae,Flora,Flora,Acanthaceae,Rhaphidospora,bonneyana,,"Extinct in NSW, Native",Extinct,False,Not Sensitive,20208.0,Vulnerable,2020-01-22T14:24:13.587+11:00,7242,7242,Extinct
