"Supplied Name","guid","scientificName","family","kingdom","vernacular name","guid","family","status","sourceStatus","Supplied  Name"
"Osteocarpum x scleropterum","https://id.biodiversity.org.au/taxon/apni/51300326","Osteocarpum x scleropterum","Chenopodiaceae",,"Squash Bush","<a href=""https://id.biodiversity.org.au/taxon/apni/51300326"">https://id.biodiversity.org.au/taxon/apni/51300326</a>","Chenopodiaceae","Endangered","Endangered","Osteocarpum scleropterum"
"Caladenia tessellata","https://id.biodiversity.org.au/node/apni/2900910","Caladenia tessellata","Orchidaceae",,"Thick Lip Spider Orchid","<a href=""https://id.biodiversity.org.au/node/apni/2900910"">https://id.biodiversity.org.au/node/apni/2900910</a>","Orchidaceae","Endangered","Endangered","Caladenia tessellata"
"Geodorum densiflorum","https://id.biodiversity.org.au/name/apni/80628","Geodorum densiflorum","Orchidaceae",,"Pink Nodding Orchid","<a href=""https://id.biodiversity.org.au/name/apni/80628"">https://id.biodiversity.org.au/name/apni/80628</a>","Orchidaceae","Endangered","Endangered","Geodorum densiflorum"
"Microtis angusii","https://id.biodiversity.org.au/node/apni/2909333","Microtis angusii","Orchidaceae",,"Angus's Onion Orchid","<a href=""https://id.biodiversity.org.au/node/apni/2909333"">https://id.biodiversity.org.au/node/apni/2909333</a>","Orchidaceae","Endangered","Endangered","Microtis angusii"
"Dasyurus maculatus","urn:lsid:biodiversity.org.au:afd.taxon:617e069f-eb5c-40ec-a027-f5fd40e5145d","Dasyurus maculatus","Dasyuridae",,"Spotted-tailed Quoll","urn:lsid:biodiversity.org.au:afd.taxon:617e069f-eb5c-40ec-a027-f5fd40e5145d","Dasyuridae","Vulnerable","Vulnerable","Dasyurus maculatus"
"Haloragodendron lucasii","https://id.biodiversity.org.au/node/apni/2903690","Haloragodendron lucasii","Haloragaceae",,"Haloragodendron lucasii","<a href=""https://id.biodiversity.org.au/node/apni/2903690"">https://id.biodiversity.org.au/node/apni/2903690</a>","Haloragaceae","Endangered","Endangered","Haloragodendron lucasii"
"Leporillus apicalis","urn:lsid:biodiversity.org.au:afd.taxon:5ac0db97-0266-442f-86b3-f21c3f98f58a","Leporillus apicalis","Muridae",,"Lesser Stick-nest Rat","urn:lsid:biodiversity.org.au:afd.taxon:5ac0db97-0266-442f-86b3-f21c3f98f58a","Muridae","Presumed Extinct","Presumed Extinct","Leporillus apicalis"
"Allocasuarina simulans","https://id.biodiversity.org.au/node/apni/2901300","Allocasuarina simulans","Casuarinaceae",,"Nabiac Casuarina","<a href=""https://id.biodiversity.org.au/node/apni/2901300"">https://id.biodiversity.org.au/node/apni/2901300</a>","Casuarinaceae","Vulnerable","Vulnerable","Allocasuarina simulans"
"Persoonia hirsuta","https://id.biodiversity.org.au/node/apni/2902498","Persoonia hirsuta","Proteaceae",,"Hairy Geebung","<a href=""https://id.biodiversity.org.au/node/apni/2902498"">https://id.biodiversity.org.au/node/apni/2902498</a>","Proteaceae","Endangered","Endangered","Persoonia hirsuta"
"Brachyscome muelleroides","https://id.biodiversity.org.au/node/apni/2889995","Brachyscome muelleroides","Asteraceae",,"Claypan Daisy","<a href=""https://id.biodiversity.org.au/node/apni/2889995"">https://id.biodiversity.org.au/node/apni/2889995</a>","Asteraceae","Vulnerable","Vulnerable","Brachyscome muelleroides"
"Geniostoma huttonii","https://id.biodiversity.org.au/node/apni/2909577","Geniostoma huttonii","Loganiaceae",,"Hutton's Geniostoma","<a href=""https://id.biodiversity.org.au/node/apni/2909577"">https://id.biodiversity.org.au/node/apni/2909577</a>","Loganiaceae","Endangered","Endangered","Geniostoma huttonii"
"Nurus brevis","urn:lsid:biodiversity.org.au:afd.taxon:0d3d070c-220f-4611-92ab-9d3c06851145","Nurus brevis","Carabidae",,"Shorter Rainforest Ground-beetle","urn:lsid:biodiversity.org.au:afd.taxon:0d3d070c-220f-4611-92ab-9d3c06851145","Carabidae","Endangered","Endangered","Nurus brevis"
"Acrophyllum australe","https://id.biodiversity.org.au/node/apni/2909179","Acrophyllum australe","Cunoniaceae",,"Acrophyllum australe","<a href=""https://id.biodiversity.org.au/node/apni/2909179"">https://id.biodiversity.org.au/node/apni/2909179</a>","Cunoniaceae","Vulnerable","Vulnerable","Acrophyllum australe"
