id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4377139,Numenius madagascariensis,Far Eastern Curlew,Numenius (Numenius) madagascariensis,https://biodiversity.org.au/afd/taxa/5ff29bca-f02f-468f-9f96-9ae956015e01,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377105,Antechinus bellus,Fawn Antechinus,Antechinus bellus,https://biodiversity.org.au/afd/taxa/b57ff121-94f2-4aaf-b29c-149c58a4fdc9,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377143,Semotrachia filixiana,Fenn Gap Squat Snail,Semotrachia filixiana,https://biodiversity.org.au/afd/taxa/99b07e54-4353-4b1f-a54d-1cdec9d29f1f,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377100,Chlamydogobius japalpa,Finke Goby,Chlamydogobius japalpa,https://biodiversity.org.au/afd/taxa/6281d866-d484-41b3-84e5-03adf670a976,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377254,Granulomelon arcigerens,Finke Gorge Rocksnail,Granulomelon arcigerens,https://biodiversity.org.au/afd/taxa/f9c3e854-dfbd-496a-8030-2bdf8ddc933b,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377093,Mesodontrachia fitzroyana,Fitzroy Land Snail,Mesodontrachia fitzroyana,https://biodiversity.org.au/afd/taxa/6ec7e2f6-df78-4609-86e9-c4b27e83674d,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377113,Granulomelon gilleni,Gillen Creek Rocksnail,Granulomelon gilleni,https://biodiversity.org.au/afd/taxa/d7ea6325-0209-4214-ba59-6513dd8fb0cf,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377216,Isoodon auratus,Golden Bandicoot,Isoodon auratus,https://biodiversity.org.au/afd/taxa/1be76afe-2bb9-4ef0-a5c2-6e1f944e0847,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377175,Mesembriomys macrurus,Golden-backed Tree-rat,Mesembriomys macrurus,https://biodiversity.org.au/afd/taxa/8884b130-b6cb-4b2e-87ed-98367734f02d,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377225,Erythrura gouldiae,Gouldian Finch,Chloebia gouldiae,https://biodiversity.org.au/afd/taxa/27d27be2-4adb-407e-9f27-ee2d96164d18,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377144,Liopholis kintorei,Tjakura,Liopholis kintorei,https://biodiversity.org.au/afd/taxa/08ac895d-b350-43d6-8810-65459a59f072,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377064,Calidris tenuirostris,Great Knot,Calidris (Calidris) tenuirostris,https://biodiversity.org.au/afd/taxa/3e9c17c9-270f-4a74-9ed8-7ccabd575be9,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377059,Macrotis lagotis,Greater Bilby,Macrotis lagotis,https://biodiversity.org.au/afd/taxa/3814d122-c95f-467f-a3a2-2b269931b74f,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377165,Charadrius leschenaultii,Greater Sand Plover,Charadrius (Charadrius) leschenaultii,https://biodiversity.org.au/afd/taxa/9aeef589-2845-4876-a57b-b62fcbc49275,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377193,Pristis zijsron,Green Saw-fish,Pristis zijsron,https://biodiversity.org.au/afd/taxa/6de028ef-6fca-4209-bb12-c67d5d4a3e09,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377161,Falco hypoleucos,Grey Falcon,Falco (Hierofalco) hypoleucos,https://biodiversity.org.au/afd/taxa/4c73a934-63ae-417d-af40-56a82ae68371,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377247,Dirutrachia sublevata,Harts Range Knob-lip Snail,Dirutrachia sublevata,https://biodiversity.org.au/afd/taxa/75839d82-e427-4d46-a61f-b803e1728684,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377195,Granulomelon grandituberculatum,Harts Range Rocksnail,Granulomelon grandituberculatum,https://biodiversity.org.au/afd/taxa/982fb884-7034-4503-806d-4c95ad9edf92,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
