"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Eudistoma sluiteri","urn:lsid:biodiversity.org.au:afd.taxon:08a69510-31bc-444e-ba9f-0aeaf1086d19","Eudistoma sluiteri","Polycitoridae",,,,"(not listed)","(not listed)"
"Bos javanicus","urn:lsid:biodiversity.org.au:afd.taxon:2478a631-b5a4-4a97-9036-2a7c76488570","Bos (Bibos) javanicus","Bovidae",,,,"(Introduced)","Introduced"
"Coldenia procumbens  ","https://id.biodiversity.org.au/node/apni/2920465","Coldenia procumbens","Boraginaceae",,,,"Least Concern","Native to the N.T."
"Poecilometis mimicus","urn:lsid:biodiversity.org.au:afd.taxon:2447cad8-8dca-472b-94ef-d246d70ae392","Poecilometis mimicus","Pentatomidae",,,,"(not listed)","Endemic to the N.T."
"Hibiscus sp. Spirit Hills  ","ALA_Hibiscus_sp_Spirit_Hills","Hibiscus sp. Spirit Hills",,,,,,"Endemic to the N.T."
"Geckomima handschini","urn:lsid:biodiversity.org.au:afd.taxon:d9d80fd3-7501-4821-8fdf-df1eb52c253f","Geckomima handschini","Morabidae",,,,"(not listed)","(not listed)"
"Bolborhachium kevini","urn:lsid:biodiversity.org.au:afd.taxon:0167e0f7-4474-42b7-8210-363b73d69e07","Bolborhachium kevini","Bolboceratidae",,,,"(not listed)","(not listed)"
"Barbatia bistrigata","urn:lsid:biodiversity.org.au:afd.taxon:b26b3851-566e-409d-b17c-4bc60640d965","Mesocibota bistrigata","Arcidae",,,,"(not listed)","(not listed)"
"Exiligada montejinni","urn:lsid:biodiversity.org.au:afd.taxon:98476ae2-5020-487e-bd53-03f2e6de42a3","Exiligada montejinni","Camaenidae",,,,"(not listed)","Endemic to the N.T."
"Comatula solaris","urn:lsid:biodiversity.org.au:afd.taxon:f7f77df1-d485-4688-b68c-78504ca0ee48","Comatula solaris","Comatulidae",,,,"(not listed)","(not listed)"
"Ectrosia lasioclada  ","https://id.biodiversity.org.au/node/apni/2897432","Ectrosia lasioclada","Poaceae",,,,"Data Deficient","Native to the N.T."
"Calopogonium mucunoides  ","https://id.biodiversity.org.au/node/apni/2904551","Calopogonium mucunoides","Fabaceae",,,,"Least Concern","Introduced"
"Trianthema oxycalyptra var. oxycalyptra","ALA_Trianthema_oxycalyptra_var_oxycalyptra","Trianthema oxycalyptra var. oxycalyptra",,,,,"Near Threatened","Native to the N.T."
"Pseudomys fieldi","urn:lsid:biodiversity.org.au:afd.taxon:edcf01fa-7b87-4bfe-b8ae-8b1a4b08f777","Pseudomys fieldi","Muridae",,,,"Extinct in the N.T.","Native to the N.T."
"Simaetha atypica","urn:lsid:biodiversity.org.au:afd.taxon:d5f36a1a-5dfd-4bca-8fc8-5dae896d0405","Simaetha atypica","Salticidae",,,,"(not listed)","Endemic to the N.T."
"Necterosoma undecimlineatum","urn:lsid:biodiversity.org.au:afd.taxon:69c9335a-5140-4923-a25f-bd5f47673a23","Necterosoma undecimlineatum","Dytiscidae",,,,"(not listed)","(not listed)"
"Cicindela rafflesia","urn:lsid:biodiversity.org.au:afd.taxon:c8398392-a3e2-4aa3-b615-9e0df5c4e418","Cicindela (Hypaetha) rafflesia","Carabidae",,,,"(not listed)","(not listed)"
"Mycalesis perseus","urn:lsid:biodiversity.org.au:afd.taxon:2d3330ae-3d2b-4835-b9f8-d931f8e18acf","Mycalesis perseus","Nymphalidae",,,,"(not listed)","(not listed)"
"Euphorbia albrechtii  ","https://id.biodiversity.org.au/node/apni/7185956","Euphorbia albrechtii","Euphorbiaceae",,,,"Not Evaluated","(not listed)"
"Unionicola crassipalpis","urn:lsid:biodiversity.org.au:afd.taxon:8e31ee4c-9a6f-45cd-b1cd-81151782e5ca","Unionicola crassipalpis","Unionicolidae",,,,"(not listed)","Endemic to the N.T."
"Vidumelon wattii","urn:lsid:biodiversity.org.au:afd.taxon:34cf7838-d700-48f1-9400-c83683c04c9b","Vidumelon wattii","Camaenidae",,,,"Vulnerable","Endemic to the N.T."
"Hibbertia tricornis  ","https://id.biodiversity.org.au/node/apni/2908435","Hibbertia tricornis","Dilleniaceae",,,,"Vulnerable","Endemic to the N.T."
"Jorunna funebris","urn:lsid:biodiversity.org.au:afd.taxon:36818f1f-4e4b-46c8-819a-188f7f2ea980","Jorunna funebris","Discodorididae",,,,"(not listed)","(not listed)"
"Petrolisthes kranjiensis","urn:lsid:biodiversity.org.au:afd.taxon:736d312b-1c5e-4a6b-bf20-dd0a907f6f9f","Petrolisthes kranjiensis","Porcellanidae",,,,"(not listed)","(not listed)"
"Ipomoea tolmerana subsp. tolmerana","https://id.biodiversity.org.au/node/apni/7107000","Ipomoea tolmerana subsp. tolmerana","Convolvulaceae",,,,"Least Concern","Endemic to the N.T."
"Cullen badocanum  ","https://id.biodiversity.org.au/node/apni/2900651","Cullen badocanum","Fabaceae",,,,"Least Concern","Native to the N.T."
"Neotrigonia margaritacea","urn:lsid:biodiversity.org.au:afd.taxon:0f62fb87-a33d-44a0-8cc8-2dc5e38b813b","Neotrigonia margaritacea","Trigoniidae",,,,"(not listed)","(not listed)"
"Acacia estrophiolata  ","https://id.biodiversity.org.au/node/apni/2898101","Acacia estrophiolata","Fabaceae",,,,"Least Concern","Native to the N.T."
"Chaetodon vagabundus","urn:lsid:biodiversity.org.au:afd.taxon:a2722c8b-dc31-48af-9a4c-4b65fb37d650","Chaetodon vagabundus","Chaetodontidae",,,,"(not listed)","(not listed)"
"Gehyra pamela","urn:lsid:biodiversity.org.au:afd.taxon:dbb94a13-37c9-453c-8e4f-06518498e700","Gehyra pamela","Gekkonidae",,,,"Least Concern","Endemic to the N.T."
"Periclimenes toloensis","urn:lsid:biodiversity.org.au:afd.taxon:7fbf63e2-8766-48ae-8bb5-61efe2ad3389","Periclimenes toloensis","Palaemonidae",,,,"(not listed)","Endemic to the N.T."
"Euproctis stenomorpha","urn:lsid:biodiversity.org.au:afd.taxon:d666dbc0-3a19-4f90-a160-87c05e2e48bd","Euproctis stenomorpha","Erebidae",,,,"(not listed)","(not listed)"
"Platynectes decempunctatus","urn:lsid:biodiversity.org.au:afd.taxon:51fada16-2aa0-4671-82fa-3e82233724eb","Platynectes (Gueorguievtes) decempunctatus","Dytiscidae",,,,"(not listed)","(not listed)"
"Euphorbia centralis  ","https://id.biodiversity.org.au/taxon/apni/51284085","Euphorbia centralis","Euphorbiaceae",,,,"Least Concern","Native to the N.T."
"Clivina pectonoda","urn:lsid:biodiversity.org.au:afd.taxon:3a606e0d-7230-4d08-b037-a730604d3712","Clivina (Clivina) pectonoda","Carabidae",,,,"(not listed)","(not listed)"
"Dicrurus bracteatus","urn:lsid:biodiversity.org.au:afd.taxon:3674095e-c227-4b47-9102-571be713f5ef","Dicrurus bracteatus","Dicruridae",,,,"Least Concern","Native to the N.T."
"Tympanocryptis cephalus","urn:lsid:biodiversity.org.au:afd.taxon:43fb50dc-d8c7-48dc-bf89-c77e4510aefa","Tympanocryptis cephalus","Agamidae",,,,"Least Concern","Native to the N.T."
"Machaerirhynchus flaviventer","urn:lsid:biodiversity.org.au:afd.taxon:0d2c2f66-d9d0-4cdd-ad0f-41a227d04e81","Machaerirhynchus flaviventer","Monarchidae",,,,"Not Evaluated","Native to the N.T."
"Ecnomus centralis","urn:lsid:biodiversity.org.au:afd.taxon:0b03b117-7d49-4a08-ae73-c156ca059209","Ecnomus centralis","Ecnomidae",,,,"(not listed)","(not listed)"
"Centrogonus signatipennis","urn:lsid:biodiversity.org.au:afd.taxon:fb9838cc-49c9-4ee0-bbeb-0af1701a2a7e","Centrogonus signatipennis","Reduviidae",,,,"(not listed)","(not listed)"
"Sueviota larsonae","urn:lsid:biodiversity.org.au:afd.taxon:7520a673-f059-440a-bb7e-b18ebbbc541c","Sueviota larsonae","Gobiidae",,,,"(not listed)","(not listed)"
"Grampus griseus","urn:lsid:biodiversity.org.au:afd.taxon:fa71943f-ebb7-4761-8a0a-ef798776cc31","Grampus griseus","Delphinidae",,,,"Data Deficient","Native to the N.T."
"Lithomyrtus densifolia  ","https://id.biodiversity.org.au/node/apni/2894297","Lithomyrtus densifolia","Myrtaceae",,,,"Least Concern","Endemic to the N.T."
"Hygrochloa cravenii  ","https://id.biodiversity.org.au/node/apni/2893071","Hygrochloa cravenii","Poaceae",,,,"Data Deficient","Endemic to the N.T."
"Dendrobium johannis  ","https://id.biodiversity.org.au/node/apni/2896253","Cepobaculum johannis","Orchidaceae",,,,"Near Threatened","(not listed)"
"Neosilurus hyrtlii","urn:lsid:biodiversity.org.au:afd.taxon:aac0196a-7b1c-4f4d-80fd-9ee5778f025f","Neosilurus hyrtlii","Plotosidae",,,,"(not listed)","(not listed)"
"Polyrhachis dives","urn:lsid:biodiversity.org.au:afd.taxon:c62e3182-0ee9-4a3e-8a50-5847db6e964e","Polyrhachis (Myrmatopa) dives","Formicidae",,,,"(not listed)","(not listed)"
"Ipomoea gracilis  ","https://id.biodiversity.org.au/node/apni/7102691","Ipomoea gracilis","Convolvulaceae",,,,"Least Concern","Native to the N.T."
"Palaemonella spinulata","urn:lsid:biodiversity.org.au:afd.taxon:19309ea6-cee5-4ee9-b81d-f185e6bf3877","Palaemonella spinulata","Palaemonidae",,,,"(not listed)","(not listed)"
"Lasioglossum bidentatulum","urn:lsid:biodiversity.org.au:afd.taxon:bea16cbd-42fb-477f-a6d9-73c4dec9dc58","Lasioglossum (Chilalictus) bidentatulum","Halictidae",,,,"(not listed)","(not listed)"
"Trianthema rhynchocalyptra  ","https://id.biodiversity.org.au/node/apni/2891361","Trianthema rhynchocalyptrum","Aizoaceae",,,,"Least Concern","Native to the N.T."
"Lutjanus bitaeniatus","urn:lsid:biodiversity.org.au:afd.taxon:72985090-b2e0-4707-8493-b7d3b631a6ca","Lutjanus bitaeniatus","Lutjanidae",,,,"(not listed)","(not listed)"
"Doxander vittatus","urn:lsid:biodiversity.org.au:afd.taxon:755ad942-e7f5-4929-ae20-7e529c8d5cd0","Doxander vittatus","Strombidae",,,,"(not listed)","(not listed)"
"Petrarctus demani","urn:lsid:biodiversity.org.au:afd.taxon:2691c076-cc76-45c3-a7e9-a27478d0b2b0","Petrarctus demani","Scyllaridae",,,,"(not listed)","(not listed)"
"Ctena bella","urn:lsid:biodiversity.org.au:afd.taxon:da550b8d-00ee-4c9b-8778-a0b73d59d295","Ctena bella","Lucinidae",,,,"(not listed)","(not listed)"
"Discreliotia radians","urn:lsid:biodiversity.org.au:afd.taxon:e6e53655-e8aa-48aa-86f1-ed9e5551e0b7","Pseudoliotia radians","Vitrinellidae",,,,"(not listed)","(not listed)"
"Philocheras triangulus","urn:lsid:biodiversity.org.au:afd.taxon:77072d49-0b5f-42fc-bf6e-ba0f61a5aff4","Philocheras triangulus","Crangonidae",,,,"(not listed)","(not listed)"
"Lasioglossum fasciatum","urn:lsid:biodiversity.org.au:afd.taxon:b94d6617-cfa9-4d40-934f-d6812139da2a","Lasioglossum (Chilalictus) fasciatum","Halictidae",,,,"(not listed)","(not listed)"
"Tribulus terrestris  ","https://id.biodiversity.org.au/node/apni/2909503","Tribulus terrestris","Zygophyllaceae",,,,"Least Concern","(not listed)"
"Telescopium telescopium","urn:lsid:biodiversity.org.au:afd.taxon:ae7ec954-43f5-42c1-8457-5e11615081ed","Telescopium telescopium","Potamididae",,,,"(not listed)","(not listed)"
"Pavetta conferta  ","https://id.biodiversity.org.au/node/apni/2886226","Pavetta conferta","Rubiaceae",,,,"Data Deficient","Endemic to the N.T."
"Neosilurus ater","urn:lsid:biodiversity.org.au:afd.taxon:c567dbd5-8dd3-4d3e-873e-ab3412ad2066","Neosilurus ater","Plotosidae",,,,"(not listed)","(not listed)"
"Euryscaphus dilatatus","urn:lsid:biodiversity.org.au:afd.taxon:7f9c182d-9f4a-4eb5-b389-766a31727f28","Euryscaphus dilatatus","Carabidae",,,,"(not listed)","(not listed)"
"Portulaca bicolor  ","https://id.biodiversity.org.au/node/apni/2896811","Portulaca bicolor","Portulacaceae",,,,"Least Concern","Native to the N.T."
"Striarca olivacea","23228004","Estellacar olivacea","Noetiidae",,,,"(not listed)","(not listed)"
"Myrmeleon macfarlandi","urn:lsid:biodiversity.org.au:afd.taxon:6c2269eb-75b3-4238-85f1-7b958419c592","Myrmeleon macfarlandi","Myrmeleontidae",,,,"(not listed)","Endemic to the N.T."
"Tripectenopus pectinatrix","urn:lsid:biodiversity.org.au:afd.taxon:13bc8e89-db47-4930-ad28-609a4139b318","Tripectenopus pectinatrix","Staphylinidae",,,,"(not listed)","(not listed)"
"Zenopsis nebulosus","urn:lsid:biodiversity.org.au:afd.taxon:4156f98a-c94a-43c0-9738-65eac5d9178c","Zenopsis nebulosa","Zeidae",,,,"(not listed)","(not listed)"
"Leptoclinides echinus","urn:lsid:biodiversity.org.au:afd.taxon:1b394d07-14c2-4f43-9a2b-d0f1b0936ebc","Leptoclinides echinus","Didemnidae",,,,"(not listed)","(not listed)"
"Aristida calycina var. calycina","https://id.biodiversity.org.au/node/apni/2913377","Aristida calycina var. calycina","Poaceae",,,,"Least Concern","Native to the N.T."
"Stylidium ensatum  ","https://id.biodiversity.org.au/node/apni/2916606","Stylidium ensatum","Stylidiaceae",,,,"Endangered","Endemic to the N.T."
"Spercheus platycephalus","urn:lsid:biodiversity.org.au:afd.taxon:bd86fa03-9ae3-40e2-8c72-fa1a27747ba8","Spercheus platycephalus","Hydrophilidae",,,,"(not listed)","(not listed)"
"Melaleuca alsophila  ","https://id.biodiversity.org.au/node/apni/2890348","Melaleuca alsophila","Myrtaceae",,,,"Data Deficient","Native to the N.T."
"Trichosurus vulpecula vulpecula","urn:lsid:biodiversity.org.au:afd.taxon:a133593b-99d3-41dc-a7f6-43e70ec6ac35","Trichosurus vulpecula vulpecula","Phalangeridae",,,,"Endangered","Native to the N.T."
"Irediparra gallinacea","urn:lsid:biodiversity.org.au:afd.taxon:c81ab694-9b12-4c75-89b8-4e1c8132aca5","Irediparra gallinacea","Jacanidae",,,,"Least Concern","Native to the N.T."
"Polypocephalus helmuti","urn:lsid:biodiversity.org.au:afd.taxon:ee8bdb9d-9c9c-4179-9170-37f2939830fd","Polypocephalus helmuti","Polypocephalidae",,,,"(not listed)","(not listed)"
"Solen aureomaculatus","urn:lsid:biodiversity.org.au:afd.taxon:a49f1534-b55b-4e29-ba80-477ac5521e8e","Solen aureomaculatus","Solenidae",,,,"(not listed)","(not listed)"
"Fissidens gardneri  ","https://id.biodiversity.org.au/node/ausmoss/10080161","Fissidens gardneri","Fissidentaceae",,,,,"(not listed)"
"Eucrate haswelli","urn:lsid:biodiversity.org.au:afd.taxon:7d351e90-4636-443b-9a90-a5475137f47a","Trissoplax dentata","Euryplacidae",,,,"(not listed)","(not listed)"
"Melobasis iridicolor","urn:lsid:biodiversity.org.au:afd.taxon:1e3c4283-396c-423d-92fe-29411527ab36","Melobasis iridicolor","Buprestidae",,,,"(not listed)","Endemic to the N.T."
"Onthophagus rubrimaculatus","urn:lsid:biodiversity.org.au:afd.taxon:1e177424-024f-4127-8b20-861ebe1e1d5e","Onthophagus rubrimaculatus","Scarabaeidae",,,,"(not listed)","(not listed)"
"Crinia deserticola","urn:lsid:biodiversity.org.au:afd.taxon:34f15166-851d-4cd6-a8a6-161341531409","Crinia deserticola","Myobatrachidae",,,,"Least Concern","Native to the N.T."
"Diretmoides parini","urn:lsid:biodiversity.org.au:afd.taxon:c195f5c7-0552-4198-8b80-db41eabe9b84","Diretmichthys parini","Diretmidae",,,,"(not listed)","(not listed)"
"Spisula colganae","urn:lsid:biodiversity.org.au:afd.taxon:2430e9cd-b9cf-4b0b-a50c-0471a709d485","Spisula trigonella","Mactridae",,,,"(not listed)","(not listed)"
"Corchorus pascuorum  ","https://id.biodiversity.org.au/node/apni/2888101","Corchorus pascuorum","Malvaceae",,,,"Data Deficient","Native to the N.T."
"Daldinia concentrica  ","3b5820ac-e063-4523-a4cb-7509cd980e11","Daldinia concentrica","Xylariaceae",,,,,"(not listed)"
"Uraria lagopodioides  ","https://id.biodiversity.org.au/node/apni/2900975","Uraria lagopodioides","Fabaceae",,,,"Least Concern","Native to the N.T."
"Alternanthera brasiliana  ","https://id.biodiversity.org.au/node/apni/2911964","Alternanthera brasiliana","Amaranthaceae",,,,"Least Concern","Introduced"
"Mesophora inconspicua","urn:lsid:biodiversity.org.au:afd.taxon:05009c7d-ec39-4f2a-88b5-ad64577bf604","Coriophora inconspicua","Triphoridae",,,,"(not listed)","(not listed)"
"Jouannetia cumingii","urn:lsid:biodiversity.org.au:afd.taxon:ea535ba9-3c0f-4c63-af03-1459e3cda88b","Jouannetia (Jouannetia) cumingii","Pholadidae",,,,"(not listed)","(not listed)"
"Actinopyga mauritiana","urn:lsid:biodiversity.org.au:afd.taxon:38a9fe26-d91d-43f2-93a2-8b2c9eb83287","Actinopyga mauritiana","Holothuriidae",,,,"(not listed)","Endemic to the N.T."
"Charybdis natator","urn:lsid:biodiversity.org.au:afd.taxon:b992dbd8-05fa-4c7c-b477-78f592ac088c","Charybdis (Charybdis) natator","Portunidae",,,,"(not listed)","(not listed)"
"Strombus mutabilis","urn:lsid:biodiversity.org.au:afd.taxon:088762b1-d8b2-460b-996d-4b8ebf575dd6","Canarium mutabile mutabile","Strombidae",,,,"(not listed)","(not listed)"
"Dipelicus optatus","urn:lsid:biodiversity.org.au:afd.taxon:625c9e3d-6731-4277-a0dd-7239fcf9ba89","Dipelicus optatus","Scarabaeidae",,,,"(not listed)","(not listed)"
"Toxotes chatareus","urn:lsid:biodiversity.org.au:afd.taxon:c1263f1b-952f-4504-9dbe-611661a5329b","Toxotes chatareus","Toxotidae",,,,"(not listed)","(not listed)"
"Hibiscus sabdariffa  ","https://id.biodiversity.org.au/node/apni/2914698","Hibiscus sabdariffa","Malvaceae",,,,"Least Concern","Introduced"
"Erpodium biseriatum  ","https://id.biodiversity.org.au/node/ausmoss/10076301","Erpodium biseriatum","Erpodiaceae",,,,,"(not listed)"
"Protoreaster nodosus","urn:lsid:biodiversity.org.au:afd.taxon:a9c66dc6-4f22-48cd-b3d0-4059c0e00230","Protoreaster nodosus","Oreasteridae",,,,"(not listed)","(not listed)"
"Chrysothrix candelaris  ","NZOR-6-77455","Chrysothrix candelaris","Chrysothricaceae",,,,,"(not listed)"
"Hibiscus aneuthe  ","https://id.biodiversity.org.au/node/apni/2893663","Hibiscus aneuthe","Malvaceae",,,,"Data Deficient","Endemic to the N.T."
"Lepidosperma avium  ","https://id.biodiversity.org.au/node/apni/2915292","Lepidosperma avium","Cyperaceae",,,,"Data Deficient","Native to the N.T."
"Sauropus brunonis  ","https://id.biodiversity.org.au/node/apni/2890971","Sauropus brunonis","Phyllanthaceae",,,,"Least Concern","Endemic to the N.T."
"Paspalidium udum  ","https://id.biodiversity.org.au/node/apni/2904840","Paspalidium udum","Poaceae",,,,"Data Deficient","Native to the N.T."
"Megabalanus tintinnabulum","urn:lsid:biodiversity.org.au:afd.taxon:f12dd3dd-4fcb-48cf-b1d4-d9e62dc06508","Megabalanus tintinnabulum","Balanidae",,,,"(not listed)","(not listed)"
"Lestidium nudum","urn:lsid:biodiversity.org.au:afd.taxon:26255853-e2cd-4bf0-b377-fea48d69a915","Lestidium nudum","Paralepididae",,,,"(not listed)","(not listed)"
"Aspidimorpha quadriradiata","urn:lsid:biodiversity.org.au:afd.taxon:72bdb1f2-f67c-4a8b-9b66-2576b6a26770","Aspidimorpha (Aspidimorpha) quadriradiata","Chrysomelidae",,,,"(not listed)","(not listed)"
"Calyptorhynchus banksii macrorhynchus","urn:lsid:biodiversity.org.au:afd.taxon:d21415cb-a5d4-4ae6-80f5-4f1a82056700","Calyptorhynchus (Calyptorhynchus) banksii macrorhynchus","Cacatuidae",,,,"Least Concern","Native to the N.T."
"Megacephala basalis","urn:lsid:biodiversity.org.au:afd.taxon:5049b960-b354-4f23-8185-99bb70fbff70","Megacephala basalis","Carabidae",,,,"(not listed)","(not listed)"
"Acacia kempeana  ","https://id.biodiversity.org.au/node/apni/2894166","Acacia kempeana","Fabaceae",,,,"Least Concern","Native to the N.T."
"Lucasium stenodactylum","urn:lsid:biodiversity.org.au:afd.taxon:d17ee034-6ebd-4703-bd59-a47c953e2bb2","Lucasium stenodactylum","Diplodactylidae",,,,"Least Concern","Native to the N.T."
"Rhinolambrus pelagicus","urn:lsid:biodiversity.org.au:afd.taxon:917aa93a-298c-4dcf-b30b-4e57421b3bca","Rhinolambrus pelagicus","Parthenopidae",,,,"(not listed)","(not listed)"
"Indothais wutingi","urn:lsid:biodiversity.org.au:afd.taxon:48702991-8a19-4b0e-9e6e-28b858040607","Indothais wutingi","Muricidae",,,,"(not listed)","Endemic to the N.T."
"Calotis breviseta  ","https://id.biodiversity.org.au/node/apni/2897418","Calotis breviseta","Asteraceae",,,,"Least Concern","Native to the N.T."
"Pentalepis linearifolia  ","https://id.biodiversity.org.au/node/apni/7052017","Pentalepis linearifolia","Asteraceae",,,,"Not Evaluated","(not listed)"
"Haloragis odontocarpa f. rugosa","https://id.biodiversity.org.au/node/apni/2911691","Haloragis odontocarpa f. rugosa","Haloragaceae",,,,"Data Deficient","(not listed)"
"Gomphrena celosioides  ","https://id.biodiversity.org.au/node/apni/2918955","Gomphrena celosioides","Amaranthaceae",,,,"Least Concern","Introduced"
"Paspalum vaginatum  ","https://id.biodiversity.org.au/node/apni/2903424","Paspalum vaginatum","Poaceae",,,,"Least Concern","Native to the N.T."
"Xylocopa lieftincki","urn:lsid:biodiversity.org.au:afd.taxon:a3bbe2cf-22ab-4eb3-a0a7-89b2fbf0884e","Xylocopa (Koptortosoma) lieftincki","Apidae",,,,"(not listed)","(not listed)"
"Vanellus tricolor","urn:lsid:biodiversity.org.au:afd.taxon:7662aa0a-d690-473e-949b-111446433e14","Vanellus (Lobivanellus) tricolor","Charadriidae",,,,"Least Concern","Native to the N.T."
"Coneuplecta microconus","urn:lsid:biodiversity.org.au:afd.taxon:b9469fef-38f7-46ab-a074-9de623c50605","Coneuplecta microconus","Euconulidae",,,,"(not listed)","(not listed)"
"Modiolus rumphii","urn:lsid:biodiversity.org.au:afd.taxon:6c5fcd19-c408-4f4c-8f16-e364207a4ab4","Modiolus rufus","Mytilidae",,,,"(not listed)","(not listed)"
"Allips concolor","urn:lsid:biodiversity.org.au:afd.taxon:702602ff-0a16-4b2e-9fef-a3a88fc9e1ac","Allips concolor","Ophichthidae",,,,"(not listed)","(not listed)"
"Arthragrostis clarksoniana  ","https://id.biodiversity.org.au/node/apni/2907700","Arthragrostis clarksoniana","Poaceae",,,,"Data Deficient","(not listed)"
"Bothriochloa pertusa  ","https://id.biodiversity.org.au/node/apni/2903247","Bothriochloa pertusa","Poaceae",,,,"Least Concern","Introduced"
"Fimbristylis acuminata  ","https://id.biodiversity.org.au/node/apni/2889414","Fimbristylis acuminata","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Aethriamanta circumsignata","urn:lsid:biodiversity.org.au:afd.taxon:31a8aac9-2475-479f-b712-a63a67b40077","Aethriamanta circumsignata","Libellulidae",,,,"(not listed)","(not listed)"
"Pleurosorus subglandulosus  ","https://id.biodiversity.org.au/node/apni/2916545","Pleurosorus subglandulosus","Aspleniaceae",,,,"Least Concern","Native to the N.T."
"Nippoptilia cinctipedalis","urn:lsid:biodiversity.org.au:afd.taxon:e88e45fc-80c6-4644-8931-be696a55653e","Nippoptilia cinctipedalis","Pterophoridae",,,,"(not listed)","(not listed)"
"Leitoscoloplos latibranchus","urn:lsid:biodiversity.org.au:afd.taxon:2fd741e3-d65f-4442-9938-f1a0b1b83afd","Leitoscoloplos latibranchus","Orbiniidae",,,,"(not listed)","(not listed)"
"Phyllodesmium crypticum","urn:lsid:biodiversity.org.au:afd.taxon:97b92272-0f97-4c4a-918d-58ee49dab4f3","Phyllodesmium crypticum","Facelinidae",,,,"(not listed)","(not listed)"
"Ephippiorhynchus asiaticus","urn:lsid:biodiversity.org.au:afd.taxon:e7552037-18c6-494b-8ad3-10bc996e68bd","Ephippiorhynchus (Ephippiorhynchus) asiaticus","Ciconiidae",,,,"Least Concern","Native to the N.T."
"Catochrysops panormus","urn:lsid:biodiversity.org.au:afd.taxon:5d2572e5-3ade-452d-9dab-327cd16af7ab","Catochrysops panormus","Lycaenidae",,,,"(not listed)","(not listed)"
"Zenodorus jucundus","urn:lsid:biodiversity.org.au:afd.taxon:9216eded-31b9-4393-a732-b5b129f650f1","Omoedus jucundus","Salticidae",,,,"(not listed)","(not listed)"
"Hypocysta irius","urn:lsid:biodiversity.org.au:afd.taxon:56100da1-431d-44e2-b360-3fd73d9c5679","Hypocysta irius","Nymphalidae",,,,"(not listed)","(not listed)"
"Ulua mentalis","urn:lsid:biodiversity.org.au:afd.taxon:ed2cea2e-b613-49b5-94fb-878aaa88a712","Ulua mentalis","Carangidae",,,,"(not listed)","(not listed)"
"Megaptera novaeangliae","urn:lsid:biodiversity.org.au:afd.taxon:8472dd02-e960-4c15-8b06-5e3156c7b0c0","Megaptera novaeangliae","Balaenopteridae",,,,"Least Concern","Native to the N.T."
"Stemodia lathraia  ","https://id.biodiversity.org.au/node/apni/2913801","Stemodia lathraia","Plantaginaceae",,,,"Least Concern","Native to the N.T."
"Cephaloplatus spurcatus","urn:lsid:biodiversity.org.au:afd.taxon:b8066e3d-0096-439f-b313-a18a92641e20","Cephaloplatus (Cephaloplatus) spurcatus","Pentatomidae",,,,"(not listed)","(not listed)"
"Pristipomoides multidens","urn:lsid:biodiversity.org.au:afd.taxon:b7cb8e66-57d2-4794-a7ba-8923ee21fc2d","Pristipomoides multidens","Lutjanidae",,,,"(not listed)","(not listed)"
"Bryum apiculatum  ","https://id.biodiversity.org.au/instance/ausmoss/10022618","Bryum apiculatum","Bryaceae",,,,,"(not listed)"
"Cantharidus gilberti","urn:lsid:biodiversity.org.au:afd.taxon:09642684-7109-4f80-af9e-bb6c13729eef","Cantharidus gilberti","Trochidae",,,,"(not listed)","(not listed)"
"Spathoglottis paulinae  ","https://id.biodiversity.org.au/name/apni/69358","Spathoglottis paulinae","Orchidaceae",,,,"Data Deficient","Native to the N.T."
"Moranila californica","urn:lsid:biodiversity.org.au:afd.taxon:2b3ca517-f9f4-4d22-bf64-2b79b0d9d690","Moranila californica","Pteromalidae",,,,"(not listed)","Endemic to the N.T."
"Tegulaplax hululensis","23118029","Tegulaplax hululensis","Chitonidae",,,,"(not listed)","(not listed)"
"Coccotrypes dactyliperda","urn:lsid:biodiversity.org.au:afd.taxon:198bf034-fc9d-4969-9bb0-0572618010fa","Coccotrypes dactyliperda","Curculionidae",,,,"(not listed)","Endemic to the N.T."
"Tramea loewii","urn:lsid:biodiversity.org.au:afd.taxon:fc655481-9fc9-46a1-afcb-7c3d88f1e4b5","Tramea loewii","Libellulidae",,,,"(not listed)","(not listed)"
"Polycarpaea violacea  ","https://id.biodiversity.org.au/node/apni/2913551","Polycarpaea violacea","Caryophyllaceae",,,,"Least Concern","Native to the N.T."
"Vexillum amanda","urn:lsid:biodiversity.org.au:afd.taxon:e4f1b3fb-2a19-4509-a7dc-594553642e8e","Vexillum (Costellaria) amandum","Costellariidae",,,,"(not listed)","(not listed)"
"Lithomyrtus repens  ","https://id.biodiversity.org.au/node/apni/2896634","Lithomyrtus repens","Myrtaceae",,,,"Least Concern","Endemic to the N.T."
"Hersilia wellswebberae","urn:lsid:biodiversity.org.au:afd.taxon:818e57a1-b113-4bd0-b990-5ead0a123629","Hersilia wellswebberae","Hersiliidae",,,,"(not listed)","Endemic to the N.T."
"Pseudosesia oberthuri","urn:lsid:biodiversity.org.au:afd.taxon:f44f01d0-326a-40f6-8c03-cdcf83bd23cc","Pseudosesia oberthuri","Sesiidae",,,,"(not listed)","(not listed)"
